Pallet: "frame_system", Extrinsic: "kill_prefix", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
p,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,4298,1676,0,0,1,0
1,3829,1490,0,0,1,0
1,3581,1552,0,0,1,0
1,3543,1421,0,0,1,0
1,3477,1459,0,0,1,0
10,10609,1806,0,0,10,0
10,10208,1677,0,0,10,0
10,10189,1699,0,0,10,0
10,9923,1757,0,0,10,0
10,10089,1697,0,0,10,0
19,19490,1758,0,0,19,0
19,19213,1802,0,0,19,0
19,19318,1841,0,0,19,0
19,19715,1761,0,0,19,0
19,19108,1812,0,0,19,0
28,28165,1827,0,0,28,0
28,27747,1836,0,0,28,0
28,27866,1836,0,0,28,0
28,27997,1806,0,0,28,0
28,27671,1775,0,0,28,0
37,38903,1892,0,0,37,0
37,39002,1801,0,0,37,0
37,38526,1847,0,0,37,0
37,39594,1911,0,0,37,0
37,39019,1858,0,0,37,0
46,43612,1942,0,0,46,0
46,43646,1976,0,0,46,0
46,43341,1877,0,0,46,0
46,43228,1875,0,0,46,0
46,44076,1889,0,0,46,0
55,51725,1915,0,0,55,0
55,51480,1915,0,0,55,0
55,52281,1887,0,0,55,0
55,51632,1990,0,0,55,0
55,51458,1914,0,0,55,0
64,60069,1968,0,0,64,0
64,60577,1903,0,0,64,0
64,60666,1895,0,0,64,0
64,60818,1985,0,0,64,0
64,60531,1933,0,0,64,0
73,65710,1959,0,0,73,0
73,65731,2025,0,0,73,0
73,64689,1952,0,0,73,0
73,65478,2036,0,0,73,0
73,65437,2032,0,0,73,0
82,76520,1983,0,0,82,0
82,76412,2006,0,0,82,0
82,76964,1966,0,0,82,0
82,76425,1928,0,0,82,0
82,77507,1949,0,0,82,0
91,81858,2002,0,0,91,0
91,81624,1954,0,0,91,0
91,81919,2069,0,0,91,0
91,81527,1941,0,0,91,0
91,82354,1893,0,0,91,0
100,87492,2029,0,0,100,0
100,87542,2023,0,0,100,0
100,88556,2049,0,0,100,0
100,88150,1972,0,0,100,0
100,86838,2029,0,0,100,0
109,97621,1957,0,0,109,0
109,97351,1999,0,0,109,0
109,98143,2027,0,0,109,0
109,97690,2008,0,0,109,0
