Pallet: "frame_system", Extrinsic: "kill_storage", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,1080,1639,0,0,1,0
1,861,1423,0,0,1,0
1,785,1449,0,0,1,0
1,722,1453,0,0,1,0
1,766,1400,0,0,1,0
10,3398,1581,0,0,10,0
10,3366,1667,0,0,10,0
10,3374,1754,0,0,10,0
10,3385,1720,0,0,10,0
10,3391,1782,0,0,10,0
19,6490,1800,0,0,19,0
19,6394,1695,0,0,19,0
19,6455,1685,0,0,19,0
19,6325,1757,0,0,19,0
19,6418,1766,0,0,19,0
28,9359,1966,0,0,28,0
28,9457,1947,0,0,28,0
28,9241,1896,0,0,28,0
28,9490,1915,0,0,28,0
28,9473,1914,0,0,28,0
37,12079,1781,0,0,37,0
37,12068,1843,0,0,37,0
37,12257,1898,0,0,37,0
37,12208,1834,0,0,37,0
37,12290,1772,0,0,37,0
46,15922,1822,0,0,46,0
46,15756,1860,0,0,46,0
46,15816,1880,0,0,46,0
46,15985,1844,0,0,46,0
46,15633,1786,0,0,46,0
55,18490,1885,0,0,55,0
55,18502,1837,0,0,55,0
55,18506,1834,0,0,55,0
55,18255,1817,0,0,55,0
55,18233,1889,0,0,55,0
64,21270,1909,0,0,64,0
64,21355,1878,0,0,64,0
64,20991,1799,0,0,64,0
64,21136,1803,0,0,64,0
64,20947,1790,0,0,64,0
73,24611,1866,0,0,73,0
73,24751,1753,0,0,73,0
73,27271,1849,0,0,73,0
73,24688,1899,0,0,73,0
73,24714,1905,0,0,73,0
82,27802,1948,0,0,82,0
82,27628,1939,0,0,82,0
82,27960,1985,0,0,82,0
82,27575,1873,0,0,82,0
82,27657,1907,0,0,82,0
91,31018,1952,0,0,91,0
91,31050,1987,0,0,91,0
91,31141,1864,0,0,91,0
91,31158,1890,0,0,91,0
91,30945,1859,0,0,91,0
100,34337,1940,0,0,100,0
100,34409,1927,0,0,100,0
100,34450,1973,0,0,100,0
100,34091,1910,0,0,100,0
100,34104,1886,0,0,100,0
109,37947,1963,0,0,109,0
109,38257,1954,0,0,109,0
109,37926,2022,0,0,109,0
109,37797,1935,0,0,109,0
109,38151,1978,0,0,109,0
118,41449,2091,0,0,118,0
118,41035,2050,0,0,118,0
118,40654,1975,0,0,118,0
118,41550,1924,0,0,118,0
118,41065,2051,0,0,118,0
127,43620,2150,0,0,127,0
127,43876,1988,0,0,127,0
127,44114,2039,0,0,127,0
127,44004,1850,0,0,127,0
127,43565,1910,0,0,127,0
136,50161,2008,0,0,136,0
136,47521,1853,0,0,136,0
136,47268,2034,0,0,136,0
136,47636,2037,0,0,136,0
136,47218,1981,0,0,136,0
145,50422,2025,0,0,145,0
145,50066,1907,0,0,145,0
145,50453,2097,0,0,145,0
145,50229,1981,0,0,145,0
145,49926,1964,0,0,145,0
154,53748,2085,0,0,154,0
154,53053,1956,0,0,154,0
154,52837,2003,0,0,154,0
154,52964,1966,0,0,154,0
154,53486,2052,0,0,154,0
163,57196,2021,0,0,163,0
163,57380,2051,0,0,163,0
163,57101,2023,0,0,163,0
163,57181,4599,0,0,163,0
163,56941,1977,0,0,163,0
172,60131,2125,0,0,172,0
172,60169,2007,0,0,172,0
172,59921,1985,0,0,172,0
172,59930,2029,0,0,172,0
172,60462,2008,0,0,172,0
181,62706,2060,0,0,181,0
181,62926,2092,0,0,181,0
181,62107,2048,0,0,181,0
181,62497,2024,0,0,181,0
181,62838,2060,0,0,181,0
190,66545,2075,0,0,190,0
190,65827,2037,0,0,190,0
190,65833,2000,0,0,190,0
190,66669,2037,0,0,190,0
190,66174,2031,0,0,190,0
199,70301,2030,0,0,199,0
199,70244,1985,0,0,199,0
199,70322,1900,0,0,199,0
199,70968,2033,0,0,199,0
199,70426,1999,0,0,199,0
208,72587,2113,0,0,208,0
208,72502,1948,0,0,208,0
208,72843,2150,0,0,208,0
208,72193,1955,0,0,208,0
208,72373,1984,0,0,208,0
217,76069,2023,0,0,217,0
217,76226,2060,0,0,217,0
217,76525,2038,0,0,217,0
217,76439,2007,0,0,217,0
217,76042,1984,0,0,217,0
226,80041,2057,0,0,226,0
226,79490,2000,0,0,226,0
226,79302,2037,0,0,226,0
226,80005,2103,0,0,226,0
226,80043,1985,0,0,226,0
235,82504,2109,0,0,235,0
235,82582,2115,0,0,235,0
235,82119,2020,0,0,235,0
235,82485,1957,0,0,235,0
235,82672,2168,0,0,235,0
244,119118,2037,0,0,244,0
244,87646,2016,0,0,244,0
244,86303,2140,0,0,244,0
244,86696,2000,0,0,244,0
244,87232,2348,0,0,244,0
253,88730,2033,0,0,253,0
253,89294,2018,0,0,253,0
253,89174,2080,0,0,253,0
253,89232,1970,0,0,253,0
253,88992,1933,0,0,253,0
262,92993,1994,0,0,262,0
262,94712,2237,0,0,262,0
262,93999,2033,0,0,262,0
262,93220,2116,0,0,262,0
262,93582,2017,0,0,262,0
271,96777,2098,0,0,271,0
271,96211,2099,0,0,271,0
271,96961,2030,0,0,271,0
271,96746,2379,0,0,271,0
271,95897,1940,0,0,271,0
280,100185,2172,0,0,280,0
280,99294,2119,0,0,280,0
280,99582,1975,0,0,280,0
280,100104,2006,0,0,280,0
280,100136,2110,0,0,280,0
289,98973,2011,0,0,289,0
289,98778,2147,0,0,289,0
289,99644,2084,0,0,289,0
289,98812,2131,0,0,289,0
289,98985,2027,0,0,289,0
298,101572,2111,0,0,298,0
298,101935,2087,0,0,298,0
298,102167,2134,0,0,298,0
298,102086,2081,0,0,298,0
298,101756,2225,0,0,298,0
307,105063,2097,0,0,307,0
307,109700,2084,0,0,307,0
307,107581,2008,0,0,307,0
307,109396,2046,0,0,307,0
307,104645,2027,0,0,307,0
316,113652,2050,0,0,316,0
316,107253,2178,0,0,316,0
316,107463,2031,0,0,316,0
316,110110,2185,0,0,316,0
316,107891,2076,0,0,316,0
325,117557,2137,0,0,325,0
325,116935,2137,0,0,325,0
325,116821,2178,0,0,325,0
325,117290,2107,0,0,325,0
325,117429,2147,0,0,325,0
334,122119,2009,0,0,334,0
334,120995,2069,0,0,334,0
334,121245,2056,0,0,334,0
334,121087,2046,0,0,334,0
334,121505,2177,0,0,334,0
343,126598,2078,0,0,343,0
343,123919,2089,0,0,343,0
343,124181,2079,0,0,343,0
343,124087,2181,0,0,343,0
343,124639,1924,0,0,343,0
352,127832,2140,0,0,352,0
352,127485,2029,0,0,352,0
352,127667,2028,0,0,352,0
352,127348,2170,0,0,352,0
352,127280,2017,0,0,352,0
361,130541,2085,0,0,361,0
361,130346,1975,0,0,361,0
361,130324,2128,0,0,361,0
361,131121,2020,0,0,361,0
361,130564,2092,0,0,361,0
370,134343,2121,0,0,370,0
370,133522,2118,0,0,370,0
370,133644,2190,0,0,370,0
370,133290,2031,0,0,370,0
370,133647,2085,0,0,370,0
379,138967,2198,0,0,379,0
379,139248,2086,0,0,379,0
379,138894,2045,0,0,379,0
379,138944,2118,0,0,379,0
379,138981,2107,0,0,379,0
388,140601,2107,0,0,388,0
388,140547,2049,0,0,388,0
388,141392,2077,0,0,388,0
388,140396,2057,0,0,388,0
388,141455,2026,0,0,388,0
397,145837,2201,0,0,397,0
397,144196,2171,0,0,397,0
397,144554,2027,0,0,397,0
397,144027,2120,0,0,397,0
397,144655,2190,0,0,397,0
406,147969,2160,0,0,406,0
406,147211,2143,0,0,406,0
406,148168,2169,0,0,406,0
406,147835,2066,0,0,406,0
406,147789,2048,0,0,406,0
415,151678,2104,0,0,415,0
415,151314,2181,0,0,415,0
415,152705,2107,0,0,415,0
415,152286,2087,0,0,415,0
415,151409,2141,0,0,415,0
424,154767,2045,0,0,424,0
424,157791,2067,0,0,424,0
