Pallet: "frame_system", Extrinsic: "set_changes_trie_config", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,23657,15066,1,0,2,0
0,22448,16839,1,0,2,0
0,24684,16267,1,0,2,0
0,24801,14218,1,0,2,0
0,22487,14718,1,0,2,0
10,15533,14886,1,0,2,0
10,16489,15553,1,0,2,0
10,17226,14623,1,0,2,0
10,17318,15909,1,0,2,0
10,17223,13890,1,0,2,0
20,15227,13156,1,0,2,0
20,15740,13415,1,0,2,0
20,17708,14301,1,0,2,0
20,16779,15552,1,0,2,0
20,16575,17746,1,0,2,0
30,17196,15007,1,0,2,0
30,18478,14779,1,0,2,0
30,16654,15894,1,0,2,0
30,18384,13995,1,0,2,0
30,16466,14559,1,0,2,0
40,29999,14275,1,0,2,0
40,16800,13255,1,0,2,0
40,15514,15912,1,0,2,0
40,16638,14173,1,0,2,0
40,21910,16725,1,0,2,0
50,16689,14020,1,0,2,0
50,15115,15538,1,0,2,0
50,18357,14694,1,0,2,0
50,16652,17087,1,0,2,0
50,16828,14201,1,0,2,0
60,34128,15446,1,0,2,0
60,16750,14055,1,0,2,0
60,19164,15436,1,0,2,0
60,16173,15921,1,0,2,0
60,16469,16248,1,0,2,0
70,30767,17217,1,0,2,0
70,18549,17767,1,0,2,0
70,17291,16324,1,0,2,0
70,16935,14662,1,0,2,0
70,17413,13511,1,0,2,0
80,17485,13145,1,0,2,0
80,15073,15994,1,0,2,0
80,16466,15244,1,0,2,0
80,16041,14077,1,0,2,0
80,16477,13491,1,0,2,0
90,17265,18308,1,0,2,0
90,16417,28587,1,0,2,0
90,16791,17620,1,0,2,0
90,20559,15145,1,0,2,0
90,17476,15100,1,0,2,0
100,26300,16771,1,0,2,0
100,18785,16660,1,0,2,0
100,19606,16484,1,0,2,0
100,16758,15473,1,0,2,0
100,18475,16241,1,0,2,0
110,18432,15775,1,0,2,0
110,15456,16281,1,0,2,0
110,17274,16989,1,0,2,0
110,20726,16811,1,0,2,0
110,20028,15051,1,0,2,0
120,17687,16002,1,0,2,0
120,18075,16194,1,0,2,0
120,18400,15532,1,0,2,0
120,18032,18012,1,0,2,0
120,17903,14808,1,0,2,0
130,33540,14551,1,0,2,0
130,18014,15175,1,0,2,0
130,17860,15579,1,0,2,0
130,15879,16611,1,0,2,0
130,18217,17303,1,0,2,0
140,19193,16387,1,0,2,0
140,17385,17208,1,0,2,0
140,17173,14951,1,0,2,0
140,16109,15149,1,0,2,0
140,17397,17237,1,0,2,0
150,16385,13308,1,0,2,0
150,16254,15347,1,0,2,0
150,27917,13697,1,0,2,0
150,16812,16050,1,0,2,0
150,17782,17125,1,0,2,0
160,18982,14614,1,0,2,0
160,16275,16174,1,0,2,0
160,19602,14947,1,0,2,0
160,18554,17160,1,0,2,0
160,15967,15420,1,0,2,0
170,16179,14998,1,0,2,0
170,20012,14774,1,0,2,0
170,19158,14379,1,0,2,0
170,18030,15478,1,0,2,0
170,19474,13895,1,0,2,0
180,16307,15795,1,0,2,0
180,16724,14620,1,0,2,0
180,18394,12851,1,0,2,0
180,15371,13858,1,0,2,0
180,16207,14033,1,0,2,0
190,15726,13482,1,0,2,0
190,15883,14436,1,0,2,0
