Pallet: "frame_system", Extrinsic: "set_storage", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,4870,6557,0,0,1,0
1,4346,3894,0,0,1,0
1,4364,3898,0,0,1,0
1,4301,3795,0,0,1,0
1,4061,3761,0,0,1,0
20,26950,4239,0,0,20,0
20,24202,3697,0,0,20,0
20,24213,18975,0,0,20,0
20,24433,3643,0,0,20,0
20,24410,3766,0,0,20,0
39,46226,4137,0,0,39,0
39,63392,9216,0,0,39,0
39,100490,5515,0,0,39,0
39,51267,4470,0,0,39,0
39,50117,3699,0,0,39,0
58,62589,4191,0,0,58,0
58,68297,4496,0,0,58,0
58,74244,3963,0,0,58,0
58,66545,4462,0,0,58,0
58,75189,4422,0,0,58,0
77,90664,3879,0,0,77,0
77,82389,3715,0,0,77,0
77,81574,3654,0,0,77,0
77,99718,4404,0,0,77,0
77,99482,3924,0,0,77,0
96,110762,3913,0,0,96,0
96,123199,4604,0,0,96,0
96,124655,4545,0,0,96,0
96,112708,4288,0,0,96,0
96,101467,3721,0,0,96,0
115,148833,4762,0,0,115,0
115,135193,4505,0,0,115,0
115,134792,4161,0,0,115,0
115,149846,5080,0,0,115,0
115,149665,3975,0,0,115,0
134,201087,6313,0,0,134,0
134,174429,4702,0,0,134,0
134,176349,4717,0,0,134,0
134,177378,4078,0,0,134,0
134,173078,4600,0,0,134,0
153,163806,4277,0,0,153,0
153,191526,4731,0,0,153,0
153,178994,4547,0,0,153,0
153,202367,5017,0,0,153,0
153,198030,4373,0,0,153,0
172,236354,5523,0,0,172,0
172,222735,4776,0,0,172,0
172,210307,4815,0,0,172,0
172,222900,4118,0,0,172,0
172,202848,4600,0,0,172,0
191,227598,4814,0,0,191,0
191,253298,4791,0,0,191,0
191,250671,4788,0,0,191,0
191,251641,4884,0,0,191,0
191,251103,4523,0,0,191,0
210,292793,4694,0,0,210,0
210,248937,4262,0,0,210,0
210,226035,4952,0,0,210,0
210,268575,4576,0,0,210,0
210,227597,4859,0,0,210,0
229,294587,5568,0,0,229,0
229,301213,4272,0,0,229,0
229,280099,4598,0,0,229,0
229,281873,4741,0,0,229,0
229,272427,4870,0,0,229,0
248,296186,5190,0,0,248,0
248,273681,4668,0,0,248,0
248,336624,4578,0,0,248,0
248,298005,5037,0,0,248,0
248,326946,5009,0,0,248,0
267,363997,5207,0,0,267,0
267,323225,4841,0,0,267,0
267,371566,4357,0,0,267,0
267,374652,4870,0,0,267,0
267,323559,4524,0,0,267,0
286,379032,5511,0,0,286,0
286,386075,5147,0,0,286,0
286,379602,4987,0,0,286,0
286,338154,4794,0,0,286,0
286,330064,4760,0,0,286,0
305,379093,7368,0,0,305,0
305,349465,5449,0,0,305,0
305,403902,6046,0,0,305,0
305,363440,5805,0,0,305,0
305,357919,5361,0,0,305,0
324,444002,6239,0,0,324,0
324,394639,5871,0,0,324,0
324,390928,4900,0,0,324,0
324,432391,5513,0,0,324,0
324,406663,4501,0,0,324,0
343,413544,5727,0,0,343,0
343,460046,5119,0,0,343,0
343,416243,5639,0,0,343,0
343,376709,5497,0,0,343,0
343,376816,5154,0,0,343,0
362,491435,5904,0,0,362,0
362,495608,4990,0,0,362,0
362,485965,5527,0,0,362,0
362,502524,5096,0,0,362,0
362,396128,4694,0,0,362,0
381,459829,5812,0,0,381,0
381,458604,6636,0,0,381,0
381,438573,5562,0,0,381,0
381,453679,4778,0,0,381,0
381,462965,4921,0,0,381,0
400,515446,5057,0,0,400,0
400,483228,5728,0,0,400,0
400,488361,5680,0,0,400,0
400,454236,5117,0,0,400,0
400,470801,5028,0,0,400,0
419,549065,5668,0,0,419,0
419,502131,5756,0,0,419,0
419,538562,4964,0,0,419,0
419,458562,5887,0,0,419,0
419,512488,5832,0,0,419,0
438,476930,5373,0,0,438,0
438,524860,5513,0,0,438,0
438,588803,5445,0,0,438,0
438,585041,5386,0,0,438,0
438,589133,7049,0,0,438,0
457,565162,6201,0,0,457,0
457,625483,5466,0,0,457,0
457,586265,7124,0,0,457,0
457,552694,5261,0,0,457,0
457,612359,5149,0,0,457,0
476,603072,5514,0,0,476,0
476,575538,4957,0,0,476,0
476,633537,5917,0,0,476,0
476,669309,5358,0,0,476,0
476,650333,5570,0,0,476,0
495,669393,5587,0,0,495,0
495,631619,5853,0,0,495,0
495,649221,5721,0,0,495,0
495,589846,6077,0,0,495,0
495,599279,5814,0,0,495,0
514,614821,5837,0,0,514,0
514,665487,5440,0,0,514,0
514,623371,5019,0,0,514,0
514,686941,5495,0,0,514,0
514,688875,5393,0,0,514,0
533,658650,5683,0,0,533,0
533,643885,5370,0,0,533,0
533,647424,5851,0,0,533,0
533,716843,5305,0,0,533,0
533,707682,5517,0,0,533,0
552,731875,5649,0,0,552,0
552,623465,5951,0,0,552,0
552,675315,5178,0,0,552,0
552,679043,5521,0,0,552,0
552,663333,5482,0,0,552,0
571,804046,8177,0,0,571,0
571,688775,5605,0,0,571,0
571,690855,5190,0,0,571,0
571,765616,5219,0,0,571,0
571,707787,5515,0,0,571,0
590,1381690,16060,0,0,590,0
590,754600,6507,0,0,590,0
590,811195,6023,0,0,590,0
590,739529,6112,0,0,590,0
590,720536,5841,0,0,590,0
609,830548,6347,0,0,609,0
609,807200,5736,0,0,609,0
609,678556,5277,0,0,609,0
609,725836,5386,0,0,609,0
609,819050,5153,0,0,609,0
628,768394,6014,0,0,628,0
628,768495,5717,0,0,628,0
628,738264,5574,0,0,628,0
628,755600,5072,0,0,628,0
628,779938,5522,0,0,628,0
647,804702,7060,0,0,647,0
647,877878,5388,0,0,647,0
647,799021,5863,0,0,647,0
647,901591,5240,0,0,647,0
647,803310,17851,0,0,647,0
666,876192,6067,0,0,666,0
666,807865,5775,0,0,666,0
666,836291,5697,0,0,666,0
666,746239,5606,0,0,666,0
666,743115,5700,0,0,666,0
685,829459,6789,0,0,685,0
685,885540,6176,0,0,685,0
685,873474,5763,0,0,685,0
685,901672,5378,0,0,685,0
685,820052,6646,0,0,685,0
704,824357,7348,0,0,704,0
704,857109,6150,0,0,704,0
704,964832,5883,0,0,704,0
704,981712,6213,0,0,704,0
704,910716,6573,0,0,704,0
723,884067,5945,0,0,723,0
723,894033,6101,0,0,723,0
723,945576,6108,0,0,723,0
723,859772,6454,0,0,723,0
723,958167,5855,0,0,723,0
742,915227,7536,0,0,742,0
742,1028972,6316,0,0,742,0
742,1002978,6066,0,0,742,0
742,970830,6103,0,0,742,0
742,990742,5776,0,0,742,0
761,917030,6941,0,0,761,0
761,1026375,7354,0,0,761,0
761,1023625,6328,0,0,761,0
761,982566,6221,0,0,761,0
761,999180,5739,0,0,761,0
780,957209,6120,0,0,780,0
780,1060361,7226,0,0,780,0
780,1048066,6408,0,0,780,0
780,1058320,14097,0,0,780,0
780,1057200,5668,0,0,780,0
799,1064636,7028,0,0,799,0
799,1115362,6301,0,0,799,0
799,1000894,5865,0,0,799,0
799,1021166,6012,0,0,799,0
799,1007186,5677,0,0,799,0
818,988125,6617,0,0,818,0
818,1029503,6010,0,0,818,0
818,1108125,7527,0,0,818,0
818,1100534,6467,0,0,818,0
818,1108790,6124,0,0,818,0
837,1075811,6931,0,0,837,0
837,1132897,6823,0,0,837,0
837,1108946,6732,0,0,837,0
837,1147729,5937,0,0,837,0
837,1097735,6368,0,0,837,0
856,1007862,6345,0,0,856,0
856,974992,6136,0,0,856,0
856,1164747,9445,0,0,856,0
856,1139553,7468,0,0,856,0
856,1178318,6983,0,0,856,0
875,1191146,6738,0,0,875,0
875,1218476,6539,0,0,875,0
875,1119626,5946,0,0,875,0
875,1151928,5625,0,0,875,0
875,1063863,6150,0,0,875,0
894,1140420,6826,0,0,894,0
894,1135489,6287,0,0,894,0
894,1204366,7846,0,0,894,0
894,1094539,6051,0,0,894,0
894,1168717,5714,0,0,894,0
913,1101230,7726,0,0,913,0
913,1023102,6638,0,0,913,0
913,1065833,6101,0,0,913,0
913,1151940,6721,0,0,913,0
913,1068313,6407,0,0,913,0
932,1196018,7095,0,0,932,0
932,1233361,6230,0,0,932,0
932,1138664,7001,0,0,932,0
932,1088192,7412,0,0,932,0
932,1271864,6422,0,0,932,0
951,1283129,6912,0,0,951,0
951,1283367,7585,0,0,951,0
951,1154743,6454,0,0,951,0
951,1163487,7016,0,0,951,0
951,1209061,7182,0,0,951,0
970,1310903,7527,0,0,970,0
970,1296424,8879,0,0,970,0
970,1241360,7014,0,0,970,0
970,1230793,6044,0,0,970,0
970,1177480,8019,0,0,970,0
989,1357467,8572,0,0,989,0
989,1344384,7622,0,0,989,0
989,1274837,7170,0,0,989,0
989,1100059,7473,0,0,989,0
989,1108098,7533,0,0,989,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + i    1.287
              µs

Reads = 0 + (0 * i)
Writes = 0 + (1 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    1     4.337     0.026    0.5%
   20     24.35     0.098    0.4%
   39     54.92     6.005   10.9%
   58     69.69     3.294    4.7%
   77     90.84     6.979    7.6%
   96     115.5     5.462    4.7%
  115     144.5     6.634    4.5%
  134       176     1.222    0.6%
  153     189.5       7.9    4.1%
  172     218.6     5.897    2.6%
  191     251.1     0.396    0.1%
  210     248.3     16.73    6.7%
  229     285.5     6.452    2.2%
  248       307     14.09    4.5%
  267       353     21.07    5.9%
  286     365.5      19.4    5.3%
  305     366.8     8.968    2.4%
  324     411.2     15.74    3.8%
  343     402.2     17.98    4.4%
  362       491     3.948    0.8%
  381     457.3     2.657    0.5%
  400     480.7     7.372    1.5%
  419     517.7     15.32    2.9%
  438     566.2     29.29    5.1%
  457     587.9      19.3    3.2%
  476     628.9     19.56    3.1%
  495     626.7     20.68    3.3%
  514     658.5      26.4    4.0%
  533     671.2     26.16    3.8%
  552     672.5     6.702    0.9%
  571     721.4        32    4.4%
  590     768.4     30.85    4.0%
  609       784     41.43    5.2%
  628     764.1     6.055    0.7%
  647     828.6     34.82    4.2%
  666     796.7     37.58    4.7%
  685     862.8      24.1    2.7%
  704     910.8     43.97    4.8%
  723     907.8     26.95    2.9%
  742     988.1     13.24    1.3%
  761      1001     16.86    1.6%
  780      1054     4.592    0.4%
  799      1030     24.46    2.3%
  818      1079      35.4    3.2%
  837      1113     14.66    1.3%
  856      1104     68.79    6.2%
  875      1154     29.24    2.5%
  894      1148     14.64    1.2%
  913      1078     16.13    1.4%
  932      1189     38.94    3.2%
  951      1218      49.3    4.0%
  970      1256     28.77    2.2%
  989      1242     99.14    7.9%

Quality and confidence:
param     error
i         0.009

Model:
Time ~=        0
    + i    1.289
              µs

Reads = 0 + (0 * i)
Writes = 0 + (1 * i)
