Pallet: "pallet_asset", Extrinsic: "add_documents", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,50023,2153,10,8,2,2
1,50424,2118,10,8,2,2
1,49732,2067,10,8,2,2
1,49863,2091,10,8,2,2
1,50102,2097,10,8,2,2
2,56262,2165,10,10,3,2
2,57063,2138,10,10,3,2
2,58284,2204,10,10,3,2
2,56559,2195,10,10,3,2
2,56537,2089,10,10,3,2
3,62920,2236,10,12,4,2
3,61981,2305,10,12,4,2
3,61931,2184,10,12,4,2
3,61666,2256,10,12,4,2
3,61704,2206,10,12,4,2
4,66430,2313,10,14,5,2
4,66696,2261,10,14,5,2
4,67458,2297,10,14,5,2
4,90470,2313,10,14,5,2
4,67158,2275,10,14,5,2
5,71738,2256,10,16,6,2
5,72414,2253,10,16,6,2
5,72341,2237,10,16,6,2
5,72685,2382,10,16,6,2
5,72553,2234,10,16,6,2
6,76744,2327,10,18,7,2
6,77127,2217,10,18,7,2
6,77279,2290,10,18,7,2
6,76994,2552,10,18,7,2
6,77605,2284,10,18,7,2
7,82354,2237,10,20,8,2
7,82257,2262,10,20,8,2
7,81444,2333,10,20,8,2
7,86609,2223,10,20,8,2
7,81294,2251,10,20,8,2
8,86137,2168,10,22,9,2
8,85561,2176,10,22,9,2
8,86273,2167,10,22,9,2
8,86560,2327,10,22,9,2
8,86650,2227,10,22,9,2
9,90028,2428,10,24,10,2
9,91381,2365,10,24,10,2
9,96064,2351,10,24,10,2
9,92689,2311,10,24,10,2
9,92394,2409,10,24,10,2
10,97253,2273,10,26,11,2
10,96593,2264,10,26,11,2
10,97237,2301,10,26,11,2
10,97329,2251,10,26,11,2
10,97395,2291,10,26,11,2
11,101763,2247,10,28,12,2
11,99831,2278,10,28,12,2
11,101066,2185,10,28,12,2
11,101213,2251,10,28,12,2
11,102686,2247,10,28,12,2
12,106053,2344,10,30,13,2
12,106194,2277,10,30,13,2
12,105604,2225,10,30,13,2
12,106484,2304,10,30,13,2
12,105530,2388,10,30,13,2
13,109407,2237,10,32,14,2
13,111446,2315,10,32,14,2
13,109933,2327,10,32,14,2
13,110682,2389,10,32,14,2
13,108311,2290,10,32,14,2
14,114865,2300,10,34,15,2
14,116335,2293,10,34,15,2
14,115844,2240,10,34,15,2
14,114362,2354,10,34,15,2
14,115782,2300,10,34,15,2
15,118944,2424,10,36,16,2
15,119552,2287,10,36,16,2
15,120350,2449,10,36,16,2
15,120438,2327,10,36,16,2
15,119979,2410,10,36,16,2
16,125591,2419,10,38,17,2
16,124702,2240,10,38,17,2
16,124815,2299,10,38,17,2
16,125558,2315,10,38,17,2
16,125567,2303,10,38,17,2
17,128919,2378,10,40,18,2
17,129202,2256,10,40,18,2
17,129905,2287,10,40,18,2
17,128653,2339,10,40,18,2
17,129069,2261,10,40,18,2
18,134630,2300,10,42,19,2
18,134478,2245,10,42,19,2
18,135970,2335,10,42,19,2
18,135166,2279,10,42,19,2
18,132113,2307,10,42,19,2
19,138466,2366,10,44,20,2
19,138338,2354,10,44,20,2
19,171169,2268,10,44,20,2
19,138053,2387,10,44,20,2
19,137551,2324,10,44,20,2
20,148142,2412,10,46,21,2
20,143706,2332,10,46,21,2
20,143004,2300,10,46,21,2
20,142917,2350,10,46,21,2
20,144998,2361,10,46,21,2
21,147628,2455,10,48,22,2
21,147390,2265,10,48,22,2
21,148678,2383,10,48,22,2
21,146845,2335,10,48,22,2
21,148792,2428,10,48,22,2
22,150985,2398,10,50,23,2
22,149870,2435,10,50,23,2
22,151391,2381,10,50,23,2
22,150249,2392,10,50,23,2
22,153322,2332,10,50,23,2
23,159055,2392,10,52,24,2
23,156233,2448,10,52,24,2
23,157051,2374,10,52,24,2
23,154369,2300,10,52,24,2
23,156689,2255,10,52,24,2
24,161409,2315,10,54,25,2
24,157352,2341,10,54,25,2
24,158376,2366,10,54,25,2
24,159972,2393,10,54,25,2
24,158810,2342,10,54,25,2
25,163685,2458,10,56,26,2
25,164791,2294,10,56,26,2
25,167535,2368,10,56,26,2
25,163825,2387,10,56,26,2
25,163232,2347,10,56,26,2
26,168700,2374,10,58,27,2
26,169658,2444,10,58,27,2
26,167821,2470,10,58,27,2
26,171705,2495,10,58,27,2
26,169247,2430,10,58,27,2
27,172464,2381,10,60,28,2
27,174802,2371,10,60,28,2
27,175446,2346,10,60,28,2
27,174503,2337,10,60,28,2
27,173178,2319,10,60,28,2
28,177743,2440,10,62,29,2
28,175665,2414,10,62,29,2
28,178534,2431,10,62,29,2
28,180483,2393,10,62,29,2
28,178522,2321,10,62,29,2
29,182179,2422,10,64,30,2
29,185287,2365,10,64,30,2
29,185676,2300,10,64,30,2
29,183045,2452,10,64,30,2
29,181039,2321,10,64,30,2
30,186313,2411,10,66,31,2
30,184770,2448,10,66,31,2
30,189367,2396,10,66,31,2
30,185526,2353,10,66,31,2
30,187982,2336,10,66,31,2
31,190220,2414,10,68,32,2
31,194857,2440,10,68,32,2
31,192870,2393,10,68,32,2
31,191038,2386,10,68,32,2
31,190755,2521,10,68,32,2
32,198249,2333,10,70,33,2
32,198212,2489,10,70,33,2
32,194102,2431,10,70,33,2
32,196720,2393,10,70,33,2
32,197378,2491,10,70,33,2
33,200069,2432,10,72,34,2
33,200844,2429,10,72,34,2
33,200171,2453,10,72,34,2
33,200141,2485,10,72,34,2
33,202550,2418,10,72,34,2
34,205080,2487,10,74,35,2
34,205230,2451,10,74,35,2
34,209305,2551,10,74,35,2
34,206018,2504,10,74,35,2
34,207517,2542,10,74,35,2
35,208874,2509,10,76,36,2
35,210242,2582,10,76,36,2
35,210486,2422,10,76,36,2
35,209977,2437,10,76,36,2
35,208140,2579,10,76,36,2
36,215370,2451,10,78,37,2
36,214255,2491,10,78,37,2
36,271271,2509,10,78,37,2
36,214239,2442,10,78,37,2
36,217443,2496,10,78,37,2
37,218990,2429,10,80,38,2
37,220314,2497,10,80,38,2
37,219290,2433,10,80,38,2
37,217074,2425,10,80,38,2
37,220029,2408,10,80,38,2
38,224581,2464,10,82,39,2
38,224055,2424,10,82,39,2
38,220698,2395,10,82,39,2
