Pallet: "pallet_asset", Extrinsic: "create_asset", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,i,f,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,512,1024,136155,2331,22,23,11,2
1,512,1024,135307,2371,22,23,11,2
1,512,1024,135972,2464,22,23,11,2
1,512,1024,136995,2334,22,23,11,2
1,512,1024,135605,2294,22,23,11,2
11,512,1024,135451,2380,22,23,11,2
11,512,1024,135861,2432,22,23,11,2
11,512,1024,134696,2244,22,23,11,2
11,512,1024,135447,2269,22,23,11,2
11,512,1024,136529,2340,22,23,11,2
21,512,1024,134596,2408,22,23,11,2
21,512,1024,135371,2349,22,23,11,2
21,512,1024,135386,2279,22,23,11,2
21,512,1024,135167,2319,22,23,11,2
21,512,1024,135612,2304,22,23,11,2
31,512,1024,135703,2231,22,23,11,2
31,512,1024,136442,2362,22,23,11,2
31,512,1024,136119,2265,22,23,11,2
31,512,1024,135800,2290,22,23,11,2
31,512,1024,135339,2277,22,23,11,2
41,512,1024,138882,2284,22,23,11,2
41,512,1024,135703,2305,22,23,11,2
41,512,1024,135930,2289,22,23,11,2
41,512,1024,135616,2303,22,23,11,2
41,512,1024,134993,2277,22,23,11,2
51,512,1024,134969,2343,22,23,11,2
51,512,1024,135635,2360,22,23,11,2
51,512,1024,136510,2397,22,23,11,2
51,512,1024,135517,2280,22,23,11,2
51,512,1024,135848,2374,22,23,11,2
61,512,1024,134402,2311,22,23,11,2
61,512,1024,135604,2330,22,23,11,2
61,512,1024,135719,2354,22,23,11,2
61,512,1024,135478,2324,22,23,11,2
61,512,1024,135541,2318,22,23,11,2
71,512,1024,134410,2281,22,23,11,2
71,512,1024,135193,2336,22,23,11,2
71,512,1024,135103,2290,22,23,11,2
71,512,1024,134986,2334,22,23,11,2
71,512,1024,136113,2286,22,23,11,2
81,512,1024,134640,2340,22,23,11,2
81,512,1024,135005,2229,22,23,11,2
81,512,1024,134792,2333,22,23,11,2
81,512,1024,136618,2199,22,23,11,2
81,512,1024,135862,2257,22,23,11,2
91,512,1024,134539,2369,22,23,11,2
91,512,1024,135711,2344,22,23,11,2
91,512,1024,135138,2312,22,23,11,2
91,512,1024,135196,2375,22,23,11,2
91,512,1024,135640,2304,22,23,11,2
101,512,1024,135789,2329,22,23,11,2
101,512,1024,134943,2313,22,23,11,2
101,512,1024,135540,2269,22,23,11,2
101,512,1024,135539,2351,22,23,11,2
101,512,1024,134487,2298,22,23,11,2
111,512,1024,135622,2317,22,23,11,2
111,512,1024,139838,2348,22,23,11,2
111,512,1024,135689,2359,22,23,11,2
111,512,1024,135367,2351,22,23,11,2
111,512,1024,134812,2254,22,23,11,2
121,512,1024,134933,2391,22,23,11,2
121,512,1024,135726,2330,22,23,11,2
121,512,1024,139803,2329,22,23,11,2
121,512,1024,135357,2383,22,23,11,2
121,512,1024,135913,2325,22,23,11,2
131,512,1024,135270,2379,22,23,11,2
131,512,1024,136007,2350,22,23,11,2
131,512,1024,135551,2236,22,23,11,2
131,512,1024,136279,2239,22,23,11,2
131,512,1024,135949,2242,22,23,11,2
141,512,1024,134797,2363,22,23,11,2
141,512,1024,135810,2285,22,23,11,2
141,512,1024,135830,2253,22,23,11,2
141,512,1024,135871,2287,22,23,11,2
141,512,1024,136075,2223,22,23,11,2
151,512,1024,135543,2297,22,23,11,2
151,512,1024,136603,2246,22,23,11,2
151,512,1024,135280,2337,22,23,11,2
151,512,1024,135955,2313,22,23,11,2
151,512,1024,135951,2267,22,23,11,2
161,512,1024,135953,2317,22,23,11,2
161,512,1024,135547,2343,22,23,11,2
161,512,1024,135698,2257,22,23,11,2
161,512,1024,136556,2347,22,23,11,2
161,512,1024,136006,2324,22,23,11,2
171,512,1024,135393,2302,22,23,11,2
171,512,1024,136933,2256,22,23,11,2
171,512,1024,136334,2269,22,23,11,2
171,512,1024,135708,2336,22,23,11,2
171,512,1024,135880,2243,22,23,11,2
181,512,1024,135042,2252,22,23,11,2
181,512,1024,135445,2302,22,23,11,2
181,512,1024,136378,2288,22,23,11,2
181,512,1024,135833,2264,22,23,11,2
181,512,1024,134841,2274,22,23,11,2
191,512,1024,137045,2313,22,23,11,2
191,512,1024,135994,2359,22,23,11,2
191,512,1024,135536,2305,22,23,11,2
191,512,1024,139815,2325,22,23,11,2
191,512,1024,135703,2288,22,23,11,2
201,512,1024,135382,2286,22,23,11,2
201,512,1024,135265,2261,22,23,11,2
201,512,1024,135906,2333,22,23,11,2
201,512,1024,135908,2330,22,23,11,2
201,512,1024,135090,2397,22,23,11,2
211,512,1024,135735,2362,22,23,11,2
211,512,1024,134762,2225,22,23,11,2
211,512,1024,134861,2356,22,23,11,2
211,512,1024,135695,2319,22,23,11,2
211,512,1024,135044,2355,22,23,11,2
221,512,1024,135353,2255,22,23,11,2
221,512,1024,135481,2307,22,23,11,2
221,512,1024,135932,2220,22,23,11,2
221,512,1024,135981,2361,22,23,11,2
221,512,1024,135590,2316,22,23,11,2
231,512,1024,136152,2279,22,23,11,2
231,512,1024,135901,2336,22,23,11,2
231,512,1024,135239,2286,22,23,11,2
231,512,1024,134894,2373,22,23,11,2
231,512,1024,135263,2245,22,23,11,2
241,512,1024,135622,2340,22,23,11,2
241,512,1024,135848,2334,22,23,11,2
241,512,1024,136780,2327,22,23,11,2
241,512,1024,136220,2345,22,23,11,2
241,512,1024,136129,2323,22,23,11,2
251,512,1024,136251,2347,22,23,11,2
251,512,1024,135908,2253,22,23,11,2
251,512,1024,135227,2305,22,23,11,2
251,512,1024,136254,2264,22,23,11,2
251,512,1024,135492,2272,22,23,11,2
261,512,1024,135257,2322,22,23,11,2
261,512,1024,136248,2320,22,23,11,2
261,512,1024,135697,2366,22,23,11,2
261,512,1024,134950,2379,22,23,11,2
261,512,1024,139950,2330,22,23,11,2
271,512,1024,135395,2322,22,23,11,2
271,512,1024,135650,2324,22,23,11,2
271,512,1024,135899,2243,22,23,11,2
271,512,1024,135810,2323,22,23,11,2
271,512,1024,136244,2365,22,23,11,2
281,512,1024,134994,2283,22,23,11,2
281,512,1024,134730,2322,22,23,11,2
281,512,1024,136998,2300,22,23,11,2
281,512,1024,135326,2297,22,23,11,2
281,512,1024,136740,2318,22,23,11,2
291,512,1024,135709,2388,22,23,11,2
291,512,1024,136880,2261,22,23,11,2
291,512,1024,135700,2397,22,23,11,2
291,512,1024,135994,2290,22,23,11,2
291,512,1024,134616,2298,22,23,11,2
301,512,1024,135112,2390,22,23,11,2
301,512,1024,135817,2375,22,23,11,2
301,512,1024,135904,2389,22,23,11,2
301,512,1024,136662,2353,22,23,11,2
301,512,1024,136960,2386,22,23,11,2
311,512,1024,135495,2327,22,23,11,2
311,512,1024,135288,2306,22,23,11,2
311,512,1024,135813,2286,22,23,11,2
311,512,1024,135606,2367,22,23,11,2
311,512,1024,135781,2234,22,23,11,2
321,512,1024,136782,2293,22,23,11,2
321,512,1024,135244,2373,22,23,11,2
321,512,1024,136094,2313,22,23,11,2
321,512,1024,135746,2270,22,23,11,2
321,512,1024,135435,2326,22,23,11,2
331,512,1024,136387,2269,22,23,11,2
331,512,1024,135165,2267,22,23,11,2
331,512,1024,136573,2312,22,23,11,2
331,512,1024,135866,2268,22,23,11,2
331,512,1024,135727,2351,22,23,11,2
341,512,1024,136805,2342,22,23,11,2
341,512,1024,136933,2405,22,23,11,2
341,512,1024,136864,2312,22,23,11,2
341,512,1024,136613,2317,22,23,11,2
341,512,1024,135368,2373,22,23,11,2
351,512,1024,138698,2347,22,23,11,2
351,512,1024,135127,2300,22,23,11,2
351,512,1024,135591,2234,22,23,11,2
351,512,1024,135597,2234,22,23,11,2
351,512,1024,135956,2240,22,23,11,2
361,512,1024,136244,2357,22,23,11,2
361,512,1024,140030,2305,22,23,11,2
361,512,1024,135744,2273,22,23,11,2
361,512,1024,135864,2315,22,23,11,2
361,512,1024,136979,2349,22,23,11,2
371,512,1024,136023,2380,22,23,11,2
371,512,1024,136115,2352,22,23,11,2
371,512,1024,135950,2391,22,23,11,2
371,512,1024,136241,2352,22,23,11,2
371,512,1024,135952,2340,22,23,11,2
381,512,1024,135105,2324,22,23,11,2
381,512,1024,136489,2282,22,23,11,2
381,512,1024,137135,2366,22,23,11,2
381,512,1024,135617,2437,22,23,11,2
381,512,1024,135809,2361,22,23,11,2
391,512,1024,137142,2319,22,23,11,2
391,512,1024,135984,2225,22,23,11,2
391,512,1024,136994,2255,22,23,11,2
391,512,1024,136112,2420,22,23,11,2
391,512,1024,135599,2331,22,23,11,2
401,512,1024,136471,2381,22,23,11,2
401,512,1024,136242,2294,22,23,11,2
401,512,1024,135707,2365,22,23,11,2
