Pallet: "pallet_asset", Extrinsic: "remove_documents", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,27669,1948,7,4,0,0
1,27973,2011,7,4,0,0
1,27809,1916,7,4,0,0
1,27579,2036,7,4,0,0
1,27749,1958,7,4,0,0
2,42883,2222,7,8,1,2
2,42621,2188,7,8,1,2
2,42987,2262,7,8,1,2
2,43814,2253,7,8,1,2
2,42887,2200,7,8,1,2
3,46434,2232,7,10,2,2
3,45865,2259,7,10,2,2
3,46579,2266,7,10,2,2
3,46460,2256,7,10,2,2
3,45831,2288,7,10,2,2
4,48788,2294,7,12,3,2
4,48742,2289,7,12,3,2
4,48413,2320,7,12,3,2
4,49151,2352,7,12,3,2
4,49638,2327,7,12,3,2
5,51484,2266,7,14,4,2
5,51058,2307,7,14,4,2
5,51238,2283,7,14,4,2
5,51332,2295,7,14,4,2
5,51546,2293,7,14,4,2
6,53787,2283,7,16,5,2
6,53743,2248,7,16,5,2
6,54023,2366,7,16,5,2
6,54305,2255,7,16,5,2
6,54637,2338,7,16,5,2
7,56454,2311,7,18,6,2
7,56426,2296,7,18,6,2
7,56610,2337,7,18,6,2
7,56792,2368,7,18,6,2
7,56750,2351,7,18,6,2
8,59084,2312,7,20,7,2
8,58815,2252,7,20,7,2
8,58812,2327,7,20,7,2
8,58739,2258,7,20,7,2
8,58846,2330,7,20,7,2
9,61252,2420,7,22,8,2
9,61623,2268,7,22,8,2
9,61430,2256,7,22,8,2
9,62714,2383,7,22,8,2
9,61279,2244,7,22,8,2
10,64015,2430,7,24,9,2
10,63993,2336,7,24,9,2
10,63867,2410,7,24,9,2
10,63781,2325,7,24,9,2
10,63720,2424,7,24,9,2
11,67214,2474,7,26,10,2
11,99371,2374,7,26,10,2
11,67156,2355,7,26,10,2
11,67091,2306,7,26,10,2
11,67545,2416,7,26,10,2
12,70359,2371,7,28,11,2
12,69948,2257,7,28,11,2
12,69751,2361,7,28,11,2
12,70946,2376,7,28,11,2
12,69852,2359,7,28,11,2
13,72710,2331,7,30,12,2
13,73881,2313,7,30,12,2
13,72514,2328,7,30,12,2
13,72965,2377,7,30,12,2
13,72655,2305,7,30,12,2
