Pallet: "pallet_asset", Extrinsic: "rename_asset", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,41283,2087,7,10,1,2
1,40529,2065,7,10,1,2
1,40673,2089,7,10,1,2
1,40777,2147,7,10,1,2
1,40686,2035,7,10,1,2
11,41114,2081,7,10,1,2
11,40614,2016,7,10,1,2
11,40366,2058,7,10,1,2
11,40594,2057,7,10,1,2
11,40224,2044,7,10,1,2
21,40487,2143,7,10,1,2
21,40982,2071,7,10,1,2
21,40415,2144,7,10,1,2
21,40287,2046,7,10,1,2
21,40671,2094,7,10,1,2
31,40625,2052,7,10,1,2
31,40631,2020,7,10,1,2
31,40373,2059,7,10,1,2
31,40714,2043,7,10,1,2
31,40619,2093,7,10,1,2
41,40603,2192,7,10,1,2
41,40689,2011,7,10,1,2
41,40435,2058,7,10,1,2
41,40250,2068,7,10,1,2
41,40649,2187,7,10,1,2
51,40529,2117,7,10,1,2
51,40991,2055,7,10,1,2
51,40786,2045,7,10,1,2
51,40739,2022,7,10,1,2
51,41100,2005,7,10,1,2
61,40919,2144,7,10,1,2
61,40653,2066,7,10,1,2
61,40008,2023,7,10,1,2
61,40679,2050,7,10,1,2
61,40409,2105,7,10,1,2
71,40879,2071,7,10,1,2
71,40340,2089,7,10,1,2
71,40273,2105,7,10,1,2
71,40528,2022,7,10,1,2
71,40699,1999,7,10,1,2
81,40661,2052,7,10,1,2
81,40470,2140,7,10,1,2
81,40188,2126,7,10,1,2
81,40529,2048,7,10,1,2
81,40939,2025,7,10,1,2
91,44367,2108,7,10,1,2
91,41013,2075,7,10,1,2
91,40726,2071,7,10,1,2
91,40402,2061,7,10,1,2
91,40488,2113,7,10,1,2
101,40344,2080,7,10,1,2
101,40506,2146,7,10,1,2
101,41128,2144,7,10,1,2
101,40672,2137,7,10,1,2
101,40617,2100,7,10,1,2
111,39999,2156,7,10,1,2
111,40792,2134,7,10,1,2
111,40436,2127,7,10,1,2
111,41094,2107,7,10,1,2
111,56216,2160,7,10,1,2
121,40251,2149,7,10,1,2
121,40536,2072,7,10,1,2
121,40763,2166,7,10,1,2
121,41340,2061,7,10,1,2
121,40796,2142,7,10,1,2
131,40902,2073,7,10,1,2
131,40644,2132,7,10,1,2
131,41050,2102,7,10,1,2
131,40432,2088,7,10,1,2
131,40803,2045,7,10,1,2
141,40907,2146,7,10,1,2
141,41110,2034,7,10,1,2
141,40537,2085,7,10,1,2
141,40644,2072,7,10,1,2
141,40700,2063,7,10,1,2
151,40564,2058,7,10,1,2
151,40796,2043,7,10,1,2
151,40942,2069,7,10,1,2
151,40450,2102,7,10,1,2
151,40820,2077,7,10,1,2
161,40881,2106,7,10,1,2
161,40834,2101,7,10,1,2
161,40756,2071,7,10,1,2
161,41208,2050,7,10,1,2
161,40946,1991,7,10,1,2
171,40940,2112,7,10,1,2
171,41033,2086,7,10,1,2
171,41085,2112,7,10,1,2
171,41024,2144,7,10,1,2
171,40626,2121,7,10,1,2
181,41514,2083,7,10,1,2
181,40902,2005,7,10,1,2
181,40477,2113,7,10,1,2
181,40674,2074,7,10,1,2
181,40825,2065,7,10,1,2
191,40602,2139,7,10,1,2
191,41220,2115,7,10,1,2
191,40730,2161,7,10,1,2
191,40422,2029,7,10,1,2
191,40679,2059,7,10,1,2
201,40932,2072,7,10,1,2
201,40756,2106,7,10,1,2
201,40761,2118,7,10,1,2
201,40840,2133,7,10,1,2
201,41275,2110,7,10,1,2
211,40448,2066,7,10,1,2
211,41244,2013,7,10,1,2
211,40821,2017,7,10,1,2
211,40490,1995,7,10,1,2
211,40819,2019,7,10,1,2
221,40842,2118,7,10,1,2
221,41131,2084,7,10,1,2
221,40275,2109,7,10,1,2
221,40888,2067,7,10,1,2
221,40828,2131,7,10,1,2
231,40545,2095,7,10,1,2
231,40687,2138,7,10,1,2
231,40919,2141,7,10,1,2
231,40998,2009,7,10,1,2
231,40992,2027,7,10,1,2
241,40798,2087,7,10,1,2
241,40620,2069,7,10,1,2
241,41114,2103,7,10,1,2
241,40846,2027,7,10,1,2
241,40741,2058,7,10,1,2
251,40611,2076,7,10,1,2
251,40929,2065,7,10,1,2
251,40530,2091,7,10,1,2
251,41368,2063,7,10,1,2
251,40474,2078,7,10,1,2
261,40869,2033,7,10,1,2
261,40533,2009,7,10,1,2
261,41494,2142,7,10,1,2
261,40872,2167,7,10,1,2
261,41016,2021,7,10,1,2
271,40846,2125,7,10,1,2
271,40982,2123,7,10,1,2
271,41276,2198,7,10,1,2
271,41008,2066,7,10,1,2
271,40609,2144,7,10,1,2
281,40358,2227,7,10,1,2
281,41108,2100,7,10,1,2
281,40802,2177,7,10,1,2
281,40474,2077,7,10,1,2
281,40984,2120,7,10,1,2
291,41349,2106,7,10,1,2
291,41478,2135,7,10,1,2
291,41070,2072,7,10,1,2
291,41049,2095,7,10,1,2
291,40756,2070,7,10,1,2
301,41014,2144,7,10,1,2
301,41036,2112,7,10,1,2
301,41226,2122,7,10,1,2
301,40359,2079,7,10,1,2
301,41188,1997,7,10,1,2
311,41071,2103,7,10,1,2
311,41025,2109,7,10,1,2
311,41206,2056,7,10,1,2
311,40917,2030,7,10,1,2
311,40963,2115,7,10,1,2
321,41019,2036,7,10,1,2
321,41349,2074,7,10,1,2
321,40502,2080,7,10,1,2
321,40563,2070,7,10,1,2
321,41066,2035,7,10,1,2
331,41597,2005,7,10,1,2
331,41072,2097,7,10,1,2
331,40849,2073,7,10,1,2
331,40356,2035,7,10,1,2
331,41482,2005,7,10,1,2
341,41125,2087,7,10,1,2
341,40764,2113,7,10,1,2
341,40630,2065,7,10,1,2
341,41223,2090,7,10,1,2
341,40947,2151,7,10,1,2
351,40754,2033,7,10,1,2
351,40673,2118,7,10,1,2
351,40911,2079,7,10,1,2
351,40951,2061,7,10,1,2
351,40871,2052,7,10,1,2
361,41564,2101,7,10,1,2
361,40442,2033,7,10,1,2
361,41534,2047,7,10,1,2
361,41123,2039,7,10,1,2
361,40933,2053,7,10,1,2
371,40929,2016,7,10,1,2
371,40894,2015,7,10,1,2
371,41224,2096,7,10,1,2
371,41194,2000,7,10,1,2
371,41047,2035,7,10,1,2
381,40915,2064,7,10,1,2
381,40659,2032,7,10,1,2
381,40606,2115,7,10,1,2
381,41538,2054,7,10,1,2
381,41132,2041,7,10,1,2
391,41132,2047,7,10,1,2
391,41047,2087,7,10,1,2
391,40978,2023,7,10,1,2
391,41460,2034,7,10,1,2
391,41184,2041,7,10,1,2
401,41229,2144,7,10,1,2
401,41628,2103,7,10,1,2
401,41087,2049,7,10,1,2
401,41136,2098,7,10,1,2
401,41595,2146,7,10,1,2
