Pallet: "pallet_asset", Extrinsic: "update_identifiers", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,38866,2143,7,8,1,2
1,39256,2072,7,8,1,2
1,39332,2059,7,8,1,2
1,38840,2079,7,8,1,2
1,39490,2216,7,8,1,2
6,39376,2124,7,8,1,2
6,39587,2159,7,8,1,2
6,39294,2106,7,8,1,2
6,39748,2148,7,8,1,2
6,39417,2129,7,8,1,2
11,40200,2328,7,8,1,2
11,39642,2324,7,8,1,2
11,40068,2176,7,8,1,2
11,39903,2255,7,8,1,2
11,39760,2168,7,8,1,2
16,39954,2146,7,8,1,2
16,40241,2027,7,8,1,2
16,39876,2081,7,8,1,2
16,40066,2056,7,8,1,2
16,39711,2079,7,8,1,2
21,39974,2071,7,8,1,2
21,40035,2136,7,8,1,2
21,39752,2128,7,8,1,2
21,40081,2223,7,8,1,2
21,40673,2010,7,8,1,2
26,41055,2080,7,8,1,2
26,41048,2092,7,8,1,2
26,40457,2111,7,8,1,2
26,40690,2067,7,8,1,2
26,40738,2044,7,8,1,2
31,40894,2166,7,8,1,2
31,40293,2050,7,8,1,2
31,40334,1995,7,8,1,2
31,40773,2044,7,8,1,2
31,41125,2032,7,8,1,2
36,40952,2194,7,8,1,2
36,40562,2218,7,8,1,2
36,41375,2103,7,8,1,2
36,40942,2119,7,8,1,2
36,40525,2109,7,8,1,2
41,41080,2106,7,8,1,2
41,41269,2061,7,8,1,2
41,41326,2080,7,8,1,2
41,41392,2033,7,8,1,2
41,40709,2061,7,8,1,2
46,41399,2084,7,8,1,2
46,41405,2033,7,8,1,2
46,41359,2233,7,8,1,2
46,41151,2136,7,8,1,2
46,45239,2147,7,8,1,2
51,41295,2201,7,8,1,2
51,41273,2135,7,8,1,2
51,41619,2209,7,8,1,2
51,41757,2257,7,8,1,2
51,41217,2105,7,8,1,2
56,42137,2117,7,8,1,2
56,41606,2063,7,8,1,2
56,42396,2061,7,8,1,2
56,41911,2035,7,8,1,2
56,42179,2093,7,8,1,2
61,42199,2084,7,8,1,2
61,42012,2072,7,8,1,2
61,42132,2052,7,8,1,2
61,42110,2095,7,8,1,2
61,41974,2041,7,8,1,2
66,42307,2064,7,8,1,2
66,42396,2100,7,8,1,2
66,43187,2118,7,8,1,2
66,43273,2082,7,8,1,2
66,42737,2157,7,8,1,2
71,42767,2119,7,8,1,2
71,42792,2076,7,8,1,2
71,42368,2083,7,8,1,2
71,42617,2101,7,8,1,2
71,42412,2138,7,8,1,2
76,42707,2132,7,8,1,2
76,42509,2087,7,8,1,2
76,42647,2136,7,8,1,2
76,42751,2127,7,8,1,2
76,42703,2100,7,8,1,2
81,43163,2064,7,8,1,2
81,43381,2071,7,8,1,2
81,43056,2169,7,8,1,2
81,43435,2131,7,8,1,2
81,43237,2056,7,8,1,2
86,43272,2177,7,8,1,2
86,43110,2081,7,8,1,2
86,43142,2119,7,8,1,2
86,43187,2106,7,8,1,2
86,43124,2057,7,8,1,2
91,43193,2150,7,8,1,2
91,43485,2081,7,8,1,2
91,43208,2072,7,8,1,2
91,42954,2038,7,8,1,2
91,43412,2077,7,8,1,2
96,43980,2163,7,8,1,2
96,43992,2178,7,8,1,2
96,44009,2198,7,8,1,2
96,43982,2209,7,8,1,2
96,43919,2199,7,8,1,2
101,44093,2276,7,8,1,2
101,44225,2082,7,8,1,2
