Pallet: "pallet_capital_distribution", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,1000,931189,7365,31,22,11,2
0,1000,880298,7325,31,22,11,2
0,1000,936706,6740,31,22,11,2
0,1000,959330,7263,31,22,11,2
0,1000,856280,6790,31,22,11,2
20,1000,956793,7969,31,22,11,2
20,1000,952818,7555,31,22,11,2
20,1000,959810,6834,31,22,11,2
20,1000,1038216,7007,31,22,11,2
20,1000,894959,6974,31,22,11,2
40,1000,867314,7226,31,22,11,2
40,1000,1006522,7637,31,22,11,2
40,1000,1033726,7009,31,22,11,2
40,1000,921489,7549,31,22,11,2
40,1000,871331,7001,31,22,11,2
60,1000,933413,7081,31,22,11,2
60,1000,874564,6688,31,22,11,2
60,1000,954560,7144,31,22,11,2
60,1000,1073051,8607,31,22,11,2
60,1000,891630,7375,31,22,11,2
80,1000,926340,7044,31,22,11,2
80,1000,1008770,7143,31,22,11,2
80,1000,969876,7673,31,22,11,2
80,1000,974384,7681,31,22,11,2
80,1000,983107,7176,31,22,11,2
100,1000,979455,27562,31,22,11,2
100,1000,963171,7063,31,22,11,2
100,1000,946025,6967,31,22,11,2
100,1000,983566,7379,31,22,11,2
100,1000,968052,8044,31,22,11,2
120,1000,1602774,13574,31,22,11,2
120,1000,1073253,6907,31,22,11,2
120,1000,936070,6585,31,22,11,2
120,1000,1193177,7079,31,22,11,2
120,1000,909738,7100,31,22,11,2
140,1000,982119,7571,31,22,11,2
140,1000,918718,7862,31,22,11,2
140,1000,1119692,8227,31,22,11,2
140,1000,1159473,7545,31,22,11,2
140,1000,968354,7087,31,22,11,2
160,1000,1046219,7243,31,22,11,2
160,1000,957984,7209,31,22,11,2
160,1000,993396,6732,31,22,11,2
160,1000,1009466,8241,31,22,11,2
160,1000,929181,7306,31,22,11,2
180,1000,999569,7374,31,22,11,2
180,1000,981172,7284,31,22,11,2
180,1000,1029192,7127,31,22,11,2
180,1000,952006,7669,31,22,11,2
180,1000,1043813,7517,31,22,11,2
200,1000,985145,6854,31,22,11,2
200,1000,936852,7172,31,22,11,2
200,1000,951695,7260,31,22,11,2
200,1000,982747,7504,31,22,11,2
200,1000,1158300,7909,31,22,11,2
220,1000,1069858,7481,31,22,11,2
220,1000,1043636,7366,31,22,11,2
220,1000,962234,6885,31,22,11,2
220,1000,1052886,7294,31,22,11,2
