Pallet: "pallet_capital_distribution", Extrinsic: "push_benefit", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,1000,896137,7063,32,23,11,2
0,1000,988129,7764,32,23,11,2
0,1000,1000203,8312,32,23,11,2
0,1000,963337,7278,32,23,11,2
0,1000,958828,7967,32,23,11,2
20,1000,1102364,7960,32,23,11,2
20,1000,979087,7277,32,23,11,2
20,1000,887297,7321,32,23,11,2
20,1000,962859,23854,32,23,11,2
20,1000,912496,7112,32,23,11,2
40,1000,961301,6915,32,23,11,2
40,1000,996806,7640,32,23,11,2
40,1000,925358,7322,32,23,11,2
40,1000,913011,6757,32,23,11,2
40,1000,1114295,7685,32,23,11,2
60,1000,947846,6840,32,23,11,2
60,1000,987001,7637,32,23,11,2
60,1000,1022931,7522,32,23,11,2
60,1000,1047829,7812,32,23,11,2
60,1000,977212,7574,32,23,11,2
80,1000,975424,7537,32,23,11,2
80,1000,1031439,7664,32,23,11,2
80,1000,1160732,8377,32,23,11,2
80,1000,1085198,7476,32,23,11,2
80,1000,950016,21602,32,23,11,2
100,1000,990641,7789,32,23,11,2
100,1000,1008626,7837,32,23,11,2
100,1000,904868,7755,32,23,11,2
100,1000,924123,6760,32,23,11,2
100,1000,1008422,11604,32,23,11,2
120,1000,1085218,6845,32,23,11,2
120,1000,977462,7344,32,23,11,2
120,1000,1003331,7386,32,23,11,2
120,1000,923285,8161,32,23,11,2
120,1000,992807,8414,32,23,11,2
140,1000,1022005,8057,32,23,11,2
140,1000,1140335,8610,32,23,11,2
140,1000,1081012,7796,32,23,11,2
140,1000,1017827,8060,32,23,11,2
140,1000,1034403,7950,32,23,11,2
160,1000,957626,6647,32,23,11,2
160,1000,928521,7196,32,23,11,2
160,1000,1082538,7127,32,23,11,2
160,1000,948304,10430,32,23,11,2
160,1000,942237,7270,32,23,11,2
180,1000,1028289,8561,32,23,11,2
180,1000,1001619,7591,32,23,11,2
180,1000,944974,7749,32,23,11,2
180,1000,1071772,27691,32,23,11,2
180,1000,959759,22486,32,23,11,2
200,1000,1047453,8380,32,23,11,2
200,1000,950725,7268,32,23,11,2
200,1000,1116458,8102,32,23,11,2
200,1000,991885,6916,32,23,11,2
200,1000,1058271,7191,32,23,11,2
220,1000,1105018,7443,32,23,11,2
220,1000,972222,8138,32,23,11,2
220,1000,1075054,6842,32,23,11,2
220,1000,994782,7289,32,23,11,2
220,1000,968055,6798,32,23,11,2
240,1000,1146136,8068,32,23,11,2
240,1000,1055872,7626,32,23,11,2
240,1000,987469,7189,32,23,11,2
240,1000,1201426,9358,32,23,11,2
240,1000,1211107,8140,32,23,11,2
260,1000,1033836,7396,32,23,11,2
260,1000,1120885,8755,32,23,11,2
260,1000,1100504,7041,32,23,11,2
260,1000,1191163,8368,32,23,11,2
260,1000,952046,7047,32,23,11,2
280,1000,1062392,7296,32,23,11,2
280,1000,1034529,7376,32,23,11,2
280,1000,979815,6790,32,23,11,2
280,1000,1184961,7878,32,23,11,2
280,1000,1140466,7680,32,23,11,2
300,1000,1225812,7263,32,23,11,2
300,1000,1175786,7333,32,23,11,2
300,1000,990105,6868,32,23,11,2
300,1000,1154718,7073,32,23,11,2
300,1000,1015443,7517,32,23,11,2
320,1000,1139887,8315,32,23,11,2
320,1000,1021416,6961,32,23,11,2
320,1000,1042153,7696,32,23,11,2
320,1000,1113617,7794,32,23,11,2
320,1000,992244,8167,32,23,11,2
340,1000,998775,7382,32,23,11,2
340,1000,1079064,7194,32,23,11,2
340,1000,1024929,7661,32,23,11,2
340,1000,1117111,7949,32,23,11,2
340,1000,1065014,7754,32,23,11,2
360,1000,1032191,7907,32,23,11,2
360,1000,987256,6575,32,23,11,2
360,1000,1025748,8475,32,23,11,2
360,1000,1055830,7335,32,23,11,2
360,1000,1004278,7474,32,23,11,2
380,1000,1124099,7197,32,23,11,2
380,1000,1223601,8566,32,23,11,2
380,1000,1109613,7887,32,23,11,2
380,1000,1076545,6831,32,23,11,2
380,1000,1016579,7481,32,23,11,2
400,1000,1034520,7638,32,23,11,2
400,1000,1068743,7081,32,23,11,2
400,1000,1026650,18361,32,23,11,2
400,1000,1132914,7828,32,23,11,2
400,1000,1042220,7247,32,23,11,2
420,1000,1115964,7851,32,23,11,2
420,1000,1253088,7384,32,23,11,2
420,1000,1133501,7228,32,23,11,2
420,1000,1261100,8144,32,23,11,2
420,1000,1124649,7126,32,23,11,2
440,1000,1228805,8234,32,23,11,2
440,1000,1050673,7103,32,23,11,2
440,1000,1094920,7160,32,23,11,2
440,1000,1179265,7652,32,23,11,2
440,1000,1125524,7527,32,23,11,2
460,1000,1147110,7487,32,23,11,2
460,1000,1175364,7804,32,23,11,2
460,1000,1067979,6920,32,23,11,2
460,1000,1080741,6866,32,23,11,2
460,1000,1368930,7405,32,23,11,2
480,1000,1131810,7304,32,23,11,2
480,1000,1178435,24589,32,23,11,2
480,1000,1085981,7984,32,23,11,2
480,1000,1206736,7407,32,23,11,2
480,1000,1164278,7338,32,23,11,2
500,1000,1316404,7319,32,23,11,2
500,1000,1102600,7644,32,23,11,2
500,1000,1236953,7447,32,23,11,2
500,1000,1240956,7166,32,23,11,2
500,1000,1123025,7156,32,23,11,2
520,1000,1257669,7605,32,23,11,2
520,1000,1275059,7278,32,23,11,2
520,1000,1099973,7049,32,23,11,2
520,1000,1092575,7164,32,23,11,2
520,1000,1444662,8433,32,23,11,2
540,1000,1106478,7364,32,23,11,2
540,1000,1201694,6806,32,23,11,2
540,1000,1158334,10930,32,23,11,2
540,1000,1159535,7447,32,23,11,2
540,1000,1255153,7369,32,23,11,2
560,1000,1401803,7902,32,23,11,2
560,1000,1170643,7478,32,23,11,2
560,1000,1092971,6765,32,23,11,2
560,1000,1077213,7234,32,23,11,2
560,1000,1115953,8586,32,23,11,2
580,1000,1109344,7133,32,23,11,2
580,1000,2447698,13959,32,23,11,2
580,1000,1121949,7133,32,23,11,2
580,1000,1153235,7277,32,23,11,2
580,1000,1245217,7213,32,23,11,2
600,1000,1145653,7439,32,23,11,2
600,1000,1106717,7132,32,23,11,2
600,1000,1179160,7091,32,23,11,2
600,1000,1294841,6915,32,23,11,2
600,1000,1124621,7163,32,23,11,2
620,1000,1128884,7083,32,23,11,2
620,1000,1181326,7215,32,23,11,2
620,1000,1112682,7497,32,23,11,2
620,1000,1172778,7353,32,23,11,2
620,1000,1351514,7875,32,23,11,2
640,1000,1198223,7246,32,23,11,2
640,1000,1233311,6711,32,23,11,2
640,1000,1101412,7046,32,23,11,2
640,1000,1210802,7233,32,23,11,2
640,1000,1193402,7507,32,23,11,2
660,1000,1265441,8312,32,23,11,2
660,1000,1265209,7835,32,23,11,2
660,1000,1350257,7264,32,23,11,2
660,1000,1468146,8723,32,23,11,2
660,1000,1283974,7747,32,23,11,2
680,1000,1309426,7315,32,23,11,2
680,1000,1223647,7183,32,23,11,2
680,1000,1207336,7505,32,23,11,2
680,1000,1332125,7518,32,23,11,2
680,1000,1127334,6893,32,23,11,2
700,1000,1231335,6792,32,23,11,2
700,1000,1274057,7587,32,23,11,2
700,1000,1168219,6643,32,23,11,2
700,1000,1345609,6730,32,23,11,2
700,1000,1423139,7993,32,23,11,2
720,1000,1406761,7544,32,23,11,2
720,1000,1305128,6932,32,23,11,2
720,1000,1271056,7181,32,23,11,2
720,1000,1326766,28228,32,23,11,2
720,1000,1310742,8171,32,23,11,2
740,1000,1409605,7768,32,23,11,2
740,1000,1422320,7498,32,23,11,2
740,1000,1308772,7691,32,23,11,2
740,1000,1631568,8639,32,23,11,2
740,1000,1373708,7923,32,23,11,2
760,1000,1298320,7370,32,23,11,2
760,1000,1272665,7188,32,23,11,2
760,1000,1310475,8678,32,23,11,2
760,1000,1289514,7490,32,23,11,2
760,1000,1481708,8454,32,23,11,2
780,1000,1778462,8237,32,23,11,2
780,1000,1311188,7659,32,23,11,2
780,1000,1212820,7725,32,23,11,2
780,1000,1498721,7900,32,23,11,2
780,1000,1455597,19442,32,23,11,2
800,1000,1501787,8363,32,23,11,2
800,1000,1466988,8781,32,23,11,2
800,1000,1221231,7853,32,23,11,2
800,1000,1453609,7683,32,23,11,2
800,1000,1366075,7465,32,23,11,2
820,1000,1488520,7623,32,23,11,2
820,1000,1195389,7545,32,23,11,2
820,1000,1552049,7935,32,23,11,2
820,1000,1329404,7967,32,23,11,2
820,1000,1254085,7045,32,23,11,2
840,1000,1310668,7848,32,23,11,2
840,1000,1289016,7959,32,23,11,2
840,1000,1284291,7653,32,23,11,2
840,1000,1435712,8268,32,23,11,2
840,1000,1452500,8457,32,23,11,2
860,1000,1453450,7768,32,23,11,2
860,1000,1376916,7496,32,23,11,2
860,1000,1379786,6980,32,23,11,2
860,1000,1468910,7104,32,23,11,2
860,1000,1326007,7939,32,23,11,2
880,1000,1348010,8444,32,23,11,2
880,1000,1352967,6939,32,23,11,2
880,1000,1341819,7280,32,23,11,2
880,1000,1395186,7583,32,23,11,2
880,1000,1242185,7782,32,23,11,2
900,1000,1352477,7543,32,23,11,2
900,1000,1345736,6900,32,23,11,2
900,1000,1356688,7880,32,23,11,2
900,1000,1454326,7151,32,23,11,2
900,1000,1383252,19326,32,23,11,2
920,1000,1357263,7469,32,23,11,2
920,1000,1473304,8016,32,23,11,2
920,1000,1724646,12493,32,23,11,2
920,1000,1508538,7895,32,23,11,2
920,1000,1304864,8106,32,23,11,2
940,1000,1406619,7809,32,23,11,2
940,1000,1476007,7266,32,23,11,2
940,1000,1385384,7333,32,23,11,2
940,1000,1423807,29781,32,23,11,2
940,1000,1385567,7214,32,23,11,2
960,1000,1458524,8452,32,23,11,2
960,1000,1389150,7799,32,23,11,2
960,1000,1407030,7452,32,23,11,2
960,1000,1267362,6874,32,23,11,2
960,1000,1327842,6978,32,23,11,2
980,1000,1540995,8084,32,23,11,2
980,1000,1297838,7048,32,23,11,2
980,1000,1517065,7013,32,23,11,2
980,1000,1499893,8427,32,23,11,2
980,1000,1620071,8224,32,23,11,2
1000,1000,1327802,6692,32,23,11,2
1000,1000,1477518,8362,32,23,11,2
1000,1000,1427763,8565,32,23,11,2
1000,1000,1372947,7030,32,23,11,2
1000,1000,1567901,7818,32,23,11,2
1000,0,1222595,7333,32,23,11,2
1000,0,1173284,6981,32,23,11,2
1000,0,1183645,7348,32,23,11,2
1000,0,1326787,8401,32,23,11,2
1000,0,1132895,7796,32,23,11,2
1000,20,1252490,7971,32,23,11,2
1000,20,1176831,7040,32,23,11,2
1000,20,1153071,8029,32,23,11,2
1000,20,1229004,7911,32,23,11,2
1000,20,1286795,8039,32,23,11,2
1000,40,1148451,7262,32,23,11,2
1000,40,1096110,7138,32,23,11,2
1000,40,1260048,7748,32,23,11,2
1000,40,1121518,7405,32,23,11,2
1000,40,1096220,7034,32,23,11,2
1000,60,1134791,8047,32,23,11,2
1000,60,1239819,7612,32,23,11,2
1000,60,1237194,7174,32,23,11,2
1000,60,1192060,7841,32,23,11,2
1000,60,1084255,6992,32,23,11,2
1000,80,1260972,8576,32,23,11,2
1000,80,1130786,6675,32,23,11,2
1000,80,1162969,7385,32,23,11,2
