Pallet: "pallet_corporate_actions", Extrinsic: "initiate_corporate_action_provided", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
w,t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,500,680192,6830,16,11,5,2
0,500,576071,6225,16,11,5,2
0,500,701414,7018,16,11,5,2
0,500,629337,7136,16,11,5,2
0,500,601136,6891,16,11,5,2
10,500,684861,7330,16,11,5,2
10,500,748198,7177,16,11,5,2
10,500,1184916,11330,16,11,5,2
10,500,680016,6872,16,11,5,2
10,500,730758,7413,16,11,5,2
20,500,729504,7691,16,11,5,2
20,500,740389,7190,16,11,5,2
20,500,616945,6530,16,11,5,2
20,500,704784,7446,16,11,5,2
20,500,762208,6868,16,11,5,2
30,500,664577,7950,16,11,5,2
30,500,661955,6571,16,11,5,2
30,500,647964,6321,16,11,5,2
30,500,642821,7207,16,11,5,2
30,500,632850,6358,16,11,5,2
40,500,730276,7797,16,11,5,2
40,500,661465,6082,16,11,5,2
40,500,818361,6682,16,11,5,2
40,500,664950,6872,16,11,5,2
40,500,725473,7132,16,11,5,2
50,500,732020,6984,16,11,5,2
50,500,782542,6840,16,11,5,2
50,500,740517,6883,16,11,5,2
50,500,649688,6887,16,11,5,2
50,500,663664,6725,16,11,5,2
60,500,744313,7020,16,11,5,2
60,500,738860,6885,16,11,5,2
60,500,727839,7222,16,11,5,2
60,500,777105,6780,16,11,5,2
60,500,630898,6410,16,11,5,2
70,500,646658,6906,16,11,5,2
70,500,681567,6771,16,11,5,2
70,500,639093,7040,16,11,5,2
70,500,795467,8342,16,11,5,2
70,500,718336,7749,16,11,5,2
80,500,785620,12704,16,11,5,2
80,500,708089,6824,16,11,5,2
80,500,751013,6988,16,11,5,2
80,500,844095,8121,16,11,5,2
80,500,635478,6495,16,11,5,2
90,500,723788,6983,16,11,5,2
90,500,812937,7751,16,11,5,2
90,500,747437,7299,16,11,5,2
90,500,752349,7794,16,11,5,2
90,500,761992,7525,16,11,5,2
100,500,823370,7667,16,11,5,2
100,500,764314,7150,16,11,5,2
100,500,654085,6231,16,11,5,2
100,500,794621,8056,16,11,5,2
100,500,684153,6934,16,11,5,2
110,500,802994,7150,16,11,5,2
110,500,728603,7034,16,11,5,2
110,500,688612,6810,16,11,5,2
110,500,644963,6377,16,11,5,2
110,500,728256,7396,16,11,5,2
120,500,690786,7426,16,11,5,2
120,500,743309,7581,16,11,5,2
120,500,705629,6714,16,11,5,2
120,500,632865,6856,16,11,5,2
120,500,745657,7424,16,11,5,2
130,500,744067,14002,16,11,5,2
130,500,835529,7550,16,11,5,2
130,500,802121,7175,16,11,5,2
130,500,640089,7285,16,11,5,2
130,500,742171,7546,16,11,5,2
140,500,684730,7598,16,11,5,2
140,500,782482,7107,16,11,5,2
140,500,753378,7048,16,11,5,2
140,500,764212,7228,16,11,5,2
140,500,758891,7314,16,11,5,2
150,500,754271,7825,16,11,5,2
150,500,758200,7230,16,11,5,2
150,500,788515,7341,16,11,5,2
150,500,671116,6791,16,11,5,2
150,500,776232,7807,16,11,5,2
160,500,753001,7704,16,11,5,2
160,500,741004,7550,16,11,5,2
160,500,650728,6419,16,11,5,2
160,500,649480,6705,16,11,5,2
160,500,658814,6942,16,11,5,2
170,500,756851,7352,16,11,5,2
170,500,804473,7080,16,11,5,2
