Pallet: "pallet_corporate_actions", Extrinsic: "initiate_corporate_action_use_defaults", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
w,t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,500,572215,6846,19,11,5,2
0,500,602539,7604,19,11,5,2
0,500,658488,8560,19,11,5,2
0,500,631062,7511,19,11,5,2
0,500,602114,7075,19,11,5,2
20,500,602558,7442,19,11,5,2
20,500,589457,7807,19,11,5,2
20,500,624830,7723,19,11,5,2
20,500,732649,8301,19,11,5,2
20,500,651279,7455,19,11,5,2
40,500,704917,8261,19,11,5,2
40,500,738556,7914,19,11,5,2
40,500,607363,6574,19,11,5,2
40,500,656266,7358,19,11,5,2
40,500,642421,7831,19,11,5,2
60,500,1145256,10375,19,11,5,2
60,500,742162,9003,19,11,5,2
60,500,640150,7589,19,11,5,2
60,500,640267,6944,19,11,5,2
60,500,615768,8222,19,11,5,2
80,500,616894,8834,19,11,5,2
80,500,607053,7056,19,11,5,2
80,500,602493,6863,19,11,5,2
80,500,665289,7644,19,11,5,2
80,500,604009,7012,19,11,5,2
100,500,724485,7198,19,11,5,2
100,500,660671,6894,19,11,5,2
100,500,696568,7750,19,11,5,2
100,500,689953,20467,19,11,5,2
100,500,682575,7639,19,11,5,2
120,500,763932,7111,19,11,5,2
120,500,617978,7320,19,11,5,2
120,500,676793,7813,19,11,5,2
120,500,681415,7277,19,11,5,2
120,500,617232,7362,19,11,5,2
140,500,704806,7591,19,11,5,2
140,500,712552,7665,19,11,5,2
140,500,759369,7597,19,11,5,2
140,500,698382,7165,19,11,5,2
140,500,633323,8001,19,11,5,2
160,500,702715,7909,19,11,5,2
160,500,758020,7703,19,11,5,2
160,500,699205,7936,19,11,5,2
160,500,675603,7269,19,11,5,2
160,500,673611,23689,19,11,5,2
180,500,739739,7446,19,11,5,2
180,500,648812,7426,19,11,5,2
180,500,716458,7197,19,11,5,2
180,500,683441,6862,19,11,5,2
180,500,647220,7900,19,11,5,2
200,500,704285,8053,19,11,5,2
200,500,700502,8595,19,11,5,2
200,500,677299,7346,19,11,5,2
200,500,654333,8270,19,11,5,2
200,500,704360,7709,19,11,5,2
220,500,761032,7560,19,11,5,2
220,500,698260,6986,19,11,5,2
220,500,670524,7150,19,11,5,2
220,500,651434,7550,19,11,5,2
220,500,673257,8272,19,11,5,2
240,500,737548,8294,19,11,5,2
240,500,679608,23749,19,11,5,2
240,500,753263,7773,19,11,5,2
240,500,714365,7260,19,11,5,2
240,500,680012,7584,19,11,5,2
260,500,736219,7246,19,11,5,2
260,500,839823,7642,19,11,5,2
260,500,807298,8681,19,11,5,2
260,500,714349,7203,19,11,5,2
260,500,754442,8005,19,11,5,2
280,500,792944,7644,19,11,5,2
280,500,700946,8046,19,11,5,2
280,500,680040,7445,19,11,5,2
280,500,734487,8085,19,11,5,2
280,500,675420,7203,19,11,5,2
300,500,733159,7261,19,11,5,2
300,500,769576,8206,19,11,5,2
300,500,816346,7778,19,11,5,2
300,500,706180,7715,19,11,5,2
300,500,692288,7106,19,11,5,2
320,500,719858,7070,19,11,5,2
320,500,679556,7052,19,11,5,2
320,500,680801,7711,19,11,5,2
320,500,718913,7075,19,11,5,2
320,500,704627,7420,19,11,5,2
340,500,739876,7220,19,11,5,2
340,500,690454,6935,19,11,5,2
340,500,700264,7642,19,11,5,2
340,500,697247,7247,19,11,5,2
340,500,834376,8070,19,11,5,2
360,500,764527,8542,19,11,5,2
360,500,752159,8065,19,11,5,2
360,500,824619,7634,19,11,5,2
360,500,845245,8257,19,11,5,2
360,500,812138,7489,19,11,5,2
380,500,837876,7190,19,11,5,2
380,500,824805,8269,19,11,5,2
380,500,834650,7829,19,11,5,2
380,500,795303,8593,19,11,5,2
380,500,851640,8474,19,11,5,2
400,500,800687,7707,19,11,5,2
400,500,743928,7637,19,11,5,2
400,500,790521,8732,19,11,5,2
400,500,741714,7111,19,11,5,2
400,500,768770,7147,19,11,5,2
420,500,780347,7780,19,11,5,2
420,500,784655,8045,19,11,5,2
420,500,754925,21545,19,11,5,2
420,500,793827,9030,19,11,5,2
420,500,743810,7459,19,11,5,2
440,500,853063,8475,19,11,5,2
440,500,815705,7831,19,11,5,2
440,500,741714,7467,19,11,5,2
440,500,862068,7389,19,11,5,2
440,500,771624,7900,19,11,5,2
460,500,807312,7737,19,11,5,2
460,500,807959,7337,19,11,5,2
460,500,836279,7601,19,11,5,2
460,500,896404,7418,19,11,5,2
460,500,919248,7698,19,11,5,2
480,500,800607,7164,19,11,5,2
480,500,908339,8471,19,11,5,2
480,500,917007,7592,19,11,5,2
480,500,924809,8366,19,11,5,2
480,500,832083,7913,19,11,5,2
500,500,979209,8317,19,11,5,2
500,500,887166,7683,19,11,5,2
500,500,1048981,7699,19,11,5,2
500,500,1037925,8023,19,11,5,2
500,500,976341,7591,19,11,5,2
520,500,889160,8174,19,11,5,2
520,500,965849,9160,19,11,5,2
520,500,996172,7958,19,11,5,2
520,500,1026107,7691,19,11,5,2
520,500,992711,8151,19,11,5,2
540,500,977250,7534,19,11,5,2
540,500,920009,7677,19,11,5,2
540,500,897460,7566,19,11,5,2
540,500,1074199,8625,19,11,5,2
540,500,971200,7783,19,11,5,2
560,500,921539,7965,19,11,5,2
560,500,1002079,8148,19,11,5,2
560,500,934179,7653,19,11,5,2
560,500,928608,7937,19,11,5,2
560,500,931933,7967,19,11,5,2
580,500,995158,8264,19,11,5,2
580,500,1008596,8063,19,11,5,2
580,500,1039643,7408,19,11,5,2
580,500,991356,7062,19,11,5,2
580,500,965671,7122,19,11,5,2
600,500,987227,7940,19,11,5,2
600,500,1030548,9124,19,11,5,2
600,500,1014845,7986,19,11,5,2
600,500,986907,7575,19,11,5,2
600,500,1055669,8366,19,11,5,2
620,500,989971,7707,19,11,5,2
620,500,1007858,7775,19,11,5,2
620,500,979899,8007,19,11,5,2
620,500,948385,7465,19,11,5,2
620,500,1079063,7671,19,11,5,2
640,500,941610,8564,19,11,5,2
640,500,1813384,12691,19,11,5,2
640,500,1136296,9323,19,11,5,2
640,500,971094,8429,19,11,5,2
640,500,1121849,8210,19,11,5,2
660,500,947160,7686,19,11,5,2
660,500,1021629,7857,19,11,5,2
660,500,921073,23704,19,11,5,2
660,500,967309,8615,19,11,5,2
660,500,1139039,8092,19,11,5,2
680,500,1096158,8319,19,11,5,2
680,500,930879,7514,19,11,5,2
680,500,979287,21295,19,11,5,2
680,500,931439,7744,19,11,5,2
680,500,1056159,7860,19,11,5,2
700,500,958815,7659,19,11,5,2
700,500,993876,7141,19,11,5,2
700,500,1028651,7980,19,11,5,2
700,500,947773,7889,19,11,5,2
700,500,1122264,8654,19,11,5,2
720,500,947237,7780,19,11,5,2
720,500,999463,7862,19,11,5,2
720,500,1006724,8191,19,11,5,2
720,500,959859,7964,19,11,5,2
720,500,1012509,26496,19,11,5,2
740,500,1126360,7832,19,11,5,2
740,500,1061792,8192,19,11,5,2
740,500,1052514,8052,19,11,5,2
740,500,1053680,7585,19,11,5,2
740,500,987661,7719,19,11,5,2
760,500,1121552,8269,19,11,5,2
760,500,1025406,7950,19,11,5,2
760,500,1137614,8778,19,11,5,2
760,500,1072453,7708,19,11,5,2
760,500,1142714,7675,19,11,5,2
780,500,1216122,8553,19,11,5,2
780,500,1086572,7604,19,11,5,2
780,500,1151077,7559,19,11,5,2
780,500,1141414,8279,19,11,5,2
780,500,1097391,7721,19,11,5,2
800,500,1136042,8419,19,11,5,2
800,500,1130442,8353,19,11,5,2
800,500,1037637,7886,19,11,5,2
800,500,1163209,8377,19,11,5,2
800,500,1030050,8114,19,11,5,2
820,500,1092715,7854,19,11,5,2
820,500,1118371,10414,19,11,5,2
820,500,1129954,8373,19,11,5,2
820,500,1000845,8536,19,11,5,2
820,500,1245731,10402,19,11,5,2
840,500,1093285,9025,19,11,5,2
840,500,1111306,7775,19,11,5,2
840,500,1098835,8987,19,11,5,2
840,500,992645,7401,19,11,5,2
840,500,1211115,9652,19,11,5,2
860,500,1088112,8807,19,11,5,2
860,500,1039264,7515,19,11,5,2
860,500,991608,8561,19,11,5,2
860,500,1002393,8212,19,11,5,2
860,500,1090940,7510,19,11,5,2
880,500,1010762,8491,19,11,5,2
880,500,1150360,8219,19,11,5,2
880,500,1030899,8167,19,11,5,2
880,500,1108481,8638,19,11,5,2
880,500,1083977,8460,19,11,5,2
900,500,1107247,8432,19,11,5,2
900,500,1102559,8234,19,11,5,2
900,500,1111993,8501,19,11,5,2
900,500,1114731,9324,19,11,5,2
900,500,1001470,7995,19,11,5,2
920,500,1260933,7789,19,11,5,2
920,500,1254304,9255,19,11,5,2
920,500,1018267,7938,19,11,5,2
920,500,1044568,7698,19,11,5,2
920,500,1101360,7563,19,11,5,2
940,500,1201782,8339,19,11,5,2
940,500,1041284,8125,19,11,5,2
940,500,1028809,8465,19,11,5,2
940,500,1121445,7782,19,11,5,2
940,500,1130657,8714,19,11,5,2
960,500,1268933,8623,19,11,5,2
960,500,1036096,24719,19,11,5,2
960,500,1041224,8130,19,11,5,2
960,500,1034681,7669,19,11,5,2
960,500,1141329,9167,19,11,5,2
980,500,1220185,7613,19,11,5,2
980,500,1109365,8347,19,11,5,2
980,500,1105114,8119,19,11,5,2
980,500,1113040,8970,19,11,5,2
980,500,1282676,8172,19,11,5,2
1000,500,1080291,8198,19,11,5,2
1000,500,1124774,8640,19,11,5,2
1000,500,1144395,7740,19,11,5,2
1000,500,1195942,8297,19,11,5,2
1000,500,1181607,8375,19,11,5,2
1000,0,934959,8476,19,11,5,2
1000,0,946684,7345,19,11,5,2
1000,0,1041341,7579,19,11,5,2
1000,0,955862,6946,19,11,5,2
1000,0,1021370,27011,19,11,5,2
1000,10,1103745,8676,19,11,5,2
1000,10,992192,7925,19,11,5,2
1000,10,934650,7259,19,11,5,2
1000,10,1023256,8020,19,11,5,2
1000,10,974393,7989,19,11,5,2
1000,20,992824,7943,19,11,5,2
1000,20,971313,7687,19,11,5,2
1000,20,1024501,8433,19,11,5,2
1000,20,1292820,8771,19,11,5,2
1000,20,1043009,8213,19,11,5,2
1000,30,968479,7592,19,11,5,2
1000,30,1089215,8103,19,11,5,2
1000,30,894340,7243,19,11,5,2
1000,30,995317,8566,19,11,5,2
1000,30,1093173,8810,19,11,5,2
1000,40,1061190,7833,19,11,5,2
1000,40,1121282,8197,19,11,5,2
1000,40,938251,7797,19,11,5,2
1000,40,967538,7944,19,11,5,2
1000,40,1022741,7462,19,11,5,2
1000,50,961632,8298,19,11,5,2
1000,50,1082105,7547,19,11,5,2
1000,50,1134524,8631,19,11,5,2
1000,50,959550,7846,19,11,5,2
1000,50,960283,8675,19,11,5,2
1000,60,914590,7129,19,11,5,2
1000,60,935110,7560,19,11,5,2
1000,60,907299,8256,19,11,5,2
1000,60,912434,8081,19,11,5,2
1000,60,992908,7506,19,11,5,2
1000,70,917330,7486,19,11,5,2
1000,70,1033686,6963,19,11,5,2
1000,70,938080,7451,19,11,5,2
1000,70,916011,7251,19,11,5,2
1000,70,1170100,8707,19,11,5,2
1000,80,1123668,8869,19,11,5,2
1000,80,978439,11760,19,11,5,2
1000,80,1083222,7102,19,11,5,2
1000,80,937807,7346,19,11,5,2
1000,80,1001938,8147,19,11,5,2
1000,90,1077306,7831,19,11,5,2
1000,90,967162,8191,19,11,5,2
1000,90,974374,7191,19,11,5,2
1000,90,1068794,8912,19,11,5,2
1000,90,1055632,8732,19,11,5,2
1000,100,1049786,7752,19,11,5,2
1000,100,1085610,9455,19,11,5,2
1000,100,1048171,7812,19,11,5,2
1000,100,993036,7654,19,11,5,2
1000,100,921866,8837,19,11,5,2
1000,110,1026029,7555,19,11,5,2
1000,110,949684,7467,19,11,5,2
1000,110,920162,8333,19,11,5,2
1000,110,1142190,8656,19,11,5,2
1000,110,959976,7371,19,11,5,2
1000,120,961368,7796,19,11,5,2
1000,120,1084622,7958,19,11,5,2
1000,120,951005,8014,19,11,5,2
1000,120,1153990,7642,19,11,5,2
1000,120,1000921,8067,19,11,5,2
1000,130,1111889,8086,19,11,5,2
1000,130,1005342,8581,19,11,5,2
1000,130,1104041,7813,19,11,5,2
1000,130,1013039,7744,19,11,5,2
1000,130,964458,7520,19,11,5,2
1000,140,1038763,7697,19,11,5,2
1000,140,1135930,8167,19,11,5,2
1000,140,1058675,7184,19,11,5,2
1000,140,1046998,7330,19,11,5,2
1000,140,1079472,27054,19,11,5,2
1000,150,1019708,8549,19,11,5,2
1000,150,987369,7966,19,11,5,2
1000,150,955771,7839,19,11,5,2
1000,150,1103448,7768,19,11,5,2
1000,150,1092992,8507,19,11,5,2
1000,160,1127869,9249,19,11,5,2
1000,160,1027923,7984,19,11,5,2
1000,160,980060,7975,19,11,5,2
1000,160,936265,7948,19,11,5,2
1000,160,960964,7496,19,11,5,2
1000,170,956501,7023,19,11,5,2
1000,170,1085937,7922,19,11,5,2
1000,170,1183622,8762,19,11,5,2
1000,170,1131072,8359,19,11,5,2
1000,170,1046041,8955,19,11,5,2
1000,180,1099488,8520,19,11,5,2
1000,180,1178260,8254,19,11,5,2
1000,180,1005069,7299,19,11,5,2
1000,180,1093391,6978,19,11,5,2
1000,180,1077286,8347,19,11,5,2
1000,190,969178,7464,19,11,5,2
1000,190,986504,7695,19,11,5,2
1000,190,1086429,7330,19,11,5,2
1000,190,1075669,8189,19,11,5,2
1000,190,944935,7947,19,11,5,2
1000,200,958847,7489,19,11,5,2
1000,200,1040869,8195,19,11,5,2
1000,200,970944,8148,19,11,5,2
1000,200,971988,7644,19,11,5,2
1000,200,1032453,8710,19,11,5,2
1000,210,1019152,7512,19,11,5,2
1000,210,1002518,7959,19,11,5,2
1000,210,1162493,8480,19,11,5,2
1000,210,1171680,8778,19,11,5,2
1000,210,1052186,8606,19,11,5,2
1000,220,1058297,8827,19,11,5,2
1000,220,1154390,7548,19,11,5,2
1000,220,950307,7778,19,11,5,2
1000,220,1097113,7685,19,11,5,2
1000,220,1004163,8332,19,11,5,2
1000,230,1068605,8262,19,11,5,2
1000,230,1083298,8631,19,11,5,2
1000,230,1082528,8158,19,11,5,2
1000,230,976996,7299,19,11,5,2
1000,230,1031746,7130,19,11,5,2
1000,240,1024868,7597,19,11,5,2
1000,240,1000634,7077,19,11,5,2
1000,240,978813,7587,19,11,5,2
1000,240,1084444,8032,19,11,5,2
1000,240,1164329,8244,19,11,5,2
1000,250,989194,7675,19,11,5,2
1000,250,1168727,9287,19,11,5,2
1000,250,1117789,8698,19,11,5,2
1000,250,1114909,7809,19,11,5,2
1000,250,1069157,7692,19,11,5,2
1000,260,1189780,7705,19,11,5,2
1000,260,1064178,8933,19,11,5,2
1000,260,1060280,7547,19,11,5,2
1000,260,991618,7929,19,11,5,2
1000,260,1031043,7536,19,11,5,2
1000,270,1072578,7526,19,11,5,2
1000,270,1069519,7563,19,11,5,2
1000,270,995332,8729,19,11,5,2
1000,270,1072659,7569,19,11,5,2
1000,270,1089978,7850,19,11,5,2
1000,280,1013950,7396,19,11,5,2
1000,280,1004213,7650,19,11,5,2
1000,280,1094481,8511,19,11,5,2
1000,280,1073429,7368,19,11,5,2
1000,280,1227314,9320,19,11,5,2
1000,290,1064585,7825,19,11,5,2
1000,290,1140201,8898,19,11,5,2
1000,290,993148,7875,19,11,5,2
1000,290,1053984,7575,19,11,5,2
1000,290,1081342,7678,19,11,5,2
1000,300,1098591,8317,19,11,5,2
1000,300,1084089,8302,19,11,5,2
1000,300,1060997,7819,19,11,5,2
1000,300,1184433,13843,19,11,5,2
1000,300,1147208,8327,19,11,5,2
1000,310,1221091,28458,19,11,5,2
1000,310,1022951,7011,19,11,5,2
1000,310,1060401,8359,19,11,5,2
1000,310,1017259,8549,19,11,5,2
1000,310,1146506,9288,19,11,5,2
1000,320,1109980,7960,19,11,5,2
1000,320,1005664,7756,19,11,5,2
1000,320,1013416,7779,19,11,5,2
1000,320,1179243,8460,19,11,5,2
1000,320,987071,8120,19,11,5,2
1000,330,1012662,8221,19,11,5,2
1000,330,1068018,7885,19,11,5,2
1000,330,1130765,8420,19,11,5,2
1000,330,1072103,8289,19,11,5,2
1000,330,985372,7852,19,11,5,2
1000,340,1101336,8082,19,11,5,2
1000,340,1098755,8273,19,11,5,2
1000,340,1005192,7444,19,11,5,2
1000,340,1064942,8083,19,11,5,2
1000,340,1106633,8296,19,11,5,2
1000,350,1053750,7517,19,11,5,2
1000,350,1035893,8140,19,11,5,2
1000,350,1219698,8501,19,11,5,2
1000,350,1106539,7791,19,11,5,2
1000,350,1190445,7786,19,11,5,2
1000,360,1039232,8163,19,11,5,2
1000,360,1005023,8601,19,11,5,2
1000,360,1092915,8594,19,11,5,2
1000,360,1209031,9054,19,11,5,2
1000,360,1000229,8132,19,11,5,2
1000,370,1145836,7312,19,11,5,2
1000,370,1142922,9089,19,11,5,2
1000,370,1149877,8067,19,11,5,2
1000,370,1050188,8150,19,11,5,2
1000,370,1107280,8082,19,11,5,2
1000,380,1076966,7247,19,11,5,2
1000,380,1130589,7977,19,11,5,2
1000,380,1063733,7584,19,11,5,2
1000,380,1211081,8074,19,11,5,2
1000,380,1006212,8150,19,11,5,2
1000,390,1064425,8107,19,11,5,2
1000,390,1091243,8728,19,11,5,2
1000,390,1201368,8100,19,11,5,2
1000,390,1025660,8078,19,11,5,2
1000,390,1229256,8063,19,11,5,2
1000,400,1162922,8036,19,11,5,2
1000,400,1004938,7401,19,11,5,2
1000,400,1026789,7291,19,11,5,2
1000,400,1097482,7215,19,11,5,2
1000,400,1107470,20816,19,11,5,2
1000,410,1102745,7442,19,11,5,2
1000,410,1062443,7978,19,11,5,2
1000,410,1155994,7802,19,11,5,2
