Pallet: "pallet_corporate_actions", Extrinsic: "link_ca_doc", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,50355,2184,10,8,1,2
0,49399,2071,10,8,1,2
0,48774,2053,10,8,1,2
0,52638,2006,10,8,1,2
0,48711,2088,10,8,1,2
10,89968,2159,20,8,1,2
10,89293,2109,20,8,1,2
10,89609,2175,20,8,1,2
10,89448,2191,20,8,1,2
10,89623,2133,20,8,1,2
20,131547,2208,30,8,1,2
20,137204,2177,30,8,1,2
20,130563,2128,30,8,1,2
20,130495,2168,30,8,1,2
20,130792,2119,30,8,1,2
30,171951,2228,40,8,1,2
30,170974,2241,40,8,1,2
30,172796,2176,40,8,1,2
30,173062,2219,40,8,1,2
30,172012,2176,40,8,1,2
40,218553,2320,50,8,1,2
40,217729,2298,50,8,1,2
40,217423,2283,50,8,1,2
40,218757,2267,50,8,1,2
40,217288,2285,50,8,1,2
50,268236,2243,60,8,1,2
50,268367,2259,60,8,1,2
50,300194,2241,60,8,1,2
50,268085,2208,60,8,1,2
50,268088,2254,60,8,1,2
60,306254,2326,70,8,1,2
60,308092,2236,70,8,1,2
60,308991,2233,70,8,1,2
60,305943,2214,70,8,1,2
60,309444,2239,70,8,1,2
70,351868,2301,80,8,1,2
70,352174,2270,80,8,1,2
70,351988,2295,80,8,1,2
70,352566,2318,80,8,1,2
70,352181,2349,80,8,1,2
80,398587,2321,90,8,1,2
80,399676,2369,90,8,1,2
80,400010,2270,90,8,1,2
80,404575,2407,90,8,1,2
80,396421,2269,90,8,1,2
90,443028,2383,100,8,1,2
90,439372,2298,100,8,1,2
90,446974,2394,100,8,1,2
90,441685,2365,100,8,1,2
90,444818,2329,100,8,1,2
100,503364,2320,110,8,1,2
100,499204,2383,110,8,1,2
100,500269,2405,110,8,1,2
100,503869,2296,110,8,1,2
100,504437,2385,110,8,1,2
110,544956,2521,120,8,1,2
110,546867,2346,120,8,1,2
110,540729,2316,120,8,1,2
110,551254,2279,120,8,1,2
110,545146,2368,120,8,1,2
120,591376,2412,130,8,1,2
120,582619,2366,130,8,1,2
120,586331,2315,130,8,1,2
120,583008,2426,130,8,1,2
120,590682,2375,130,8,1,2
130,633449,2365,140,8,1,2
130,633668,2324,140,8,1,2
130,639668,2359,140,8,1,2
130,632561,2345,140,8,1,2
130,634936,2421,140,8,1,2
140,678536,2526,150,8,1,2
