Pallet: "pallet_corporate_actions", Extrinsic: "set_default_targets", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,136180,5292,9,8,1,2
0,123206,4392,9,8,1,2
0,144898,4767,9,8,1,2
0,147933,5330,9,8,1,2
0,147638,4657,9,8,1,2
10,160120,6140,9,8,1,2
10,163625,6628,9,8,1,2
10,176928,5873,9,8,1,2
10,160417,4756,9,8,1,2
10,170172,5091,9,8,1,2
20,173135,5522,9,8,1,2
20,175770,4744,9,8,1,2
20,175885,5732,9,8,1,2
20,198306,6325,9,8,1,2
20,196075,6782,9,8,1,2
30,186713,7069,9,8,1,2
30,212343,6903,9,8,1,2
30,397531,10496,9,8,1,2
30,197301,6736,9,8,1,2
30,215960,8225,9,8,1,2
40,252255,7923,9,8,1,2
40,212547,6271,9,8,1,2
40,212848,7053,9,8,1,2
40,208234,6516,9,8,1,2
40,212901,7717,9,8,1,2
50,224711,8149,9,8,1,2
50,225447,6915,9,8,1,2
50,225084,6661,9,8,1,2
50,248013,7726,9,8,1,2
50,244413,6455,9,8,1,2
60,245460,7948,9,8,1,2
60,231053,7303,9,8,1,2
60,248376,8244,9,8,1,2
60,238201,7792,9,8,1,2
60,215808,6857,9,8,1,2
70,271271,7773,9,8,1,2
70,300192,8722,9,8,1,2
70,262659,7060,9,8,1,2
70,253374,8126,9,8,1,2
70,260413,6904,9,8,1,2
80,253651,6635,9,8,1,2
80,257821,6900,9,8,1,2
80,269779,6871,9,8,1,2
80,260419,6682,9,8,1,2
80,266147,7845,9,8,1,2
90,293724,8323,9,8,1,2
90,300879,7401,9,8,1,2
90,291923,7357,9,8,1,2
90,265960,6955,9,8,1,2
90,265034,6999,9,8,1,2
100,277423,7905,9,8,1,2
100,361086,7442,9,8,1,2
100,314348,6884,9,8,1,2
100,297193,7237,9,8,1,2
100,260146,7027,9,8,1,2
110,317088,7685,9,8,1,2
110,264591,7100,9,8,1,2
110,313774,7286,9,8,1,2
110,268700,6498,9,8,1,2
110,267857,6666,9,8,1,2
120,331628,7677,9,8,1,2
120,293749,7231,9,8,1,2
