Pallet: "pallet_corporate_ballot", Extrinsic: "attach_ballot", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,197189,4926,13,8,4,2
0,215596,5300,13,8,4,2
0,196311,4972,13,8,4,2
0,178682,4314,13,8,4,2
0,178442,4383,13,8,4,2
20,214111,4875,13,8,4,2
20,198639,4795,13,8,4,2
20,219996,4820,13,8,4,2
20,199662,5042,13,8,4,2
20,212417,4541,13,8,4,2
40,200457,4749,13,8,4,2
40,201732,4803,13,8,4,2
40,183602,4558,13,8,4,2
40,201311,4818,13,8,4,2
40,183611,5002,13,8,4,2
60,184035,4478,13,8,4,2
60,224794,5206,13,8,4,2
60,203248,4729,13,8,4,2
60,185106,4482,13,8,4,2
60,185374,4383,13,8,4,2
80,271381,5325,13,8,4,2
80,204455,4533,13,8,4,2
80,186898,4685,13,8,4,2
80,183752,4335,13,8,4,2
80,198484,4507,13,8,4,2
100,226977,4810,13,8,4,2
100,205086,4672,13,8,4,2
100,188549,5136,13,8,4,2
100,206994,4819,13,8,4,2
100,190395,4544,13,8,4,2
120,206563,5019,13,8,4,2
120,223658,4866,13,8,4,2
120,187788,4361,13,8,4,2
120,189623,4576,13,8,4,2
120,206633,4855,13,8,4,2
140,190260,4536,13,8,4,2
140,217641,4497,13,8,4,2
140,192402,4612,13,8,4,2
140,190575,4378,13,8,4,2
140,208184,4461,13,8,4,2
160,190864,4863,13,8,4,2
160,210606,4536,13,8,4,2
160,209201,4906,13,8,4,2
160,210192,5054,13,8,4,2
160,192262,4915,13,8,4,2
180,209611,4876,13,8,4,2
180,222381,4573,13,8,4,2
180,192979,4399,13,8,4,2
180,191424,4484,13,8,4,2
180,214017,4914,13,8,4,2
200,193298,4560,13,8,4,2
200,187844,4389,13,8,4,2
200,192690,4556,13,8,4,2
200,192719,4573,13,8,4,2
200,193116,4739,13,8,4,2
220,195218,4431,13,8,4,2
220,196854,4390,13,8,4,2
220,195958,4944,13,8,4,2
220,222381,5471,13,8,4,2
220,214915,5074,13,8,4,2
240,215362,4903,13,8,4,2
240,215284,4799,13,8,4,2
240,215222,4779,13,8,4,2
240,198642,4829,13,8,4,2
240,214950,4632,13,8,4,2
260,243634,5663,13,8,4,2
260,230668,5149,13,8,4,2
260,253395,5882,13,8,4,2
260,218950,4658,13,8,4,2
260,240304,5413,13,8,4,2
280,199875,4593,13,8,4,2
280,216131,4933,13,8,4,2
280,218934,4987,13,8,4,2
280,243215,5371,13,8,4,2
280,218295,4720,13,8,4,2
300,219097,4977,13,8,4,2
300,208655,4518,13,8,4,2
300,200672,4372,13,8,4,2
300,219253,4854,13,8,4,2
300,230394,4973,13,8,4,2
320,226431,4605,13,8,4,2
320,221025,4947,13,8,4,2
320,231634,4567,13,8,4,2
320,221627,4788,13,8,4,2
320,201776,4622,13,8,4,2
340,257639,5138,13,8,4,2
340,220910,4981,13,8,4,2
340,203887,4557,13,8,4,2
340,222013,4994,13,8,4,2
340,204847,4622,13,8,4,2
360,252674,4956,13,8,4,2
360,203423,4633,13,8,4,2
360,232718,4375,13,8,4,2
360,203889,4875,13,8,4,2
360,222642,5157,13,8,4,2
380,222174,4880,13,8,4,2
380,212136,4281,13,8,4,2
380,224722,4928,13,8,4,2
380,249469,4457,13,8,4,2
380,224452,4720,13,8,4,2
400,205721,4772,13,8,4,2
400,219272,4445,13,8,4,2
400,240669,4916,13,8,4,2
400,225554,5019,13,8,4,2
400,225528,4961,13,8,4,2
420,225309,4864,13,8,4,2
420,227059,4774,13,8,4,2
420,233658,4986,13,8,4,2
420,225372,4354,13,8,4,2
420,207382,4442,13,8,4,2
440,240809,4978,13,8,4,2
440,231611,4387,13,8,4,2
440,226892,4815,13,8,4,2
440,207497,4550,13,8,4,2
440,250012,4839,13,8,4,2
460,252171,4912,13,8,4,2
460,254137,4636,13,8,4,2
460,227779,4695,13,8,4,2
460,252109,5471,13,8,4,2
460,237422,4862,13,8,4,2
480,209756,4541,13,8,4,2
480,210889,4583,13,8,4,2
