Pallet: "pallet_corporate_ballot", Extrinsic: "vote", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
c,t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,1000,697224,7183,15,8,2,2
0,1000,747353,7644,15,8,2,2
0,1000,727295,7208,15,8,2,2
0,1000,702020,7062,15,8,2,2
0,1000,700921,7239,15,8,2,2
20,1000,678144,6868,15,8,2,2
20,1000,706603,7210,15,8,2,2
20,1000,677501,7057,15,8,2,2
20,1000,664126,7480,15,8,2,2
20,1000,724559,6795,15,8,2,2
40,1000,696632,6732,15,8,2,2
40,1000,773650,6993,15,8,2,2
40,1000,706465,6910,15,8,2,2
40,1000,669485,6505,15,8,2,2
40,1000,745928,6980,15,8,2,2
60,1000,713022,6999,15,8,2,2
60,1000,815851,7120,15,8,2,2
60,1000,748697,6856,15,8,2,2
60,1000,775606,6799,15,8,2,2
60,1000,767000,7310,15,8,2,2
80,1000,754174,7961,15,8,2,2
80,1000,703515,7158,15,8,2,2
80,1000,687056,8135,15,8,2,2
80,1000,763844,6471,15,8,2,2
80,1000,782779,7522,15,8,2,2
100,1000,745293,7127,15,8,2,2
100,1000,768098,7246,15,8,2,2
100,1000,848270,9497,15,8,2,2
100,1000,816109,6802,15,8,2,2
100,1000,820729,7085,15,8,2,2
120,1000,708148,6845,15,8,2,2
120,1000,801273,7143,15,8,2,2
120,1000,863480,7078,15,8,2,2
120,1000,806586,7182,15,8,2,2
120,1000,700015,6712,15,8,2,2
140,1000,765378,6618,15,8,2,2
140,1000,825695,7048,15,8,2,2
140,1000,868602,7614,15,8,2,2
140,1000,721845,7345,15,8,2,2
140,1000,801181,8051,15,8,2,2
160,1000,785835,7771,15,8,2,2
160,1000,808268,7089,15,8,2,2
160,1000,734921,7239,15,8,2,2
160,1000,734272,6430,15,8,2,2
160,1000,795805,7091,15,8,2,2
180,1000,798535,6766,15,8,2,2
180,1000,788363,6906,15,8,2,2
180,1000,745520,6598,15,8,2,2
180,1000,746554,6820,15,8,2,2
180,1000,808892,7438,15,8,2,2
200,1000,854166,8317,15,8,2,2
200,1000,867021,7848,15,8,2,2
200,1000,836425,8496,15,8,2,2
200,1000,805622,7254,15,8,2,2
200,1000,812807,7108,15,8,2,2
220,1000,803263,7378,15,8,2,2
220,1000,751569,7463,15,8,2,2
220,1000,780285,6941,15,8,2,2
220,1000,905590,7982,15,8,2,2
220,1000,763559,7504,15,8,2,2
240,1000,823830,7624,15,8,2,2
240,1000,751768,7405,15,8,2,2
240,1000,779447,7253,15,8,2,2
240,1000,836690,7790,15,8,2,2
240,1000,836603,7607,15,8,2,2
260,1000,838009,29480,15,8,2,2
260,1000,867113,7765,15,8,2,2
260,1000,822423,7114,15,8,2,2
260,1000,905194,7810,15,8,2,2
260,1000,938825,7776,15,8,2,2
280,1000,960977,7822,15,8,2,2
280,1000,910841,8013,15,8,2,2
280,1000,969855,7935,15,8,2,2
280,1000,942352,7459,15,8,2,2
280,1000,798958,6664,15,8,2,2
300,1000,805088,7795,15,8,2,2
300,1000,803950,7055,15,8,2,2
300,1000,950479,8019,15,8,2,2
300,1000,861494,6726,15,8,2,2
300,1000,853498,7622,15,8,2,2
320,1000,777206,7043,15,8,2,2
320,1000,772040,6648,15,8,2,2
320,1000,818162,6815,15,8,2,2
320,1000,798423,6859,15,8,2,2
320,1000,848770,7654,15,8,2,2
340,1000,912045,7517,15,8,2,2
340,1000,879905,8300,15,8,2,2
340,1000,936630,7472,15,8,2,2
340,1000,799244,6572,15,8,2,2
340,1000,798552,7080,15,8,2,2
360,1000,961948,7637,15,8,2,2
360,1000,789406,6760,15,8,2,2
360,1000,824920,6892,15,8,2,2
360,1000,784926,6844,15,8,2,2
360,1000,968495,8012,15,8,2,2
380,1000,813162,6879,15,8,2,2
380,1000,810529,7457,15,8,2,2
380,1000,801387,6544,15,8,2,2
380,1000,819375,6704,15,8,2,2
380,1000,870337,7106,15,8,2,2
400,1000,884056,7020,15,8,2,2
400,1000,904532,7195,15,8,2,2
400,1000,870634,6999,15,8,2,2
400,1000,772998,6917,15,8,2,2
400,1000,909614,7522,15,8,2,2
420,1000,811793,6846,15,8,2,2
420,1000,917199,6969,15,8,2,2
420,1000,841719,6924,15,8,2,2
420,1000,911882,7680,15,8,2,2
420,1000,900628,23541,15,8,2,2
440,1000,967163,7668,15,8,2,2
440,1000,896040,6907,15,8,2,2
440,1000,957290,7068,15,8,2,2
440,1000,842420,6954,15,8,2,2
