Pallet: "pallet_identity", Extrinsic: "cdd_register_did", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,208228,5127,15,10,3,2
0,206307,4911,15,10,3,2
0,224344,5076,15,10,3,2
0,448531,114585,15,10,3,2
0,218920,5005,15,10,3,2
1,270240,5103,17,12,5,2
1,267233,5057,17,12,5,2
1,267282,4832,17,12,5,2
1,268180,4860,17,12,5,2
1,306210,4781,17,12,5,2
2,281288,4470,19,14,7,2
2,282413,4416,19,14,7,2
2,325656,4733,19,14,7,2
2,325498,4867,19,14,7,2
2,379983,4910,19,14,7,2
3,407063,5165,21,16,9,2
3,378915,4897,21,16,9,2
3,379020,4684,21,16,9,2
3,383202,5010,21,16,9,2
3,381206,4736,21,16,9,2
4,442098,4877,23,18,11,2
4,451031,4986,23,18,11,2
4,737809,6002,23,18,11,2
4,505702,5252,23,18,11,2
4,488000,5507,23,18,11,2
5,557108,5587,25,20,13,2
5,571151,5648,25,20,13,2
5,644655,5697,25,20,13,2
5,586542,5491,25,20,13,2
5,521572,5284,25,20,13,2
6,575898,5310,27,22,15,2
6,555685,5508,27,22,15,2
6,557980,5690,27,22,15,2
6,477179,4278,27,22,15,2
6,609763,5071,27,22,15,2
7,601443,4284,29,24,17,2
7,667472,5389,29,24,17,2
7,692402,5497,29,24,17,2
7,657279,4867,29,24,17,2
7,614898,5056,29,24,17,2
8,667570,5138,31,26,19,2
8,668949,4945,31,26,19,2
8,666481,4833,31,26,19,2
8,752442,5278,31,26,19,2
8,574344,4209,31,26,19,2
9,819857,5405,33,28,21,2
9,815232,7941,33,28,21,2
9,835822,5861,33,28,21,2
9,788056,5244,33,28,21,2
9,887975,5569,33,28,21,2
10,846483,5338,35,30,23,2
10,821731,5169,35,30,23,2
10,847587,5131,35,30,23,2
10,781111,5018,35,30,23,2
10,780571,5025,35,30,23,2
11,947480,5076,37,32,25,2
11,906176,5301,37,32,25,2
11,811138,4496,37,32,25,2
11,840497,5037,37,32,25,2
11,838222,5086,37,32,25,2
12,1011146,5964,39,34,27,2
12,993701,5444,39,34,27,2
12,947152,5661,39,34,27,2
12,895859,5338,39,34,27,2
12,898524,5475,39,34,27,2
13,948898,5577,41,36,29,2
13,986548,6667,41,36,29,2
13,1075157,5677,41,36,29,2
13,1131387,5204,41,36,29,2
13,1065070,5518,41,36,29,2
14,1406909,9884,43,38,31,2
14,2626861,10457,43,38,31,2
14,1190787,5962,43,38,31,2
14,1265003,5946,43,38,31,2
14,1111020,5630,43,38,31,2
15,1060216,6663,45,40,33,2
15,1186694,5662,45,40,33,2
15,1176525,4894,45,40,33,2
15,1111436,4897,45,40,33,2
15,955836,4289,45,40,33,2
16,1117461,5907,47,42,35,2
16,1186336,5566,47,42,35,2
16,1282175,5455,47,42,35,2
16,1210685,5269,47,42,35,2
16,1130360,5140,47,42,35,2
17,1907431,6096,49,44,37,2
17,1177879,5364,49,44,37,2
17,1177334,5051,49,44,37,2
17,1175267,5389,49,44,37,2
17,1216227,5183,49,44,37,2
18,1230961,5418,51,46,39,2
18,1203187,5075,51,46,39,2
18,1233309,5074,51,46,39,2
18,1588229,6358,51,46,39,2
18,1379102,5812,51,46,39,2
19,1137978,5110,53,48,41,2
19,1291622,4987,53,48,41,2
19,1313506,4915,53,48,41,2
19,1311566,4783,53,48,41,2
19,1255523,4429,53,48,41,2
20,1352374,5124,55,50,43,2
20,1346893,4998,55,50,43,2
20,1428027,5102,55,50,43,2
20,1396528,4679,55,50,43,2
20,1471505,4539,55,50,43,2
21,1440025,6319,57,52,45,2
21,1537044,5536,57,52,45,2
21,1479480,4959,57,52,45,2
21,1466443,4818,57,52,45,2
21,1359486,5677,57,52,45,2
22,1537464,4874,59,54,47,2
22,1636692,5004,59,54,47,2
22,1633254,5619,59,54,47,2
22,1595510,5526,59,54,47,2
22,2366370,8800,59,54,47,2
23,1560144,5441,61,56,49,2
23,1623085,5756,61,56,49,2
23,1673630,5157,61,56,49,2
23,1559355,5306,61,56,49,2
23,1629380,5308,61,56,49,2
24,1796469,5395,63,58,51,2
24,1679280,5187,63,58,51,2
24,1720047,4966,63,58,51,2
24,1623729,5112,63,58,51,2
24,1566588,5143,63,58,51,2
25,1714399,5750,65,60,53,2
25,1562027,4981,65,60,53,2
25,1705342,5572,65,60,53,2
25,1597073,5494,65,60,53,2
25,1663729,5050,65,60,53,2
26,1801822,4935,67,62,55,2
26,1815452,5573,67,62,55,2
26,1821036,5129,67,62,55,2
26,1758302,5110,67,62,55,2
26,1784822,6719,67,62,55,2
27,1808371,6052,69,64,57,2
27,1998993,5874,69,64,57,2
27,1882073,5980,69,64,57,2
27,1888944,5574,69,64,57,2
27,1785800,5001,69,64,57,2
