Pallet: "pallet_identity", Extrinsic: "remove_secondary_keys", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,128900,5118,6,11,1,2
0,132363,4178,6,11,1,2
0,131062,4759,6,11,1,2
0,127138,4760,6,11,1,2
0,140956,4761,6,11,1,2
1,179569,4174,9,11,1,2
1,169972,4807,9,11,1,2
1,173275,5015,9,11,1,2
1,169433,4810,9,11,1,2
1,146589,3839,9,11,1,2
2,178033,4119,12,11,1,2
2,223562,5368,12,11,1,2
2,230847,5480,12,11,1,2
2,201466,4571,12,11,1,2
2,225576,5004,12,11,1,2
3,235045,5088,15,11,1,2
3,255367,5162,15,11,1,2
3,238375,5063,15,11,1,2
3,276922,4766,15,11,1,2
3,259938,5165,15,11,1,2
4,264923,4982,18,11,1,2
4,276122,4816,18,11,1,2
4,265004,4815,18,11,1,2
4,293135,5158,18,11,1,2
4,297955,4805,18,11,1,2
5,323257,4775,21,11,1,2
5,301887,4698,21,11,1,2
5,323791,5164,21,11,1,2
5,302592,4698,21,11,1,2
5,334166,4980,21,11,1,2
6,352449,4611,24,11,1,2
6,333439,4534,24,11,1,2
6,332912,4732,24,11,1,2
6,332889,4621,24,11,1,2
6,334159,5144,24,11,1,2
7,429967,6535,27,11,1,2
7,365671,4826,27,11,1,2
7,403898,5315,27,11,1,2
7,364707,4867,27,11,1,2
7,364529,4809,27,11,1,2
8,411247,4862,30,11,1,2
8,399072,4686,30,11,1,2
8,421481,5178,30,11,1,2
8,399430,4569,30,11,1,2
8,447121,4681,30,11,1,2
9,425383,4833,33,11,1,2
9,472808,5277,33,11,1,2
9,442059,4775,33,11,1,2
9,427283,4805,33,11,1,2
9,428363,4940,33,11,1,2
10,495445,4886,36,11,1,2
10,531130,5493,36,11,1,2
10,465674,4923,36,11,1,2
10,466356,4999,36,11,1,2
10,486762,5290,36,11,1,2
11,542723,5275,39,11,1,2
11,509947,5210,39,11,1,2
11,440340,4238,39,11,1,2
11,494359,4893,39,11,1,2
11,506103,5194,39,11,1,2
12,580997,4759,42,11,1,2
12,537665,4786,42,11,1,2
12,523049,4649,42,11,1,2
12,555617,4829,42,11,1,2
12,923652,7855,42,11,1,2
13,609196,6456,45,11,1,2
13,555951,4887,45,11,1,2
13,684938,5456,45,11,1,2
13,688066,5884,45,11,1,2
13,665997,7821,45,11,1,2
14,671376,6221,48,11,1,2
14,722617,5662,48,11,1,2
14,639524,5234,48,11,1,2
14,680738,5354,48,11,1,2
14,602433,4827,48,11,1,2
15,675634,5123,51,11,1,2
15,692496,5296,51,11,1,2
15,644171,4857,51,11,1,2
15,690279,5506,51,11,1,2
15,654707,4893,51,11,1,2
16,667887,5367,54,11,1,2
16,649948,4746,54,11,1,2
16,743888,5466,54,11,1,2
16,722267,5214,54,11,1,2
16,659161,5983,54,11,1,2
17,693147,4814,57,11,1,2
17,761732,4997,57,11,1,2
17,759309,5236,57,11,1,2
17,716554,4842,57,11,1,2
17,687888,4882,57,11,1,2
18,782650,4891,60,11,1,2
18,801747,5127,60,11,1,2
18,724491,4581,60,11,1,2
18,730894,4791,60,11,1,2
18,613510,4156,60,11,1,2
19,760213,5121,63,11,1,2
19,768702,4185,63,11,1,2
19,748426,4902,63,11,1,2
19,749099,4846,63,11,1,2
19,811016,5020,63,11,1,2
20,770398,5138,66,11,1,2
20,854049,5572,66,11,1,2
20,798200,4726,66,11,1,2
20,860989,4717,66,11,1,2
20,801176,5725,66,11,1,2
21,840865,5305,69,11,1,2
21,829364,5472,69,11,1,2
21,815733,4789,69,11,1,2
21,805950,4969,69,11,1,2
21,869535,5110,69,11,1,2
22,857845,5046,72,11,1,2
22,850103,5130,72,11,1,2
22,851359,5053,72,11,1,2
22,836928,4821,72,11,1,2
22,874121,4863,72,11,1,2
23,960792,5685,75,11,1,2
23,947610,5241,75,11,1,2
23,913149,5490,75,11,1,2
23,880505,4877,75,11,1,2
23,886381,4796,75,11,1,2
24,1011482,4836,78,11,1,2
24,943930,4717,78,11,1,2
24,951975,4767,78,11,1,2
24,1026973,8500,78,11,1,2
24,975965,5242,78,11,1,2
25,1053065,5467,81,11,1,2
25,942298,5281,81,11,1,2
25,973352,5217,81,11,1,2
25,890088,4713,81,11,1,2
25,963934,5346,81,11,1,2
26,977882,5440,84,11,1,2
26,965660,4868,84,11,1,2
26,983584,4927,84,11,1,2
26,981548,4954,84,11,1,2
26,996754,4870,84,11,1,2
27,1057839,4878,87,11,1,2
27,1069937,4783,87,11,1,2
27,988628,4671,87,11,1,2
27,1115502,5166,87,11,1,2
27,1100557,5260,87,11,1,2
28,1152315,5286,90,11,1,2
28,1152494,5318,90,11,1,2
28,1146808,5404,90,11,1,2
28,1140682,5245,90,11,1,2
28,1131197,5125,90,11,1,2
29,1166708,5210,93,11,1,2
29,1169146,5143,93,11,1,2
29,1172888,5138,93,11,1,2
29,1188155,5248,93,11,1,2
29,1177563,4649,93,11,1,2
30,1166450,5349,96,11,1,2
30,1197178,5364,96,11,1,2
30,1223754,5500,96,11,1,2
30,1200431,5474,96,11,1,2
30,1142027,5368,96,11,1,2
31,1294118,6186,99,11,1,2
31,1288705,5895,99,11,1,2
31,1270992,5931,99,11,1,2
31,1292711,4966,99,11,1,2
31,1248145,5943,99,11,1,2
32,1265306,5656,102,11,1,2
32,1321600,4749,102,11,1,2
32,1207493,4205,102,11,1,2
32,1204433,5401,102,11,1,2
32,1215210,5484,102,11,1,2
33,1321818,5918,105,11,1,2
33,1298297,5690,105,11,1,2
33,1190853,5465,105,11,1,2
33,1201831,4797,105,11,1,2
33,1380862,5405,105,11,1,2
34,1303577,6018,108,11,1,2
34,1370038,4909,108,11,1,2
34,1351988,5376,108,11,1,2
34,1310155,5433,108,11,1,2
34,1336716,4929,108,11,1,2
35,1309790,5982,111,11,1,2
35,1405514,5815,111,11,1,2
35,1389929,5454,111,11,1,2
35,1381092,5442,111,11,1,2
35,1443189,5523,111,11,1,2
36,1369733,5586,114,11,1,2
36,1447956,5778,114,11,1,2
36,1287120,5039,114,11,1,2
36,1278900,4307,114,11,1,2
36,1320206,4954,114,11,1,2
37,1574448,5659,117,11,1,2
37,1285946,4436,117,11,1,2
37,1311252,4922,117,11,1,2
37,1309596,5830,117,11,1,2
37,1318746,5189,117,11,1,2
38,1347880,4587,120,11,1,2
38,1410334,4838,120,11,1,2
38,1297258,4908,120,11,1,2
38,1345385,5337,120,11,1,2
38,1327983,4838,120,11,1,2
39,1626253,5964,123,11,1,2
39,1504518,5431,123,11,1,2
39,1347048,4877,123,11,1,2
39,1317867,5074,123,11,1,2
39,1320254,4154,123,11,1,2
40,1487360,7312,126,11,1,2
40,1535579,5493,126,11,1,2
40,1441241,5020,126,11,1,2
40,1290146,4135,126,11,1,2
40,1338448,5139,126,11,1,2
41,1441138,5364,129,11,1,2
41,1469559,4922,129,11,1,2
41,1499845,5712,129,11,1,2
41,1555776,5219,129,11,1,2
41,1581421,5149,129,11,1,2
42,1420900,5293,132,11,1,2
42,1439111,4323,132,11,1,2
42,1523596,5169,132,11,1,2
42,1493647,4255,132,11,1,2
42,1288912,4362,132,11,1,2
43,1472594,4488,135,11,1,2
43,1611819,5370,135,11,1,2
43,1313750,4368,135,11,1,2
43,1501666,4513,135,11,1,2
43,1372326,5002,135,11,1,2
44,1408994,4388,138,11,1,2
44,1737992,4599,138,11,1,2
44,1343251,4074,138,11,1,2
44,1319955,4267,138,11,1,2
44,1328875,4320,138,11,1,2
45,1513569,4575,141,11,1,2
45,1473594,5513,141,11,1,2
45,1500357,4709,141,11,1,2
45,1643636,5393,141,11,1,2
45,1632655,5976,141,11,1,2
46,1388689,6241,144,11,1,2
46,1409052,5568,144,11,1,2
46,2723412,7791,144,11,1,2
46,1574747,5842,144,11,1,2
46,1505149,4219,144,11,1,2
47,1484104,5081,147,11,1,2
47,1462573,4377,147,11,1,2
47,1442703,4120,147,11,1,2
47,1618602,4454,147,11,1,2
47,1426078,4366,147,11,1,2
48,1406245,4115,150,11,1,2
48,1509489,4807,150,11,1,2
48,1440547,4143,150,11,1,2
48,1443082,4173,150,11,1,2
48,1553152,4201,150,11,1,2
49,1819327,5212,153,11,1,2
49,1609085,4368,153,11,1,2
49,1646004,4258,153,11,1,2
49,1546872,4968,153,11,1,2
49,1645346,4034,153,11,1,2
50,1525968,5681,156,11,1,2
50,1672756,4382,156,11,1,2
50,1854063,4882,156,11,1,2
50,1486302,4582,156,11,1,2
50,1664203,4506,156,11,1,2
51,1534582,4544,159,11,1,2
51,1827915,5212,159,11,1,2
51,1661033,5061,159,11,1,2
51,1590363,5076,159,11,1,2
51,1730211,4376,159,11,1,2
52,1664469,5259,162,11,1,2
52,1739774,4222,162,11,1,2
52,1570885,4332,162,11,1,2
52,1675722,4882,162,11,1,2
52,1740303,4125,162,11,1,2
53,1683353,4665,165,11,1,2
53,1576905,4382,165,11,1,2
53,1757142,4729,165,11,1,2
53,1644605,4506,165,11,1,2
53,1661507,5025,165,11,1,2
54,1597173,4547,168,11,1,2
54,1589820,4486,168,11,1,2
54,1746312,5000,168,11,1,2
54,1704551,5012,168,11,1,2
54,1655949,4296,168,11,1,2
55,1852969,5143,171,11,1,2
55,1712913,4301,171,11,1,2
55,1821290,4230,171,11,1,2
55,1768974,4447,171,11,1,2
55,1808219,4324,171,11,1,2
56,1843245,4212,174,11,1,2
56,1652240,4398,174,11,1,2
56,1843926,4207,174,11,1,2
56,1954422,4529,174,11,1,2
56,1659508,4370,174,11,1,2
57,1746862,5066,177,11,1,2
57,1695290,4176,177,11,1,2
57,1823056,4403,177,11,1,2
57,1861980,5098,177,11,1,2
57,1704896,4574,177,11,1,2
58,1699216,4424,180,11,1,2
58,1873797,4788,180,11,1,2
58,1717532,4120,180,11,1,2
58,1876099,4087,180,11,1,2
58,1721324,4305,180,11,1,2
59,1734291,4319,183,11,1,2
59,1803938,4708,183,11,1,2
59,1735807,4449,183,11,1,2
59,1729213,4429,183,11,1,2
59,1932149,4248,183,11,1,2
60,1920897,4254,186,11,1,2
60,1975998,4933,186,11,1,2
60,1786337,4077,186,11,1,2
60,1898312,4970,186,11,1,2
60,1801544,4204,186,11,1,2
61,1809211,4437,189,11,1,2
61,1958733,4263,189,11,1,2
61,1913415,4926,189,11,1,2
61,1840429,4172,189,11,1,2
61,1955556,5087,189,11,1,2
62,1798356,4518,192,11,1,2
62,1995111,5467,192,11,1,2
62,2024790,14632,192,11,1,2
62,1979319,4306,192,11,1,2
62,2005092,4312,192,11,1,2
63,2351941,5632,195,11,1,2
63,2601058,5974,195,11,1,2
63,3983463,9099,195,11,1,2
63,2236843,5938,195,11,1,2
63,2135753,5172,195,11,1,2
64,2358702,5843,198,11,1,2
64,2276527,5017,198,11,1,2
64,2985756,4661,198,11,1,2
64,2088515,4802,198,11,1,2
64,2068281,4253,198,11,1,2
65,1912396,4573,201,11,1,2
65,2213880,5790,201,11,1,2
65,2365032,5055,201,11,1,2
65,2332121,5070,201,11,1,2
65,2266590,5705,201,11,1,2
66,1931148,5032,204,11,1,2
66,2282598,5066,204,11,1,2
66,2326745,5634,204,11,1,2
66,2395720,6226,204,11,1,2
66,2318316,4189,204,11,1,2
67,2132853,5958,207,11,1,2
67,1952978,4883,207,11,1,2
67,2190137,5542,207,11,1,2
67,2307897,6196,207,11,1,2
67,2151948,5317,207,11,1,2
68,2337055,6788,210,11,1,2
68,2022142,5609,210,11,1,2
68,2537511,6025,210,11,1,2
68,2335878,6078,210,11,1,2
68,2224608,5187,210,11,1,2
69,2112383,5493,213,11,1,2
69,2318110,5972,213,11,1,2
69,2324181,5060,213,11,1,2
69,2158666,5209,213,11,1,2
69,2007779,5099,213,11,1,2
70,2156039,6371,216,11,1,2
70,2321549,5828,216,11,1,2
70,2362473,4902,216,11,1,2
70,2284316,5918,216,11,1,2
70,2198565,6040,216,11,1,2
71,2197093,5452,219,11,1,2
71,2159616,4576,219,11,1,2
71,2285834,4443,219,11,1,2
71,2219404,4192,219,11,1,2
71,2442001,4975,219,11,1,2
72,2291387,5458,222,11,1,2
72,2552918,5782,222,11,1,2
72,2407094,5413,222,11,1,2
72,2357597,5670,222,11,1,2
72,2728326,6342,222,11,1,2
73,2359855,5554,225,11,1,2
73,2559884,5745,225,11,1,2
73,2112444,4552,225,11,1,2
73,2378545,5270,225,11,1,2
73,2602320,4975,225,11,1,2
74,2723683,22722,228,11,1,2
74,2544452,6038,228,11,1,2
74,2366659,5349,228,11,1,2
74,2407025,4722,228,11,1,2
74,2543835,4724,228,11,1,2
75,2792164,5635,231,11,1,2
75,2740167,4978,231,11,1,2
75,2752206,7753,231,11,1,2
75,2821415,6642,231,11,1,2
75,2685232,5285,231,11,1,2
76,2582481,5622,234,11,1,2
76,2714886,6018,234,11,1,2
76,2677120,5224,234,11,1,2
76,2356559,5442,234,11,1,2
76,2317613,5187,234,11,1,2
77,2499703,5401,237,11,1,2
77,2617423,4591,237,11,1,2
77,2428213,4649,237,11,1,2
77,2416210,4391,237,11,1,2
77,2685060,4422,237,11,1,2
78,2826218,5697,240,11,1,2
78,2757444,4397,240,11,1,2
78,2577413,4478,240,11,1,2
78,2890727,5825,240,11,1,2
78,2885688,6409,240,11,1,2
79,2771238,5206,243,11,1,2
79,2571617,4637,243,11,1,2
79,2582091,4308,243,11,1,2
79,2478137,4311,243,11,1,2
79,2406047,4454,243,11,1,2
80,2288306,4160,246,11,1,2
80,2599570,4824,246,11,1,2
80,2364724,4736,246,11,1,2
80,2383496,4925,246,11,1,2
80,2416269,5029,246,11,1,2
81,2489453,5027,249,11,1,2
81,2379849,4399,249,11,1,2
81,2451530,4160,249,11,1,2
81,2369935,4294,249,11,1,2
81,2310216,4194,249,11,1,2
82,2445994,4374,252,11,1,2
82,2602391,4411,252,11,1,2
82,2757479,5369,252,11,1,2
82,2655931,5092,252,11,1,2
82,2695671,4307,252,11,1,2
83,2782301,5968,255,11,1,2
83,2767621,4349,255,11,1,2
83,2715214,4148,255,11,1,2
83,2584186,5327,255,11,1,2
83,3028545,5286,255,11,1,2
84,2856150,5979,258,11,1,2
84,2618149,4362,258,11,1,2
84,2562866,4486,258,11,1,2
84,2426060,4353,258,11,1,2
84,2648833,5085,258,11,1,2
85,2569274,4362,261,11,1,2
85,2524159,4248,261,11,1,2
85,2653821,5026,261,11,1,2
85,2702247,4718,261,11,1,2
85,2792466,5071,261,11,1,2
86,2669918,4656,264,11,1,2
86,2573524,5090,264,11,1,2
86,2717467,4508,264,11,1,2
86,2683880,4492,264,11,1,2
86,2621648,4549,264,11,1,2
87,2642724,4958,267,11,1,2
87,2530447,5218,267,11,1,2
87,2688674,5730,267,11,1,2
87,2810209,4841,267,11,1,2
87,2858031,4496,267,11,1,2
88,2651679,4318,270,11,1,2
88,4557574,7936,270,11,1,2
88,3037635,5841,270,11,1,2
88,2813908,4534,270,11,1,2
88,3114877,5259,270,11,1,2
89,3026504,4376,273,11,1,2
89,2832211,4962,273,11,1,2
89,2675180,4787,273,11,1,2
89,2944474,4224,273,11,1,2
89,3006927,5064,273,11,1,2
90,2780455,7298,276,11,1,2
90,2810438,5714,276,11,1,2
90,2982431,5658,276,11,1,2
90,2824584,4822,276,11,1,2
90,2629032,4738,276,11,1,2
91,3063929,4423,279,11,1,2
91,2998316,5479,279,11,1,2
91,2764892,4217,279,11,1,2
91,2600904,4791,279,11,1,2
91,2692491,4660,279,11,1,2
92,2764365,6080,282,11,1,2
92,2803889,6143,282,11,1,2
92,2927190,5747,282,11,1,2
92,2686727,5295,282,11,1,2
92,3103788,5692,282,11,1,2
93,3124016,4850,285,11,1,2
93,2917824,5444,285,11,1,2
93,2726325,4631,285,11,1,2
93,2839431,4491,285,11,1,2
93,2759130,4718,285,11,1,2
94,2688008,5213,288,11,1,2
94,2847528,5250,288,11,1,2
94,3170424,6341,288,11,1,2
94,2861609,4674,288,11,1,2
94,2818010,5161,288,11,1,2
95,2913372,5387,291,11,1,2
95,2945667,4524,291,11,1,2
95,2780253,4873,291,11,1,2
95,2956167,4706,291,11,1,2
95,3381310,6180,291,11,1,2
96,3618288,6623,294,11,1,2
96,3576387,6983,294,11,1,2
96,3723960,6974,294,11,1,2
96,3050292,6127,294,11,1,2
96,3489411,5411,294,11,1,2
97,3624588,7634,297,11,1,2
97,3431989,7559,297,11,1,2
97,3156533,7169,297,11,1,2
97,3708563,7893,297,11,1,2
97,3517464,6988,297,11,1,2
98,3567124,6931,300,11,1,2
98,3524749,7240,300,11,1,2
98,3613868,6728,300,11,1,2
98,3449631,7003,300,11,1,2
98,3508701,5410,300,11,1,2
99,3441449,7193,303,11,1,2
99,3528715,7151,303,11,1,2
99,3416889,7208,303,11,1,2
99,3414791,6444,303,11,1,2
99,3392191,5483,303,11,1,2
100,3517971,6836,306,11,1,2
100,3508151,6126,306,11,1,2
100,3542673,6353,306,11,1,2
100,3525335,5506,306,11,1,2
100,3435546,5123,306,11,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    182.3
    + i    30.12
              µs

Reads = 6 + (3 * i)
Writes = 1 + (0 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    0     130.7     1.428    1.0%
    1     170.8     1.698    0.9%
    2     216.8     10.92    5.0%
    3     251.2     9.277    3.6%
    4       278     11.56    4.1%
    5     316.5     9.869    3.1%
    6     333.5     0.511    0.1%
    7       378     18.25    4.8%
    8     410.7      9.01    2.1%
    9     432.5     6.725    1.5%
   10     482.8     12.19    2.5%
   11     503.4      6.63    1.3%
   12       558     17.77    3.1%
   13     653.3     32.18    4.9%
   14     663.8     17.64    2.6%
   15     673.5     14.59    2.1%
   16     683.1     27.91    4.0%
   17       723     27.39    3.7%
   18       746     26.03    3.4%
   19     759.3     8.026    1.0%
   20     817.8     25.65    3.1%
   21     828.6     10.27    1.2%
   22     853.1     3.392    0.3%
   23     915.7     25.06    2.7%
   24     979.8     24.44    2.4%
   25     959.8        13    1.3%
   26       981     2.359    0.2%
   27      1076     17.97    1.6%
   28      1146     4.751    0.4%
   29      1173     3.443    0.2%
   30      1188      15.3    1.2%
   31      1284     9.437    0.7%
   32      1229     25.62    2.0%
   33      1273     51.91    4.0%
   34      1332     17.28    1.2%
   35      1392     10.09    0.7%
   36      1325     33.94    2.5%
   37      1313      3.98    0.3%
   38      1340      8.85    0.6%
   39      1390     81.28    5.8%
   40      1422     62.24    4.3%
   41      1508     35.71    2.3%
   42      1451      30.9    2.1%
   43      1448      55.4    3.8%
   44      1360     34.87    2.5%
   45      1548     59.49    3.8%
   46      1496     67.93    4.5%
   47      1463      16.9    1.1%
   48      1464     31.91    2.1%
   49      1633     17.25    1.0%
   50      1620     67.27    4.1%
   51      1660     57.09    3.4%
   52      1693     33.16    1.9%
   53      1663     15.86    0.9%
   54      1652      43.9    2.6%
   55      1799     22.23    1.2%
   56      1782     86.77    4.8%
   57      1758      48.9    2.7%
   58      1770     72.78    4.1%
   59      1758     32.48    1.8%
   60      1873     51.76    2.7%
   61      1903     47.55    2.4%
   62      1993     10.61    0.5%
   63      2396       152    6.3%
   64      2241       113    5.0%
   65      2270     48.36    2.1%
   66      2309     19.13    0.8%
   67      2158     23.81    1.1%
   68      2299     52.73    2.2%
   69      2196     88.12    4.0%
   70      2268     51.49    2.2%
   71      2234     37.69    1.6%
   72      2439      82.9    3.3%
   73      2432     90.21    3.7%
   74      2498     64.63    2.5%
   75      2761     22.22    0.8%
   76      2538     134.4    5.2%
   77      2515        78    3.1%
   78      2823      52.4    1.8%
   79      2543     46.73    1.8%
   80      2388      21.3    0.8%
   81      2400     36.35    1.5%
   82      2651     38.22    1.4%
   83      2755     28.79    1.0%
   84      2609     35.57    1.3%
   85      2641     54.94    2.0%
   86      2658     26.66    1.0%
   87      2713     70.65    2.6%
   88      2988     127.6    4.2%
   89      2927     72.28    2.4%
   90      2805     18.39    0.6%
   91      2818     130.4    4.6%
   92      2831     69.34    2.4%
   93      2838     64.78    2.2%
   94      2842     18.16    0.6%
   95      2938     18.21    0.6%
   96      3561     53.67    1.5%
   97      3524     78.79    2.2%
   98      3533     24.64    0.6%
   99      3424      12.1    0.3%
  100      3517     7.039    0.2%

Quality and confidence:
param     error
i         0.279

Model:
Time ~=    175.3
    + i    30.59
              µs

Reads = 6 + (3 * i)
Writes = 1 + (0 * i)
