Pallet: "pallet_im_online", Extrinsic: "heartbeat", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
k,e,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,100,194527,6139,3,4,1,2
1,100,159735,4730,3,4,1,2
1,100,174333,4988,3,4,1,2
1,100,192000,5331,3,4,1,2
1,100,186807,5085,3,4,1,2
20,100,163186,4548,3,4,1,2
20,100,167084,5300,3,4,1,2
20,100,167884,5209,3,4,1,2
20,100,180267,4668,3,4,1,2
20,100,179173,5007,3,4,1,2
39,100,199153,5257,3,4,1,2
39,100,169545,4869,3,4,1,2
39,100,189901,5852,3,4,1,2
39,100,196388,6327,3,4,1,2
39,100,181433,5591,3,4,1,2
58,100,203788,7434,3,4,1,2
58,100,271758,7627,3,4,1,2
58,100,200594,6369,3,4,1,2
58,100,182360,5871,3,4,1,2
58,100,184701,6543,3,4,1,2
77,100,184550,6805,3,4,1,2
77,100,207478,6472,3,4,1,2
77,100,187305,6064,3,4,1,2
77,100,188917,6021,3,4,1,2
77,100,201094,6342,3,4,1,2
96,100,185447,6416,3,4,1,2
96,100,184441,6170,3,4,1,2
96,100,190707,5822,3,4,1,2
96,100,220451,22369,3,4,1,2
96,100,195635,6460,3,4,1,2
115,100,200511,6519,3,4,1,2
115,100,232730,7366,3,4,1,2
115,100,216436,6715,3,4,1,2
115,100,224483,6862,3,4,1,2
115,100,215183,6431,3,4,1,2
134,100,244045,6380,3,4,1,2
134,100,229095,6570,3,4,1,2
134,100,206602,6704,3,4,1,2
134,100,197875,6306,3,4,1,2
134,100,241045,7309,3,4,1,2
153,100,221326,7038,3,4,1,2
153,100,239219,7922,3,4,1,2
153,100,217412,6498,3,4,1,2
153,100,223902,6749,3,4,1,2
153,100,205499,6761,3,4,1,2
172,100,212854,7312,3,4,1,2
172,100,226531,6860,3,4,1,2
172,100,231604,6525,3,4,1,2
172,100,231435,6748,3,4,1,2
172,100,238795,6689,3,4,1,2
191,100,218176,7056,3,4,1,2
191,100,212058,6662,3,4,1,2
191,100,246129,6315,3,4,1,2
191,100,242085,6469,3,4,1,2
191,100,215021,7144,3,4,1,2
210,100,258277,7333,3,4,1,2
210,100,218017,6840,3,4,1,2
210,100,251465,6714,3,4,1,2
210,100,236395,7285,3,4,1,2
210,100,213992,6066,3,4,1,2
229,100,238198,7501,3,4,1,2
229,100,239819,7146,3,4,1,2
229,100,248460,7395,3,4,1,2
229,100,215218,6731,3,4,1,2
229,100,220715,7339,3,4,1,2
248,100,217610,6671,3,4,1,2
248,100,236242,6627,3,4,1,2
248,100,241147,6851,3,4,1,2
248,100,274238,6387,3,4,1,2
248,100,282369,7352,3,4,1,2
267,100,248488,7811,3,4,1,2
267,100,304544,7530,3,4,1,2
267,100,251659,6617,3,4,1,2
267,100,245269,6838,3,4,1,2
267,100,248276,6805,3,4,1,2
286,100,245537,23642,3,4,1,2
286,100,231516,6719,3,4,1,2
286,100,260463,6672,3,4,1,2
286,100,260379,6855,3,4,1,2
286,100,253127,7159,3,4,1,2
305,100,260373,6701,3,4,1,2
305,100,231283,17048,3,4,1,2
305,100,232003,6796,3,4,1,2
305,100,253114,7265,3,4,1,2
305,100,254684,6449,3,4,1,2
324,100,265176,7145,3,4,1,2
324,100,239595,6388,3,4,1,2
324,100,284728,7492,3,4,1,2
324,100,238738,6286,3,4,1,2
324,100,290191,6656,3,4,1,2
343,100,253511,6274,3,4,1,2
343,100,268850,6606,3,4,1,2
343,100,259317,6726,3,4,1,2
343,100,259568,7146,3,4,1,2
343,100,244471,6621,3,4,1,2
362,100,263395,7194,3,4,1,2
362,100,243058,6640,3,4,1,2
362,100,278028,7031,3,4,1,2
362,100,243223,6513,3,4,1,2
362,100,263804,7146,3,4,1,2
381,100,248830,7158,3,4,1,2
