Pallet: "pallet_multisig", Extrinsic: "create_multisig", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,179742,7638,8,14,6,2
1,177574,5440,8,14,6,2
1,178953,4250,8,14,6,2
1,201863,4735,8,14,6,2
1,175967,4619,8,14,6,2
3,319418,5966,8,18,10,2
3,303273,5367,8,18,10,2
3,249283,4858,8,18,10,2
3,287561,5566,8,18,10,2
3,286579,5018,8,18,10,2
5,317221,5117,8,22,14,2
5,319066,4354,8,22,14,2
5,318070,4349,8,22,14,2
5,318752,4262,8,22,14,2
5,329290,4577,8,22,14,2
7,449150,5148,8,26,18,2
7,414933,4216,8,26,18,2
7,388773,4549,8,26,18,2
7,453440,4296,8,26,18,2
7,448151,5023,8,26,18,2
9,497827,5295,8,30,22,2
9,455915,4446,8,30,22,2
9,460520,4508,8,30,22,2
9,532273,4541,8,30,22,2
9,465279,4569,8,30,22,2
11,527458,4550,8,34,26,2
11,537161,4624,8,34,26,2
11,528366,4606,8,34,26,2
11,600611,4254,8,34,26,2
11,610065,5278,8,34,26,2
13,691787,5068,8,38,30,2
13,625933,5404,8,38,30,2
13,597820,4522,8,38,30,2
13,598214,4549,8,38,30,2
13,613668,4503,8,38,30,2
15,680516,4807,8,42,34,2
15,668809,4631,8,42,34,2
15,664912,4361,8,42,34,2
15,649129,4319,8,42,34,2
15,669346,4570,8,42,34,2
17,805171,4830,8,46,38,2
17,747672,4622,8,46,38,2
17,750781,4710,8,46,38,2
17,880769,5186,8,46,38,2
17,746835,4399,8,46,38,2
19,817227,4409,8,50,42,2
19,803164,4487,8,50,42,2
19,803306,4401,8,50,42,2
19,956379,4781,8,50,42,2
19,886013,4666,8,50,42,2
21,897981,4958,8,54,46,2
21,949275,5390,8,54,46,2
21,886745,5554,8,54,46,2
21,892987,5030,8,54,46,2
21,896916,4949,8,54,46,2
23,1149849,6079,8,58,50,2
23,961104,5908,8,58,50,2
23,999413,5588,8,58,50,2
23,1010455,5849,8,58,50,2
23,1018424,5215,8,58,50,2
25,1031400,6835,8,62,54,2
25,1174219,7049,8,62,54,2
25,1192660,6442,8,62,54,2
25,1088971,5708,8,62,54,2
25,1019466,5775,8,62,54,2
27,1097122,6304,8,66,58,2
27,1086905,5239,8,66,58,2
27,1137723,17147,8,66,58,2
27,1154456,4583,8,66,58,2
27,1115101,6219,8,66,58,2
29,1308864,5410,8,70,62,2
29,1480639,6126,8,70,62,2
29,1405079,7001,8,70,62,2
29,1457944,5553,8,70,62,2
29,1280123,6372,8,70,62,2
31,1250247,6562,8,74,66,2
31,1314765,6004,8,74,66,2
31,1381873,5168,8,74,66,2
31,1307541,5809,8,74,66,2
31,1371768,5193,8,74,66,2
33,1355844,5252,8,78,70,2
33,1495906,4945,8,78,70,2
33,1448944,4577,8,78,70,2
33,1420487,4821,8,78,70,2
33,1429232,4479,8,78,70,2
35,1363581,5781,8,82,74,2
35,1574234,5417,8,82,74,2
35,1424023,4729,8,82,74,2
35,1367847,4896,8,82,74,2
35,1539526,5440,8,82,74,2
37,1686152,7409,8,86,78,2
37,1819468,7576,8,86,78,2
37,1751477,5705,8,86,78,2
37,1540643,5920,8,86,78,2
37,1572307,4932,8,86,78,2
39,1573276,6137,8,90,82,2
39,1588305,5363,8,90,82,2
39,1608650,5058,8,90,82,2
39,1512753,5728,8,90,82,2
39,1517012,6030,8,90,82,2
41,1600628,7458,8,94,86,2
41,1562375,5225,8,94,86,2
41,1577333,4958,8,94,86,2
41,1692955,5011,8,94,86,2
41,1599170,5654,8,94,86,2
43,1654021,6241,8,98,90,2
43,1671294,5653,8,98,90,2
43,1652456,5139,8,98,90,2
43,1814507,5249,8,98,90,2
