Pallet: "pallet_pips", Extrinsic: "enact_snapshot_results", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,r,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,33,33,691915053,21254,14105,15900,14069,2
0,33,33,673818066,37066,14105,15900,14069,2
0,33,33,683185554,20479,14105,15900,14069,2
0,33,33,683007612,20888,14105,15900,14069,2
0,33,33,694817162,22020,14105,15900,14069,2
1,33,33,743027777,38318,14109,16708,14073,2
1,33,33,673816827,21505,14109,16708,14073,2
1,33,33,705322059,22438,14109,16708,14073,2
1,33,33,689314009,21452,14109,16708,14073,2
1,33,33,730147336,21402,14109,16708,14073,2
2,33,33,693716063,34885,14111,16317,14076,2
2,33,33,710817337,25171,14111,16317,14076,2
2,33,33,694977252,24295,14111,16317,14076,2
2,33,33,705959151,22631,14111,16317,14076,2
2,33,33,830513648,26052,14111,16317,14076,2
3,33,33,718565503,35314,14113,15526,14079,2
3,33,33,709200415,21131,14113,15526,14079,2
3,33,33,683396966,21882,14113,15526,14079,2
3,33,33,709231928,21376,14113,15526,14079,2
3,33,33,723340486,21943,14113,15526,14079,2
4,33,33,682950355,35412,14115,14735,14082,2
4,33,33,731953390,19984,14115,14735,14082,2
4,33,33,678687789,22102,14115,14735,14082,2
4,33,33,714794280,21960,14115,14735,14082,2
4,33,33,698493760,23722,14115,14735,14082,2
5,33,33,679800268,20778,14117,15144,14085,2
5,33,33,691880790,47268,14117,15144,14085,2
5,33,33,680451794,21839,14117,15144,14085,2
5,33,33,724799636,29450,14117,15144,14085,2
5,33,33,663167839,22612,14117,15144,14085,2
6,33,33,786366525,25922,14119,14753,14088,2
6,33,33,696361475,24575,14119,14753,14088,2
6,33,33,672078202,21856,14119,14753,14088,2
6,33,33,737873290,26229,14119,14753,14088,2
6,33,33,670580333,22371,14119,14753,14088,2
7,33,33,653305582,29225,14121,14762,14091,2
7,33,33,682999438,29068,14121,14762,14091,2
7,33,33,717532171,21744,14121,14762,14091,2
7,33,33,682402719,24065,14121,14762,14091,2
7,33,33,673851492,24750,14121,14762,14091,2
8,33,33,689369907,22296,14123,15171,14094,2
8,33,33,679547791,24946,14123,15171,14094,2
8,33,33,697108686,31270,14123,15171,14094,2
8,33,33,736518395,35065,14123,15171,14094,2
8,33,33,653953119,37547,14123,15171,14094,2
9,33,33,668972020,33401,14125,15180,14097,2
9,33,33,684069339,20526,14125,15180,14097,2
9,33,33,703013355,20144,14125,15180,14097,2
9,33,33,684619703,21722,14125,15180,14097,2
9,33,33,706743466,19859,14125,15180,14097,2
10,33,33,699462403,21792,14127,16789,14100,2
10,33,33,691743319,21755,14127,16789,14100,2
10,33,33,725789094,21822,14127,16789,14100,2
10,33,33,700656985,20940,14127,16789,14100,2
10,33,33,685662855,20244,14127,16789,14100,2
11,33,33,704864487,30981,14129,15198,14103,2
11,33,33,672662442,30698,14129,15198,14103,2
11,33,33,686028824,21893,14129,15198,14103,2
11,33,33,683708781,22934,14129,15198,14103,2
11,33,33,661627234,21910,14129,15198,14103,2
12,33,33,697959702,21731,14131,16807,14106,2
12,33,33,683975981,21603,14131,16807,14106,2
12,33,33,867691498,19712,14131,16807,14106,2
12,33,33,708489022,37358,14131,16807,14106,2
12,33,33,704506037,22342,14131,16807,14106,2
13,33,33,758145551,26434,14133,17216,14109,2
13,33,33,711611584,23591,14133,17216,14109,2
13,33,33,692077504,23863,14133,17216,14109,2
13,33,33,711397530,23165,14133,17216,14109,2
13,33,33,713731601,22848,14133,17216,14109,2
14,33,33,703115101,22887,14135,16425,14112,2
14,33,33,715794476,22890,14135,16425,14112,2
14,33,33,703694328,22745,14135,16425,14112,2
14,33,33,695409378,32194,14135,16425,14112,2
14,33,33,764832143,20326,14135,16425,14112,2
15,33,33,698402151,31613,14137,16034,14115,2
15,33,33,670449142,23023,14137,16034,14115,2
15,33,33,698093407,37931,14137,16034,14115,2
15,33,33,666295471,23121,14137,16034,14115,2
