Pallet: "pallet_portfolio", Extrinsic: "create_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,138341,5104,8,8,2,2
1,137619,4816,8,8,2,2
1,137538,4914,8,8,2,2
1,136746,4862,8,8,2,2
1,138525,4744,8,8,2,2
5,136289,4840,8,8,2,2
5,152923,4744,8,8,2,2
5,134329,4107,8,8,2,2
5,118333,3977,8,8,2,2
5,119273,4128,8,8,2,2
9,136218,4553,8,8,2,2
9,142440,4966,8,8,2,2
9,166297,4881,8,8,2,2
9,119641,3965,8,8,2,2
9,139526,4703,8,8,2,2
13,137110,5029,8,8,2,2
13,137820,4826,8,8,2,2
13,136994,4763,8,8,2,2
13,121226,4928,8,8,2,2
13,136352,4585,8,8,2,2
17,140054,5246,8,8,2,2
17,118965,4236,8,8,2,2
17,136456,4745,8,8,2,2
17,136979,4752,8,8,2,2
17,136752,4766,8,8,2,2
21,138504,4768,8,8,2,2
21,137952,4839,8,8,2,2
21,138370,4737,8,8,2,2
21,140578,5065,8,8,2,2
21,137590,5009,8,8,2,2
25,137043,4649,8,8,2,2
25,138088,4653,8,8,2,2
25,137143,4618,8,8,2,2
25,118573,4045,8,8,2,2
25,135371,4666,8,8,2,2
29,119238,4316,8,8,2,2
29,136492,4733,8,8,2,2
29,119248,4117,8,8,2,2
29,137236,4814,8,8,2,2
29,138372,4581,8,8,2,2
33,151488,5162,8,8,2,2
33,148615,4143,8,8,2,2
33,137760,4591,8,8,2,2
33,137385,4644,8,8,2,2
33,147108,4621,8,8,2,2
37,137536,4849,8,8,2,2
37,137359,4776,8,8,2,2
37,119614,4180,8,8,2,2
37,137424,4808,8,8,2,2
37,137877,4845,8,8,2,2
41,137906,4643,8,8,2,2
41,138139,4866,8,8,2,2
41,119720,4030,8,8,2,2
41,138266,4741,8,8,2,2
41,145286,43372,8,8,2,2
45,120464,4303,8,8,2,2
45,140011,4793,8,8,2,2
45,119679,4120,8,8,2,2
45,118802,4154,8,8,2,2
45,166684,4754,8,8,2,2
49,151311,4701,8,8,2,2
49,118544,4213,8,8,2,2
49,119717,3980,8,8,2,2
49,150096,4870,8,8,2,2
49,137564,4738,8,8,2,2
53,141249,4163,8,8,2,2
53,137510,4799,8,8,2,2
53,138360,4704,8,8,2,2
53,137811,4769,8,8,2,2
53,142619,4992,8,8,2,2
57,155862,5585,8,8,2,2
57,119419,4184,8,8,2,2
57,138517,4151,8,8,2,2
57,119835,4098,8,8,2,2
57,138650,4737,8,8,2,2
61,137382,4856,8,8,2,2
61,154341,4424,8,8,2,2
61,139220,4747,8,8,2,2
61,121101,4178,8,8,2,2
61,138756,4887,8,8,2,2
65,139064,4769,8,8,2,2
65,119135,4001,8,8,2,2
65,136802,4569,8,8,2,2
65,137067,5050,8,8,2,2
65,118584,3984,8,8,2,2
69,118902,4053,8,8,2,2
69,151616,4181,8,8,2,2
69,120744,3883,8,8,2,2
69,138190,4590,8,8,2,2
69,138067,4574,8,8,2,2
73,120068,4036,8,8,2,2
73,138089,4763,8,8,2,2
73,119128,3974,8,8,2,2
73,153727,4673,8,8,2,2
73,119854,4104,8,8,2,2
77,136480,4241,8,8,2,2
77,132978,4108,8,8,2,2
77,118586,4140,8,8,2,2
77,123986,4364,8,8,2,2
77,138630,4855,8,8,2,2
81,119939,4241,8,8,2,2
81,134483,4129,8,8,2,2
81,154960,4885,8,8,2,2
81,138433,4675,8,8,2,2
81,140018,4846,8,8,2,2
85,118866,5089,8,8,2,2
85,134784,4175,8,8,2,2
85,119394,4099,8,8,2,2
85,118589,4178,8,8,2,2
85,138367,4563,8,8,2,2
89,120142,4393,8,8,2,2
89,119675,4175,8,8,2,2
89,138593,4790,8,8,2,2
89,119060,3986,8,8,2,2
89,138361,4656,8,8,2,2
93,119021,4081,8,8,2,2
93,119311,4637,8,8,2,2
93,137023,4459,8,8,2,2
93,138259,4516,8,8,2,2
93,133732,4584,8,8,2,2
97,133787,4244,8,8,2,2
97,138972,4829,8,8,2,2
97,138581,4816,8,8,2,2
97,120667,4160,8,8,2,2
97,138834,4650,8,8,2,2
101,139256,4799,8,8,2,2
101,120368,4086,8,8,2,2
101,139394,4729,8,8,2,2
101,120737,4114,8,8,2,2
101,130968,4784,8,8,2,2
105,119832,4095,8,8,2,2
105,120609,4049,8,8,2,2
105,151203,4121,8,8,2,2
105,154709,4699,8,8,2,2
105,139754,4533,8,8,2,2
109,120446,4150,8,8,2,2
109,139943,4722,8,8,2,2
109,120173,4677,8,8,2,2
109,138667,4777,8,8,2,2
109,137166,4640,8,8,2,2
113,120474,4290,8,8,2,2
113,138248,4717,8,8,2,2
113,130288,39617,8,8,2,2
113,151359,4807,8,8,2,2
113,121622,4185,8,8,2,2
117,119411,4558,8,8,2,2
117,120341,4112,8,8,2,2
117,120151,4106,8,8,2,2
117,120967,4077,8,8,2,2
117,120920,4173,8,8,2,2
121,139285,4609,8,8,2,2
121,129299,3914,8,8,2,2
121,139624,4602,8,8,2,2
121,120275,3887,8,8,2,2
121,120047,3868,8,8,2,2
125,120111,4272,8,8,2,2
125,120567,4082,8,8,2,2
125,147923,4945,8,8,2,2
125,139826,4677,8,8,2,2
125,121212,4149,8,8,2,2
129,138155,4297,8,8,2,2
129,139735,4591,8,8,2,2
129,139020,4703,8,8,2,2
129,141058,4797,8,8,2,2
129,133306,4087,8,8,2,2
133,120875,4193,8,8,2,2
133,138923,4744,8,8,2,2
133,121445,4188,8,8,2,2
133,157817,4670,8,8,2,2
133,122475,4092,8,8,2,2
137,120910,4518,8,8,2,2
137,140173,4661,8,8,2,2
137,139444,4714,8,8,2,2
137,140926,4613,8,8,2,2
137,120904,3997,8,8,2,2
141,139779,4726,8,8,2,2
141,121056,3931,8,8,2,2
141,139964,4655,8,8,2,2
141,121253,4023,8,8,2,2
141,157094,4581,8,8,2,2
145,141952,5007,8,8,2,2
145,122580,4155,8,8,2,2
145,120179,4223,8,8,2,2
145,139089,4775,8,8,2,2
145,145056,4776,8,8,2,2
149,122355,4497,8,8,2,2
149,121421,4123,8,8,2,2
149,124608,5050,8,8,2,2
149,141135,4913,8,8,2,2
149,121099,4104,8,8,2,2
153,121419,4225,8,8,2,2
153,140652,4726,8,8,2,2
153,121058,3994,8,8,2,2
153,181329,5215,8,8,2,2
153,140593,4723,8,8,2,2
157,140227,4964,8,8,2,2
157,158469,4791,8,8,2,2
157,122741,4742,8,8,2,2
157,120174,4122,8,8,2,2
157,176065,5376,8,8,2,2
161,133135,4074,8,8,2,2
161,139403,4504,8,8,2,2
161,120653,4046,8,8,2,2
161,153711,5032,8,8,2,2
161,139553,4840,8,8,2,2
165,120721,4174,8,8,2,2
165,120234,4176,8,8,2,2
165,153420,4299,8,8,2,2
165,121487,4003,8,8,2,2
165,140473,4677,8,8,2,2
169,139598,4687,8,8,2,2
169,121207,4018,8,8,2,2
169,139678,4696,8,8,2,2
169,120915,3988,8,8,2,2
169,140464,4511,8,8,2,2
173,142040,4173,8,8,2,2
173,120414,4296,8,8,2,2
173,121374,4182,8,8,2,2
173,122111,4299,8,8,2,2
173,120974,4265,8,8,2,2
177,121119,4162,8,8,2,2
177,140030,4607,8,8,2,2
177,121208,4132,8,8,2,2
177,140578,4673,8,8,2,2
177,121096,3898,8,8,2,2
181,121650,4450,8,8,2,2
181,140038,4845,8,8,2,2
181,120705,4059,8,8,2,2
181,120716,4290,8,8,2,2
181,140422,4650,8,8,2,2
185,139931,4808,8,8,2,2
185,128049,4593,8,8,2,2
185,156553,5360,8,8,2,2
185,123675,4223,8,8,2,2
185,173679,4824,8,8,2,2
189,141804,4945,8,8,2,2
189,142321,4823,8,8,2,2
189,141590,4993,8,8,2,2
189,204911,5614,8,8,2,2
189,155706,5173,8,8,2,2
193,149767,4532,8,8,2,2
193,141795,5345,8,8,2,2
193,152842,4699,8,8,2,2
193,140510,4788,8,8,2,2
193,161157,4588,8,8,2,2
197,122010,4548,8,8,2,2
197,148574,4234,8,8,2,2
197,124372,4397,8,8,2,2
197,141403,4634,8,8,2,2
197,140007,4804,8,8,2,2
201,139558,4200,8,8,2,2
