Pallet: "pallet_portfolio", Extrinsic: "move_portfolio_funds", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,47623,1931,11,9,2,2
1,47673,1903,11,9,2,2
1,47195,1891,11,9,2,2
1,47308,2044,11,9,2,2
1,47244,1933,11,9,2,2
5,100704,2118,23,21,10,2
5,100851,2030,23,21,10,2
5,99994,2073,23,21,10,2
5,99938,2152,23,21,10,2
5,101294,2077,23,21,10,2
9,152593,2204,35,33,18,2
9,151699,2096,35,33,18,2
9,153070,2112,35,33,18,2
9,152599,2136,35,33,18,2
9,152592,2155,35,33,18,2
13,205120,2314,47,45,26,2
13,203023,2144,47,45,26,2
13,203122,2198,47,45,26,2
13,203932,2190,47,45,26,2
13,203529,2210,47,45,26,2
17,257690,2201,59,57,34,2
17,254364,2230,59,57,34,2
17,256812,2280,59,57,34,2
17,256197,2237,59,57,34,2
17,260384,2325,59,57,34,2
21,308720,2553,71,69,42,2
21,307415,2264,71,69,42,2
21,341935,2321,71,69,42,2
21,303234,2239,71,69,42,2
21,305110,2336,71,69,42,2
25,366142,2367,83,81,50,2
25,365080,2353,83,81,50,2
25,362519,2402,83,81,50,2
25,363531,2427,83,81,50,2
25,364760,2310,83,81,50,2
29,422158,2508,95,93,58,2
29,421252,2345,95,93,58,2
29,422429,2385,95,93,58,2
29,419021,2313,95,93,58,2
29,423107,2473,95,93,58,2
33,472176,2239,107,105,66,2
33,472761,2372,107,105,66,2
33,471359,2414,107,105,66,2
33,473370,2380,107,105,66,2
33,474794,2369,107,105,66,2
37,548793,2422,119,117,74,2
37,529090,2429,119,117,74,2
37,528601,2323,119,117,74,2
37,533844,2440,119,117,74,2
37,534320,2397,119,117,74,2
41,596659,2330,131,129,82,2
41,586123,2409,131,129,82,2
41,588181,2463,131,129,82,2
41,587838,2458,131,129,82,2
41,589534,2416,131,129,82,2
45,634393,2385,143,141,90,2
45,633928,2363,143,141,90,2
45,632626,2334,143,141,90,2
45,635979,2350,143,141,90,2
45,632843,2344,143,141,90,2
49,688010,2513,155,153,98,2
49,684281,2380,155,153,98,2
49,684223,2366,155,153,98,2
49,685825,2517,155,153,98,2
49,686408,2432,155,153,98,2
53,733506,2290,167,165,106,2
53,736306,2406,167,165,106,2
53,735070,2392,167,165,106,2
53,735807,2366,167,165,106,2
53,731251,2383,167,165,106,2
57,786291,2623,179,177,114,2
57,784163,2468,179,177,114,2
57,786259,2398,179,177,114,2
57,794903,2429,179,177,114,2
57,794445,2501,179,177,114,2
61,831307,2524,191,189,122,2
61,841221,2481,191,189,122,2
61,833845,2435,191,189,122,2
61,865084,2468,191,189,122,2
61,835785,2383,191,189,122,2
65,890859,2519,203,201,130,2
65,897193,2454,203,201,130,2
65,896367,2418,203,201,130,2
65,895989,2347,203,201,130,2
65,902715,2507,203,201,130,2
69,960091,2512,215,213,138,2
69,968101,2451,215,213,138,2
69,960890,2485,215,213,138,2
69,964400,2581,215,213,138,2
69,960728,2476,215,213,138,2
73,1022290,2439,227,225,146,2
73,1020856,2638,227,225,146,2
73,1011295,2390,227,225,146,2
73,1019884,2530,227,225,146,2
73,1021463,2522,227,225,146,2
77,1074288,2443,239,237,154,2
77,1065903,2504,239,237,154,2
77,1063622,2462,239,237,154,2
77,1097620,2404,239,237,154,2
77,1069710,2509,239,237,154,2
81,1121100,2542,251,249,162,2
81,1122421,2536,251,249,162,2
81,1119049,2438,251,249,162,2
81,1121598,2541,251,249,162,2
81,1129438,2420,251,249,162,2
85,1200676,2541,263,261,170,2
85,1239784,2586,263,261,170,2
85,1198865,2497,263,261,170,2
85,1198270,2483,263,261,170,2
85,1196998,2556,263,261,170,2
89,1233893,2573,275,273,178,2
89,1224786,2584,275,273,178,2
89,1231887,2386,275,273,178,2
89,1233124,2523,275,273,178,2
89,1231319,2509,275,273,178,2
93,1293212,2530,287,285,186,2
93,1294662,2432,287,285,186,2
