Pallet: "pallet_protocol_fee", Extrinsic: "change_base_fee", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,34361,3319,1,4,1,2
0,34507,3289,1,4,1,2
0,34280,3266,1,4,1,2
0,34195,3203,1,4,1,2
0,34298,3269,1,4,1,2
42949672,42902,3288,1,4,1,2
42949672,34350,3210,1,4,1,2
42949672,34384,3232,1,4,1,2
42949672,34163,3145,1,4,1,2
42949672,34180,3639,1,4,1,2
85899344,39204,3798,1,4,1,2
85899344,39070,3878,1,4,1,2
85899344,39605,3697,1,4,1,2
85899344,39700,3759,1,4,1,2
85899344,39582,3668,1,4,1,2
128849016,38929,3818,1,4,1,2
128849016,39554,3646,1,4,1,2
128849016,39397,3624,1,4,1,2
128849016,40307,3206,1,4,1,2
128849016,33945,3139,1,4,1,2
171798688,33743,3176,1,4,1,2
171798688,33940,3087,1,4,1,2
171798688,33891,3270,1,4,1,2
171798688,34119,3043,1,4,1,2
171798688,33730,3198,1,4,1,2
214748360,33377,3359,1,4,1,2
214748360,33749,3267,1,4,1,2
214748360,33749,3246,1,4,1,2
214748360,33976,3261,1,4,1,2
214748360,33653,3231,1,4,1,2
257698032,33553,3348,1,4,1,2
257698032,33671,3311,1,4,1,2
257698032,33642,3253,1,4,1,2
257698032,33957,3196,1,4,1,2
257698032,33704,3168,1,4,1,2
300647704,33634,3236,1,4,1,2
300647704,34094,3085,1,4,1,2
300647704,33868,3160,1,4,1,2
300647704,33909,3125,1,4,1,2
300647704,33967,3167,1,4,1,2
343597376,33958,3299,1,4,1,2
343597376,33644,3278,1,4,1,2
343597376,33940,3323,1,4,1,2
343597376,33703,3273,1,4,1,2
343597376,33580,3290,1,4,1,2
386547048,33733,3266,1,4,1,2
386547048,33573,3127,1,4,1,2
386547048,33921,3696,1,4,1,2
386547048,49104,3790,1,4,1,2
386547048,39830,3619,1,4,1,2
429496720,39473,3806,1,4,1,2
429496720,39816,3803,1,4,1,2
429496720,39413,3616,1,4,1,2
429496720,39342,3641,1,4,1,2
429496720,39656,3711,1,4,1,2
472446392,46028,3234,1,4,1,2
472446392,33718,3280,1,4,1,2
472446392,33854,3170,1,4,1,2
472446392,34158,3186,1,4,1,2
472446392,33868,3092,1,4,1,2
515396064,33661,3342,1,4,1,2
515396064,33701,3171,1,4,1,2
515396064,34079,3179,1,4,1,2
515396064,33723,3305,1,4,1,2
515396064,33896,3089,1,4,1,2
558345736,33635,3285,1,4,1,2
558345736,33937,3206,1,4,1,2
558345736,34105,3135,1,4,1,2
558345736,33896,3134,1,4,1,2
558345736,34239,3107,1,4,1,2
601295408,54933,3727,1,4,1,2
601295408,39356,3677,1,4,1,2
601295408,39216,3686,1,4,1,2
601295408,47538,3099,1,4,1,2
601295408,33731,3103,1,4,1,2
644245080,33457,3336,1,4,1,2
644245080,33679,3262,1,4,1,2
644245080,33970,3373,1,4,1,2
644245080,34119,3296,1,4,1,2
644245080,34054,3230,1,4,1,2
687194752,44290,3303,1,4,1,2
687194752,33013,3138,1,4,1,2
687194752,32959,3140,1,4,1,2
687194752,32881,3084,1,4,1,2
687194752,32971,3174,1,4,1,2
730144424,33907,3332,1,4,1,2
730144424,33987,3282,1,4,1,2
730144424,34164,3244,1,4,1,2
730144424,33868,3198,1,4,1,2
730144424,33933,3275,1,4,1,2
773094096,33796,3323,1,4,1,2
773094096,33797,3221,1,4,1,2
773094096,108534,4478,1,4,1,2
773094096,36395,3405,1,4,1,2
773094096,34970,3315,1,4,1,2
816043768,34207,3413,1,4,1,2
816043768,34391,3333,1,4,1,2
816043768,34172,3318,1,4,1,2
816043768,34353,3227,1,4,1,2
816043768,34180,3276,1,4,1,2
858993440,34015,3355,1,4,1,2
858993440,33922,3322,1,4,1,2
858993440,33733,3185,1,4,1,2
858993440,34065,3193,1,4,1,2
858993440,34396,3262,1,4,1,2
901943112,34345,3404,1,4,1,2
901943112,34018,3212,1,4,1,2
901943112,34206,3159,1,4,1,2
901943112,34211,3179,1,4,1,2
901943112,124322,5118,1,4,1,2
944892784,34290,3563,1,4,1,2
944892784,34375,3280,1,4,1,2
944892784,34148,3342,1,4,1,2
944892784,34287,3209,1,4,1,2
944892784,34341,3226,1,4,1,2
987842456,33743,3197,1,4,1,2
987842456,33992,3178,1,4,1,2
987842456,33814,3281,1,4,1,2
987842456,34046,3298,1,4,1,2
987842456,34084,3257,1,4,1,2
1030792128,34352,3316,1,4,1,2
1030792128,34037,3169,1,4,1,2
1030792128,33855,3250,1,4,1,2
1030792128,33728,3275,1,4,1,2
1030792128,33925,3232,1,4,1,2
1073741800,39147,3778,1,4,1,2
1073741800,39281,3706,1,4,1,2
1073741800,39482,3727,1,4,1,2
1073741800,39479,3168,1,4,1,2
1073741800,34032,3186,1,4,1,2
1116691472,33532,3274,1,4,1,2
1116691472,33825,3279,1,4,1,2
1116691472,33953,3202,1,4,1,2
1116691472,39735,3883,1,4,1,2
1116691472,40240,3846,1,4,1,2
1159641144,39242,3860,1,4,1,2
1159641144,39479,3799,1,4,1,2
1159641144,39510,3615,1,4,1,2
1159641144,34139,3204,1,4,1,2
1159641144,34101,3116,1,4,1,2
1202590816,33749,3312,1,4,1,2
1202590816,33797,3180,1,4,1,2
1202590816,33996,3148,1,4,1,2
1202590816,33561,3131,1,4,1,2
1202590816,33991,3113,1,4,1,2
1245540488,33681,3318,1,4,1,2
1245540488,34106,3252,1,4,1,2
1245540488,34167,3216,1,4,1,2
1245540488,33923,3136,1,4,1,2
1245540488,42146,3742,1,4,1,2
1288490160,39533,3872,1,4,1,2
1288490160,39721,3702,1,4,1,2
1288490160,39445,3704,1,4,1,2
1288490160,39508,3675,1,4,1,2
1288490160,39103,3654,1,4,1,2
1331439832,38817,3715,1,4,1,2
1331439832,39090,3200,1,4,1,2
1331439832,33997,3187,1,4,1,2
1331439832,33768,3196,1,4,1,2
1331439832,33725,3196,1,4,1,2
1374389504,33763,3395,1,4,1,2
1374389504,33805,3468,1,4,1,2
1374389504,34496,3284,1,4,1,2
1374389504,33966,3227,1,4,1,2
1374389504,33921,3168,1,4,1,2
1417339176,33859,3268,1,4,1,2
1417339176,34248,3165,1,4,1,2
1417339176,34161,3201,1,4,1,2
1417339176,33918,3255,1,4,1,2
1417339176,33740,3186,1,4,1,2
1460288848,33807,3271,1,4,1,2
1460288848,33842,3210,1,4,1,2
1460288848,33780,3177,1,4,1,2
1460288848,33739,3278,1,4,1,2
1460288848,33725,3191,1,4,1,2
1503238520,33987,3208,1,4,1,2
1503238520,33768,3279,1,4,1,2
1503238520,45673,3283,1,4,1,2
1503238520,45513,3454,1,4,1,2
1503238520,34823,3287,1,4,1,2
1546188192,34031,3362,1,4,1,2
1546188192,34515,3229,1,4,1,2
1546188192,34096,3244,1,4,1,2
1546188192,34468,3170,1,4,1,2
1546188192,33882,3266,1,4,1,2
1589137864,33741,3249,1,4,1,2
1589137864,34116,3284,1,4,1,2
1589137864,34131,3249,1,4,1,2
1589137864,34089,3194,1,4,1,2
1589137864,34137,3178,1,4,1,2
1632087536,33743,3337,1,4,1,2
1632087536,34109,3500,1,4,1,2
1632087536,50425,3274,1,4,1,2
1632087536,34039,3290,1,4,1,2
1632087536,34313,3312,1,4,1,2
1675037208,33856,3252,1,4,1,2
1675037208,33952,3245,1,4,1,2
1675037208,34197,3259,1,4,1,2
1675037208,34236,3212,1,4,1,2
1675037208,34072,3201,1,4,1,2
1717986880,33918,3352,1,4,1,2
1717986880,34334,3292,1,4,1,2
1717986880,55069,3754,1,4,1,2
1717986880,39375,3742,1,4,1,2
1717986880,39701,3759,1,4,1,2
1760936552,38859,3903,1,4,1,2
1760936552,39167,3932,1,4,1,2
1760936552,46590,3813,1,4,1,2
1760936552,40051,3803,1,4,1,2
1760936552,39856,3755,1,4,1,2
1803886224,39285,3826,1,4,1,2
1803886224,39670,3875,1,4,1,2
1803886224,39766,3854,1,4,1,2
1803886224,39764,3764,1,4,1,2
1803886224,39505,3842,1,4,1,2
1846835896,34157,3277,1,4,1,2
1846835896,34012,3321,1,4,1,2
1846835896,34021,3330,1,4,1,2
1846835896,34105,3292,1,4,1,2
1846835896,33191,3089,1,4,1,2
1889785568,49626,3222,1,4,1,2
1889785568,32981,3118,1,4,1,2
1889785568,34092,3224,1,4,1,2
1889785568,33951,3197,1,4,1,2
1889785568,34169,3219,1,4,1,2
1932735240,33839,3317,1,4,1,2
1932735240,34160,3210,1,4,1,2
1932735240,34214,3278,1,4,1,2
1932735240,34216,3178,1,4,1,2
1932735240,34322,3295,1,4,1,2
1975684912,33900,3394,1,4,1,2
1975684912,34261,3114,1,4,1,2
1975684912,33652,3157,1,4,1,2
1975684912,33375,3228,1,4,1,2
1975684912,33339,3155,1,4,1,2
2018634584,32648,3159,1,4,1,2
2018634584,73196,3732,1,4,1,2
2018634584,39486,3696,1,4,1,2
2018634584,39736,3666,1,4,1,2
2018634584,39684,3713,1,4,1,2
2061584256,38945,3829,1,4,1,2
2061584256,39598,3784,1,4,1,2
2061584256,39521,3736,1,4,1,2
2061584256,39759,3669,1,4,1,2
2061584256,50783,3161,1,4,1,2
2104533928,33073,3275,1,4,1,2
2104533928,33151,3170,1,4,1,2
2104533928,33144,3088,1,4,1,2
2104533928,32994,3104,1,4,1,2
2104533928,41692,3458,1,4,1,2
2147483600,34194,3342,1,4,1,2
2147483600,34181,3304,1,4,1,2
2147483600,33942,3222,1,4,1,2
2147483600,33961,3153,1,4,1,2
2147483600,34025,3233,1,4,1,2
2190433272,34037,3400,1,4,1,2
2190433272,34411,3227,1,4,1,2
2190433272,34467,3246,1,4,1,2
2190433272,33925,3201,1,4,1,2
2190433272,34046,3161,1,4,1,2
2233382944,33740,3163,1,4,1,2
2233382944,34241,3121,1,4,1,2
2233382944,34233,3162,1,4,1,2
2233382944,34141,3173,1,4,1,2
2233382944,34170,3164,1,4,1,2
2276332616,39674,3882,1,4,1,2
2276332616,39970,3692,1,4,1,2
2276332616,39658,3719,1,4,1,2
2276332616,39607,3741,1,4,1,2
2276332616,39557,3689,1,4,1,2
2319282288,39496,3649,1,4,1,2
2319282288,39403,3730,1,4,1,2
2319282288,39271,3702,1,4,1,2
