Pallet: "pallet_protocol_fee", Extrinsic: "change_coefficient", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
n,d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,4294967295,33658,3534,1,4,1,2
0,4294967295,33106,3663,1,4,1,2
0,4294967295,36446,3573,1,4,1,2
0,4294967295,35817,3566,1,4,1,2
0,4294967295,35697,3528,1,4,1,2
85899345,4294967295,35794,3587,1,4,1,2
85899345,4294967295,35751,3513,1,4,1,2
85899345,4294967295,35394,3417,1,4,1,2
85899345,4294967295,35541,3403,1,4,1,2
85899345,4294967295,35871,3466,1,4,1,2
171798690,4294967295,35866,3595,1,4,1,2
171798690,4294967295,35904,3530,1,4,1,2
171798690,4294967295,35847,3454,1,4,1,2
171798690,4294967295,32971,3297,1,4,1,2
171798690,4294967295,32967,3165,1,4,1,2
257698035,4294967295,35556,3692,1,4,1,2
257698035,4294967295,35707,3515,1,4,1,2
257698035,4294967295,35392,3564,1,4,1,2
257698035,4294967295,35420,3500,1,4,1,2
257698035,4294967295,35195,3593,1,4,1,2
343597380,4294967295,35623,3582,1,4,1,2
343597380,4294967295,35750,3508,1,4,1,2
343597380,4294967295,35620,3459,1,4,1,2
343597380,4294967295,35928,3461,1,4,1,2
343597380,4294967295,35524,3516,1,4,1,2
429496725,4294967295,46874,3314,1,4,1,2
429496725,4294967295,32429,3288,1,4,1,2
429496725,4294967295,32465,3183,1,4,1,2
429496725,4294967295,32594,3086,1,4,1,2
429496725,4294967295,32184,3110,1,4,1,2
515396070,4294967295,32293,4036,1,4,1,2
515396070,4294967295,39918,3974,1,4,1,2
515396070,4294967295,39599,3921,1,4,1,2
515396070,4294967295,39271,3842,1,4,1,2
515396070,4294967295,39621,3842,1,4,1,2
601295415,4294967295,39599,3912,1,4,1,2
601295415,4294967295,39676,3772,1,4,1,2
601295415,4294967295,39281,3823,1,4,1,2
601295415,4294967295,39434,3758,1,4,1,2
601295415,4294967295,39222,3401,1,4,1,2
687194760,4294967295,35503,3757,1,4,1,2
687194760,4294967295,35817,3618,1,4,1,2
687194760,4294967295,36165,3505,1,4,1,2
687194760,4294967295,35670,3516,1,4,1,2
687194760,4294967295,35710,3440,1,4,1,2
773094105,4294967295,32403,3202,1,4,1,2
773094105,4294967295,32428,3138,1,4,1,2
773094105,4294967295,32473,3107,1,4,1,2
773094105,4294967295,32341,3140,1,4,1,2
773094105,4294967295,32629,3140,1,4,1,2
858993450,4294967295,35471,3511,1,4,1,2
858993450,4294967295,35734,3448,1,4,1,2
858993450,4294967295,35536,3518,1,4,1,2
858993450,4294967295,35563,3401,1,4,1,2
858993450,4294967295,35539,3419,1,4,1,2
944892795,4294967295,35510,3430,1,4,1,2
944892795,4294967295,35761,3508,1,4,1,2
944892795,4294967295,35618,3496,1,4,1,2
944892795,4294967295,35538,3406,1,4,1,2
944892795,4294967295,60175,3835,1,4,1,2
1030792140,4294967295,39544,3838,1,4,1,2
1030792140,4294967295,39851,3769,1,4,1,2
1030792140,4294967295,39547,3863,1,4,1,2
1030792140,4294967295,39459,3796,1,4,1,2
1030792140,4294967295,39528,3843,1,4,1,2
1116691485,4294967295,39166,3426,1,4,1,2
1116691485,4294967295,35559,3441,1,4,1,2
1116691485,4294967295,35515,3529,1,4,1,2
1116691485,4294967295,35734,3367,1,4,1,2
1116691485,4294967295,35594,3627,1,4,1,2
1202590830,4294967295,35457,3728,1,4,1,2
1202590830,4294967295,35786,3794,1,4,1,2
1202590830,4294967295,35822,3611,1,4,1,2
1202590830,4294967295,35654,3511,1,4,1,2
1202590830,4294967295,35802,3599,1,4,1,2
1288490175,4294967295,35423,3549,1,4,1,2
1288490175,4294967295,35590,3535,1,4,1,2
1288490175,4294967295,35654,3499,1,4,1,2
1288490175,4294967295,35390,3485,1,4,1,2
1288490175,4294967295,35673,3434,1,4,1,2
1374389520,4294967295,35500,3521,1,4,1,2
1374389520,4294967295,35761,3390,1,4,1,2
1374389520,4294967295,35620,3412,1,4,1,2
1374389520,4294967295,35682,3401,1,4,1,2
1374389520,4294967295,35687,3492,1,4,1,2
1460288865,4294967295,35572,3487,1,4,1,2
1460288865,4294967295,35740,3693,1,4,1,2
1460288865,4294967295,47245,3552,1,4,1,2
1460288865,4294967295,35935,3441,1,4,1,2
1460288865,4294967295,35534,3399,1,4,1,2
