Pallet: "pallet_scheduler", Extrinsic: "schedule", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,14205,1768,1,5,1,2
0,13554,1612,1,5,1,2
0,13414,1568,1,5,1,2
0,13246,1549,1,5,1,2
0,13238,1510,1,5,1,2
1,14355,1657,1,5,1,2
1,14436,1641,1,5,1,2
1,14384,1608,1,5,1,2
1,14125,1603,1,5,1,2
1,14319,1608,1,5,1,2
2,14660,1630,1,5,1,2
2,14457,1640,1,5,1,2
2,14628,1576,1,5,1,2
2,14516,1634,1,5,1,2
2,14625,1624,1,5,1,2
3,14586,1639,1,5,1,2
3,14797,1664,1,5,1,2
3,15090,1567,1,5,1,2
3,14658,1591,1,5,1,2
3,14616,1598,1,5,1,2
4,14896,1629,1,5,1,2
4,14834,1615,1,5,1,2
4,14843,1662,1,5,1,2
4,14626,1630,1,5,1,2
4,14735,1608,1,5,1,2
5,14923,1797,1,5,1,2
5,15168,1682,1,5,1,2
5,14717,1646,1,5,1,2
5,14723,1599,1,5,1,2
5,14933,1645,1,5,1,2
6,15076,1713,1,5,1,2
6,15380,1689,1,5,1,2
6,14755,1635,1,5,1,2
6,14823,1723,1,5,1,2
6,14903,1674,1,5,1,2
7,15672,1703,1,5,1,2
7,15448,1675,1,5,1,2
7,15253,1592,1,5,1,2
7,15196,1628,1,5,1,2
7,15492,1613,1,5,1,2
8,15548,1697,1,5,1,2
8,15389,1678,1,5,1,2
8,15540,1628,1,5,1,2
8,15530,1616,1,5,1,2
8,15480,1611,1,5,1,2
9,15545,1661,1,5,1,2
9,16171,1653,1,5,1,2
9,15704,1640,1,5,1,2
9,15606,1722,1,5,1,2
9,15877,1685,1,5,1,2
10,15358,1757,1,5,1,2
10,15761,1723,1,5,1,2
10,15530,1679,1,5,1,2
10,15456,1655,1,5,1,2
10,15712,1714,1,5,1,2
11,15956,1729,1,5,1,2
11,16094,1672,1,5,1,2
11,16168,1633,1,5,1,2
11,16435,1670,1,5,1,2
11,16275,1659,1,5,1,2
12,15910,1761,1,5,1,2
12,16025,1739,1,5,1,2
12,16171,1685,1,5,1,2
12,16063,1672,1,5,1,2
12,15695,1672,1,5,1,2
13,16234,1705,1,5,1,2
13,16450,1709,1,5,1,2
13,16550,1785,1,5,1,2
13,16497,1733,1,5,1,2
13,16296,1720,1,5,1,2
14,16371,1759,1,5,1,2
14,16863,1734,1,5,1,2
14,16935,1742,1,5,1,2
14,16807,1755,1,5,1,2
14,16479,1730,1,5,1,2
15,16773,1784,1,5,1,2
15,16591,1744,1,5,1,2
15,16612,1770,1,5,1,2
15,16531,1697,1,5,1,2
15,16177,1681,1,5,1,2
16,16215,1751,1,5,1,2
16,16633,1684,1,5,1,2
16,16248,1730,1,5,1,2
16,16068,1665,1,5,1,2
16,16204,1780,1,5,1,2
17,16582,1790,1,5,1,2
17,16549,1751,1,5,1,2
17,16392,1752,1,5,1,2
17,16438,1725,1,5,1,2
17,16615,1730,1,5,1,2
18,16217,1722,1,5,1,2
18,16303,1703,1,5,1,2
18,16373,1671,1,5,1,2
18,16368,1668,1,5,1,2
18,16386,1669,1,5,1,2
19,16617,1794,1,5,1,2
19,16688,1704,1,5,1,2
19,16515,1700,1,5,1,2
19,16622,1696,1,5,1,2
19,16809,1740,1,5,1,2
20,17034,1882,1,5,1,2
20,17056,1781,1,5,1,2
20,16670,1828,1,5,1,2
20,16896,1763,1,5,1,2
20,17132,1785,1,5,1,2
21,16771,1787,1,5,1,2
21,16690,1726,1,5,1,2
21,16923,1746,1,5,1,2
21,17015,1706,1,5,1,2
21,16803,1731,1,5,1,2
22,17585,1879,1,5,1,2
22,17662,1823,1,5,1,2
22,17291,1718,1,5,1,2
22,17370,1694,1,5,1,2
22,17394,1758,1,5,1,2
23,17197,1935,1,5,1,2
23,17556,1807,1,5,1,2
23,16907,1808,1,5,1,2
23,17255,1728,1,5,1,2
23,17029,1744,1,5,1,2
24,17007,1884,1,5,1,2
24,17519,1794,1,5,1,2
24,17108,1727,1,5,1,2
24,17247,1723,1,5,1,2
24,17008,1723,1,5,1,2
25,17743,1785,1,5,1,2
25,17511,1788,1,5,1,2
25,17560,1782,1,5,1,2
25,17564,1812,1,5,1,2
25,17744,1774,1,5,1,2
26,17570,1799,1,5,1,2
26,17697,1740,1,5,1,2
26,17776,1747,1,5,1,2
26,17506,1836,1,5,1,2
26,17722,1805,1,5,1,2
27,17494,1821,1,5,1,2
27,17555,1839,1,5,1,2
27,17470,1826,1,5,1,2
27,17625,1728,1,5,1,2
27,17730,1736,1,5,1,2
28,17659,1958,1,5,1,2
28,17941,1806,1,5,1,2
