Pallet: "pallet_scheduler", Extrinsic: "schedule_named", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,16218,1826,2,5,2,2
0,16026,1662,2,5,2,2
0,15672,1603,2,5,2,2
0,15642,1632,2,5,2,2
0,15735,1575,2,5,2,2
1,17350,1729,2,5,2,2
1,17386,1751,2,5,2,2
1,16983,1757,2,5,2,2
1,17354,1679,2,5,2,2
1,16976,1665,2,5,2,2
2,17697,1817,2,5,2,2
2,17645,1725,2,5,2,2
2,17321,1683,2,5,2,2
2,17571,1698,2,5,2,2
2,17438,1685,2,5,2,2
3,17749,1840,2,5,2,2
3,17827,1732,2,5,2,2
3,17650,1731,2,5,2,2
3,17875,1682,2,5,2,2
3,17642,1677,2,5,2,2
4,18150,1715,2,5,2,2
4,18099,1667,2,5,2,2
4,17966,1682,2,5,2,2
4,17988,1601,2,5,2,2
4,18005,1616,2,5,2,2
5,17753,1759,2,5,2,2
5,17680,1663,2,5,2,2
5,18057,1630,2,5,2,2
5,17869,1677,2,5,2,2
5,17916,1682,2,5,2,2
6,17639,1714,2,5,2,2
6,17668,1763,2,5,2,2
6,17811,1716,2,5,2,2
6,17904,1694,2,5,2,2
6,17789,1696,2,5,2,2
7,18828,1726,2,5,2,2
7,18495,1747,2,5,2,2
7,18373,1721,2,5,2,2
7,18539,1731,2,5,2,2
7,18326,1716,2,5,2,2
8,18474,1845,2,5,2,2
8,18273,1719,2,5,2,2
8,18144,1681,2,5,2,2
8,18158,1554,2,5,2,2
8,18253,1630,2,5,2,2
9,18745,1813,2,5,2,2
9,19059,1768,2,5,2,2
9,18717,1716,2,5,2,2
9,18835,1690,2,5,2,2
9,18922,1741,2,5,2,2
10,18507,1805,2,5,2,2
10,18476,1805,2,5,2,2
10,18382,1779,2,5,2,2
10,18564,1778,2,5,2,2
10,18213,1649,2,5,2,2
11,18757,1864,2,5,2,2
11,19252,1804,2,5,2,2
11,19072,1738,2,5,2,2
11,18940,1760,2,5,2,2
11,18814,1740,2,5,2,2
12,18686,1693,2,5,2,2
12,18878,1725,2,5,2,2
12,19044,1636,2,5,2,2
12,18780,1663,2,5,2,2
12,18813,1679,2,5,2,2
13,19906,1758,2,5,2,2
13,19756,1757,2,5,2,2
13,20137,1706,2,5,2,2
13,19793,1767,2,5,2,2
13,19992,1795,2,5,2,2
14,19940,1811,2,5,2,2
14,19778,1754,2,5,2,2
14,19637,1816,2,5,2,2
14,19852,1827,2,5,2,2
14,19653,1727,2,5,2,2
15,20064,1782,2,5,2,2
15,20295,1821,2,5,2,2
15,19956,1743,2,5,2,2
15,19868,1681,2,5,2,2
15,19844,1703,2,5,2,2
16,19440,1807,2,5,2,2
16,19611,1751,2,5,2,2
16,19696,1674,2,5,2,2
16,19365,1781,2,5,2,2
16,19488,1752,2,5,2,2
17,20072,1862,2,5,2,2
