Pallet: "pallet_settlement", Extrinsic: "affirm_instruction", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
l,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,167539,4571,10,10,1,2
0,146013,4258,10,10,1,2
0,169441,4619,10,10,1,2
0,145245,4112,10,10,1,2
0,145107,4511,10,10,1,2
1,271698,5109,14,14,5,2
1,237850,4382,14,14,5,2
1,274526,5129,14,14,5,2
1,238085,4559,14,14,5,2
1,236493,4342,14,14,5,2
2,315935,4575,17,17,7,2
2,301786,4336,17,17,7,2
2,292521,4323,17,17,7,2
2,300081,4483,17,17,7,2
2,354734,5639,17,17,7,2
3,358564,4312,20,20,9,2
3,361245,5254,20,20,9,2
3,383597,5213,20,20,9,2
3,387893,4394,20,20,9,2
3,475038,5473,20,20,9,2
4,428338,5984,23,23,11,2
4,429371,5629,23,23,11,2
4,544879,6583,23,23,11,2
4,549574,6331,23,23,11,2
4,539811,5220,23,23,11,2
5,484555,4770,26,26,13,2
5,483468,4600,26,26,13,2
5,542687,5403,26,26,13,2
5,567866,5466,26,26,13,2
5,561813,5823,26,26,13,2
6,541621,5304,29,29,15,2
6,546636,4981,29,29,15,2
6,726436,4953,29,29,15,2
6,538945,4672,29,29,15,2
6,543989,4734,29,29,15,2
7,600026,4812,32,32,17,2
7,675970,4660,32,32,17,2
7,604832,4685,32,32,17,2
7,674164,4611,32,32,17,2
7,691735,5159,32,32,17,2
8,761003,4770,35,35,19,2
8,743732,4838,35,35,19,2
8,725808,5151,35,35,19,2
8,656483,4382,35,35,19,2
8,745329,4534,35,35,19,2
9,843511,7115,38,38,21,2
9,724975,6760,38,38,21,2
9,733166,5044,38,38,21,2
9,718567,4734,38,38,21,2
9,717199,4524,38,38,21,2
10,836032,5341,41,41,23,2
10,845880,4772,41,41,23,2
10,909426,5183,41,41,23,2
10,828869,4563,41,41,23,2
10,782857,4509,41,41,23,2
11,900487,5384,44,44,25,2
11,997807,5564,44,44,25,2
11,813620,4535,44,44,25,2
11,983652,5408,44,44,25,2
11,928086,4635,44,44,25,2
12,935967,4901,47,47,27,2
