Pallet: "pallet_settlement", Extrinsic: "allow_venues", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,35152,1889,7,8,0,2
0,35962,1897,7,8,0,2
0,35815,1903,7,8,0,2
0,35523,1889,7,8,0,2
0,35687,1889,7,8,0,2
1,37255,2060,7,8,1,2
1,37144,1964,7,8,1,2
1,36902,1979,7,8,1,2
1,42147,2006,7,8,1,2
1,36838,2127,7,8,1,2
2,37440,2025,7,8,2,2
2,37355,2113,7,8,2,2
2,37627,2031,7,8,2,2
2,37259,2062,7,8,2,2
2,38307,2058,7,8,2,2
3,37976,1993,7,8,3,2
3,38114,2030,7,8,3,2
3,38432,1973,7,8,3,2
3,38055,1999,7,8,3,2
3,38056,2026,7,8,3,2
4,38647,2000,7,8,4,2
4,39171,1994,7,8,4,2
4,38688,1981,7,8,4,2
4,39249,1940,7,8,4,2
4,38972,1907,7,8,4,2
5,39048,2050,7,8,5,2
5,39646,2024,7,8,5,2
5,39878,2002,7,8,5,2
5,38909,2000,7,8,5,2
5,39448,1995,7,8,5,2
6,39969,2124,7,8,6,2
6,40376,2042,7,8,6,2
6,40001,2021,7,8,6,2
6,40258,2080,7,8,6,2
6,40303,2050,7,8,6,2
7,40743,2139,7,8,7,2
7,40996,2072,7,8,7,2
7,40846,2035,7,8,7,2
7,40942,2041,7,8,7,2
7,40963,2029,7,8,7,2
8,41421,2014,7,8,8,2
8,41376,1972,7,8,8,2
8,41269,2107,7,8,8,2
8,41742,2053,7,8,8,2
8,41467,2056,7,8,8,2
9,41909,2030,7,8,9,2
9,42919,2036,7,8,9,2
9,41774,1986,7,8,9,2
9,42471,2058,7,8,9,2
9,42535,2076,7,8,9,2
10,43790,2034,7,8,10,2
10,44398,2073,7,8,10,2
10,43863,2114,7,8,10,2
10,43449,2032,7,8,10,2
10,43979,2082,7,8,10,2
11,44224,2050,7,8,11,2
11,44654,2100,7,8,11,2
11,44834,2070,7,8,11,2
11,44077,1997,7,8,11,2
11,44663,2195,7,8,11,2
12,45782,2157,7,8,12,2
12,45875,2128,7,8,12,2
12,45518,2160,7,8,12,2
12,45478,2113,7,8,12,2
12,45552,2115,7,8,12,2
13,46138,2157,7,8,13,2
13,46145,2091,7,8,13,2
13,46264,2049,7,8,13,2
13,46422,2070,7,8,13,2
13,46672,2135,7,8,13,2
14,46856,2061,7,8,14,2
14,47163,2079,7,8,14,2
14,46888,2066,7,8,14,2
14,46703,2034,7,8,14,2
14,46196,2124,7,8,14,2
15,47707,2089,7,8,15,2
15,47467,2064,7,8,15,2
15,47859,2138,7,8,15,2
15,48598,2059,7,8,15,2
15,47755,2065,7,8,15,2
16,48488,2142,7,8,16,2
16,47980,2070,7,8,16,2
16,48619,2236,7,8,16,2
16,47991,2104,7,8,16,2
16,48421,2056,7,8,16,2
17,49600,2109,7,8,17,2
17,50792,2078,7,8,17,2
17,49896,2155,7,8,17,2
17,48970,2190,7,8,17,2
17,50352,2105,7,8,17,2
18,50439,2203,7,8,18,2
18,50639,2129,7,8,18,2
18,51129,2121,7,8,18,2
18,51024,2124,7,8,18,2
18,51259,2158,7,8,18,2
19,51422,2100,7,8,19,2
19,52167,2112,7,8,19,2
19,52138,2061,7,8,19,2
19,52107,2169,7,8,19,2
19,51434,2122,7,8,19,2
20,51965,2191,7,8,20,2
20,52193,2145,7,8,20,2
20,51925,2034,7,8,20,2
20,52266,2117,7,8,20,2
20,52621,2119,7,8,20,2
21,52154,2146,7,8,21,2
21,52836,2119,7,8,21,2
21,52204,2068,7,8,21,2
21,52647,2148,7,8,21,2
21,52476,2141,7,8,21,2
22,53473,2211,7,8,22,2
22,54404,2069,7,8,22,2
22,54227,2197,7,8,22,2
22,54055,2170,7,8,22,2
22,53930,2123,7,8,22,2
23,54810,2134,7,8,23,2
23,54448,2146,7,8,23,2
23,54027,2185,7,8,23,2
23,53500,2128,7,8,23,2
23,54324,2112,7,8,23,2
24,54939,2336,7,8,24,2
24,55393,2141,7,8,24,2
24,54672,2111,7,8,24,2
24,55437,2190,7,8,24,2
24,54660,2212,7,8,24,2
25,55487,2173,7,8,25,2
25,56092,2187,7,8,25,2
25,55254,2095,7,8,25,2
25,55851,2081,7,8,25,2
25,55331,2106,7,8,25,2
26,56135,2133,7,8,26,2
26,56709,2099,7,8,26,2
26,56934,2154,7,8,26,2
26,56496,2105,7,8,26,2
26,57046,2151,7,8,26,2
27,57817,2135,7,8,27,2
27,57358,2139,7,8,27,2
27,57493,2038,7,8,27,2
27,57620,2214,7,8,27,2
27,56243,2221,7,8,27,2
28,58087,2242,7,8,28,2
28,57881,2178,7,8,28,2
28,58434,2091,7,8,28,2
28,58050,2079,7,8,28,2
28,58320,2167,7,8,28,2
29,59141,2256,7,8,29,2
29,59353,2140,7,8,29,2
29,59307,2114,7,8,29,2
29,60146,2149,7,8,29,2
29,59388,2109,7,8,29,2
30,59612,2112,7,8,30,2
30,61301,2174,7,8,30,2
30,60939,2202,7,8,30,2
30,60978,2169,7,8,30,2
30,60997,2166,7,8,30,2
31,61394,2168,7,8,31,2
31,61728,2129,7,8,31,2
31,60226,2130,7,8,31,2
31,62352,2156,7,8,31,2
31,61133,2246,7,8,31,2
32,62592,2137,7,8,32,2
32,63155,2216,7,8,32,2
32,62691,2198,7,8,32,2
32,61978,2241,7,8,32,2
32,61648,2266,7,8,32,2
33,63608,2152,7,8,33,2
33,63312,2213,7,8,33,2
33,62558,2142,7,8,33,2
33,63732,2036,7,8,33,2
33,63342,2042,7,8,33,2
34,64577,2185,7,8,34,2
34,63430,2068,7,8,34,2
34,63345,2073,7,8,34,2
34,64764,2159,7,8,34,2
34,63870,2158,7,8,34,2
35,64633,2097,7,8,35,2
35,64651,2232,7,8,35,2
35,65250,2101,7,8,35,2
35,64604,2173,7,8,35,2
35,63887,2126,7,8,35,2
36,65298,2188,7,8,36,2
36,65361,2116,7,8,36,2
36,64243,2252,7,8,36,2
36,64349,2075,7,8,36,2
36,64533,2166,7,8,36,2
37,69011,2278,7,8,37,2
37,66467,2166,7,8,37,2
37,65783,2143,7,8,37,2
37,65718,2132,7,8,37,2
37,66583,2151,7,8,37,2
38,66866,2162,7,8,38,2
38,66662,2161,7,8,38,2
38,67057,2186,7,8,38,2
38,66836,2164,7,8,38,2
38,66298,2208,7,8,38,2
39,66711,2221,7,8,39,2
39,67347,2234,7,8,39,2
39,66986,2140,7,8,39,2
39,68236,2154,7,8,39,2
39,66257,2350,7,8,39,2
40,67585,2263,7,8,40,2
40,67524,2182,7,8,40,2
40,67246,2169,7,8,40,2
40,66823,2177,7,8,40,2
40,70368,2142,7,8,40,2
41,67770,2120,7,8,41,2
41,68105,2290,7,8,41,2
41,67901,2191,7,8,41,2
41,68790,2182,7,8,41,2
41,68621,2022,7,8,41,2
42,68987,2207,7,8,42,2
42,69298,2157,7,8,42,2
42,70255,2132,7,8,42,2
42,68383,2121,7,8,42,2
42,69096,2176,7,8,42,2
43,70250,2224,7,8,43,2
43,70813,2150,7,8,43,2
43,70049,2165,7,8,43,2
43,71447,2130,7,8,43,2
43,71402,2213,7,8,43,2
44,72055,2206,7,8,44,2
44,72163,2173,7,8,44,2
44,72510,2298,7,8,44,2
44,71966,2155,7,8,44,2
44,72267,2146,7,8,44,2
45,72350,2166,7,8,45,2
45,72681,2265,7,8,45,2
45,70897,2305,7,8,45,2
45,72815,2256,7,8,45,2
45,72499,2198,7,8,45,2
46,73103,2169,7,8,46,2
46,71990,2208,7,8,46,2
46,71614,2202,7,8,46,2
46,72255,2175,7,8,46,2
46,73561,2199,7,8,46,2
47,73115,2236,7,8,47,2
47,74160,2302,7,8,47,2
47,74433,2160,7,8,47,2
47,73819,2208,7,8,47,2
47,73747,2131,7,8,47,2
48,73967,2241,7,8,48,2
48,75040,2141,7,8,48,2
48,73687,2115,7,8,48,2
48,73260,2102,7,8,48,2
48,73631,2158,7,8,48,2
49,74431,2116,7,8,49,2
49,75540,2131,7,8,49,2
49,74316,2162,7,8,49,2
49,75819,2186,7,8,49,2
49,75723,2236,7,8,49,2
50,75630,2269,7,8,50,2
50,75983,2203,7,8,50,2
50,76298,2222,7,8,50,2
50,74072,2185,7,8,50,2
50,76203,2213,7,8,50,2
51,75511,2200,7,8,51,2
51,75818,2161,7,8,51,2
51,75506,2187,7,8,51,2
51,75574,2299,7,8,51,2
51,76245,2284,7,8,51,2
52,77655,2230,7,8,52,2
52,76079,2266,7,8,52,2
52,78132,2198,7,8,52,2
52,75902,2248,7,8,52,2
52,78234,2220,7,8,52,2
53,78739,2149,7,8,53,2
53,77923,2259,7,8,53,2
53,78760,2243,7,8,53,2
53,78488,2184,7,8,53,2
53,78856,2006,7,8,53,2
54,80516,2155,7,8,54,2
54,80126,2163,7,8,54,2
54,79688,2305,7,8,54,2
54,78547,2231,7,8,54,2
54,79363,2232,7,8,54,2
55,79779,2190,7,8,55,2
55,77558,2166,7,8,55,2
55,77871,2156,7,8,55,2
55,80287,2242,7,8,55,2
55,80934,2127,7,8,55,2
56,80711,2333,7,8,56,2
56,81434,2279,7,8,56,2
56,80521,2234,7,8,56,2
56,78776,2184,7,8,56,2
56,78522,2263,7,8,56,2
57,79868,2249,7,8,57,2
57,81552,2271,7,8,57,2
57,79712,2207,7,8,57,2
57,80362,2148,7,8,57,2
57,80476,2304,7,8,57,2
58,81606,2241,7,8,58,2
58,82175,2239,7,8,58,2
58,82198,2138,7,8,58,2
58,82282,2287,7,8,58,2
58,80907,2234,7,8,58,2
59,81418,2195,7,8,59,2
59,81831,2177,7,8,59,2
59,83296,2167,7,8,59,2
59,80863,2225,7,8,59,2
59,82011,2209,7,8,59,2
60,82692,2285,7,8,60,2
60,84760,2268,7,8,60,2
60,83252,2210,7,8,60,2
60,82616,2144,7,8,60,2
60,83956,2313,7,8,60,2
61,84547,2263,7,8,61,2
61,84091,2238,7,8,61,2
61,82427,2230,7,8,61,2
61,83100,2141,7,8,61,2
61,84081,2238,7,8,61,2
62,85563,2169,7,8,62,2
62,82756,2154,7,8,62,2
62,84974,2117,7,8,62,2
62,85213,2248,7,8,62,2
62,85136,2144,7,8,62,2
63,85285,2221,7,8,63,2
63,84079,2276,7,8,63,2
63,86237,2191,7,8,63,2
63,85986,2167,7,8,63,2
63,83523,2105,7,8,63,2
64,86876,2244,7,8,64,2
64,85320,2333,7,8,64,2
64,87072,2252,7,8,64,2
64,85609,2174,7,8,64,2
64,86430,2211,7,8,64,2
65,85611,2281,7,8,65,2
65,87044,2346,7,8,65,2
65,87093,2197,7,8,65,2
65,87217,2249,7,8,65,2
65,86563,2230,7,8,65,2
66,86681,2298,7,8,66,2
66,86169,2242,7,8,66,2
66,88161,2205,7,8,66,2
66,87888,2185,7,8,66,2
66,88349,2215,7,8,66,2
67,89130,2431,7,8,67,2
67,89365,2279,7,8,67,2
67,89535,2307,7,8,67,2
67,89458,2199,7,8,67,2
67,87231,2335,7,8,67,2
68,88246,2243,7,8,68,2
68,87945,2262,7,8,68,2
68,90542,2208,7,8,68,2
68,87224,2256,7,8,68,2
68,89058,2248,7,8,68,2
69,90481,2225,7,8,69,2
69,90335,2288,7,8,69,2
69,90133,2262,7,8,69,2
69,90392,2111,7,8,69,2
69,87888,2134,7,8,69,2
70,89176,2186,7,8,70,2
70,87712,2200,7,8,70,2
70,90136,2282,7,8,70,2
70,89562,2207,7,8,70,2
70,87790,2259,7,8,70,2
71,89763,2270,7,8,71,2
71,88818,2258,7,8,71,2
71,91944,2135,7,8,71,2
71,90917,2204,7,8,71,2
71,92063,2222,7,8,71,2
72,92422,2282,7,8,72,2
72,93263,2193,7,8,72,2
72,90656,2222,7,8,72,2
72,93987,2339,7,8,72,2
72,92466,2228,7,8,72,2
73,92739,2272,7,8,73,2
73,91361,2206,7,8,73,2
73,92680,2253,7,8,73,2
73,92779,2189,7,8,73,2
73,90837,2164,7,8,73,2
74,93485,2286,7,8,74,2
74,93941,2338,7,8,74,2
74,94076,2256,7,8,74,2
74,92772,2441,7,8,74,2
74,93754,2248,7,8,74,2
75,93665,2406,7,8,75,2
75,92040,2235,7,8,75,2
75,92703,2213,7,8,75,2
75,91741,2163,7,8,75,2
75,92185,5374,7,8,75,2
76,94323,2314,7,8,76,2
76,94168,2136,7,8,76,2
76,92975,2352,7,8,76,2
76,95729,2309,7,8,76,2
76,95560,2299,7,8,76,2
77,96569,2311,7,8,77,2
77,96076,2318,7,8,77,2
77,95288,2251,7,8,77,2
77,96647,2394,7,8,77,2
77,97573,2315,7,8,77,2
78,97022,2237,7,8,78,2
78,97650,2214,7,8,78,2
78,96088,2251,7,8,78,2
78,97111,5317,7,8,78,2
78,98209,2280,7,8,78,2
79,98224,2188,7,8,79,2
79,95740,2252,7,8,79,2
79,96417,2166,7,8,79,2
79,94713,2333,7,8,79,2
79,97597,2228,7,8,79,2
80,98787,2129,7,8,80,2
80,96935,2293,7,8,80,2
80,95645,2193,7,8,80,2
80,97216,2179,7,8,80,2
80,98599,2262,7,8,80,2
81,98518,2368,7,8,81,2
81,99629,2323,7,8,81,2
81,100305,2274,7,8,81,2
81,100318,2252,7,8,81,2
81,97981,2158,7,8,81,2
82,97886,2376,7,8,82,2
82,100752,2263,7,8,82,2
82,101114,2322,7,8,82,2
82,99432,2323,7,8,82,2
82,100873,2379,7,8,82,2
83,101283,2249,7,8,83,2
83,99121,2326,7,8,83,2
83,100287,2168,7,8,83,2
83,101786,2215,7,8,83,2
83,98552,2288,7,8,83,2
84,101685,2214,7,8,84,2
84,102204,2225,7,8,84,2
84,101370,2313,7,8,84,2
84,101905,2210,7,8,84,2
84,101669,2332,7,8,84,2
85,103140,2345,7,8,85,2
85,103418,2313,7,8,85,2
85,99872,2284,7,8,85,2
85,100402,2259,7,8,85,2
85,100147,2206,7,8,85,2
86,101844,2362,7,8,86,2
86,102054,2312,7,8,86,2
86,103135,2379,7,8,86,2
86,103333,2147,7,8,86,2
86,100577,2338,7,8,86,2
87,104042,2284,7,8,87,2
87,104275,2285,7,8,87,2
87,101943,2233,7,8,87,2
87,104730,2186,7,8,87,2
87,103011,2326,7,8,87,2
88,104828,2274,7,8,88,2
88,102246,2267,7,8,88,2
88,103967,2325,7,8,88,2
88,105782,2414,7,8,88,2
88,102312,2219,7,8,88,2
89,102790,2272,7,8,89,2
89,103231,2268,7,8,89,2
89,105499,2300,7,8,89,2
89,106356,2182,7,8,89,2
89,104828,2305,7,8,89,2
90,103951,2362,7,8,90,2
90,103467,2375,7,8,90,2
90,109222,2317,7,8,90,2
90,107278,2265,7,8,90,2
90,103341,2326,7,8,90,2
91,106111,2354,7,8,91,2
91,106817,2242,7,8,91,2
91,104562,2214,7,8,91,2
91,104389,2238,7,8,91,2
91,104351,2223,7,8,91,2
92,106104,2293,7,8,92,2
92,105485,2256,7,8,92,2
92,105579,2251,7,8,92,2
92,104746,2359,7,8,92,2
92,104839,2281,7,8,92,2
93,108966,2224,7,8,93,2
93,108483,2192,7,8,93,2
93,105343,2272,7,8,93,2
93,105352,2180,7,8,93,2
93,105288,2192,7,8,93,2
94,107441,2358,7,8,94,2
94,108307,2376,7,8,94,2
94,108803,2296,7,8,94,2
94,107948,2229,7,8,94,2
94,121463,2368,7,8,94,2
95,106413,2205,7,8,95,2
95,107730,2341,7,8,95,2
95,105596,2270,7,8,95,2
95,138695,2255,7,8,95,2
95,106914,2202,7,8,95,2
96,107370,2256,7,8,96,2
96,107198,2267,7,8,96,2
96,113401,2270,7,8,96,2
96,109542,2286,7,8,96,2
96,109990,2236,7,8,96,2
97,107086,2245,7,8,97,2
97,107380,2357,7,8,97,2
97,110187,2164,7,8,97,2
97,108207,2182,7,8,97,2
97,110626,2159,7,8,97,2
98,111465,2349,7,8,98,2
98,111280,2294,7,8,98,2
98,111990,2281,7,8,98,2
98,109525,2308,7,8,98,2
98,110143,2273,7,8,98,2
99,109682,2320,7,8,99,2
99,110663,2191,7,8,99,2
99,109926,2222,7,8,99,2
99,111164,2251,7,8,99,2
99,112729,2353,7,8,99,2
100,110555,2428,7,8,100,2
100,111465,2276,7,8,100,2
100,112536,2275,7,8,100,2
100,116703,2251,7,8,100,2
100,112802,2306,7,8,100,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    36.67
    + v    0.768
              µs

Reads = 7 + (0 * v)
Writes = 0 + (1 * v)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    v   mean µs  sigma µs       %
    0     35.67     0.119    0.3%
    1      37.1     0.147    0.3%
    2     37.47     0.113    0.3%
    3     38.07     0.027    0.0%
    4     38.94     0.198    0.5%
    5     39.38     0.248    0.6%
    6     40.18     0.133    0.3%
    7     40.91      0.05    0.1%
    8     41.42     0.037    0.0%
    9      42.3     0.281    0.6%
   10     43.87     0.077    0.1%
   11     44.51     0.204    0.4%
   12     45.61     0.117    0.2%
   13     46.27     0.113    0.2%
   14     46.81      0.08    0.1%
   15     47.77     0.063    0.1%
