Pallet: "pallet_settlement", Extrinsic: "create_venue", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,50,94179,2376,8,8,53,2
1,50,93825,2455,8,8,53,2
1,50,94461,2521,8,8,53,2
1,50,94378,2442,8,8,53,2
1,50,93821,2437,8,8,53,2
1000,50,94695,2413,8,8,53,2
1000,50,94493,2325,8,8,53,2
1000,50,95581,2358,8,8,53,2
1000,50,94628,2351,8,8,53,2
1000,50,95514,2318,8,8,53,2
1999,50,96372,2465,8,8,53,2
1999,50,96604,2322,8,8,53,2
1999,50,96066,2357,8,8,53,2
1999,50,95842,2287,8,8,53,2
1999,50,96928,2368,8,8,53,2
2998,50,96856,2283,8,8,53,2
2998,50,96925,2400,8,8,53,2
2998,50,97093,2410,8,8,53,2
2998,50,96416,2332,8,8,53,2
2998,50,96377,2386,8,8,53,2
3997,50,97630,2385,8,8,53,2
3997,50,95738,2394,8,8,53,2
3997,50,97129,2281,8,8,53,2
3997,50,96801,2348,8,8,53,2
3997,50,96369,2331,8,8,53,2
4996,50,97346,2317,8,8,53,2
4996,50,96068,2291,8,8,53,2
4996,50,96063,2367,8,8,53,2
4996,50,97054,2416,8,8,53,2
4996,50,96497,2338,8,8,53,2
5995,50,95622,2441,8,8,53,2
5995,50,97711,2326,8,8,53,2
5995,50,96470,2537,8,8,53,2
5995,50,96523,2345,8,8,53,2
5995,50,99674,2453,8,8,53,2
6994,50,96265,2398,8,8,53,2
6994,50,97248,2385,8,8,53,2
6994,50,97496,2340,8,8,53,2
6994,50,96813,2479,8,8,53,2
6994,50,96391,2303,8,8,53,2
7993,50,95906,2431,8,8,53,2
7993,50,96777,2385,8,8,53,2
7993,50,97654,2484,8,8,53,2
7993,50,97046,2358,8,8,53,2
7993,50,98274,2402,8,8,53,2
8992,50,96673,2456,8,8,53,2
8992,50,97378,2329,8,8,53,2
8992,50,96648,2391,8,8,53,2
8992,50,96878,2309,8,8,53,2
8992,50,96994,2293,8,8,53,2
9991,50,97256,2428,8,8,53,2
9991,50,96624,2393,8,8,53,2
9991,50,96931,2477,8,8,53,2
9991,50,96934,2392,8,8,53,2
9991,50,96682,2349,8,8,53,2
10990,50,96937,2386,8,8,53,2
10990,50,97565,2299,8,8,53,2
10990,50,97613,2415,8,8,53,2
10990,50,98175,2312,8,8,53,2
10990,50,97448,2284,8,8,53,2
11989,50,96730,2367,8,8,53,2
11989,50,97665,2452,8,8,53,2
