Pallet: "pallet_settlement", Extrinsic: "disallow_venues", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
v,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,103092,4444,7,8,0,2
0,103050,4269,7,8,0,2
0,111919,4556,7,8,0,2
0,112592,4313,7,8,0,2
0,124142,4870,7,8,0,2
2,127140,4828,7,8,2,2
2,116250,4387,7,8,2,2
2,114729,4149,7,8,2,2
2,114778,4239,7,8,2,2
2,125925,4692,7,8,2,2
4,138950,4829,7,8,4,2
4,139203,4618,7,8,4,2
4,127250,4424,7,8,4,2
4,139225,4645,7,8,4,2
4,127024,4439,7,8,4,2
6,137486,4193,7,8,6,2
6,151827,4840,7,8,6,2
6,151287,4655,7,8,6,2
6,137539,4287,7,8,6,2
6,151516,4227,7,8,6,2
8,168849,4990,7,8,8,2
8,148950,4107,7,8,8,2
8,186536,4524,7,8,8,2
8,164880,4221,7,8,8,2
8,191609,4993,7,8,8,2
10,160219,4333,7,8,10,2
10,160717,4327,7,8,10,2
10,175390,4676,7,8,10,2
10,187068,4522,7,8,10,2
10,160844,4660,7,8,10,2
12,171659,4292,7,8,12,2
12,188444,4276,7,8,12,2
12,198963,4494,7,8,12,2
12,188235,4482,7,8,12,2
12,172600,4205,7,8,12,2
14,200462,4769,7,8,14,2
14,201456,4266,7,8,14,2
14,184703,4243,7,8,14,2
14,208484,4211,7,8,14,2
14,192613,4087,7,8,14,2
16,212601,4640,7,8,16,2
16,212676,4695,7,8,16,2
16,212767,4629,7,8,16,2
16,212024,4660,7,8,16,2
16,234530,5080,7,8,16,2
18,205307,4474,7,8,18,2
18,241410,4838,7,8,18,2
18,230581,4244,7,8,18,2
18,226678,4535,7,8,18,2
18,231747,4730,7,8,18,2
20,217631,4650,7,8,20,2
20,218302,4509,7,8,20,2
20,263125,4752,7,8,20,2
20,238874,4993,7,8,20,2
20,238458,4358,7,8,20,2
22,250075,4808,7,8,22,2
22,227707,4256,7,8,22,2
22,250092,4590,7,8,22,2
22,249776,4648,7,8,22,2
22,250414,4398,7,8,22,2
24,262438,4772,7,8,24,2
24,262828,4670,7,8,24,2
24,262939,4620,7,8,24,2
24,241248,4594,7,8,24,2
24,263314,4965,7,8,24,2
26,275597,4813,7,8,26,2
26,289868,4698,7,8,26,2
26,275292,4350,7,8,26,2
26,303500,4880,7,8,26,2
26,273729,4633,7,8,26,2
28,286753,4726,7,8,28,2
28,305114,4193,7,8,28,2
28,285444,4750,7,8,28,2
28,286042,4599,7,8,28,2
28,327211,4641,7,8,28,2
30,335245,5367,7,8,30,2
30,284483,4241,7,8,30,2
30,324022,5357,7,8,30,2
30,312859,4613,7,8,30,2
30,344243,5034,7,8,30,2
32,349803,5624,7,8,32,2
32,313095,4871,7,8,32,2
32,352536,4985,7,8,32,2
32,312894,4836,7,8,32,2
32,320882,4631,7,8,32,2
34,325240,4650,7,8,34,2
34,332724,4546,7,8,34,2
34,324634,4673,7,8,34,2
34,357303,5087,7,8,34,2
34,359988,5093,7,8,34,2
36,334854,4742,7,8,36,2
36,320481,4182,7,8,36,2
36,307916,4309,7,8,36,2
36,341739,4689,7,8,36,2
36,305508,4242,7,8,36,2
38,318367,4883,7,8,38,2
38,317341,4315,7,8,38,2
38,347962,4626,7,8,38,2
38,347659,4729,7,8,38,2
38,347914,4730,7,8,38,2
40,360236,4734,7,8,40,2
40,359784,4751,7,8,40,2
40,359518,4712,7,8,40,2
40,358065,4590,7,8,40,2
40,397185,5125,7,8,40,2
42,425730,4803,7,8,42,2
42,432675,5046,7,8,42,2
42,385210,4275,7,8,42,2
42,371031,4666,7,8,42,2
42,357173,4744,7,8,42,2
44,411855,4728,7,8,44,2
44,385207,4665,7,8,44,2
44,385874,4890,7,8,44,2
44,340782,4276,7,8,44,2
44,383753,5228,7,8,44,2
46,439470,5112,7,8,46,2
46,396328,4857,7,8,46,2
46,398190,4758,7,8,46,2
46,391655,4797,7,8,46,2
46,439160,16097,7,8,46,2
48,732763,5690,7,8,48,2
48,451279,5351,7,8,48,2
48,411539,5233,7,8,48,2
48,407926,4988,7,8,48,2
48,463621,5428,7,8,48,2
50,463888,5357,7,8,50,2
50,472521,5291,7,8,50,2
50,382917,4550,7,8,50,2
50,387448,5598,7,8,50,2
