Pallet: "pallet_settlement", Extrinsic: "update_venue", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,127375,5691,7,8,1,2
1,130735,5621,7,8,1,2
1,104829,4622,7,8,1,2
1,129246,5564,7,8,1,2
1,160712,5369,7,8,1,2
2000,138373,5151,7,8,1,2
2000,138819,4970,7,8,1,2
2000,124839,4194,7,8,1,2
2000,137675,4608,7,8,1,2
2000,153223,4181,7,8,1,2
3999,175075,5307,7,8,1,2
3999,160032,5531,7,8,1,2
3999,167364,4720,7,8,1,2
3999,161015,4934,7,8,1,2
3999,159290,4479,7,8,1,2
5998,191012,5106,7,8,1,2
5998,179621,5022,7,8,1,2
5998,211047,5049,7,8,1,2
5998,178313,6161,7,8,1,2
5998,180809,5020,7,8,1,2
7997,260232,5537,7,8,1,2
7997,239809,5640,7,8,1,2
7997,221258,5459,7,8,1,2
7997,222915,4989,7,8,1,2
7997,233319,5585,7,8,1,2
9996,249223,5486,7,8,1,2
9996,246630,5020,7,8,1,2
9996,292460,5540,7,8,1,2
9996,222371,7244,7,8,1,2
9996,235157,4631,7,8,1,2
11995,219240,4702,7,8,1,2
11995,265693,5273,7,8,1,2
11995,252230,5034,7,8,1,2
11995,240884,5426,7,8,1,2
11995,230142,4562,7,8,1,2
13994,248349,4526,7,8,1,2
13994,291834,5245,7,8,1,2
13994,262042,5041,7,8,1,2
13994,299206,5599,7,8,1,2
13994,277813,5053,7,8,1,2
15993,285099,4806,7,8,1,2
15993,339215,9202,7,8,1,2
15993,414836,5551,7,8,1,2
15993,308995,5339,7,8,1,2
15993,324655,5537,7,8,1,2
17992,299126,5308,7,8,1,2
17992,299413,5050,7,8,1,2
17992,342129,4810,7,8,1,2
17992,308472,4974,7,8,1,2
17992,301748,7106,7,8,1,2
19991,320823,5317,7,8,1,2
19991,333858,4716,7,8,1,2
19991,328165,5219,7,8,1,2
19991,291382,4618,7,8,1,2
19991,326862,5034,7,8,1,2
21990,336223,4915,7,8,1,2
21990,336623,4282,7,8,1,2
21990,337258,4727,7,8,1,2
21990,307081,4466,7,8,1,2
21990,338856,4947,7,8,1,2
23989,356183,5146,7,8,1,2
23989,325789,4954,7,8,1,2
23989,370343,4769,7,8,1,2
23989,368041,4895,7,8,1,2
23989,349417,4881,7,8,1,2
25988,344653,4526,7,8,1,2
25988,378674,4384,7,8,1,2
25988,344435,4548,7,8,1,2
25988,343786,4351,7,8,1,2
25988,378513,5273,7,8,1,2
27987,416732,5092,7,8,1,2
27987,362638,4700,7,8,1,2
27987,395968,4915,7,8,1,2
27987,361969,4450,7,8,1,2
27987,425170,5016,7,8,1,2
29986,403186,5232,7,8,1,2
29986,424463,5068,7,8,1,2
29986,382001,4585,7,8,1,2
29986,417210,4797,7,8,1,2
29986,417141,4348,7,8,1,2
31985,483423,5194,7,8,1,2
31985,410825,4575,7,8,1,2
