Pallet: "pallet_settlement", Extrinsic: "withdraw_affirmation_with_receipt", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
l,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,189145,6556,10,5,1,0
0,132019,4832,10,5,1,0
0,109084,3785,10,5,1,0
0,111801,3868,10,5,1,0
0,111573,3856,10,5,1,0
1,239011,4399,14,12,5,2
1,234922,4128,14,12,5,2
1,234516,4321,14,12,5,2
1,226988,4290,14,12,5,2
1,227270,4269,14,12,5,2
2,430722,5560,18,17,9,2
2,427738,21587,18,17,9,2
2,419197,5528,18,17,9,2
2,423480,5529,18,17,9,2
2,395196,4461,18,17,9,2
3,450530,4532,22,22,13,2
3,455230,4654,22,22,13,2
3,470676,5030,22,22,13,2
3,491016,5035,22,22,13,2
3,495796,5156,22,22,13,2
4,609472,5285,26,27,17,2
4,580425,4519,26,27,17,2
4,557439,5371,26,27,17,2
4,643286,4686,26,27,17,2
4,554799,5309,26,27,17,2
5,715308,5999,30,32,21,2
5,777205,5563,30,32,21,2
5,722465,5329,30,32,21,2
5,696648,5175,30,32,21,2
5,796232,5712,30,32,21,2
6,817836,5586,34,37,25,2
6,871912,5725,34,37,25,2
6,841165,5309,34,37,25,2
6,831750,4723,34,37,25,2
6,828917,5680,34,37,25,2
7,854560,4741,38,42,29,2
7,913681,4651,38,42,29,2
7,802388,4639,38,42,29,2
7,1002756,5190,38,42,29,2
7,1069846,5336,38,42,29,2
8,931750,4855,42,47,33,2
8,987804,5287,42,47,33,2
8,927425,5412,42,47,33,2
8,1004254,4791,42,47,33,2
8,907734,4542,42,47,33,2
9,1017271,6318,46,52,37,2
9,1143210,6288,46,52,37,2
9,1170761,5631,46,52,37,2
9,1024509,5237,46,52,37,2
9,996957,4737,46,52,37,2
10,1119944,4928,50,57,41,2
10,1089832,5427,50,57,41,2
10,1209956,5714,50,57,41,2
10,1190951,4535,50,57,41,2
10,1097645,4680,50,57,41,2
11,1235924,6133,54,62,45,2
11,1390543,6341,54,62,45,2
11,1214249,6381,54,62,45,2
11,1206215,5699,54,62,45,2
11,1287293,4948,54,62,45,2
12,1281602,6497,58,67,49,2
12,1356473,4984,58,67,49,2
12,1469058,5046,58,67,49,2
12,1351727,5137,58,67,49,2
12,1604855,6307,58,67,49,2
13,1586133,6246,62,72,53,2
13,1418318,6513,62,72,53,2
13,1416977,6437,62,72,53,2
13,1508672,6846,62,72,53,2
13,1405706,7675,62,72,53,2
14,1725458,9796,66,77,57,2
14,1868451,7231,66,77,57,2
14,1613325,6789,66,77,57,2
14,1671441,6734,66,77,57,2
14,1573676,6845,66,77,57,2
15,1809184,7231,70,82,61,2
15,1865889,7529,70,82,61,2
15,1624113,6897,70,82,61,2
15,1862680,6766,70,82,61,2
15,1885301,7376,70,82,61,2
16,1998580,6820,74,87,65,2
16,1955255,6902,74,87,65,2
16,1902464,6886,74,87,65,2
16,1912836,6448,74,87,65,2
16,1791870,7318,74,87,65,2
17,1830025,7489,78,92,69,2
17,1841602,6764,78,92,69,2
17,1960481,6777,78,92,69,2
17,2155635,7055,78,92,69,2
17,2180183,6216,78,92,69,2
18,2120167,11512,82,97,73,2
18,2237862,7940,82,97,73,2
