Pallet: "pallet_staking", Extrinsic: "cancel_deferred_slash", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,597361,5239,1,0,1,0
1,648231,3606,1,0,1,0
1,655616,4061,1,0,1,0
1,650676,4042,1,0,1,0
1,646929,4492,1,0,1,0
10,1536269,4615,1,0,1,0
10,1508348,3958,1,0,1,0
10,1488992,4047,1,0,1,0
10,1366054,4444,1,0,1,0
10,1531588,3678,1,0,1,0
19,2352459,4706,1,0,1,0
19,2367349,3712,1,0,1,0
19,2370011,4686,1,0,1,0
19,2403562,4747,1,0,1,0
19,2377656,4230,1,0,1,0
28,3472836,5661,1,0,1,0
28,3184886,3939,1,0,1,0
28,3218776,4711,1,0,1,0
28,3363868,4421,1,0,1,0
28,3065798,4616,1,0,1,0
37,3615114,5299,1,0,1,0
37,3770048,4127,1,0,1,0
37,4020749,4785,1,0,1,0
37,3642002,4203,1,0,1,0
37,4057098,4328,1,0,1,0
46,5082727,4939,1,0,1,0
46,4664995,3666,1,0,1,0
46,4644955,4977,1,0,1,0
46,4896167,5072,1,0,1,0
46,4342139,3788,1,0,1,0
55,5969405,5383,1,0,1,0
55,6024819,4476,1,0,1,0
55,5959424,6288,1,0,1,0
55,5769041,4851,1,0,1,0
55,5766360,4905,1,0,1,0
64,6701096,6068,1,0,1,0
64,6473451,4522,1,0,1,0
64,6880711,5138,1,0,1,0
64,6946037,6508,1,0,1,0
64,6654366,5387,1,0,1,0
73,7532243,5077,1,0,1,0
73,6794077,4998,1,0,1,0
73,7279772,5021,1,0,1,0
73,7321220,4507,1,0,1,0
73,6803002,5080,1,0,1,0
82,7374889,4305,1,0,1,0
82,7318147,4228,1,0,1,0
82,8006480,4837,1,0,1,0
82,8261937,3967,1,0,1,0
82,7508704,4134,1,0,1,0
91,8421629,4931,1,0,1,0
91,8174919,4351,1,0,1,0
91,8750358,4612,1,0,1,0
91,9074422,4966,1,0,1,0
91,8659251,4881,1,0,1,0
100,9421255,5084,1,0,1,0
100,9532014,6682,1,0,1,0
100,9221747,4680,1,0,1,0
100,9508106,4296,1,0,1,0
100,8925881,4442,1,0,1,0
109,9847860,5009,1,0,1,0
109,9894329,5548,1,0,1,0
109,9723853,4369,1,0,1,0
109,9892315,4633,1,0,1,0
109,9722190,4899,1,0,1,0
118,10800470,4966,1,0,1,0
118,10471929,4628,1,0,1,0
118,10530999,4252,1,0,1,0
118,10692057,4627,1,0,1,0
118,11337028,5179,1,0,1,0
127,11385391,4806,1,0,1,0
127,13542558,5770,1,0,1,0
127,13189141,4854,1,0,1,0
127,12709608,5178,1,0,1,0
127,11692761,4698,1,0,1,0
136,12369337,5413,1,0,1,0
136,12114555,4922,1,0,1,0
136,12533040,5152,1,0,1,0
136,12731035,4965,1,0,1,0
136,12282278,4865,1,0,1,0
145,13088421,4907,1,0,1,0
145,13189400,4383,1,0,1,0
145,13645494,4780,1,0,1,0
145,13482025,4349,1,0,1,0
145,12723139,4246,1,0,1,0
154,14023904,5452,1,0,1,0
154,14175837,4865,1,0,1,0
154,14436659,4406,1,0,1,0
154,14026862,4912,1,0,1,0
154,13187979,4492,1,0,1,0
163,15207121,5071,1,0,1,0
163,14029738,4798,1,0,1,0
163,14258194,5140,1,0,1,0
163,15204842,5475,1,0,1,0
163,14934520,4377,1,0,1,0
172,16285840,4639,1,0,1,0
172,15604171,4361,1,0,1,0
172,14633373,4304,1,0,1,0
172,15712951,7235,1,0,1,0
172,16117056,4620,1,0,1,0
181,17361071,7081,1,0,1,0
181,18954360,6940,1,0,1,0
181,16148373,6141,1,0,1,0
181,18003603,9650,1,0,1,0
181,16371237,5819,1,0,1,0
190,17318297,7133,1,0,1,0
190,17972159,5976,1,0,1,0
190,16770429,5469,1,0,1,0
190,17502614,6370,1,0,1,0
190,16842793,4946,1,0,1,0
199,18184665,6981,1,0,1,0
199,18872049,7808,1,0,1,0
199,20209264,7837,1,0,1,0
199,19003258,5834,1,0,1,0
199,18386714,5866,1,0,1,0
208,18699300,16537,1,0,1,0
208,19425097,6130,1,0,1,0
208,20699068,6524,1,0,1,0
208,19061100,6762,1,0,1,0
208,18796380,6284,1,0,1,0
217,20594349,7917,1,0,1,0
217,20666741,7971,1,0,1,0
217,20222615,7825,1,0,1,0
217,19990038,7926,1,0,1,0
217,21263516,9007,1,0,1,0
226,21388725,8090,1,0,1,0
226,21323218,5902,1,0,1,0
226,20387916,7164,1,0,1,0
226,19462538,6381,1,0,1,0
226,21197401,6118,1,0,1,0
235,20310812,6095,1,0,1,0
235,20719977,5250,1,0,1,0
235,21347335,5480,1,0,1,0
235,21882010,5078,1,0,1,0
235,20776830,4511,1,0,1,0
244,22308915,6677,1,0,1,0
244,22237136,6649,1,0,1,0
244,21273560,6125,1,0,1,0
244,20686334,7284,1,0,1,0
244,22163738,6962,1,0,1,0
253,21441677,7498,1,0,1,0
253,21780372,5926,1,0,1,0
253,20654372,4601,1,0,1,0
253,21058520,5794,1,0,1,0
253,21569241,5670,1,0,1,0
262,22433882,6030,1,0,1,0
262,21939825,5711,1,0,1,0
262,21290198,5667,1,0,1,0
262,21975624,5082,1,0,1,0
262,22800848,5435,1,0,1,0
271,24162085,5911,1,0,1,0
271,23576395,5168,1,0,1,0
271,22658400,5698,1,0,1,0
271,22604092,5166,1,0,1,0
271,23522336,7056,1,0,1,0
280,24341442,7380,1,0,1,0
280,23983325,5709,1,0,1,0
280,24405332,6397,1,0,1,0
280,23667131,6188,1,0,1,0
280,24829212,6305,1,0,1,0
289,25552147,8192,1,0,1,0
289,24290049,8582,1,0,1,0
289,26111552,11939,1,0,1,0
289,24773971,7568,1,0,1,0
289,25540509,7747,1,0,1,0
298,24321726,7241,1,0,1,0
298,25137611,5035,1,0,1,0
298,25470504,6679,1,0,1,0
298,26045594,5259,1,0,1,0
298,24967360,4704,1,0,1,0
307,25681850,6796,1,0,1,0
307,25242618,6425,1,0,1,0
307,24490735,4781,1,0,1,0
307,24489145,5291,1,0,1,0
307,23944867,6039,1,0,1,0
316,26224172,6391,1,0,1,0
316,27542199,7664,1,0,1,0
316,25044396,6965,1,0,1,0
316,25712425,7021,1,0,1,0
316,29319283,7338,1,0,1,0
325,26121880,6800,1,0,1,0
325,26600829,6179,1,0,1,0
325,25863691,6940,1,0,1,0
325,26998179,15046,1,0,1,0
325,26180863,7631,1,0,1,0
334,27512104,7663,1,0,1,0
334,26027548,6733,1,0,1,0
334,27087507,4426,1,0,1,0
334,27351099,5942,1,0,1,0
334,27422792,7777,1,0,1,0
343,28168151,6777,1,0,1,0
343,27661793,6206,1,0,1,0
343,28794651,7518,1,0,1,0
343,27807481,5794,1,0,1,0
343,28098049,6945,1,0,1,0
352,28207650,7717,1,0,1,0
352,28746423,6131,1,0,1,0
352,27996853,6243,1,0,1,0
352,27666444,5481,1,0,1,0
352,26928728,5761,1,0,1,0
361,30614264,6906,1,0,1,0
361,29684650,7125,1,0,1,0
361,28629781,5576,1,0,1,0
361,28907027,6334,1,0,1,0
361,29271751,6120,1,0,1,0
370,29861614,6853,1,0,1,0
370,30678966,8578,1,0,1,0
370,31621305,7589,1,0,1,0
370,31213500,7698,1,0,1,0
370,29873587,7763,1,0,1,0
379,29078318,6168,1,0,1,0
379,30493784,7612,1,0,1,0
379,29559829,6765,1,0,1,0
379,29384062,6317,1,0,1,0
379,30380615,8318,1,0,1,0
388,29803874,7949,1,0,1,0
388,30005860,5203,1,0,1,0
388,29947641,6379,1,0,1,0
388,31343773,6510,1,0,1,0
388,31485493,7061,1,0,1,0
397,31240125,7028,1,0,1,0
397,30617262,7344,1,0,1,0
397,32628481,7953,1,0,1,0
397,31218279,6360,1,0,1,0
397,31491129,6201,1,0,1,0
406,31211523,6781,1,0,1,0
406,30123401,5737,1,0,1,0
406,29767363,21757,1,0,1,0
406,29453709,5296,1,0,1,0
406,30216275,5057,1,0,1,0
415,30883572,4972,1,0,1,0
415,30539914,4668,1,0,1,0
415,30191768,5512,1,0,1,0
415,32058818,5827,1,0,1,0
415,30867679,4922,1,0,1,0
424,31779130,6644,1,0,1,0
424,32131953,28371,1,0,1,0
424,35091233,7237,1,0,1,0
424,34256004,6568,1,0,1,0
424,30536438,4566,1,0,1,0
433,31803597,7272,1,0,1,0
433,32961842,15015,1,0,1,0
433,32122357,6386,1,0,1,0
433,34671304,6592,1,0,1,0
433,32400644,6131,1,0,1,0
442,34137048,7426,1,0,1,0
442,33377849,7291,1,0,1,0
442,32086302,6397,1,0,1,0
442,32763972,7151,1,0,1,0
442,33208366,7591,1,0,1,0
451,35305558,8374,1,0,1,0
451,33735915,7306,1,0,1,0
451,33251836,7216,1,0,1,0
451,33742404,7553,1,0,1,0
451,31927256,5008,1,0,1,0
460,33703769,7594,1,0,1,0
460,32706664,7270,1,0,1,0
460,33138008,5828,1,0,1,0
460,33762767,6095,1,0,1,0
460,33428205,7782,1,0,1,0
469,34617154,6189,1,0,1,0
469,35558411,6041,1,0,1,0
469,35439156,6394,1,0,1,0
469,35816383,5167,1,0,1,0
469,34054863,6373,1,0,1,0
478,33845977,5727,1,0,1,0
478,34499047,4347,1,0,1,0
478,33886624,5092,1,0,1,0
478,35500187,5385,1,0,1,0
478,33417784,5803,1,0,1,0
487,33520754,5340,1,0,1,0
487,35433519,4963,1,0,1,0
487,34591091,4729,1,0,1,0
487,35500461,4577,1,0,1,0
487,34465925,5164,1,0,1,0
496,38237927,8223,1,0,1,0
496,36865507,7484,1,0,1,0
496,37139339,7290,1,0,1,0
496,36351905,8592,1,0,1,0
496,36405857,7030,1,0,1,0
505,36815320,7853,1,0,1,0
505,36797688,6966,1,0,1,0
505,38166746,7842,1,0,1,0
505,37689836,8309,1,0,1,0
505,37855193,8017,1,0,1,0
514,38520807,8308,1,0,1,0
514,40199618,7361,1,0,1,0
514,42326289,8254,1,0,1,0
514,37898502,7289,1,0,1,0
514,37065819,6406,1,0,1,0
523,37065156,6970,1,0,1,0
523,36764109,6465,1,0,1,0
523,37054810,6301,1,0,1,0
523,36388319,6092,1,0,1,0
523,36948585,6559,1,0,1,0
532,37348769,7549,1,0,1,0
532,37676274,7638,1,0,1,0
532,36924245,6620,1,0,1,0
532,38531107,7419,1,0,1,0
532,39982719,7230,1,0,1,0
541,72944135,7875,1,0,1,0
541,62473443,7973,1,0,1,0
541,39007334,6690,1,0,1,0
541,38239146,6809,1,0,1,0
541,38836869,6212,1,0,1,0
550,38917635,6832,1,0,1,0
550,39754557,7239,1,0,1,0
550,39126133,6317,1,0,1,0
550,39939087,7662,1,0,1,0
550,39024299,7495,1,0,1,0
559,39990450,7196,1,0,1,0
559,39733320,7487,1,0,1,0
559,39151942,6892,1,0,1,0
559,42378568,6928,1,0,1,0
559,41536547,7162,1,0,1,0
568,41424254,7741,1,0,1,0
568,46251217,7441,1,0,1,0
568,39168225,6781,1,0,1,0
568,40284388,6761,1,0,1,0
568,41575002,6140,1,0,1,0
577,40528908,8249,1,0,1,0
577,39527707,7370,1,0,1,0
577,40504287,6161,1,0,1,0
577,41347985,7451,1,0,1,0
577,41231046,6856,1,0,1,0
586,40217353,7913,1,0,1,0
586,40300170,6500,1,0,1,0
586,41547911,24548,1,0,1,0
586,40787455,7929,1,0,1,0
586,42199873,7802,1,0,1,0
595,47912755,8120,1,0,1,0
595,44024204,7389,1,0,1,0
595,43473748,6701,1,0,1,0
595,44514496,7682,1,0,1,0
595,44685828,7582,1,0,1,0
604,41271900,8101,1,0,1,0
604,40119255,6796,1,0,1,0
604,41550715,7482,1,0,1,0
604,42921943,7032,1,0,1,0
604,41475270,8169,1,0,1,0
613,41940099,8049,1,0,1,0
613,44368501,8207,1,0,1,0
613,44633186,8897,1,0,1,0
613,41999527,7310,1,0,1,0
613,40679435,7517,1,0,1,0
622,44417307,7463,1,0,1,0
622,43899937,8437,1,0,1,0
622,45217117,8343,1,0,1,0
622,45962121,7022,1,0,1,0
622,44745572,7563,1,0,1,0
631,43368402,7606,1,0,1,0
631,43264252,6135,1,0,1,0
631,43674050,7690,1,0,1,0
631,42787702,6020,1,0,1,0
631,41366433,7699,1,0,1,0
640,41308655,7622,1,0,1,0
640,40814036,7161,1,0,1,0
640,42761446,6556,1,0,1,0
640,42272031,7450,1,0,1,0
640,42281790,6883,1,0,1,0
649,44709263,7976,1,0,1,0
649,43138369,7957,1,0,1,0
649,42806647,6980,1,0,1,0
649,41397846,7034,1,0,1,0
649,41145423,7260,1,0,1,0
658,42681059,7246,1,0,1,0
658,43697578,6535,1,0,1,0
658,42636772,5495,1,0,1,0
658,44749145,8069,1,0,1,0
658,43478733,7324,1,0,1,0
667,49519521,7420,1,0,1,0
667,44716054,7669,1,0,1,0
667,44073642,7432,1,0,1,0
667,43163935,7164,1,0,1,0
667,41105621,5710,1,0,1,0
676,41907638,23133,1,0,1,0
676,44941332,6528,1,0,1,0
676,46570775,7967,1,0,1,0
676,43593314,6917,1,0,1,0
676,44644241,7768,1,0,1,0
685,44528678,7856,1,0,1,0
685,46361274,7091,1,0,1,0
685,46587151,8840,1,0,1,0
685,45511311,6658,1,0,1,0
685,45957716,7110,1,0,1,0
694,46364822,8048,1,0,1,0
694,44882229,7118,1,0,1,0
694,47624166,8145,1,0,1,0
694,44474837,8276,1,0,1,0
694,43201030,7052,1,0,1,0
703,45184523,7773,1,0,1,0
703,48847799,7728,1,0,1,0
703,47601542,6142,1,0,1,0
703,44596370,6363,1,0,1,0
703,43559177,5728,1,0,1,0
712,42626171,6701,1,0,1,0
712,42431554,6599,1,0,1,0
712,43154966,7961,1,0,1,0
712,47350269,6970,1,0,1,0
712,44380755,7180,1,0,1,0
721,43848998,7632,1,0,1,0
721,43597296,6083,1,0,1,0
721,43374216,8243,1,0,1,0
721,44647961,7023,1,0,1,0
721,43907589,6097,1,0,1,0
730,45223560,6695,1,0,1,0
730,43707530,5445,1,0,1,0
730,43599421,6118,1,0,1,0
730,45903863,7100,1,0,1,0
730,48801338,8098,1,0,1,0
739,45856614,6564,1,0,1,0
739,46822982,6051,1,0,1,0
739,46687500,6823,1,0,1,0
739,45713312,5826,1,0,1,0
739,45453269,6630,1,0,1,0
748,45862589,6190,1,0,1,0
748,47257176,7100,1,0,1,0
748,47233850,7843,1,0,1,0
748,47713638,7030,1,0,1,0
748,48474409,8062,1,0,1,0
757,49871796,7844,1,0,1,0
757,46772434,7467,1,0,1,0
757,46531632,6951,1,0,1,0
757,48951393,7610,1,0,1,0
757,49819626,7129,1,0,1,0
766,46801890,7529,1,0,1,0
766,47896628,7228,1,0,1,0
766,47405078,8116,1,0,1,0
766,46363346,8189,1,0,1,0
766,46870591,6856,1,0,1,0
775,44939148,7298,1,0,1,0
775,44153821,5372,1,0,1,0
775,44705968,8615,1,0,1,0
775,44969206,7210,1,0,1,0
775,45055414,6590,1,0,1,0
784,46839812,7204,1,0,1,0
784,46755222,8308,1,0,1,0
784,50502096,7972,1,0,1,0
784,49298671,7296,1,0,1,0
784,47626901,7013,1,0,1,0
793,52272174,8332,1,0,1,0
793,49456592,8578,1,0,1,0
793,47975901,8178,1,0,1,0
793,47862839,8419,1,0,1,0
793,49755807,6870,1,0,1,0
802,49533178,8284,1,0,1,0
802,51374430,24551,1,0,1,0
802,47313152,6716,1,0,1,0
802,48035878,7884,1,0,1,0
802,49989366,8136,1,0,1,0
811,48811012,9899,1,0,1,0
811,47649338,8078,1,0,1,0
811,47914546,7298,1,0,1,0
811,50282620,7374,1,0,1,0
811,48678500,6974,1,0,1,0
820,47179464,7659,1,0,1,0
820,49263934,7363,1,0,1,0
820,48038427,7831,1,0,1,0
820,45725402,8050,1,0,1,0
820,46805383,6995,1,0,1,0
829,49774376,8435,1,0,1,0
829,47593038,6989,1,0,1,0
829,47618148,7240,1,0,1,0
829,48695016,8321,1,0,1,0
829,48643549,7932,1,0,1,0
838,44688822,8638,1,0,1,0
838,47069254,7398,1,0,1,0
838,47810561,7602,1,0,1,0
838,48387690,7200,1,0,1,0
838,48946709,6377,1,0,1,0
847,47290641,7013,1,0,1,0
847,47625555,7011,1,0,1,0
847,51907178,7262,1,0,1,0
847,49633994,7736,1,0,1,0
847,49868639,7069,1,0,1,0
856,48075423,7028,1,0,1,0
856,48938873,7199,1,0,1,0
856,48887948,6433,1,0,1,0
856,48261283,8021,1,0,1,0
856,48031946,7112,1,0,1,0
865,49483251,7568,1,0,1,0
865,51474577,8753,1,0,1,0
865,53671290,8231,1,0,1,0
865,53032593,8986,1,0,1,0
865,50971797,7494,1,0,1,0
874,51318636,7554,1,0,1,0
874,50759898,8765,1,0,1,0
874,50350889,7192,1,0,1,0
874,50409854,7758,1,0,1,0
874,51004993,7499,1,0,1,0
883,50772121,8419,1,0,1,0
883,50974202,8331,1,0,1,0
883,50015328,7236,1,0,1,0
883,50240612,6668,1,0,1,0
883,47820912,7027,1,0,1,0
892,48935858,8605,1,0,1,0
892,49662664,7276,1,0,1,0
892,48924047,7538,1,0,1,0
892,50962654,8125,1,0,1,0
892,48792851,7868,1,0,1,0
901,51136687,8212,1,0,1,0
901,51572056,7499,1,0,1,0
901,50633355,7096,1,0,1,0
901,50025041,7819,1,0,1,0
901,48028521,7055,1,0,1,0
910,47587710,7513,1,0,1,0
910,46915366,8020,1,0,1,0
910,46658887,6326,1,0,1,0
910,47172631,8328,1,0,1,0
910,47892919,6321,1,0,1,0
919,47970659,7582,1,0,1,0
919,49114720,6762,1,0,1,0
919,48545572,6554,1,0,1,0
919,47752752,6661,1,0,1,0
919,47703930,7371,1,0,1,0
928,48128524,7426,1,0,1,0
928,50360971,7638,1,0,1,0
928,54589948,9186,1,0,1,0
928,50801839,8420,1,0,1,0
928,50433312,6982,1,0,1,0
937,51489533,7899,1,0,1,0
937,52256567,7412,1,0,1,0
937,51611751,6750,1,0,1,0
937,51304622,8018,1,0,1,0
937,51429555,7555,1,0,1,0
946,51156810,7791,1,0,1,0
946,51390637,8214,1,0,1,0
946,50906947,7926,1,0,1,0
946,54434157,8158,1,0,1,0
946,56400534,10179,1,0,1,0
955,54292573,8575,1,0,1,0
955,54087365,8655,1,0,1,0
955,56055319,7964,1,0,1,0
955,54041178,7420,1,0,1,0
955,54815296,8345,1,0,1,0
964,51382712,8653,1,0,1,0
964,51712508,8811,1,0,1,0
964,51170215,6532,1,0,1,0
964,46804447,5427,1,0,1,0
964,48555114,5790,1,0,1,0
973,50538943,8488,1,0,1,0
973,49184975,7709,1,0,1,0
973,49083846,7386,1,0,1,0
973,52616777,8687,1,0,1,0
973,51255861,7646,1,0,1,0
982,47915443,23783,1,0,1,0
982,48881960,6609,1,0,1,0
982,48408262,7263,1,0,1,0
982,47894244,7336,1,0,1,0
982,46923145,7952,1,0,1,0
991,50557253,7218,1,0,1,0
991,51290535,7484,1,0,1,0
991,47494208,7788,1,0,1,0
991,51781443,7605,1,0,1,0
991,49240418,8677,1,0,1,0
1000,48697150,7661,1,0,1,0
1000,51935307,7865,1,0,1,0
1000,49103088,7524,1,0,1,0
1000,49697304,7638,1,0,1,0
1000,52015490,7910,1,0,1,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=     8659
    + s    51.32
              µs

Reads = 1 + (0 * s)
Writes = 1 + (0 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    1     648.6     1.553    0.2%
   10      1509     17.41    1.1%
   19      2371     4.368    0.1%
   28      3255     77.62    2.3%
