Pallet: "pallet_staking", Extrinsic: "do_slash", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
l,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,110390,5328,4,6,3,3
1,108418,4562,4,6,3,3
1,106510,4374,4,6,3,3
1,135089,4963,4,6,3,3
1,108665,4514,4,6,3,3
2,108524,4425,4,6,3,3
2,108605,4431,4,6,3,3
2,124235,5083,4,6,3,3
2,152437,4926,4,6,3,3
2,125339,4391,4,6,3,3
3,109735,4524,4,6,3,3
3,125786,5245,4,6,3,3
3,126848,5029,4,6,3,3
3,108711,4400,4,6,3,3
3,109080,4499,4,6,3,3
4,108857,4542,4,6,3,3
4,125032,5120,4,6,3,3
4,108474,4629,4,6,3,3
4,106830,4273,4,6,3,3
4,108356,4270,4,6,3,3
5,135022,5227,4,6,3,3
5,114401,4442,4,6,3,3
5,109051,4264,4,6,3,3
5,135429,4497,4,6,3,3
5,108973,4547,4,6,3,3
6,129558,5195,4,6,3,3
6,125979,4879,4,6,3,3
6,141700,4449,4,6,3,3
6,127584,4975,4,6,3,3
6,126072,4867,4,6,3,3
7,126859,5103,4,6,3,3
7,109288,4573,4,6,3,3
7,109383,4482,4,6,3,3
7,138998,4492,4,6,3,3
7,108673,4406,4,6,3,3
8,109376,4366,4,6,3,3
8,109634,4364,4,6,3,3
8,127680,5443,4,6,3,3
8,109996,4477,4,6,3,3
8,110832,4429,4,6,3,3
9,109814,4454,4,6,3,3
9,111052,4395,4,6,3,3
9,111552,4337,4,6,3,3
9,198928,7895,4,6,3,3
9,191376,5864,4,6,3,3
10,130591,5127,4,6,3,3
10,111452,4402,4,6,3,3
10,111153,4378,4,6,3,3
10,157015,5494,4,6,3,3
10,129344,5216,4,6,3,3
11,128028,5340,4,6,3,3
11,130763,5305,4,6,3,3
11,141194,5513,4,6,3,3
11,129463,5164,4,6,3,3
11,110766,5076,4,6,3,3
12,111333,4501,4,6,3,3
12,131315,5026,4,6,3,3
12,111200,4457,4,6,3,3
12,111363,4399,4,6,3,3
12,111166,5185,4,6,3,3
13,129724,5294,4,6,3,3
13,112158,4283,4,6,3,3
13,130338,5112,4,6,3,3
13,141883,4500,4,6,3,3
13,112222,4498,4,6,3,3
14,131426,5264,4,6,3,3
14,130092,5127,4,6,3,3
14,112026,4414,4,6,3,3
14,132037,5014,4,6,3,3
14,111530,4495,4,6,3,3
15,169603,5382,4,6,3,3
15,130349,5055,4,6,3,3
15,179838,6143,4,6,3,3
15,141507,4570,4,6,3,3
15,131636,4389,4,6,3,3
16,112722,4790,4,6,3,3
16,129974,5203,4,6,3,3
16,143160,5610,4,6,3,3
16,142364,5079,4,6,3,3
16,112096,4500,4,6,3,3
17,114230,4318,4,6,3,3
17,113977,4259,4,6,3,3
17,133771,5021,4,6,3,3
17,113071,4379,4,6,3,3
17,113488,4311,4,6,3,3
18,113921,4496,4,6,3,3
18,131837,5039,4,6,3,3
18,114018,4473,4,6,3,3
18,113841,4360,4,6,3,3
18,124414,4496,4,6,3,3
19,132052,5221,4,6,3,3
19,130235,5211,4,6,3,3
19,130385,5194,4,6,3,3
19,132388,4980,4,6,3,3
19,112303,4407,4,6,3,3
20,129958,5198,4,6,3,3
20,114164,4400,4,6,3,3
20,113747,4276,4,6,3,3
20,135293,5189,4,6,3,3
20,113121,4345,4,6,3,3
21,144598,5022,4,6,3,3
21,113645,4445,4,6,3,3
21,131198,5126,4,6,3,3
21,112967,4322,4,6,3,3
21,113232,4441,4,6,3,3
22,115254,4575,4,6,3,3
22,131536,5223,4,6,3,3
22,131104,5161,4,6,3,3
22,113126,4561,4,6,3,3
22,114793,4531,4,6,3,3
23,112420,4471,4,6,3,3
23,129110,4499,4,6,3,3
23,112958,4378,4,6,3,3
23,131080,5188,4,6,3,3
23,113217,4600,4,6,3,3
24,113514,4463,4,6,3,3
24,166462,5267,4,6,3,3
24,135259,5181,4,6,3,3
24,113908,4485,4,6,3,3
24,144404,5588,4,6,3,3
25,131093,5172,4,6,3,3
25,113165,5145,4,6,3,3
25,115346,4368,4,6,3,3
25,130497,5249,4,6,3,3
25,152613,5246,4,6,3,3
26,132328,5200,4,6,3,3
26,151054,5049,4,6,3,3
26,114020,4400,4,6,3,3
26,132343,5199,4,6,3,3
26,114407,4367,4,6,3,3
27,130686,5283,4,6,3,3
27,131265,5176,4,6,3,3
27,132722,5101,4,6,3,3
27,145212,5544,4,6,3,3
27,113945,5344,4,6,3,3
28,132077,5235,4,6,3,3
28,114149,4680,4,6,3,3
28,114129,4568,4,6,3,3
28,133773,5325,4,6,3,3
28,163511,5840,4,6,3,3
29,133465,4804,4,6,3,3
29,146063,5697,4,6,3,3
29,142072,4437,4,6,3,3
29,131098,4573,4,6,3,3
29,133176,5065,4,6,3,3
30,154238,5288,4,6,3,3
30,145749,5145,4,6,3,3
30,145348,5539,4,6,3,3
30,131707,5308,4,6,3,3
30,114186,4480,4,6,3,3
31,113254,4535,4,6,3,3
31,114294,4597,4,6,3,3
31,131695,5108,4,6,3,3
31,151914,5525,4,6,3,3
31,113880,4470,4,6,3,3
32,175506,5814,4,6,3,3
32,131056,5067,4,6,3,3
32,134245,4409,4,6,3,3
32,132603,4906,4,6,3,3
32,131095,5075,4,6,3,3

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    122.9
    + l    0.302
              µs

Reads = 4 + (0 * l)
Writes = 3 + (0 * l)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    l   mean µs  sigma µs       %
    1     109.1     0.877    0.8%
    2     119.3     7.641    6.3%
    3     114.8     7.725    6.7%
    4     108.5     0.213    0.1%
    5     119.4     11.19    9.3%
    6     127.7     1.427    1.1%
    7     115.1      8.26    7.1%
    8     110.1     0.501    0.4%
    9     137.9     37.74   27.3%
   10     123.7     8.743    7.0%
   11     129.4     1.117    0.8%
   12     111.2      0.07    0.0%
   13       124     8.398    6.7%
   14     124.5     8.847    7.1%
   15     147.5     16.08   10.8%
   16     128.3     12.15    9.4%
   17     113.8     0.307    0.2%
   18     117.4     4.923    4.1%
   19     130.8     0.823    0.6%
   20     119.2     7.545    6.3%
   21     119.3     8.373    7.0%
   22     120.3     7.582    6.2%
   23     118.4     7.553    6.3%
   24     131.1     12.77    9.7%
   25     125.6     7.286    5.7%
   26     126.3     8.451    6.6%
   27     131.5     0.856    0.6%
   28     126.6     8.878    7.0%
   29     136.2     4.127    3.0%
   30     140.9     6.526    4.6%
   31     119.9     8.302    6.9%
   32     132.6     1.286    0.9%

Quality and confidence:
param     error
l         0.143

Model:
Time ~=      116
    + l    0.468
              µs

Reads = 4 + (0 * l)
Writes = 3 + (0 * l)
