Pallet: "pallet_staking", Extrinsic: "force_unstake", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,115460,5462,4,1,7,0
0,98093,4491,4,1,7,0
0,98109,4516,4,1,7,0
0,139046,5777,4,1,7,0
0,97661,4422,4,1,7,0
1,127158,5255,4,1,9,0
1,125950,4488,4,1,9,0
1,120393,4402,4,1,9,0
1,110550,5374,4,1,9,0
1,110116,4486,4,1,9,0
2,115727,4527,4,1,10,0
2,133132,5026,4,1,10,0
2,133851,5177,4,1,10,0
2,114546,4488,4,1,10,0
2,133173,5166,4,1,10,0
3,120989,4494,4,1,11,0
3,139977,5109,4,1,11,0
3,140736,5149,4,1,11,0
3,120415,4670,4,1,11,0
3,171562,4320,4,1,11,0
4,126690,6051,4,1,12,0
4,128601,4487,4,1,12,0
4,147400,4438,4,1,12,0
4,275120,8324,4,1,12,0
4,149737,5434,4,1,12,0
5,132058,4629,4,1,13,0
5,153799,5217,4,1,13,0
5,158378,4387,4,1,13,0
5,133066,4415,4,1,13,0
5,157182,5215,4,1,13,0
6,159102,5353,4,1,14,0
6,155816,4500,4,1,14,0
6,171477,5053,4,1,14,0
6,137206,4827,4,1,14,0
6,136662,4451,4,1,14,0
7,166839,5126,4,1,15,0
7,142205,4633,4,1,15,0
7,164765,5215,4,1,15,0
7,164676,4299,4,1,15,0
7,165013,4480,4,1,15,0
8,147667,5472,4,1,16,0
8,146740,4499,4,1,16,0
8,147594,4978,4,1,16,0
8,172365,5155,4,1,16,0
8,148524,4523,4,1,16,0
9,177007,5240,4,1,17,0
9,153012,4687,4,1,17,0
9,175989,5414,4,1,17,0
9,152592,5395,4,1,17,0
9,178498,5019,4,1,17,0
10,156735,4701,4,1,18,0
10,182788,17116,4,1,18,0
10,157609,4407,4,1,18,0
10,181872,5010,4,1,18,0
10,158862,4340,4,1,18,0
11,162785,4614,4,1,19,0
11,161840,4493,4,1,19,0
11,188695,5199,4,1,19,0
11,206082,4513,4,1,19,0
11,180684,4495,4,1,19,0
12,227165,5860,4,1,20,0
12,221287,5502,4,1,20,0
12,195567,5132,4,1,20,0
12,184201,4406,4,1,20,0
12,197535,5033,4,1,20,0
13,200860,5239,4,1,21,0
13,200900,5217,4,1,21,0
13,202578,5269,4,1,21,0
13,173449,4839,4,1,21,0
13,173738,4509,4,1,21,0
14,179419,4570,4,1,22,0
14,179306,4653,4,1,22,0
14,203278,4366,4,1,22,0
14,203001,5326,4,1,22,0
14,179214,4246,4,1,22,0
15,214384,4678,4,1,23,0
15,212759,5763,4,1,23,0
15,233765,4599,4,1,23,0
15,226830,5274,4,1,23,0
15,213388,4496,4,1,23,0
16,207195,4481,4,1,24,0
16,198238,4353,4,1,24,0
16,231889,5220,4,1,24,0
16,190181,4489,4,1,24,0
