Pallet: "pallet_staking", Extrinsic: "new_era", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,100,11772386,7324,728,824,11,2
1,100,11972978,7657,728,824,11,2
1,100,11293057,7210,728,824,11,2
1,100,11048152,6905,728,824,11,2
1,100,10353584,7420,728,824,11,2
2,100,14070320,8354,737,1338,14,2
2,100,14372967,7862,737,1338,14,2
2,100,14906154,7908,737,1338,14,2
2,100,14088653,7550,737,1338,14,2
2,100,13873557,7740,737,1338,14,2
3,100,18028596,7594,746,1552,17,2
3,100,19475246,8778,746,1552,17,2
3,100,20310680,7289,746,1552,17,2
3,100,17890706,7211,746,1552,17,2
3,100,18572019,6584,746,1552,17,2
4,100,24104261,7934,755,1766,20,2
4,100,25115343,8753,755,1766,20,2
4,100,22367477,8766,755,1766,20,2
4,100,21843141,9715,755,1766,20,2
4,100,21985764,7388,755,1766,20,2
5,100,25326098,8435,764,1980,23,2
5,100,26284184,7852,764,1980,23,2
5,100,25607606,7708,764,1980,23,2
5,100,24707176,8622,764,1980,23,2
5,100,24461028,7611,764,1980,23,2
6,100,27429267,8565,773,2194,26,2
6,100,29524752,8614,773,2194,26,2
6,100,28427105,9151,773,2194,26,2
6,100,28596026,8161,773,2194,26,2
6,100,30662724,8363,773,2194,26,2
7,100,29926540,8239,782,2408,29,2
7,100,31043138,8285,782,2408,29,2
7,100,31339354,8144,782,2408,29,2
7,100,31940156,8321,782,2408,29,2
7,100,29321333,7908,782,2408,29,2
8,100,33134761,9232,791,2622,32,2
8,100,35775243,9212,791,2622,32,2
8,100,33886112,8246,791,2622,32,2
8,100,35257235,7763,791,2622,32,2
8,100,34419825,7511,791,2622,32,2
9,100,35772393,7866,800,2836,35,2
9,100,37351396,8354,800,2836,35,2
9,100,35703182,9647,800,2836,35,2
9,100,37080953,8205,800,2836,35,2
9,100,38552222,10394,800,2836,35,2
10,100,39416410,7827,809,3050,38,2
10,100,38735924,8968,809,3050,38,2
10,100,40449987,7863,809,3050,38,2
10,100,37986523,7540,809,3050,38,2
10,100,37268870,7511,809,3050,38,2
10,1,2228896,6401,116,179,38,2
10,1,2457793,5752,116,179,38,2
10,1,2221457,5393,116,179,38,2
10,1,2677770,5434,116,179,38,2
10,1,2404434,5272,116,179,38,2
10,2,2865344,6900,123,208,38,2
10,2,2736566,6594,123,208,38,2
10,2,3056501,7125,123,208,38,2
10,2,2837999,5968,123,208,38,2
10,2,2683566,6822,123,208,38,2
10,3,3283294,8698,130,237,38,2
10,3,3644215,11496,130,237,38,2
10,3,3166985,7944,130,237,38,2
10,3,3048097,7739,130,237,38,2
10,3,3204848,7935,130,237,38,2
10,4,3465498,7599,137,266,38,2
10,4,3437792,7604,137,266,38,2
10,4,3336832,7925,137,266,38,2
10,4,3795214,7620,137,266,38,2
10,4,3416805,7565,137,266,38,2
10,5,4008929,7202,144,295,38,2
10,5,3845347,6402,144,295,38,2
10,5,4913398,7216,144,295,38,2
10,5,3816529,7524,144,295,38,2
10,5,3877220,8140,144,295,38,2
10,6,4282309,7258,151,324,38,2
10,6,4303412,6538,151,324,38,2
10,6,4635348,8022,151,324,38,2
10,6,4257025,7797,151,324,38,2
10,6,4463733,7300,151,324,38,2
10,7,4600705,6605,158,353,38,2
10,7,4589263,6436,158,353,38,2
10,7,4798499,6808,158,353,38,2
10,7,5142289,6635,158,353,38,2
10,7,4782642,6747,158,353,38,2
10,8,4784062,6914,165,382,38,2
10,8,5243593,6739,165,382,38,2
10,8,4938295,7373,165,382,38,2
10,8,5704390,7383,165,382,38,2
10,8,4753640,6179,165,382,38,2
10,9,5424473,6996,172,411,38,2
10,9,5360727,7095,172,411,38,2
10,9,5306439,6476,172,411,38,2
10,9,5202709,6953,172,411,38,2
10,9,5314938,6102,172,411,38,2
10,10,5483973,6478,179,440,38,2
10,10,6252935,6566,179,440,38,2
10,10,5831631,6677,179,440,38,2
10,10,5964126,6936,179,440,38,2
10,10,5776965,6288,179,440,38,2
10,11,6538604,7231,186,469,38,2
10,11,6007103,8015,186,469,38,2
10,11,6226722,7594,186,469,38,2
10,11,6399830,6994,186,469,38,2
10,11,6434698,7571,186,469,38,2
10,12,6839818,8077,193,498,38,2
10,12,6371460,7464,193,498,38,2
10,12,7106083,8055,193,498,38,2
10,12,7521774,7875,193,498,38,2
10,12,6910059,21014,193,498,38,2
10,13,7353294,8500,200,527,38,2
10,13,7205197,8469,200,527,38,2
10,13,7113550,8008,200,527,38,2
10,13,7148009,7001,200,527,38,2
10,13,6730773,8084,200,527,38,2
10,14,7774338,7596,207,556,38,2
10,14,7420575,7575,207,556,38,2
10,14,7391148,6735,207,556,38,2
10,14,7199650,8209,207,556,38,2
10,14,7554130,7535,207,556,38,2
10,15,8084364,11050,214,585,38,2
10,15,6825254,6647,214,585,38,2
10,15,7497099,7387,214,585,38,2
10,15,7541797,7091,214,585,38,2
10,15,7155348,7064,214,585,38,2
10,16,8151527,7277,221,614,38,2
10,16,7982905,8099,221,614,38,2
10,16,7907132,8089,221,614,38,2
10,16,8058103,7275,221,614,38,2
10,16,8279257,7545,221,614,38,2
10,17,8117826,7821,228,643,38,2
10,17,8280556,6637,228,643,38,2
10,17,7846336,6923,228,643,38,2
10,17,8208194,7528,228,643,38,2
10,17,8194160,7764,228,643,38,2
10,18,8355970,8541,235,672,38,2
10,18,8757546,6257,235,672,38,2
10,18,8182424,7169,235,672,38,2
10,18,8580679,6660,235,672,38,2
10,18,8304141,8215,235,672,38,2
10,19,8803114,6776,242,701,38,2
10,19,9066093,6450,242,701,38,2
10,19,8454874,6773,242,701,38,2
10,19,8718280,7705,242,701,38,2
10,19,8827984,8181,242,701,38,2
10,20,9544498,7665,249,730,38,2
10,20,10189498,8662,249,730,38,2
10,20,9565810,6846,249,730,38,2
10,20,10033878,8213,249,730,38,2
10,20,9340424,8013,249,730,38,2
10,21,9264682,6790,256,759,38,2
10,21,9436958,6690,256,759,38,2
10,21,9514449,8704,256,759,38,2
10,21,9428943,6634,256,759,38,2
10,21,9301831,7872,256,759,38,2
10,22,11402154,7862,263,788,38,2
10,22,10605893,7728,263,788,38,2
10,22,10411684,7510,263,788,38,2
10,22,10444836,7832,263,788,38,2
10,22,10186654,7099,263,788,38,2
10,23,10846092,8725,270,817,38,2
10,23,10400714,7324,270,817,38,2
10,23,11232081,7890,270,817,38,2
10,23,11187755,7570,270,817,38,2
10,23,10613000,7441,270,817,38,2
10,24,10619826,6841,277,846,38,2
10,24,11152798,7312,277,846,38,2
10,24,10798801,7973,277,846,38,2
10,24,10740691,7216,277,846,38,2
10,24,10917805,7771,277,846,38,2
10,25,11152427,7093,284,875,38,2
10,25,10813648,7894,284,875,38,2
10,25,11167522,7099,284,875,38,2
10,25,11230088,7438,284,875,38,2
10,25,12160447,8121,284,875,38,2
10,26,11506480,7183,291,904,38,2
10,26,11835296,7846,291,904,38,2
10,26,13027405,8541,291,904,38,2
10,26,12029699,7855,291,904,38,2
10,26,10980493,7194,291,904,38,2
10,27,11342320,6585,298,933,38,2
10,27,12824712,7681,298,933,38,2
10,27,11853970,7895,298,933,38,2
10,27,11905673,7946,298,933,38,2
10,27,11921632,7426,298,933,38,2
10,28,12285291,7466,305,962,38,2
10,28,11930433,7243,305,962,38,2
10,28,11441585,7867,305,962,38,2
10,28,11652391,7231,305,962,38,2
10,28,11957483,7605,305,962,38,2
10,29,12697647,6925,312,991,38,2
10,29,11990307,6532,312,991,38,2
10,29,11979390,7110,312,991,38,2
10,29,12144338,7160,312,991,38,2
10,29,12245970,7038,312,991,38,2
10,30,13940165,23953,319,1020,38,2
10,30,13636388,7140,319,1020,38,2
10,30,12702034,7396,319,1020,38,2
10,30,15046136,6544,319,1020,38,2
10,30,13245495,7314,319,1020,38,2
10,31,13522683,7778,326,1049,38,2
10,31,12800395,6432,326,1049,38,2
10,31,13831427,7211,326,1049,38,2
10,31,13387302,7294,326,1049,38,2
10,31,14577547,7979,326,1049,38,2
10,32,14282367,7660,333,1078,38,2
10,32,13536804,7663,333,1078,38,2
