Pallet: "pallet_staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,100,263269,6697,13,7,4,3
1,100,304885,7050,13,7,4,3
1,100,359756,7779,13,7,4,3
1,100,300067,7306,13,7,4,3
1,100,300268,7050,13,7,4,3
2,100,12771605,8497,520,316,307,3
2,100,11550485,9401,520,316,307,3
2,100,13307992,9726,520,316,307,3
2,100,14306198,9169,520,316,307,3
2,100,12080917,8329,520,316,307,3
3,100,20717207,10032,527,725,310,3
3,100,23351739,9966,527,725,310,3
3,100,20846056,8734,527,725,310,3
3,100,20453926,9057,527,725,310,3
3,100,20531937,8607,527,725,310,3
4,100,31375215,9893,534,1134,313,3
4,100,28784233,8836,534,1134,313,3
4,100,30453675,9324,534,1134,313,3
4,100,33492735,11157,534,1134,313,3
4,100,31511585,10584,534,1134,313,3
5,100,38557359,9734,541,1543,316,3
5,100,43841733,11433,541,1543,316,3
5,100,40971111,10668,541,1543,316,3
5,100,40316049,11207,541,1543,316,3
5,100,44315464,11509,541,1543,316,3
6,100,49244437,11509,548,1952,319,3
6,100,51856178,12651,548,1952,319,3
6,100,49083400,12466,548,1952,319,3
6,100,49012224,10359,548,1952,319,3
6,100,49007363,9909,548,1952,319,3
7,100,56909187,10420,555,2361,322,3
7,100,56788808,9267,555,2361,322,3
7,100,56704402,8799,555,2361,322,3
7,100,57282185,11173,555,2361,322,3
7,100,58485735,9337,555,2361,322,3
8,100,68473871,10804,562,2770,325,3
8,100,69863653,26977,562,2770,325,3
8,100,69917544,11084,562,2770,325,3
8,100,66841897,10094,562,2770,325,3
8,100,66345233,12136,562,2770,325,3
9,100,79684178,11541,569,3179,328,3
9,100,73871664,10156,569,3179,328,3
9,100,74388739,9910,569,3179,328,3
9,100,78909549,10915,569,3179,328,3
9,100,75240074,11170,569,3179,328,3
10,100,63675097,10125,576,3588,331,3
10,100,67774302,11525,576,3588,331,3
10,100,65689401,9210,576,3588,331,3
10,100,65989065,8611,576,3588,331,3
10,100,65295432,9356,576,3588,331,3
10,1,2698980,6585,81,123,34,3
10,1,2658296,6804,81,123,34,3
10,1,2586838,5801,81,123,34,3
10,1,2777438,5091,81,123,34,3
10,1,2847751,5524,81,123,34,3
10,2,3630157,5916,86,158,37,3
10,2,3594850,9599,86,158,37,3
10,2,3915947,16228,86,158,37,3
10,2,3801336,6753,86,158,37,3
10,2,3850149,7253,86,158,37,3
10,3,4344651,6335,91,193,40,3
10,3,4123025,6202,91,193,40,3
10,3,4081111,5709,91,193,40,3
10,3,4789631,6575,91,193,40,3
10,3,4261757,5734,91,193,40,3
10,4,5067851,6674,96,228,43,3
10,4,5368628,6005,96,228,43,3
10,4,4883166,5858,96,228,43,3
10,4,4920097,6490,96,228,43,3
10,4,5553468,6857,96,228,43,3
10,5,5628056,7751,101,263,46,3
10,5,5768278,6351,101,263,46,3
10,5,5692617,7028,101,263,46,3
10,5,6270787,6619,101,263,46,3
10,5,6179086,7679,101,263,46,3
10,6,7046816,6590,106,298,49,3
10,6,6774525,7530,106,298,49,3
10,6,6537873,6061,106,298,49,3
10,6,6530990,5776,106,298,49,3
10,6,6709345,6361,106,298,49,3
10,7,7576174,7537,111,333,52,3
10,7,7447977,7763,111,333,52,3
10,7,7780847,6518,111,333,52,3
10,7,7450202,6417,111,333,52,3
10,7,7644742,5783,111,333,52,3
