Pallet: "pallet_staking", Extrinsic: "payout_stakers", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,397269,8070,13,7,4,3
1,467756,7473,13,7,4,3
1,407127,6663,13,7,4,3
1,481768,7889,13,7,4,3
1,470364,7646,13,7,4,3
21,474496,7079,13,7,4,3
21,323261,7265,13,7,4,3
21,531037,33822,13,7,4,3
21,522270,8278,13,7,4,3
21,418527,7485,13,7,4,3
41,496820,7857,13,7,4,3
41,487616,8213,13,7,4,3
41,604131,7173,13,7,4,3
41,419352,7209,13,7,4,3
41,415806,7737,13,7,4,3
61,443117,9442,13,7,4,3
61,484042,7463,13,7,4,3
61,464461,7412,13,7,4,3
61,429205,7066,13,7,4,3
61,498306,8001,13,7,4,3
81,414932,7267,13,7,4,3
81,592830,7838,13,7,4,3
81,420673,6916,13,7,4,3
81,472081,7343,13,7,4,3
81,417513,7040,13,7,4,3
101,467991,6704,13,7,4,3
101,468732,7494,13,7,4,3
101,454601,7355,13,7,4,3
101,484566,6869,13,7,4,3
101,421446,10079,13,7,4,3
121,492236,8841,13,7,4,3
121,519764,8123,13,7,4,3
121,605598,8520,13,7,4,3
121,452868,6896,13,7,4,3
121,409174,6815,13,7,4,3
141,489152,7467,13,7,4,3
141,507492,7714,13,7,4,3
141,350899,6562,13,7,4,3
141,345770,6761,13,7,4,3
141,320885,6865,13,7,4,3
161,416596,8526,13,7,4,3
161,349699,7877,13,7,4,3
161,399346,9543,13,7,4,3
161,363671,9665,13,7,4,3
161,434982,8482,13,7,4,3
181,387443,7753,13,7,4,3
181,565059,8143,13,7,4,3
181,327202,6750,13,7,4,3
181,341049,6872,13,7,4,3
181,441620,7252,13,7,4,3
201,414248,9700,13,7,4,3
201,392109,10004,13,7,4,3
201,367235,10662,13,7,4,3
201,399146,10539,13,7,4,3
201,354503,11161,13,7,4,3
221,460195,6894,13,7,4,3
221,412820,8186,13,7,4,3
221,504200,9875,13,7,4,3
221,371321,11136,13,7,4,3
221,397364,19211,13,7,4,3
241,345975,17686,13,7,4,3
241,440212,19826,13,7,4,3
241,375213,7605,13,7,4,3
241,404838,7722,13,7,4,3
241,435314,7419,13,7,4,3
261,332131,10625,13,7,4,3
261,507297,22504,13,7,4,3
261,339020,6906,13,7,4,3
261,479216,6602,13,7,4,3
261,457134,6682,13,7,4,3
281,429160,7231,13,7,4,3
281,453967,7374,13,7,4,3
281,323111,6846,13,7,4,3
281,383126,8804,13,7,4,3
281,370983,9509,13,7,4,3
301,400613,7288,13,7,4,3
301,421561,9011,13,7,4,3
301,439079,9987,13,7,4,3
301,329410,9284,13,7,4,3
301,361598,7630,13,7,4,3
321,322189,6966,13,7,4,3
321,351013,7384,13,7,4,3
321,431212,8279,13,7,4,3
321,324483,6675,13,7,4,3
321,409425,6912,13,7,4,3
341,392571,6944,13,7,4,3
341,400994,7089,13,7,4,3
341,339829,6727,13,7,4,3
