Pallet: "pallet_staking", Extrinsic: "payout_stakers_alive_controller", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,508157,7626,13,7,4,3
1,521579,7394,13,7,4,3
1,424484,8842,13,7,4,3
1,481493,7501,13,7,4,3
1,454504,10399,13,7,4,3
21,427173,6543,13,7,4,3
21,556532,8570,13,7,4,3
21,467683,7744,13,7,4,3
21,509589,7966,13,7,4,3
21,466211,9588,13,7,4,3
41,494087,7595,13,7,4,3
41,422740,6913,13,7,4,3
41,428670,7169,13,7,4,3
41,432549,8171,13,7,4,3
41,457415,11250,13,7,4,3
61,466295,8166,13,7,4,3
61,513210,10909,13,7,4,3
61,457611,6512,13,7,4,3
61,522178,8204,13,7,4,3
61,537359,7407,13,7,4,3
81,484140,10411,13,7,4,3
81,521423,13071,13,7,4,3
81,550097,10828,13,7,4,3
81,470114,8004,13,7,4,3
81,492941,7285,13,7,4,3
101,497041,19809,13,7,4,3
101,439090,16537,13,7,4,3
101,478200,7508,13,7,4,3
101,439531,7618,13,7,4,3
101,427171,10427,13,7,4,3
121,530270,7482,13,7,4,3
121,410019,8787,13,7,4,3
121,555741,7812,13,7,4,3
121,479126,7117,13,7,4,3
121,519897,8321,13,7,4,3
141,414751,7452,13,7,4,3
141,405874,8144,13,7,4,3
141,469185,7599,13,7,4,3
141,518078,7996,13,7,4,3
141,382787,7653,13,7,4,3
161,412975,7285,13,7,4,3
161,473242,7376,13,7,4,3
161,371465,7810,13,7,4,3
161,354950,6661,13,7,4,3
161,368746,7430,13,7,4,3
181,400646,7822,13,7,4,3
181,381721,7952,13,7,4,3
181,376490,8227,13,7,4,3
181,329739,7988,13,7,4,3
181,335047,10462,13,7,4,3
201,390579,9643,13,7,4,3
201,444319,8119,13,7,4,3
201,511268,10953,13,7,4,3
201,392466,10364,13,7,4,3
201,335345,10394,13,7,4,3
221,485491,10403,13,7,4,3
221,370086,9067,13,7,4,3
221,356990,9360,13,7,4,3
221,433368,10619,13,7,4,3
221,376862,12009,13,7,4,3
241,343981,10092,13,7,4,3
241,543708,10900,13,7,4,3
241,350052,9720,13,7,4,3
241,394493,9771,13,7,4,3
241,398060,11450,13,7,4,3
261,502143,10973,13,7,4,3
261,612948,10521,13,7,4,3
261,413397,20602,13,7,4,3
261,446451,10313,13,7,4,3
261,409417,12270,13,7,4,3
281,439335,34914,13,7,4,3
281,377971,13099,13,7,4,3
281,417945,9649,13,7,4,3
281,339951,9920,13,7,4,3
281,360036,10051,13,7,4,3
301,393762,10066,13,7,4,3
301,494480,10994,13,7,4,3
301,449883,11295,13,7,4,3
301,502274,11516,13,7,4,3
301,497395,11074,13,7,4,3
321,334188,10986,13,7,4,3
321,394956,9629,13,7,4,3
321,335453,9919,13,7,4,3
321,337343,9027,13,7,4,3
321,377481,11054,13,7,4,3
341,341954,9735,13,7,4,3
341,330405,10190,13,7,4,3
341,439772,11509,13,7,4,3
341,339622,10383,13,7,4,3
341,328739,10708,13,7,4,3
361,461968,11044,13,7,4,3
361,379776,10928,13,7,4,3
361,408892,10594,13,7,4,3
361,361096,11041,13,7,4,3
361,338710,10663,13,7,4,3
381,374968,10809,13,7,4,3
381,352777,10243,13,7,4,3
381,498488,10896,13,7,4,3
381,410419,11275,13,7,4,3
381,380374,12045,13,7,4,3
401,389757,11742,13,7,4,3
401,492112,10313,13,7,4,3
401,363910,10691,13,7,4,3
401,511903,11800,13,7,4,3
401,349704,9629,13,7,4,3
421,369641,11073,13,7,4,3
421,384376,10318,13,7,4,3
421,332850,9565,13,7,4,3
421,377972,11436,13,7,4,3
421,332411,11205,13,7,4,3
441,331685,12977,13,7,4,3
441,392314,10598,13,7,4,3
441,375476,11035,13,7,4,3
441,391834,10971,13,7,4,3
441,418525,20508,13,7,4,3
461,339988,10957,13,7,4,3
461,334205,11354,13,7,4,3
461,343682,62718,13,7,4,3
461,331416,9551,13,7,4,3
461,366173,9180,13,7,4,3
481,517817,19422,13,7,4,3
481,399482,11335,13,7,4,3
481,390646,11293,13,7,4,3
481,328559,10108,13,7,4,3
481,367416,10367,13,7,4,3
501,355708,10165,13,7,4,3
501,392232,11128,13,7,4,3
501,467362,7900,13,7,4,3
501,341267,11814,13,7,4,3
501,372123,7583,13,7,4,3
521,379585,10814,13,7,4,3
521,369935,10533,13,7,4,3
521,375459,109541,13,7,4,3
521,345106,10693,13,7,4,3
521,371533,11861,13,7,4,3
541,364427,11729,13,7,4,3
541,403020,12686,13,7,4,3
541,433166,11507,13,7,4,3
541,326204,9788,13,7,4,3
541,434549,11135,13,7,4,3
561,411207,13117,13,7,4,3
561,371312,11153,13,7,4,3
561,332427,10244,13,7,4,3
561,337291,9723,13,7,4,3
561,403057,10125,13,7,4,3
581,372335,12068,13,7,4,3
581,339996,10067,13,7,4,3
581,387441,10908,13,7,4,3
581,367083,11410,13,7,4,3
581,327700,9678,13,7,4,3
601,365601,10264,13,7,4,3
601,373387,11871,13,7,4,3
601,429387,25384,13,7,4,3
601,346669,10392,13,7,4,3
601,368022,10590,13,7,4,3
621,336134,7017,13,7,4,3
621,394111,10499,13,7,4,3
621,358248,6992,13,7,4,3
621,371514,7230,13,7,4,3
621,337674,7648,13,7,4,3
641,330847,7120,13,7,4,3
641,328563,6727,13,7,4,3
641,370603,23040,13,7,4,3
641,369365,6683,13,7,4,3
641,392600,8411,13,7,4,3
661,390124,9686,13,7,4,3
661,363830,8035,13,7,4,3
661,334321,7533,13,7,4,3
661,333486,6695,13,7,4,3
661,370310,7513,13,7,4,3
681,368541,7848,13,7,4,3
681,379572,7669,13,7,4,3
681,492665,7834,13,7,4,3
681,376631,7210,13,7,4,3
681,333397,30472,13,7,4,3
701,422559,7105,13,7,4,3
701,375530,7700,13,7,4,3
701,330366,7460,13,7,4,3
701,366760,7745,13,7,4,3
701,378734,7601,13,7,4,3
721,334320,6977,13,7,4,3
721,385681,6966,13,7,4,3
721,337839,7222,13,7,4,3
721,341384,11794,13,7,4,3
721,405766,13622,13,7,4,3
741,376467,7584,13,7,4,3
741,411983,6793,13,7,4,3
741,392823,7854,13,7,4,3
741,436364,14978,13,7,4,3
741,430971,7455,13,7,4,3
761,433440,11199,13,7,4,3
761,347883,6606,13,7,4,3
761,408542,7907,13,7,4,3
761,371211,7828,13,7,4,3
761,374896,7885,13,7,4,3
781,378644,8328,13,7,4,3
781,386521,21031,13,7,4,3
781,386256,10653,13,7,4,3
781,338323,9730,13,7,4,3
781,461971,11790,13,7,4,3
801,332013,10896,13,7,4,3
801,348056,10353,13,7,4,3
801,372021,6616,13,7,4,3
801,340227,6626,13,7,4,3
801,338895,7007,13,7,4,3
821,341967,10699,13,7,4,3
821,414077,11028,13,7,4,3
821,345298,9219,13,7,4,3
821,522225,7580,13,7,4,3
821,367368,10943,13,7,4,3
841,394609,7137,13,7,4,3
841,335729,7511,13,7,4,3
841,343337,6836,13,7,4,3
841,383805,7703,13,7,4,3
841,382837,8586,13,7,4,3
861,371458,9741,13,7,4,3
861,344692,10458,13,7,4,3
861,385427,11013,13,7,4,3
861,446986,7065,13,7,4,3
861,431835,8397,13,7,4,3
881,400075,10778,13,7,4,3
881,378545,11485,13,7,4,3
881,335194,9277,13,7,4,3
881,373815,7588,13,7,4,3
881,431856,11032,13,7,4,3
901,349952,10622,13,7,4,3
901,420537,6892,13,7,4,3
901,334813,10523,13,7,4,3
901,329885,7010,13,7,4,3
901,419176,16404,13,7,4,3
921,337790,11959,13,7,4,3
921,393914,10691,13,7,4,3
921,325624,9927,13,7,4,3
921,387911,17119,13,7,4,3
921,375419,10228,13,7,4,3
941,416737,8649,13,7,4,3
941,381421,10313,13,7,4,3
941,406462,11827,13,7,4,3
941,409071,11393,13,7,4,3
941,375182,11258,13,7,4,3
961,530050,11559,13,7,4,3
961,337340,6688,13,7,4,3
961,344170,10666,13,7,4,3
961,414095,11921,13,7,4,3
961,348624,11184,13,7,4,3
981,371934,7857,13,7,4,3
981,331166,7158,13,7,4,3
981,331465,7589,13,7,4,3
981,433178,7812,13,7,4,3
981,356939,8351,13,7,4,3
1001,338477,23359,13,7,4,3
1001,337103,8045,13,7,4,3
1001,436190,7535,13,7,4,3
1001,374783,7464,13,7,4,3
1001,371928,7555,13,7,4,3
1021,367343,7464,13,7,4,3
1021,327461,6935,13,7,4,3
1021,366454,11297,13,7,4,3
1021,379079,9244,13,7,4,3
1021,368783,11831,13,7,4,3
1041,346037,16132,13,7,4,3
1041,399141,9613,13,7,4,3
1041,346946,9038,13,7,4,3
1041,384039,11372,13,7,4,3
1041,385102,9982,13,7,4,3
1061,374277,7727,13,7,4,3
1061,397180,11400,13,7,4,3
1061,360519,9998,13,7,4,3
1061,351068,7689,13,7,4,3
1061,336018,7999,13,7,4,3
1081,334464,10477,13,7,4,3
1081,330161,13352,13,7,4,3
1081,379150,7795,13,7,4,3
1081,403667,11129,13,7,4,3
1081,370632,9832,13,7,4,3
1101,323912,10609,13,7,4,3
1101,348469,10694,13,7,4,3
1101,807764,12099,13,7,4,3
1101,372209,11424,13,7,4,3
1101,348006,11831,13,7,4,3
1121,398733,12741,13,7,4,3
1121,376268,6836,13,7,4,3
1121,389015,9654,13,7,4,3
1121,331692,6800,13,7,4,3
1121,365434,10601,13,7,4,3
1141,418964,23510,13,7,4,3
1141,543072,10649,13,7,4,3
1141,343136,11272,13,7,4,3
1141,342621,7138,13,7,4,3
1141,387989,10953,13,7,4,3
1161,413145,10892,13,7,4,3
1161,333840,7041,13,7,4,3
1161,381228,10691,13,7,4,3
1161,336695,7421,13,7,4,3
1161,332188,11176,13,7,4,3
1181,476768,7497,13,7,4,3
1181,418992,6820,13,7,4,3
1181,374320,8135,13,7,4,3
1181,375035,8081,13,7,4,3
1181,497061,8909,13,7,4,3
1201,377676,8239,13,7,4,3
1201,331675,7220,13,7,4,3
1201,375871,7086,13,7,4,3
1201,331548,7973,13,7,4,3
1201,389367,8163,13,7,4,3
1221,406118,7906,13,7,4,3
1221,365328,7953,13,7,4,3
1221,370612,7410,13,7,4,3
1221,375666,8333,13,7,4,3
1221,370156,7425,13,7,4,3
1241,408592,7913,13,7,4,3
1241,386333,10437,13,7,4,3
1241,332506,6666,13,7,4,3
1241,331246,7211,13,7,4,3
1241,379030,7531,13,7,4,3
1261,374562,8636,13,7,4,3
1261,332542,6774,13,7,4,3
1261,403837,8084,13,7,4,3
1261,333293,6818,13,7,4,3
1261,354497,6536,13,7,4,3
1281,341841,7604,13,7,4,3
1281,379744,23757,13,7,4,3
1281,341336,10180,13,7,4,3
1281,368415,9477,13,7,4,3
1281,353861,10402,13,7,4,3
1301,463261,18626,13,7,4,3
1301,404007,11133,13,7,4,3
1301,367696,7884,13,7,4,3
1301,369150,8271,13,7,4,3
1301,381340,7988,13,7,4,3
1321,343221,16878,13,7,4,3
1321,379700,7343,13,7,4,3
1321,343422,13919,13,7,4,3
1321,335570,7970,13,7,4,3
