Pallet: "pallet_staking", Extrinsic: "reap_stash", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,137242,5407,4,2,9,0
1,134552,5086,4,2,9,0
1,136136,8675,4,2,9,0
1,136463,5044,4,2,9,0
1,155042,5044,4,2,9,0
2,121334,5301,4,2,10,0
2,140273,4920,4,2,10,0
2,140885,5163,4,2,10,0
2,121361,4309,4,2,10,0
2,144089,5086,4,2,10,0
3,147332,5003,4,2,11,0
3,146825,4981,4,2,11,0
3,163568,4892,4,2,11,0
3,126882,4406,4,2,11,0
3,146012,5070,4,2,11,0
4,133220,4615,4,2,12,0
4,134943,4403,4,2,12,0
4,155931,5043,4,2,12,0
4,132691,5110,4,2,12,0
4,154410,4954,4,2,12,0
5,172708,5277,4,2,13,0
5,138903,4285,4,2,13,0
5,160199,4974,4,2,13,0
5,161922,5213,4,2,13,0
5,161139,5096,4,2,13,0
6,166987,5256,4,2,14,0
6,143807,5088,4,2,14,0
6,166750,6860,4,2,14,0
6,178739,5173,4,2,14,0
6,166648,5072,4,2,14,0
7,148115,4580,4,2,15,0
7,172566,5051,4,2,15,0
7,162228,4604,4,2,15,0
7,254804,5937,4,2,15,0
7,173710,5196,4,2,15,0
8,178629,5270,4,2,16,0
8,153926,5262,4,2,16,0
8,178199,5018,4,2,16,0
8,159970,4447,4,2,16,0
8,179740,5182,4,2,16,0
9,190232,5242,4,2,17,0
9,184956,4893,4,2,17,0
9,206770,5148,4,2,17,0
9,185515,6615,4,2,17,0
9,184052,5093,4,2,17,0
10,164618,5895,4,2,18,0
10,210402,5540,4,2,18,0
10,190818,5161,4,2,18,0
10,209267,5445,4,2,18,0
10,210819,5431,4,2,18,0
11,218919,5892,4,2,19,0
11,217192,5660,4,2,19,0
11,233746,6231,4,2,19,0
11,200055,5061,4,2,19,0
11,195479,4705,4,2,19,0
12,248719,6073,4,2,20,0
12,176074,4458,4,2,20,0
12,176251,4277,4,2,20,0
12,202646,5215,4,2,20,0
12,232097,5745,4,2,20,0
13,180698,4621,4,2,21,0
13,230855,4976,4,2,21,0
13,238934,5199,4,2,21,0
13,231859,5099,4,2,21,0
13,180956,4461,4,2,21,0
14,213930,5003,4,2,22,0
14,225675,5430,4,2,22,0
14,187199,4434,4,2,22,0
14,199744,4660,4,2,22,0
14,214087,5208,4,2,22,0
15,220866,5790,4,2,23,0
15,191820,4553,4,2,23,0
15,221031,4939,4,2,23,0
15,223019,4995,4,2,23,0
15,191494,4375,4,2,23,0
16,227713,5215,4,2,24,0
16,252898,5528,4,2,24,0
16,194814,4454,4,2,24,0
16,197734,4478,4,2,24,0
16,197547,4501,4,2,24,0
17,202483,4850,4,2,25,0
17,201849,4703,4,2,25,0
17,233995,5228,4,2,25,0
17,236693,5255,4,2,25,0
17,201959,5913,4,2,25,0
18,205564,4705,4,2,26,0
18,240614,4865,4,2,26,0
18,205809,4534,4,2,26,0
18,209998,4605,4,2,26,0
18,237479,4536,4,2,26,0
19,211318,4704,4,2,27,0
19,244177,5076,4,2,27,0
19,242986,5283,4,2,27,0
19,243934,5122,4,2,27,0
19,244930,5069,4,2,27,0
20,250263,5202,4,2,28,0
20,216049,4443,4,2,28,0
20,251362,4484,4,2,28,0
20,254595,5102,4,2,28,0
20,216876,4414,4,2,28,0
