Pallet: "pallet_staking", Extrinsic: "rebond", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
l,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,82335,7141,4,1,3,0
1,68055,5294,4,1,3,0
1,69107,4549,4,1,3,0
1,94337,5196,4,1,3,0
1,66100,4316,4,1,3,0
2,64778,4190,4,1,3,0
2,86224,4289,4,1,3,0
2,81346,4871,4,1,3,0
2,65675,4318,4,1,3,0
2,76105,4901,4,1,3,0
3,76596,5186,4,1,3,0
3,76030,5099,4,1,3,0
3,65511,4265,4,1,3,0
3,65968,4476,4,1,3,0
3,65196,4537,4,1,3,0
4,66973,4319,4,1,3,0
4,66188,4166,4,1,3,0
4,66120,4256,4,1,3,0
4,76413,4951,4,1,3,0
4,91487,4436,4,1,3,0
5,65715,4550,4,1,3,0
5,66471,4426,4,1,3,0
5,76820,4940,4,1,3,0
5,68654,4503,4,1,3,0
5,67094,4443,4,1,3,0
6,66538,4419,4,1,3,0
6,66598,4354,4,1,3,0
6,65554,4208,4,1,3,0
6,66435,4409,4,1,3,0
6,67532,4442,4,1,3,0
7,66445,4543,4,1,3,0
7,66352,4356,4,1,3,0
7,66515,4395,4,1,3,0
7,71518,4320,4,1,3,0
7,66094,4206,4,1,3,0
8,66168,4475,4,1,3,0
8,66366,4544,4,1,3,0
8,66133,4409,4,1,3,0
8,66301,4317,4,1,3,0
8,66429,4193,4,1,3,0
9,67023,4308,4,1,3,0
9,66896,15107,4,1,3,0
9,67495,4058,4,1,3,0
9,85160,5524,4,1,3,0
9,67103,4340,4,1,3,0
10,89833,4473,4,1,3,0
10,77919,4858,4,1,3,0
10,67223,4448,4,1,3,0
10,67188,4377,4,1,3,0
10,67676,4410,4,1,3,0
11,67817,4460,4,1,3,0
11,67576,4338,4,1,3,0
11,67022,4343,4,1,3,0
11,66989,4362,4,1,3,0
11,103183,4989,4,1,3,0
12,68437,4295,4,1,3,0
12,67965,4262,4,1,3,0
12,67253,4258,4,1,3,0
12,71081,4532,4,1,3,0
12,68162,4568,4,1,3,0
13,78981,5356,4,1,3,0
13,79986,4919,4,1,3,0
13,80245,5008,4,1,3,0
13,69720,4466,4,1,3,0
13,71352,4436,4,1,3,0
14,78156,5015,4,1,3,0
14,68917,4381,4,1,3,0
14,68019,4324,4,1,3,0
14,68605,4166,4,1,3,0
14,80792,5097,4,1,3,0
15,68481,4587,4,1,3,0
15,78705,4906,4,1,3,0
15,68544,4408,4,1,3,0
15,81682,5256,4,1,3,0
15,89168,5059,4,1,3,0
16,78749,5092,4,1,3,0
16,67362,4397,4,1,3,0
16,78548,4876,4,1,3,0
16,89631,5016,4,1,3,0
