Pallet: "pallet_staking", Extrinsic: "set_commission_cap", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
m,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,70906,4898,3,6,2,2
0,77691,3917,3,6,2,2
0,70329,3869,3,6,2,2
0,70745,3782,3,6,2,2
0,70842,3884,3,6,2,2
1,126707,5239,4,8,3,2
1,94281,4374,4,8,3,2
1,92439,4403,4,8,3,2
1,104903,4292,4,8,3,2
1,104543,4814,4,8,3,2
2,126193,5153,5,10,4,2
2,111159,4511,5,10,4,2
2,108905,4377,5,10,4,2
2,138376,4175,5,10,4,2
2,129726,4182,5,10,4,2
3,142452,4211,6,12,5,2
3,150728,4431,6,12,5,2
3,128767,4382,6,12,5,2
3,146653,4854,6,12,5,2
3,164572,5588,6,12,5,2
4,145224,4582,7,14,6,2
4,184974,5606,7,14,6,2
4,167248,5011,7,14,6,2
4,183555,5212,7,14,6,2
4,144291,4954,7,14,6,2
5,199997,5406,8,16,7,2
5,195898,5011,8,16,7,2
5,196640,4978,8,16,7,2
5,201033,5692,8,16,7,2
5,215881,5511,8,16,7,2
6,230442,5980,9,18,8,2
6,186235,4763,9,18,8,2
6,185851,5430,9,18,8,2
6,212023,5097,9,18,8,2
6,212935,5235,9,18,8,2
7,238461,7092,10,20,9,2
7,262053,5005,10,20,9,2
7,236067,5448,10,20,9,2
7,262021,5894,10,20,9,2
7,257817,5883,10,20,9,2
8,283422,5217,11,22,10,2
8,273845,5246,11,22,10,2
8,262621,5124,11,22,10,2
8,259060,5231,11,22,10,2
8,251054,5147,11,22,10,2
9,246866,6464,12,24,11,2
9,248380,5187,12,24,11,2
9,250835,5704,12,24,11,2
9,277085,5349,12,24,11,2
9,292679,5962,12,24,11,2
10,328987,6297,13,26,12,2
10,270979,5757,13,26,12,2
10,270078,15400,13,26,12,2
10,267630,5485,13,26,12,2
10,274635,5634,13,26,12,2
11,372220,8096,14,28,13,2
11,291449,6401,14,28,13,2
11,325074,5607,14,28,13,2
11,347144,6274,14,28,13,2
11,353145,6927,14,28,13,2
12,315605,7415,15,30,14,2
12,364339,6490,15,30,14,2
12,506138,6307,15,30,14,2
12,305007,5081,15,30,14,2
12,304453,4738,15,30,14,2
