Pallet: "pallet_staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
e,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,145041,6791,2,0,11,0
1,82096,4691,2,0,11,0
1,78099,4545,2,0,11,0
1,77830,4657,2,0,11,0
1,76688,4507,2,0,11,0
2,126517,5131,2,0,18,0
2,116377,4328,2,0,18,0
2,166200,5163,2,0,18,0
2,128618,5168,2,0,18,0
2,130021,4609,2,0,18,0
3,158479,4277,2,0,25,0
3,158188,4170,2,0,25,0
3,158478,4788,2,0,25,0
3,178356,4849,2,0,25,0
3,176375,5165,2,0,25,0
4,206455,4439,2,0,32,0
4,208535,4861,2,0,32,0
4,232376,4459,2,0,32,0
4,205468,4260,2,0,32,0
4,178514,3650,2,0,32,0
5,286676,4745,2,0,39,0
5,273895,4395,2,0,39,0
5,245750,4364,2,0,39,0
5,254902,4498,2,0,39,0
5,299899,5193,2,0,39,0
6,296066,4764,2,0,46,0
6,298684,4296,2,0,46,0
6,327614,5093,2,0,46,0
6,298582,3800,2,0,46,0
6,323885,4799,2,0,46,0
7,348362,4186,2,0,53,0
7,340054,4524,2,0,53,0
7,349160,4822,2,0,53,0
7,341187,4567,2,0,53,0
7,326488,3816,2,0,53,0
8,390145,4640,2,0,60,0
8,334923,3895,2,0,60,0
8,387313,4631,2,0,60,0
8,428954,3936,2,0,60,0
8,332384,3742,2,0,60,0
9,457813,5095,2,0,67,0
9,428196,4679,2,0,67,0
9,452510,4639,2,0,67,0
9,429846,4489,2,0,67,0
9,428359,4360,2,0,67,0
10,431173,5054,2,0,74,0
10,496328,4656,2,0,74,0
10,472778,4022,2,0,74,0
10,477455,4566,2,0,74,0
10,524232,4795,2,0,74,0
11,522627,4372,2,0,81,0
11,523286,4538,2,0,81,0
11,551648,5124,2,0,81,0
11,501665,4586,2,0,81,0
11,517265,5553,2,0,81,0
12,593056,5529,2,0,88,0
12,573345,4588,2,0,88,0
12,578341,5247,2,0,88,0
12,613029,4720,2,0,88,0
12,492350,5450,2,0,88,0
13,613645,5675,2,0,95,0
13,650773,4569,2,0,95,0
13,630869,4979,2,0,95,0
13,623731,4611,2,0,95,0
13,670892,6414,2,0,95,0
14,674634,5208,2,0,102,0
14,731049,5199,2,0,102,0
14,667734,5594,2,0,102,0
14,644675,5534,2,0,102,0
14,751499,5268,2,0,102,0
15,710733,5354,2,0,109,0
15,765929,5140,2,0,109,0
15,710279,5407,2,0,109,0
15,708376,4221,2,0,109,0
15,737755,5127,2,0,109,0
16,795675,5452,2,0,116,0
16,769368,5090,2,0,116,0
16,759144,4880,2,0,116,0
16,766212,5270,2,0,116,0
16,763244,5796,2,0,116,0
17,834643,4825,2,0,123,0
17,843807,5941,2,0,123,0
17,839988,5129,2,0,123,0
17,908030,6226,2,0,123,0
17,872451,5722,2,0,123,0
18,836494,5253,2,0,130,0
18,947983,5840,2,0,130,0
18,874147,5352,2,0,130,0
18,900640,4812,2,0,130,0
18,929930,5110,2,0,130,0
19,966136,6091,2,0,137,0
19,850044,5117,2,0,137,0
19,908496,4686,2,0,137,0
19,911729,5104,2,0,137,0
19,1027523,5293,2,0,137,0
20,840532,5581,2,0,144,0
20,988872,7051,2,0,144,0
20,1078102,4650,2,0,144,0
20,1116972,6289,2,0,144,0
20,1090750,5335,2,0,144,0
21,1010030,6208,2,0,151,0
21,1006287,5204,2,0,151,0
21,1003005,5329,2,0,151,0
21,1025677,5791,2,0,151,0
21,1054712,5525,2,0,151,0
22,1035490,5982,2,0,158,0
22,1088388,5682,2,0,158,0
22,1146565,5221,2,0,158,0
22,1020793,5356,2,0,158,0
22,1155489,6464,2,0,158,0
23,1210892,5598,2,0,165,0
23,1226189,5218,2,0,165,0
23,1236070,5440,2,0,165,0
23,1245509,5582,2,0,165,0
23,1267248,5800,2,0,165,0
24,1228820,6027,2,0,172,0
24,1168519,5622,2,0,172,0
24,1163875,6098,2,0,172,0
24,1102169,5819,2,0,172,0
24,1191901,5425,2,0,172,0
25,1265711,6519,2,0,179,0
25,1367884,6297,2,0,179,0
25,1291016,6175,2,0,179,0
25,1393786,5841,2,0,179,0
25,1762889,5408,2,0,179,0
26,1281811,5155,2,0,186,0
26,1225078,5722,2,0,186,0
26,1344540,5616,2,0,186,0
26,1350173,5459,2,0,186,0
26,1218536,5470,2,0,186,0
27,1194029,5743,2,0,193,0
27,1300557,5163,2,0,193,0
27,1272679,6412,2,0,193,0
27,1381440,6184,2,0,193,0
27,1387357,6392,2,0,193,0
28,1456849,5589,2,0,200,0
28,1447082,5437,2,0,200,0
28,1372745,5773,2,0,200,0
28,1235902,4906,2,0,200,0
28,1520209,6650,2,0,200,0
29,1566323,6202,2,0,207,0
29,1598946,5215,2,0,207,0
29,1491793,5270,2,0,207,0
29,1382720,6066,2,0,207,0
29,1544793,6385,2,0,207,0
30,1501085,6177,2,0,214,0
30,1368551,5717,2,0,214,0
30,1466975,5799,2,0,214,0
30,1567464,6342,2,0,214,0
30,1653791,5941,2,0,214,0
31,1536638,6103,2,0,221,0
31,1538484,6768,2,0,221,0
31,1703754,6197,2,0,221,0
31,1528484,5619,2,0,221,0
31,1489662,5711,2,0,221,0
32,1797649,12869,2,0,228,0
32,1587466,6694,2,0,228,0
32,1657305,6225,2,0,228,0
32,1708958,5899,2,0,228,0
32,1566557,5688,2,0,228,0
33,1800151,5227,2,0,235,0
33,1538658,5438,2,0,235,0
33,1568502,6352,2,0,235,0
33,1656391,5738,2,0,235,0
33,1575264,5465,2,0,235,0
34,1738513,5699,2,0,242,0
34,1693475,5363,2,0,242,0
34,2162780,6684,2,0,242,0
34,1753256,5642,2,0,242,0
34,1921728,6129,2,0,242,0
35,1744728,6422,2,0,249,0
35,1760689,6706,2,0,249,0
35,1818891,5201,2,0,249,0
35,1677479,5599,2,0,249,0
35,1774061,6346,2,0,249,0
36,2566267,7322,2,0,256,0
36,1983823,6802,2,0,256,0
36,1862751,5451,2,0,256,0
36,1552903,7494,2,0,256,0
36,1881423,5427,2,0,256,0
37,1938058,6184,2,0,263,0
37,1869236,6037,2,0,263,0
37,1808441,6093,2,0,263,0
37,1823910,6478,2,0,263,0
37,1845408,6316,2,0,263,0
38,2044039,7498,2,0,270,0
38,1993189,6519,2,0,270,0
38,1626527,7527,2,0,270,0
38,1908482,6189,2,0,270,0
38,1641609,6645,2,0,270,0
39,1763116,7482,2,0,277,0
39,1689008,5090,2,0,277,0
39,1799433,5208,2,0,277,0
39,1967299,5861,2,0,277,0
39,1786099,5070,2,0,277,0
40,1916489,5367,2,0,284,0
40,1791304,5597,2,0,284,0
40,1799193,5200,2,0,284,0
40,1770491,5974,2,0,284,0
40,1867979,5337,2,0,284,0
41,1866419,6629,2,0,291,0
41,1858690,5297,2,0,291,0
41,2047264,6243,2,0,291,0
41,1989617,6549,2,0,291,0
41,1965421,5952,2,0,291,0
42,2035824,6070,2,0,298,0
42,2141483,5349,2,0,298,0
42,2040075,6443,2,0,298,0
42,2048603,5566,2,0,298,0
42,1936636,6477,2,0,298,0
43,2086250,6800,2,0,305,0
43,1863976,5963,2,0,305,0
43,2280324,5312,2,0,305,0
43,2005248,5738,2,0,305,0
43,2060522,5369,2,0,305,0
44,2116876,6243,2,0,312,0
44,2138932,5349,2,0,312,0
44,1915411,6741,2,0,312,0
44,2012296,5280,2,0,312,0
44,2158905,5865,2,0,312,0
45,1988955,6192,2,0,319,0
45,2082030,5325,2,0,319,0
45,2044820,7783,2,0,319,0
45,2064360,5672,2,0,319,0
45,2252328,5603,2,0,319,0
46,2147885,6879,2,0,326,0
46,2044095,5808,2,0,326,0
46,2003191,5143,2,0,326,0
46,2297739,6481,2,0,326,0
46,2317326,6875,2,0,326,0
47,2270651,6334,2,0,333,0
47,2303939,7322,2,0,333,0
47,2055348,5444,2,0,333,0
47,2455006,5481,2,0,333,0
47,2140214,5611,2,0,333,0
48,2625577,5736,2,0,340,0
48,2285548,5236,2,0,340,0
48,2239634,6382,2,0,340,0
48,2351788,6932,2,0,340,0
48,2392100,6376,2,0,340,0
49,2245921,6084,2,0,347,0
49,2291461,5496,2,0,347,0
49,2302215,6159,2,0,347,0
49,2246840,6713,2,0,347,0
49,2164417,5349,2,0,347,0
50,2200485,5660,2,0,354,0
50,2615852,5696,2,0,354,0
50,2476978,5522,2,0,354,0
50,2439406,5539,2,0,354,0
50,2267552,5440,2,0,354,0
51,2502393,5817,2,0,361,0
51,2483941,6693,2,0,361,0
51,2748076,16544,2,0,361,0
51,2730184,6646,2,0,361,0
51,2523963,5391,2,0,361,0
52,2508919,5593,2,0,368,0
52,2497311,6374,2,0,368,0
52,2504235,5413,2,0,368,0
52,2805930,5770,2,0,368,0
52,2660873,5675,2,0,368,0
53,2524329,5631,2,0,375,0
53,2511059,5682,2,0,375,0
53,2432396,7629,2,0,375,0
53,2461210,6882,2,0,375,0
53,2301679,7496,2,0,375,0
54,2807587,6463,2,0,382,0
54,2526701,7110,2,0,382,0
54,2375087,6632,2,0,382,0
54,2822680,7550,2,0,382,0
54,2512228,7655,2,0,382,0
55,2628247,7084,2,0,389,0
55,2742021,6750,2,0,389,0
55,2684407,5650,2,0,389,0
55,2621314,5558,2,0,389,0
55,2793648,5795,2,0,389,0
56,2585346,7286,2,0,396,0
56,2512918,7095,2,0,396,0
56,2483248,6906,2,0,396,0
