Pallet: "pallet_staking", Extrinsic: "set_invulnerables", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,4606,3005,0,0,1,0
0,4378,2822,0,0,1,0
0,4372,2886,0,0,1,0
0,4366,2742,0,0,1,0
0,4437,2760,0,0,1,0
10,5163,2959,0,0,1,0
10,5956,3514,0,0,1,0
10,5667,3443,0,0,1,0
10,5775,3441,0,0,1,0
10,5705,3349,0,0,1,0
20,6289,3622,0,0,1,0
20,6016,3416,0,0,1,0
20,6173,3322,0,0,1,0
20,5753,3359,0,0,1,0
20,5906,3531,0,0,1,0
30,6394,3466,0,0,1,0
30,5282,2959,0,0,1,0
30,5075,2938,0,0,1,0
30,4999,2842,0,0,1,0
30,5128,2821,0,0,1,0
40,5484,3241,0,0,1,0
40,6253,3527,0,0,1,0
40,5965,3363,0,0,1,0
40,6055,3463,0,0,1,0
40,5844,3383,0,0,1,0
50,6319,3558,0,0,1,0
50,6093,3329,0,0,1,0
50,5949,3355,0,0,1,0
50,5885,3363,0,0,1,0
50,5842,3305,0,0,1,0
60,6122,3562,0,0,1,0
60,6192,3492,0,0,1,0
60,6222,3506,0,0,1,0
60,5991,3053,0,0,1,0
60,6213,3573,0,0,1,0
70,5373,3626,0,0,1,0
70,5795,3051,0,0,1,0
70,5525,2907,0,0,1,0
70,5399,2960,0,0,1,0
70,5356,2900,0,0,1,0
80,5478,3643,0,0,1,0
80,6311,3495,0,0,1,0
80,6218,3423,0,0,1,0
80,6248,3422,0,0,1,0
80,6380,3526,0,0,1,0
90,5472,2981,0,0,1,0
90,5556,2937,0,0,1,0
90,5516,2905,0,0,1,0
90,6988,3452,0,0,1,0
90,6470,3362,0,0,1,0
100,7154,3978,0,0,1,0
100,7972,3903,0,0,1,0
100,6658,3413,0,0,1,0
100,6519,2978,0,0,1,0
100,5650,2867,0,0,1,0
110,6703,3594,0,0,1,0
110,6615,3512,0,0,1,0
110,6517,3460,0,0,1,0
110,6510,3281,0,0,1,0
110,5615,2885,0,0,1,0
120,5707,3071,0,0,1,0
120,5795,2969,0,0,1,0
120,6663,3371,0,0,1,0
120,6656,3427,0,0,1,0
120,6699,3483,0,0,1,0
130,5814,3104,0,0,1,0
130,5837,2865,0,0,1,0
130,14628,3920,0,0,1,0
130,6635,3329,0,0,1,0
130,6838,3489,0,0,1,0
140,5878,3093,0,0,1,0
140,5770,2912,0,0,1,0
140,5885,3061,0,0,1,0
140,6724,3423,0,0,1,0
140,6605,3432,0,0,1,0
150,7655,4110,0,0,1,0
150,6917,3360,0,0,1,0
150,6754,3427,0,0,1,0
150,7104,3547,0,0,1,0
150,6913,3466,0,0,1,0
160,5819,3113,0,0,1,0
160,5865,3065,0,0,1,0
160,5995,3123,0,0,1,0
160,7044,3487,0,0,1,0
160,6962,3428,0,0,1,0
170,7002,3823,0,0,1,0
170,7116,3426,0,0,1,0
170,7422,3809,0,0,1,0
170,6770,3485,0,0,1,0
170,7173,3593,0,0,1,0
180,6120,3107,0,0,1,0
180,6895,3779,0,0,1,0
180,7024,3382,0,0,1,0
180,5948,2913,0,0,1,0
180,6315,3116,0,0,1,0
190,6116,3106,0,0,1,0
190,6287,3113,0,0,1,0
190,7087,3564,0,0,1,0
190,7197,3437,0,0,1,0
190,6040,2887,0,0,1,0
200,6081,3115,0,0,1,0
200,6195,3042,0,0,1,0
200,6289,2944,0,0,1,0
200,6425,3018,0,0,1,0
200,6207,2896,0,0,1,0
210,7270,3764,0,0,1,0
210,7479,3618,0,0,1,0
210,6169,2998,0,0,1,0
210,7336,3016,0,0,1,0
210,6358,3069,0,0,1,0
220,6425,3611,0,0,1,0
220,6787,3794,0,0,1,0
220,7672,3496,0,0,1,0
220,7550,3471,0,0,1,0
220,7508,3448,0,0,1,0
230,6354,3168,0,0,1,0
230,6539,2903,0,0,1,0
230,7472,3429,0,0,1,0
230,7511,3445,0,0,1,0
230,7427,4504,0,0,1,0
240,8056,3886,0,0,1,0
240,7406,3399,0,0,1,0
240,7245,3475,0,0,1,0
240,7364,3365,0,0,1,0
240,7335,3420,0,0,1,0
250,11702,5061,0,0,1,0
250,8097,3830,0,0,1,0
250,7664,3565,0,0,1,0
250,7510,3649,0,0,1,0
250,7424,3617,0,0,1,0
260,7653,3993,0,0,1,0
260,9234,3848,0,0,1,0
260,7736,4070,0,0,1,0
260,8602,3439,0,0,1,0
260,7576,3480,0,0,1,0
270,7743,3674,0,0,1,0
270,8469,4276,0,0,1,0
270,7783,3629,0,0,1,0
270,9219,4261,0,0,1,0
270,8729,3887,0,0,1,0
280,7975,3808,0,0,1,0
280,7875,3617,0,0,1,0
280,8001,3610,0,0,1,0
280,7823,3448,0,0,1,0
280,8951,3933,0,0,1,0
290,8062,3669,0,0,1,0
290,6907,3071,0,0,1,0
290,12517,4412,0,0,1,0
290,7166,3150,0,0,1,0
290,6852,3025,0,0,1,0
300,24968,4484,0,0,1,0
300,8092,3536,0,0,1,0
300,7911,3533,0,0,1,0
300,6908,3078,0,0,1,0
