Pallet: "pallet_staking", Extrinsic: "set_validator_count", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,4147,3307,0,0,1,0
0,4187,3044,0,0,1,0
0,4060,2920,0,0,1,0
0,3885,2824,0,0,1,0
0,3953,2873,0,0,1,0
10,4034,2942,0,0,1,0
10,5078,3646,0,0,1,0
10,4751,3392,0,0,1,0
10,4709,3288,0,0,1,0
10,4702,3379,0,0,1,0
20,5003,3496,0,0,1,0
20,4755,3226,0,0,1,0
20,4590,3122,0,0,1,0
20,4573,3154,0,0,1,0
20,4630,3127,0,0,1,0
30,4624,3471,0,0,1,0
30,4593,3418,0,0,1,0
30,4650,3395,0,0,1,0
30,4485,3270,0,0,1,0
30,4408,3394,0,0,1,0
40,4607,3410,0,0,1,0
40,4576,3205,0,0,1,0
40,4509,3258,0,0,1,0
40,4718,3388,0,0,1,0
40,4480,3356,0,0,1,0
50,4766,3452,0,0,1,0
50,4621,3510,0,0,1,0
50,4407,3323,0,0,1,0
50,4515,3363,0,0,1,0
50,4740,3203,0,0,1,0
60,4467,3499,0,0,1,0
60,4516,3408,0,0,1,0
60,4636,3426,0,0,1,0
60,4445,3299,0,0,1,0
60,4517,3284,0,0,1,0
70,4424,3455,0,0,1,0
70,4643,3288,0,0,1,0
70,4336,3366,0,0,1,0
70,4548,3363,0,0,1,0
70,4459,3285,0,0,1,0
80,4619,3452,0,0,1,0
80,4531,3256,0,0,1,0
80,4399,3324,0,0,1,0
80,4550,4428,0,0,1,0
80,4946,3466,0,0,1,0
90,4630,3676,0,0,1,0
90,4525,3488,0,0,1,0
90,4503,3341,0,0,1,0
90,4521,3468,0,0,1,0
90,4468,3440,0,0,1,0
100,4754,3509,0,0,1,0
100,4506,3447,0,0,1,0
100,3937,2926,0,0,1,0
100,3946,2819,0,0,1,0
100,3942,2836,0,0,1,0
110,3922,3082,0,0,1,0
110,3940,3035,0,0,1,0
110,4926,3602,0,0,1,0
110,3992,3017,0,0,1,0
110,3950,2918,0,0,1,0
120,4562,3497,0,0,1,0
120,4577,3506,0,0,1,0
120,4520,3287,0,0,1,0
120,4612,3391,0,0,1,0
120,4664,3343,0,0,1,0
130,4764,3455,0,0,1,0
130,4575,3320,0,0,1,0
130,4699,3376,0,0,1,0
130,4705,3357,0,0,1,0
130,4593,3258,0,0,1,0
140,4611,3443,0,0,1,0
140,4546,3412,0,0,1,0
140,4525,3274,0,0,1,0
140,4510,3280,0,0,1,0
140,4552,3257,0,0,1,0
150,3937,3102,0,0,1,0
150,3796,2872,0,0,1,0
150,3921,2913,0,0,1,0
150,3811,2848,0,0,1,0
150,3922,2813,0,0,1,0
160,3891,3027,0,0,1,0
160,3881,2901,0,0,1,0
160,3892,2875,0,0,1,0
160,4021,2797,0,0,1,0
160,3913,2818,0,0,1,0
170,3974,2978,0,0,1,0
170,3932,2806,0,0,1,0
170,3920,2899,0,0,1,0
170,4076,2833,0,0,1,0
170,3903,2887,0,0,1,0
180,3921,3022,0,0,1,0
180,3875,2918,0,0,1,0
180,3862,2852,0,0,1,0
180,3940,3297,0,0,1,0
180,3922,2906,0,0,1,0
190,3972,3023,0,0,1,0
190,3968,3039,0,0,1,0
190,3910,2858,0,0,1,0
190,3895,2864,0,0,1,0
190,3926,2847,0,0,1,0
200,4077,15503,0,0,1,0
200,3893,2855,0,0,1,0
200,3846,2785,0,0,1,0
200,3872,2871,0,0,1,0
200,3900,2756,0,0,1,0
210,3867,2974,0,0,1,0
210,3896,2865,0,0,1,0
210,3813,2873,0,0,1,0
210,3861,2812,0,0,1,0
210,3834,2819,0,0,1,0
220,4034,3367,0,0,1,0
220,11657,3467,0,0,1,0
220,4508,3256,0,0,1,0
220,4668,3273,0,0,1,0
220,4522,3235,0,0,1,0
230,4521,3545,0,0,1,0
230,16851,2968,0,0,1,0
230,3891,2945,0,0,1,0
230,3786,2853,0,0,1,0
230,3988,2818,0,0,1,0
240,3905,3007,0,0,1,0
240,3849,2844,0,0,1,0
240,3917,2790,0,0,1,0
240,3822,2790,0,0,1,0
240,3839,2857,0,0,1,0
250,4116,2967,0,0,1,0
250,3947,2803,0,0,1,0
250,3977,2832,0,0,1,0
250,3898,2777,0,0,1,0
250,3832,2767,0,0,1,0
260,3827,2931,0,0,1,0
260,3984,2953,0,0,1,0
260,4022,2805,0,0,1,0
260,3881,2785,0,0,1,0
260,3831,2859,0,0,1,0
