Pallet: "pallet_staking", Extrinsic: "submit_solution_better", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,2000,500,100,92801939,10927,2106,16406,2,2
1000,2000,500,100,93118718,10855,2106,16406,2,2
1000,2000,500,100,91055573,11649,2106,16406,2,2
1000,2000,500,100,92145965,17841,2106,16406,2,2
1000,2000,500,100,93701629,11255,2106,16406,2,2
1010,2000,500,100,94492241,13606,2106,16406,2,2
1010,2000,500,100,95236970,13165,2106,16406,2,2
1010,2000,500,100,94672193,12041,2106,16406,2,2
1010,2000,500,100,99220593,19140,2106,16406,2,2
1010,2000,500,100,168362793,10791,2106,16406,2,2
1020,2000,500,100,99697417,12118,2106,16406,2,2
1020,2000,500,100,95360610,11587,2106,16406,2,2
1020,2000,500,100,93114364,10692,2106,16406,2,2
1020,2000,500,100,130623188,10952,2106,16406,2,2
1020,2000,500,100,96048802,10362,2106,16406,2,2
1030,2000,500,100,95871393,12080,2106,16406,2,2
1030,2000,500,100,92150245,9589,2106,16406,2,2
1030,2000,500,100,103047706,14771,2106,16406,2,2
1030,2000,500,100,95085434,10968,2106,16406,2,2
1030,2000,500,100,94169710,11350,2106,16406,2,2
1040,2000,500,100,90167837,10224,2106,16406,2,2
1040,2000,500,100,94139791,11641,2106,16406,2,2
1040,2000,500,100,93075238,11867,2106,16406,2,2
1040,2000,500,100,92302824,12285,2106,16406,2,2
1040,2000,500,100,90374619,12800,2106,16406,2,2
1050,2000,500,100,94166986,11771,2106,16406,2,2
1050,2000,500,100,95216523,11479,2106,16406,2,2
1050,2000,500,100,92819802,11510,2106,16406,2,2
1050,2000,500,100,91900581,10834,2106,16406,2,2
1050,2000,500,100,93819820,11230,2106,16406,2,2
1060,2000,500,100,92820284,12454,2106,16406,2,2
1060,2000,500,100,94030374,12514,2106,16406,2,2
1060,2000,500,100,91522259,10743,2106,16406,2,2
1060,2000,500,100,96630796,10186,2106,16406,2,2
1060,2000,500,100,92725093,12250,2106,16406,2,2
1070,2000,500,100,92286102,11555,2106,16406,2,2
1070,2000,500,100,92831299,11435,2106,16406,2,2
1070,2000,500,100,95409636,11433,2106,16406,2,2
1070,2000,500,100,96498458,11292,2106,16406,2,2
1070,2000,500,100,92977333,10884,2106,16406,2,2
1080,2000,500,100,94668098,11375,2106,16406,2,2
1080,2000,500,100,95868012,11184,2106,16406,2,2
1080,2000,500,100,94211653,11270,2106,16406,2,2
1080,2000,500,100,95507560,10338,2106,16406,2,2
1080,2000,500,100,92833298,10346,2106,16406,2,2
1090,2000,500,100,97775875,11376,2106,16406,2,2
1090,2000,500,100,97364252,11982,2106,16406,2,2
1090,2000,500,100,91291553,18393,2106,16406,2,2
1090,2000,500,100,92786224,11122,2106,16406,2,2
1090,2000,500,100,98142336,14614,2106,16406,2,2
1100,2000,500,100,104202683,13559,2106,16406,2,2
1100,2000,500,100,93419705,11712,2106,16406,2,2
1100,2000,500,100,99671949,11830,2106,16406,2,2
1100,2000,500,100,96331888,13902,2106,16406,2,2
1100,2000,500,100,95606382,11365,2106,16406,2,2
1110,2000,500,100,93795845,23900,2106,16406,2,2
1110,2000,500,100,92096925,12902,2106,16406,2,2
1110,2000,500,100,92994890,11055,2106,16406,2,2
1110,2000,500,100,93223894,17062,2106,16406,2,2
1110,2000,500,100,98745741,11360,2106,16406,2,2
1120,2000,500,100,91314956,10866,2106,16406,2,2
1120,2000,500,100,92283626,9985,2106,16406,2,2
1120,2000,500,100,93066970,9635,2106,16406,2,2
1120,2000,500,100,99126836,19562,2106,16406,2,2
1120,2000,500,100,97049156,10864,2106,16406,2,2
1130,2000,500,100,96747211,12093,2106,16406,2,2
1130,2000,500,100,100893345,12821,2106,16406,2,2
1130,2000,500,100,92400647,12288,2106,16406,2,2
1130,2000,500,100,92416447,12684,2106,16406,2,2
1130,2000,500,100,102435576,10785,2106,16406,2,2
1140,2000,500,100,94270425,12798,2106,16406,2,2
1140,2000,500,100,93660080,11553,2106,16406,2,2
1140,2000,500,100,93929281,10674,2106,16406,2,2
1140,2000,500,100,95008312,11684,2106,16406,2,2
1140,2000,500,100,100441880,12710,2106,16406,2,2
1150,2000,500,100,93531473,14032,2106,16406,2,2
1150,2000,500,100,97638595,12244,2106,16406,2,2
1150,2000,500,100,97346543,14995,2106,16406,2,2
1150,2000,500,100,95155219,12989,2106,16406,2,2
