Pallet: "pallet_staking", Extrinsic: "submit_solution_initial", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,2000,500,100,103086247,12244,2106,16406,2,2
1000,2000,500,100,98895303,22573,2106,16406,2,2
1000,2000,500,100,100608966,10945,2106,16406,2,2
1000,2000,500,100,103591905,13344,2106,16406,2,2
1000,2000,500,100,107301790,11252,2106,16406,2,2
1010,2000,500,100,106031026,14924,2106,16406,2,2
1010,2000,500,100,104699355,13014,2106,16406,2,2
1010,2000,500,100,108331947,14239,2106,16406,2,2
1010,2000,500,100,112350338,14437,2106,16406,2,2
1010,2000,500,100,107749154,14994,2106,16406,2,2
1020,2000,500,100,102475183,11420,2106,16406,2,2
1020,2000,500,100,106785860,12978,2106,16406,2,2
1020,2000,500,100,103522385,11547,2106,16406,2,2
1020,2000,500,100,99074781,13587,2106,16406,2,2
1020,2000,500,100,102602181,14414,2106,16406,2,2
1030,2000,500,100,100368371,13001,2106,16406,2,2
1030,2000,500,100,110499304,14240,2106,16406,2,2
1030,2000,500,100,100503584,11226,2106,16406,2,2
1030,2000,500,100,104279441,14427,2106,16406,2,2
1030,2000,500,100,105869924,19938,2106,16406,2,2
1040,2000,500,100,109930220,14415,2106,16406,2,2
1040,2000,500,100,104202333,13134,2106,16406,2,2
1040,2000,500,100,100858518,12849,2106,16406,2,2
1040,2000,500,100,98833065,11978,2106,16406,2,2
1040,2000,500,100,101081592,11203,2106,16406,2,2
1050,2000,500,100,108335599,13150,2106,16406,2,2
1050,2000,500,100,100764913,14181,2106,16406,2,2
1050,2000,500,100,102534641,13772,2106,16406,2,2
1050,2000,500,100,101938694,12795,2106,16406,2,2
1050,2000,500,100,102765179,11857,2106,16406,2,2
1060,2000,500,100,101609502,14086,2106,16406,2,2
1060,2000,500,100,105363374,15770,2106,16406,2,2
1060,2000,500,100,103314449,13149,2106,16406,2,2
1060,2000,500,100,110865004,15090,2106,16406,2,2
1060,2000,500,100,110308584,16274,2106,16406,2,2
1070,2000,500,100,114553216,13915,2106,16406,2,2
1070,2000,500,100,104159804,12952,2106,16406,2,2
1070,2000,500,100,101460000,16327,2106,16406,2,2
1070,2000,500,100,105299787,14842,2106,16406,2,2
1070,2000,500,100,112583090,16287,2106,16406,2,2
1080,2000,500,100,101817353,12426,2106,16406,2,2
1080,2000,500,100,106159268,21284,2106,16406,2,2
1080,2000,500,100,101699323,13406,2106,16406,2,2
1080,2000,500,100,106413286,11484,2106,16406,2,2
1080,2000,500,100,103764658,14612,2106,16406,2,2
1090,2000,500,100,105760851,22997,2106,16406,2,2
1090,2000,500,100,102832271,13489,2106,16406,2,2
1090,2000,500,100,97912773,11955,2106,16406,2,2
1090,2000,500,100,105281412,11796,2106,16406,2,2
1090,2000,500,100,103461062,13131,2106,16406,2,2
1100,2000,500,100,97893164,12825,2106,16406,2,2
1100,2000,500,100,106153839,14728,2106,16406,2,2
1100,2000,500,100,108983490,13608,2106,16406,2,2
1100,2000,500,100,106873216,16010,2106,16406,2,2
1100,2000,500,100,101110779,14007,2106,16406,2,2
1110,2000,500,100,96455740,12009,2106,16406,2,2
1110,2000,500,100,99297895,14333,2106,16406,2,2
1110,2000,500,100,100680966,15078,2106,16406,2,2
1110,2000,500,100,102277784,12622,2106,16406,2,2
1110,2000,500,100,98127465,13214,2106,16406,2,2
1120,2000,500,100,98407542,13170,2106,16406,2,2
1120,2000,500,100,102174952,15065,2106,16406,2,2
1120,2000,500,100,104046703,12940,2106,16406,2,2
1120,2000,500,100,105365532,11766,2106,16406,2,2
1120,2000,500,100,103583898,13086,2106,16406,2,2
1130,2000,500,100,99831000,13395,2106,16406,2,2
1130,2000,500,100,103341836,13899,2106,16406,2,2
1130,2000,500,100,103153175,14438,2106,16406,2,2
1130,2000,500,100,106028221,15673,2106,16406,2,2
1130,2000,500,100,102673440,14742,2106,16406,2,2
1140,2000,500,100,99372866,12327,2106,16406,2,2
1140,2000,500,100,104844983,14193,2106,16406,2,2
1140,2000,500,100,104330653,13515,2106,16406,2,2
1140,2000,500,100,96950403,14001,2106,16406,2,2
1140,2000,500,100,114060061,15509,2106,16406,2,2
1150,2000,500,100,107493573,12935,2106,16406,2,2
1150,2000,500,100,102202511,15831,2106,16406,2,2
1150,2000,500,100,97567834,14162,2106,16406,2,2
1150,2000,500,100,99811067,11613,2106,16406,2,2
1150,2000,500,100,100243006,13990,2106,16406,2,2
