Pallet: "pallet_staking", Extrinsic: "submit_solution_weaker", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,2000,94370,125071,3,0,0,0
1000,2000,88691,7194,3,0,0,0
1000,2000,87282,9866,3,0,0,0
1000,2000,76934,7364,3,0,0,0
1000,2000,96163,7543,3,0,0,0
1010,2000,76321,18212,3,0,0,0
1010,2000,98100,8464,3,0,0,0
1010,2000,97246,7465,3,0,0,0
1010,2000,79674,8050,3,0,0,0
1010,2000,79798,7557,3,0,0,0
1020,2000,80108,7614,3,0,0,0
1020,2000,78561,7418,3,0,0,0
1020,2000,75984,8307,3,0,0,0
1020,2000,74687,7845,3,0,0,0
1020,2000,99935,10382,3,0,0,0
1030,2000,135716,15272,3,0,0,0
1030,2000,95664,8080,3,0,0,0
1030,2000,104969,7675,3,0,0,0
1030,2000,85837,8089,3,0,0,0
1030,2000,85823,8010,3,0,0,0
1040,2000,76823,7783,3,0,0,0
1040,2000,79818,7369,3,0,0,0
1040,2000,74894,6880,3,0,0,0
1040,2000,80389,7412,3,0,0,0
1040,2000,78662,7463,3,0,0,0
1050,2000,79180,7432,3,0,0,0
1050,2000,77507,7741,3,0,0,0
1050,2000,74801,7486,3,0,0,0
1050,2000,88260,7722,3,0,0,0
1050,2000,74473,7363,3,0,0,0
1060,2000,79488,7689,3,0,0,0
1060,2000,80819,7814,3,0,0,0
1060,2000,80524,8065,3,0,0,0
1060,2000,79948,8423,3,0,0,0
1060,2000,74628,7865,3,0,0,0
1070,2000,74945,7365,3,0,0,0
1070,2000,78946,8703,3,0,0,0
1070,2000,96445,14571,3,0,0,0
1070,2000,79229,6571,3,0,0,0
1070,2000,85818,16084,3,0,0,0
1080,2000,85534,7475,3,0,0,0
1080,2000,84753,8527,3,0,0,0
1080,2000,96238,7085,3,0,0,0
1080,2000,76868,25757,3,0,0,0
1080,2000,76106,7281,3,0,0,0
1090,2000,98299,7900,3,0,0,0
1090,2000,76759,7530,3,0,0,0
1090,2000,79234,7351,3,0,0,0
1090,2000,75775,6778,3,0,0,0
1090,2000,82250,8435,3,0,0,0
1100,2000,81912,8017,3,0,0,0
1100,2000,78121,7027,3,0,0,0
1100,2000,78463,8701,3,0,0,0
1100,2000,81349,7951,3,0,0,0
1100,2000,78301,7407,3,0,0,0
1110,2000,91505,11185,3,0,0,0
1110,2000,79493,7532,3,0,0,0
1110,2000,84801,26380,3,0,0,0
1110,2000,81191,7618,3,0,0,0
1110,2000,79999,9144,3,0,0,0
1120,2000,79877,7719,3,0,0,0
1120,2000,79560,7399,3,0,0,0
1120,2000,91605,7976,3,0,0,0
1120,2000,77979,7136,3,0,0,0
1120,2000,89481,7593,3,0,0,0
1130,2000,78896,7979,3,0,0,0
1130,2000,77918,6810,3,0,0,0
1130,2000,77928,7685,3,0,0,0
1130,2000,79631,7792,3,0,0,0
1130,2000,94295,8167,3,0,0,0
1140,2000,100354,21048,3,0,0,0
1140,2000,93702,7522,3,0,0,0
1140,2000,85624,7208,3,0,0,0
1140,2000,80675,8318,3,0,0,0
1140,2000,83330,8619,3,0,0,0
1150,2000,89279,7699,3,0,0,0
1150,2000,81934,8759,3,0,0,0
1150,2000,106839,8027,3,0,0,0
1150,2000,77546,7781,3,0,0,0
1150,2000,89895,15281,3,0,0,0
1160,2000,83793,15614,3,0,0,0
1160,2000,77171,7525,3,0,0,0
1160,2000,79336,7805,3,0,0,0
1160,2000,73670,7677,3,0,0,0
1160,2000,101004,9791,3,0,0,0
1170,2000,85036,22069,3,0,0,0
1170,2000,97290,7308,3,0,0,0
1170,2000,92885,8027,3,0,0,0
1170,2000,97288,7793,3,0,0,0
1170,2000,78162,7551,3,0,0,0
1180,2000,78840,6511,3,0,0,0
1180,2000,76963,6756,3,0,0,0
1180,2000,79264,8078,3,0,0,0
1180,2000,81694,7008,3,0,0,0
1180,2000,108318,12725,3,0,0,0
1190,2000,81073,7784,3,0,0,0
1190,2000,78837,7490,3,0,0,0
1190,2000,93056,18460,3,0,0,0
1190,2000,128840,16053,3,0,0,0
1190,2000,92037,7412,3,0,0,0
1200,2000,83920,10691,3,0,0,0
1200,2000,76239,7809,3,0,0,0
1200,2000,78954,8445,3,0,0,0
1200,2000,84327,7973,3,0,0,0
1200,2000,89940,7247,3,0,0,0
1210,2000,77306,6495,3,0,0,0
1210,2000,80884,7639,3,0,0,0
1210,2000,79671,7042,3,0,0,0
1210,2000,107057,12156,3,0,0,0
1210,2000,88007,7972,3,0,0,0
1220,2000,81030,17360,3,0,0,0
1220,2000,80159,7475,3,0,0,0
1220,2000,77015,7469,3,0,0,0
1220,2000,82085,6851,3,0,0,0
1220,2000,91139,6809,3,0,0,0
1230,2000,101688,10832,3,0,0,0
1230,2000,91952,18049,3,0,0,0
1230,2000,81182,7438,3,0,0,0
1230,2000,83676,8699,3,0,0,0
1230,2000,83803,8374,3,0,0,0
1240,2000,101065,18895,3,0,0,0
1240,2000,90222,9219,3,0,0,0
1240,2000,81966,7784,3,0,0,0
1240,2000,79546,6931,3,0,0,0
1240,2000,75314,8339,3,0,0,0
1250,2000,78638,7697,3,0,0,0
1250,2000,100655,9854,3,0,0,0
1250,2000,104345,15408,3,0,0,0
1250,2000,90896,8254,3,0,0,0
1250,2000,81706,8110,3,0,0,0
1260,2000,80640,7908,3,0,0,0
1260,2000,83257,6896,3,0,0,0
1260,2000,107632,12224,3,0,0,0
1260,2000,87376,18090,3,0,0,0
1260,2000,79709,8514,3,0,0,0
1270,2000,89749,7296,3,0,0,0
1270,2000,83121,7227,3,0,0,0
1270,2000,85811,7647,3,0,0,0
1270,2000,110477,10148,3,0,0,0
1270,2000,84384,16361,3,0,0,0
1280,2000,106072,8713,3,0,0,0
1280,2000,92543,8772,3,0,0,0
1280,2000,82974,8048,3,0,0,0
1280,2000,78633,7899,3,0,0,0
1280,2000,82616,8607,3,0,0,0
1290,2000,95557,8530,3,0,0,0
1290,2000,176871,15300,3,0,0,0
1290,2000,82087,7198,3,0,0,0
1290,2000,96990,18494,3,0,0,0
1290,2000,90778,9704,3,0,0,0
1300,2000,98240,7582,3,0,0,0
1300,2000,79127,7543,3,0,0,0
1300,2000,80990,8268,3,0,0,0
1300,2000,80647,7927,3,0,0,0
1300,2000,89268,7887,3,0,0,0
1310,2000,98797,11915,3,0,0,0
1310,2000,86967,23292,3,0,0,0
1310,2000,88681,7826,3,0,0,0
1310,2000,87419,7552,3,0,0,0
1310,2000,82424,7711,3,0,0,0
1320,2000,77102,7639,3,0,0,0
1320,2000,81702,8511,3,0,0,0
1320,2000,77326,7134,3,0,0,0
1320,2000,91146,8090,3,0,0,0
1320,2000,79140,6959,3,0,0,0
1330,2000,137903,21275,3,0,0,0
1330,2000,82284,7249,3,0,0,0
1330,2000,79170,8074,3,0,0,0
1330,2000,77290,7517,3,0,0,0
1330,2000,87921,8580,3,0,0,0
1340,2000,109393,12127,3,0,0,0
1340,2000,75779,6709,3,0,0,0
1340,2000,82363,8200,3,0,0,0
1340,2000,109638,19178,3,0,0,0
1340,2000,98435,8626,3,0,0,0
1350,2000,81216,15707,3,0,0,0
1350,2000,102162,8409,3,0,0,0
1350,2000,74212,9612,3,0,0,0
1350,2000,79513,7418,3,0,0,0
1350,2000,72974,7370,3,0,0,0
