Pallet: "pallet_staking", Extrinsic: "withdraw_unbonded_kill", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,201694,5694,7,5,7,2
0,186157,5564,7,5,7,2
0,185684,5593,7,5,7,2
0,186878,5561,7,5,7,2
0,168655,5156,7,5,7,2
1,202567,16744,7,5,9,2
1,182170,5053,7,5,9,2
1,160267,5110,7,5,9,2
1,154913,4476,7,5,9,2
1,199146,5942,7,5,9,2
2,191750,4928,7,5,10,2
2,211492,5269,7,5,10,2
2,192563,5324,7,5,10,2
2,196834,5208,7,5,10,2
2,210006,5041,7,5,10,2
3,197341,5390,7,5,11,2
3,170307,4438,7,5,11,2
3,170067,4992,7,5,11,2
3,195512,5063,7,5,11,2
3,195909,5185,7,5,11,2
4,174166,4523,7,5,12,2
4,201437,6858,7,5,12,2
4,202291,4474,7,5,12,2
4,192232,5170,7,5,12,2
4,200810,5043,7,5,12,2
5,208101,5142,7,5,13,2
5,212129,5261,7,5,13,2
5,178443,4542,7,5,13,2
5,242048,5666,7,5,13,2
5,217322,4628,7,5,13,2
6,183842,4551,7,5,14,2
6,213187,5115,7,5,14,2
6,214579,4462,7,5,14,2
6,224880,5115,7,5,14,2
6,385121,5850,7,5,14,2
7,237222,5721,7,5,15,2
7,220836,5218,7,5,15,2
7,191644,5474,7,5,15,2
7,207447,4597,7,5,15,2
7,219793,5053,7,5,15,2
8,194272,4651,7,5,16,2
8,194339,4554,7,5,16,2
8,225741,5144,7,5,16,2
8,224139,4603,7,5,16,2
8,194546,4491,7,5,16,2
9,246309,5245,7,5,17,2
9,203936,4495,7,5,17,2
9,198973,4401,7,5,17,2
9,229622,5221,7,5,17,2
9,230557,5633,7,5,17,2
10,233948,5219,7,5,18,2
10,238228,4531,7,5,18,2
10,238753,5116,7,5,18,2
10,252694,4426,7,5,18,2
10,229708,5144,7,5,18,2
11,209601,4703,7,5,19,2
11,373546,5617,7,5,19,2
11,244735,4397,7,5,19,2
11,243449,5105,7,5,19,2
11,266727,5323,7,5,19,2
12,215566,4620,7,5,20,2
12,216909,4376,7,5,20,2
12,249123,5178,7,5,20,2
12,249944,5228,7,5,20,2
