Pallet: "pallet_staking", Extrinsic: "withdraw_unbonded_update", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,110741,5348,5,5,3,2
0,120857,4503,5,5,3,2
0,95186,4180,5,5,3,2
0,110412,5064,5,5,3,2
0,109890,5174,5,5,3,2
1,110465,5607,5,5,3,2
1,110619,4987,5,5,3,2
1,110361,5198,5,5,3,2
1,110703,5764,5,5,3,2
1,124800,5178,5,5,3,2
2,109944,5359,5,5,3,2
2,110542,5205,5,5,3,2
2,108876,4503,5,5,3,2
2,95326,4463,5,5,3,2
2,110509,5120,5,5,3,2
3,109750,4716,5,5,3,2
3,95183,4598,5,5,3,2
3,110315,4418,5,5,3,2
3,95279,4589,5,5,3,2
3,110028,5313,5,5,3,2
4,110192,5693,5,5,3,2
4,113820,6428,5,5,3,2
4,112054,4977,5,5,3,2
4,122645,5072,5,5,3,2
4,96876,4441,5,5,3,2
5,96179,4640,5,5,3,2
5,110560,5189,5,5,3,2
5,118522,4821,5,5,3,2
5,95817,4498,5,5,3,2
5,121303,5227,5,5,3,2
6,111077,4894,5,5,3,2
6,95612,4327,5,5,3,2
6,111161,5067,5,5,3,2
6,113365,5413,5,5,3,2
6,109663,5128,5,5,3,2
7,111454,5366,5,5,3,2
7,114575,5067,5,5,3,2
7,111610,4998,5,5,3,2
7,111806,4999,5,5,3,2
7,111589,5312,5,5,3,2
8,110359,5337,5,5,3,2
8,232118,5220,5,5,3,2
8,111943,5183,5,5,3,2
8,111336,5155,5,5,3,2
8,109266,5250,5,5,3,2
9,123093,5978,5,5,3,2
9,97686,5167,5,5,3,2
9,110476,4980,5,5,3,2
9,111310,5123,5,5,3,2
9,112308,4993,5,5,3,2
10,110828,5086,5,5,3,2
10,95281,5165,5,5,3,2
10,126408,4959,5,5,3,2
10,95978,4280,5,5,3,2
10,123516,5540,5,5,3,2
11,111128,5180,5,5,3,2
11,96828,4459,5,5,3,2
11,123058,5516,5,5,3,2
11,112351,4902,5,5,3,2
11,141232,4978,5,5,3,2
12,111944,4984,5,5,3,2
12,111954,4893,5,5,3,2
12,111093,5003,5,5,3,2
12,96349,4466,5,5,3,2
12,112474,4875,5,5,3,2
13,112087,5537,5,5,3,2
13,113335,5227,5,5,3,2
13,112282,5363,5,5,3,2
13,112122,4949,5,5,3,2
13,110936,5123,5,5,3,2
14,97467,5314,5,5,3,2
14,95897,4393,5,5,3,2
14,96259,4413,5,5,3,2
14,111353,4941,5,5,3,2
14,112374,5064,5,5,3,2
15,111291,5126,5,5,3,2
15,110924,5117,5,5,3,2
