Pallet: "pallet_statistics", Extrinsic: "add_exempted_entities", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,106079,4505,7,8,0,2
0,107289,4272,7,8,0,2
0,129551,4766,7,8,0,2
0,135369,5504,7,8,0,2
0,122853,4920,7,8,0,2
10,232154,5423,7,8,10,2
10,211442,5018,7,8,10,2
10,207539,4399,7,8,10,2
10,232798,5452,7,8,10,2
10,225558,4959,7,8,10,2
20,323621,5975,7,8,20,2
20,323871,5687,7,8,20,2
20,251989,5183,7,8,20,2
20,292402,5229,7,8,20,2
20,292693,5294,7,8,20,2
30,322769,4773,7,8,30,2
30,433534,5618,7,8,30,2
30,387882,4607,7,8,30,2
30,322467,4582,7,8,30,2
30,373411,4573,7,8,30,2
40,456185,6038,7,8,40,2
40,394976,4557,7,8,40,2
40,456118,5336,7,8,40,2
40,392746,4652,7,8,40,2
40,455816,5504,7,8,40,2
50,538011,5401,7,8,50,2
50,500926,4776,7,8,50,2
50,464604,5402,7,8,50,2
50,543712,5223,7,8,50,2
50,535866,5239,7,8,50,2
60,646786,5507,7,8,60,2
60,533761,4806,7,8,60,2
60,578026,4720,7,8,60,2
60,634922,5485,7,8,60,2
60,606376,6055,7,8,60,2
70,729000,6542,7,8,70,2
70,606514,5361,7,8,70,2
70,700954,5547,7,8,70,2
70,777017,5392,7,8,70,2
70,710490,5890,7,8,70,2
80,754848,6197,7,8,80,2
80,828664,6092,7,8,80,2
80,800375,5957,7,8,80,2
80,966106,5726,7,8,80,2
80,798504,5643,7,8,80,2
90,951324,4970,7,8,90,2
90,849717,5704,7,8,90,2
90,794488,5855,7,8,90,2
90,788040,5714,7,8,90,2
90,743372,4735,7,8,90,2
100,929978,5040,7,8,100,2
100,935527,5736,7,8,100,2
100,883891,4917,7,8,100,2
100,917575,4970,7,8,100,2
100,1013298,5748,7,8,100,2
110,993581,4903,7,8,110,2
110,985558,5732,7,8,110,2
110,1011926,4969,7,8,110,2
110,1023538,5724,7,8,110,2
110,984537,4920,7,8,110,2
120,1179080,4893,7,8,120,2
120,1027518,5103,7,8,120,2
120,1109202,4734,7,8,120,2
120,1046084,5694,7,8,120,2
120,1031383,5585,7,8,120,2
130,1080287,6188,7,8,130,2
130,1105004,6126,7,8,130,2
130,1132063,6111,7,8,130,2
130,1193275,5135,7,8,130,2
130,1246770,6175,7,8,130,2
140,1144559,6079,7,8,140,2
140,1262197,4986,7,8,140,2
140,1259291,5105,7,8,140,2
140,1268374,5156,7,8,140,2
140,1134538,5122,7,8,140,2
150,1354350,5053,7,8,150,2
150,1197423,5862,7,8,150,2
150,1183136,6291,7,8,150,2
150,1322109,6027,7,8,150,2
150,1293307,6110,7,8,150,2
160,1479382,5889,7,8,160,2
160,1467347,5920,7,8,160,2
160,1447605,6304,7,8,160,2
160,1412343,5297,7,8,160,2
160,1405847,6014,7,8,160,2
170,1523124,7069,7,8,170,2
170,1521938,5392,7,8,170,2
170,1495842,5315,7,8,170,2
170,1505250,6034,7,8,170,2
170,1301447,5681,7,8,170,2
180,1570640,5282,7,8,180,2
180,1674337,6465,7,8,180,2
180,1367950,5475,7,8,180,2
180,1632217,6760,7,8,180,2
180,1746607,8565,7,8,180,2
190,1827518,7520,7,8,190,2
190,1834819,5773,7,8,190,2
190,1718280,7266,7,8,190,2
190,1731436,7219,7,8,190,2
190,2403836,13661,7,8,190,2
200,2019299,8873,7,8,200,2
200,1915505,7433,7,8,200,2
200,1939316,7163,7,8,200,2
200,1902180,6633,7,8,200,2
200,1988024,6397,7,8,200,2
210,1895401,6934,7,8,210,2
210,1962381,8553,7,8,210,2
210,2010961,7467,7,8,210,2
210,1948557,7977,7,8,210,2
210,2064747,7176,7,8,210,2
220,2091219,8041,7,8,220,2
220,1904591,7736,7,8,220,2
220,2138946,8226,7,8,220,2
220,2302784,8359,7,8,220,2
220,2169855,7638,7,8,220,2
230,1985985,7058,7,8,230,2
230,2066681,7591,7,8,230,2
230,1811797,7641,7,8,230,2
230,2050155,7386,7,8,230,2
230,1794513,7330,7,8,230,2
240,1977409,7807,7,8,240,2
240,2111825,5598,7,8,240,2
240,1879275,5877,7,8,240,2
240,1932584,6749,7,8,240,2
240,1936363,7552,7,8,240,2
250,2025715,6622,7,8,250,2
250,2076909,5591,7,8,250,2
250,2072293,5801,7,8,250,2
250,2307652,5752,7,8,250,2
250,2362460,6892,7,8,250,2
260,2180910,7204,7,8,260,2
260,2171924,5570,7,8,260,2
260,2080819,7015,7,8,260,2
260,2204674,6592,7,8,260,2
260,1986113,6707,7,8,260,2
270,2029545,7157,7,8,270,2
270,2157583,6030,7,8,270,2
270,2047302,7060,7,8,270,2
270,2292181,6908,7,8,270,2
270,2119872,6996,7,8,270,2
280,2312090,6290,7,8,280,2
280,2287747,8316,7,8,280,2
280,2275541,7464,7,8,280,2
280,2360290,7512,7,8,280,2
280,2218429,7060,7,8,280,2
290,2250718,6709,7,8,290,2
290,2322033,6027,7,8,290,2
290,2498853,6809,7,8,290,2
290,2468537,6852,7,8,290,2
290,2298400,6690,7,8,290,2
300,2406567,19028,7,8,300,2
300,2548241,6124,7,8,300,2
300,2593275,5950,7,8,300,2
300,2471237,7417,7,8,300,2
300,2459500,6258,7,8,300,2
310,2504341,6005,7,8,310,2
310,2664076,8030,7,8,310,2
310,2642772,6224,7,8,310,2
310,2664307,6655,7,8,310,2
310,2636959,6672,7,8,310,2
320,2679042,9015,7,8,320,2
320,2660800,7713,7,8,320,2
320,2571994,6142,7,8,320,2
320,2506664,6448,7,8,320,2
320,2641009,7978,7,8,320,2
330,2686267,6219,7,8,330,2
330,2481129,6318,7,8,330,2
330,3018145,7145,7,8,330,2
330,2636063,7132,7,8,330,2
330,2646209,7434,7,8,330,2
340,2789456,6668,7,8,340,2
340,2727328,6477,7,8,340,2
340,2626923,7569,7,8,340,2
340,2896672,6926,7,8,340,2
340,3007220,7739,7,8,340,2
350,2843914,21081,7,8,350,2
350,2751645,7103,7,8,350,2
350,2808652,6943,7,8,350,2
350,2866235,6822,7,8,350,2
350,3000864,7201,7,8,350,2
360,3046900,8498,7,8,360,2
360,2965846,8728,7,8,360,2
360,2842018,8129,7,8,360,2
360,3051370,8363,7,8,360,2
360,2978706,8167,7,8,360,2
370,3268571,8797,7,8,370,2
370,3342370,9046,7,8,370,2
370,3297215,8273,7,8,370,2
370,3197799,20929,7,8,370,2
370,2926158,7328,7,8,370,2
380,3246210,7350,7,8,380,2
380,3350456,8448,7,8,380,2
380,3250134,7466,7,8,380,2
380,3168682,6897,7,8,380,2
380,3513706,8481,7,8,380,2
390,3319779,8538,7,8,390,2
390,3254908,7800,7,8,390,2
390,3131854,7387,7,8,390,2
390,3157696,23005,7,8,390,2
390,3056669,7654,7,8,390,2
400,3676247,8167,7,8,400,2
400,3256124,8213,7,8,400,2
400,3532269,7054,7,8,400,2
400,3641373,8926,7,8,400,2
400,3703169,8821,7,8,400,2
410,3541936,7590,7,8,410,2
410,3513160,8437,7,8,410,2
410,3581813,8858,7,8,410,2
410,3382472,8745,7,8,410,2
410,3261243,6526,7,8,410,2
420,3445971,7353,7,8,420,2
420,3418477,6577,7,8,420,2
420,3691669,8110,7,8,420,2
420,3671053,7925,7,8,420,2
420,3414064,7176,7,8,420,2
430,4000333,8165,7,8,430,2
430,3820911,8156,7,8,430,2
430,3672914,7423,7,8,430,2
430,3640147,7516,7,8,430,2
430,3515368,7911,7,8,430,2
440,3685324,7074,7,8,440,2
440,3582027,8253,7,8,440,2
440,3631960,7811,7,8,440,2
440,3773582,6932,7,8,440,2
440,3872571,7064,7,8,440,2
450,4146269,9709,7,8,450,2
450,3818514,10615,7,8,450,2
450,4173539,8839,7,8,450,2
450,4016122,9410,7,8,450,2
450,4118863,9337,7,8,450,2
460,3937652,9246,7,8,460,2
460,3890840,9093,7,8,460,2
460,4323269,8696,7,8,460,2
460,4285054,8422,7,8,460,2
460,3950376,9373,7,8,460,2
470,3945410,8138,7,8,470,2
470,3838973,8980,7,8,470,2
470,4138545,9545,7,8,470,2
470,3811200,8475,7,8,470,2
470,3980839,7360,7,8,470,2
480,4139926,8975,7,8,480,2
480,4272727,9192,7,8,480,2
480,4174093,7984,7,8,480,2
480,3902014,8521,7,8,480,2
480,3922424,9636,7,8,480,2
490,4402705,8844,7,8,490,2
490,4282096,9739,7,8,490,2
490,4112586,9588,7,8,490,2
490,4057860,8250,7,8,490,2
490,3909193,8658,7,8,490,2
500,3944870,8194,7,8,500,2
500,3920911,8624,7,8,500,2
500,4126137,7345,7,8,500,2
500,4349498,7386,7,8,500,2
500,4104843,8924,7,8,500,2
510,4627148,14184,7,8,510,2
510,4515948,7196,7,8,510,2
510,4514181,8168,7,8,510,2
510,4234631,8946,7,8,510,2
510,4181394,7365,7,8,510,2
520,3938042,7864,7,8,520,2
520,4286279,7928,7,8,520,2
520,4243861,7972,7,8,520,2
520,4095382,7309,7,8,520,2
520,4243902,9249,7,8,520,2
530,4088233,9813,7,8,530,2
530,4373258,9986,7,8,530,2
530,4323428,10389,7,8,530,2
530,4443106,8336,7,8,530,2
530,4057415,7939,7,8,530,2
540,4187557,7825,7,8,540,2
540,4389989,9173,7,8,540,2
540,4316405,7160,7,8,540,2
540,3906286,8200,7,8,540,2
540,4087411,7715,7,8,540,2
550,4292105,9123,7,8,550,2
550,4846310,8255,7,8,550,2
550,4497292,7802,7,8,550,2
550,4566533,8764,7,8,550,2
550,4780725,8591,7,8,550,2
560,4446803,8561,7,8,560,2
