Pallet: "pallet_statistics", Extrinsic: "remove_exempted_entities", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,106147,4937,7,8,0,2
0,123380,4410,7,8,0,2
0,104916,4209,7,8,0,2
0,120746,5023,7,8,0,2
0,105235,5250,7,8,0,2
10,207840,5353,7,8,10,2
10,178368,4410,7,8,10,2
10,207783,4512,7,8,10,2
10,177717,4571,7,8,10,2
10,179322,4549,7,8,10,2
20,287494,5279,7,8,20,2
20,267441,4421,7,8,20,2
20,290301,5116,7,8,20,2
20,289499,5111,7,8,20,2
20,291762,5189,7,8,20,2
30,318957,4668,7,8,30,2
30,368460,4570,7,8,30,2
30,328218,5182,7,8,30,2
30,426240,5364,7,8,30,2
30,368145,5137,7,8,30,2
40,407237,4796,7,8,40,2
40,452342,5421,7,8,40,2
40,455291,5459,7,8,40,2
40,454732,5166,7,8,40,2
40,470198,5197,7,8,40,2
50,533753,5535,7,8,50,2
50,569874,5181,7,8,50,2
50,532708,5348,7,8,50,2
50,533586,5294,7,8,50,2
50,534159,5596,7,8,50,2
60,595916,6048,7,8,60,2
60,677765,5449,7,8,60,2
60,678700,5443,7,8,60,2
60,613625,4722,7,8,60,2
60,613191,4936,7,8,60,2
70,696581,5379,7,8,70,2
70,697483,4700,7,8,70,2
70,698313,4550,7,8,70,2
70,688565,4606,7,8,70,2
70,697133,4729,7,8,70,2
80,670907,21517,7,8,80,2
80,772049,5596,7,8,80,2
80,752126,6071,7,8,80,2
80,805237,5848,7,8,80,2
80,829553,5905,7,8,80,2
90,869822,15018,7,8,90,2
90,898590,5557,7,8,90,2
90,810396,4787,7,8,90,2
90,822145,5707,7,8,90,2
90,861956,5819,7,8,90,2
100,925049,5542,7,8,100,2
100,858286,5018,7,8,100,2
100,949982,5408,7,8,100,2
100,927290,5203,7,8,100,2
100,804215,4989,7,8,100,2
110,1072345,5774,7,8,110,2
110,1072990,6512,7,8,110,2
110,1058254,6074,7,8,110,2
110,1104764,6400,7,8,110,2
110,1106527,5896,7,8,110,2
120,1112768,5884,7,8,120,2
120,1113872,5567,7,8,120,2
120,968048,21536,7,8,120,2
120,1096143,5403,7,8,120,2
120,1106040,5579,7,8,120,2
130,1142680,7283,7,8,130,2
130,1107087,5013,7,8,130,2
130,1190791,6002,7,8,130,2
130,1175005,5919,7,8,130,2
130,1111433,6197,7,8,130,2
140,1107587,6068,7,8,140,2
140,1291406,6603,7,8,140,2
140,1227835,5944,7,8,140,2
140,1196269,6700,7,8,140,2
140,1246693,4765,7,8,140,2
150,1356784,7243,7,8,150,2
150,1290081,5282,7,8,150,2
150,1340888,5514,7,8,150,2
150,1431391,6628,7,8,150,2
150,1399313,6039,7,8,150,2
160,1334256,5596,7,8,160,2
160,1241419,16133,7,8,160,2
160,1407558,4986,7,8,160,2
160,1460176,5725,7,8,160,2
160,1482611,6284,7,8,160,2
170,1418630,5911,7,8,170,2
170,1467498,5238,7,8,170,2
170,1459987,5280,7,8,170,2
170,1318283,5692,7,8,170,2
170,1473390,4948,7,8,170,2
180,1492872,7466,7,8,180,2
