Pallet: "pallet_timestamp", Extrinsic: "on_finalize", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,8089,3224,0,1,0,1
1,7232,3035,0,1,0,1
1,7442,3170,0,1,0,1
1,7118,3070,0,1,0,1
1,7213,3030,0,1,0,1
2,7191,3107,0,1,0,1
2,7188,3139,0,1,0,1
2,7063,3075,0,1,0,1
2,7137,3088,0,1,0,1
2,7150,3081,0,1,0,1
3,7299,3012,0,1,0,1
3,8077,3416,0,1,0,1
3,17276,3351,0,1,0,1
3,8055,3321,0,1,0,1
3,7910,3261,0,1,0,1
4,7751,3427,0,1,0,1
4,8051,3526,0,1,0,1
4,8730,3683,0,1,0,1
4,8679,3636,0,1,0,1
4,8640,3639,0,1,0,1
5,8677,3700,0,1,0,1
5,8872,3663,0,1,0,1
5,8696,3723,0,1,0,1
5,8731,3741,0,1,0,1
5,8609,3611,0,1,0,1
6,8677,3687,0,1,0,1
6,8625,3611,0,1,0,1
6,8489,3677,0,1,0,1
6,8764,3696,0,1,0,1
6,8747,3624,0,1,0,1
7,7917,3410,0,1,0,1
7,7966,3478,0,1,0,1
7,7190,3069,0,1,0,1
7,7206,3115,0,1,0,1
7,7107,3059,0,1,0,1
8,23024,3086,0,1,0,1
8,7407,3105,0,1,0,1
8,7197,3093,0,1,0,1
8,7164,3048,0,1,0,1
8,7123,3074,0,1,0,1
9,7150,3149,0,1,0,1
9,7963,3304,0,1,0,1
9,7588,3328,0,1,0,1
9,7758,3282,0,1,0,1
9,7933,3253,0,1,0,1
10,7829,3427,0,1,0,1
10,7937,3346,0,1,0,1
10,8066,3670,0,1,0,1
10,8511,3642,0,1,0,1
10,8557,3613,0,1,0,1
11,8590,3680,0,1,0,1
11,8532,3763,0,1,0,1
11,8772,3684,0,1,0,1
11,8490,11606,0,1,0,1
11,8582,3581,0,1,0,1
12,8845,3658,0,1,0,1
12,8634,3706,0,1,0,1
12,8920,3690,0,1,0,1
12,8925,3640,0,1,0,1
12,8871,3702,0,1,0,1
13,8661,3686,0,1,0,1
13,8595,3663,0,1,0,1
13,8580,3734,0,1,0,1
13,7725,3279,0,1,0,1
13,7775,3307,0,1,0,1
14,7736,3408,0,1,0,1
14,7679,3364,0,1,0,1
14,7980,3366,0,1,0,1
14,8508,3373,0,1,0,1
14,8045,3262,0,1,0,1
15,7759,3272,0,1,0,1
15,7933,3289,0,1,0,1
15,7882,3239,0,1,0,1
15,7806,3262,0,1,0,1
15,7744,3162,0,1,0,1
16,7893,3374,0,1,0,1
16,7911,3374,0,1,0,1
16,7903,3350,0,1,0,1
16,7909,3327,0,1,0,1
16,7797,3279,0,1,0,1
17,7720,3389,0,1,0,1
17,8565,3656,0,1,0,1
17,8596,3621,0,1,0,1
17,8723,3634,0,1,0,1
17,8821,3608,0,1,0,1
18,7744,3327,0,1,0,1
18,8021,3322,0,1,0,1
18,8014,3643,0,1,0,1
18,8635,3563,0,1,0,1
18,8603,3659,0,1,0,1
19,8699,3747,0,1,0,1
19,8706,3702,0,1,0,1
19,8823,3628,0,1,0,1
19,8704,3576,0,1,0,1
19,8663,3684,0,1,0,1
20,8815,3788,0,1,0,1
20,9001,3705,0,1,0,1
20,8591,3683,0,1,0,1
20,8818,3698,0,1,0,1
20,8618,3703,0,1,0,1
21,7085,3060,0,1,0,1
21,7205,3060,0,1,0,1
21,7166,3073,0,1,0,1
21,7143,3018,0,1,0,1
21,7027,3007,0,1,0,1
22,7709,3256,0,1,0,1
22,7116,3000,0,1,0,1
22,7165,3032,0,1,0,1
22,7089,3057,0,1,0,1
22,6979,3031,0,1,0,1
23,7147,2996,0,1,0,1
23,7238,3336,0,1,0,1
23,7715,3315,0,1,0,1
23,7934,3289,0,1,0,1
23,7103,3068,0,1,0,1
24,7180,3047,0,1,0,1
24,7778,3282,0,1,0,1
24,7721,3317,0,1,0,1
24,8621,3649,0,1,0,1
24,8586,3632,0,1,0,1
25,8696,3649,0,1,0,1
25,8763,3653,0,1,0,1
25,8689,3546,0,1,0,1
25,8484,3672,0,1,0,1
25,8651,3638,0,1,0,1
26,8823,3746,0,1,0,1
26,8673,3687,0,1,0,1
26,8524,3697,0,1,0,1
26,9013,3658,0,1,0,1
26,8900,3631,0,1,0,1
27,8669,3742,0,1,0,1
27,8818,3673,0,1,0,1
27,8791,3673,0,1,0,1
27,8672,3627,0,1,0,1
27,8670,3598,0,1,0,1
28,8707,3857,0,1,0,1
28,8511,3666,0,1,0,1
28,8457,3693,0,1,0,1
28,8524,3667,0,1,0,1
28,8596,3626,0,1,0,1
29,8662,3817,0,1,0,1
29,8567,12451,0,1,0,1
29,8790,3787,0,1,0,1
29,8851,3727,0,1,0,1
29,8730,3787,0,1,0,1
30,8626,3660,0,1,0,1
30,8609,3642,0,1,0,1
30,8604,3605,0,1,0,1
30,8660,3672,0,1,0,1
30,7696,3257,0,1,0,1
31,8046,3361,0,1,0,1
31,7835,3344,0,1,0,1
31,7195,3039,0,1,0,1
31,7189,3030,0,1,0,1
31,7356,2944,0,1,0,1
32,8069,3388,0,1,0,1
32,7910,3342,0,1,0,1
32,7832,3208,0,1,0,1
32,7786,3203,0,1,0,1
32,8131,3310,0,1,0,1
33,8758,3747,0,1,0,1
33,8818,3714,0,1,0,1
33,8679,3721,0,1,0,1
33,8866,3783,0,1,0,1
33,9094,3914,0,1,0,1
34,8773,3709,0,1,0,1
34,8714,3703,0,1,0,1
34,8551,3698,0,1,0,1
34,8582,3719,0,1,0,1
34,8760,3711,0,1,0,1
35,8785,3705,0,1,0,1
35,8665,3722,0,1,0,1
35,8630,3632,0,1,0,1
