Pallet: "pallet_treasury", Extrinsic: "disbursement", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,134960,6090,5,7,3,3
1,135027,5006,5,7,3,3
1,131508,4844,5,7,3,3
1,112523,4173,5,7,3,3
1,112715,4219,5,7,3,3
2,217706,5138,7,10,4,3
2,218355,5117,7,10,4,3
2,229838,4962,7,10,4,3
2,216631,4634,7,10,4,3
2,216856,4849,7,10,4,3
3,309909,5071,9,13,5,3
3,301834,4749,9,13,5,3
3,259981,4419,9,13,5,3
3,312792,4950,9,13,5,3
3,299278,4797,9,13,5,3
4,375675,4485,11,16,6,3
4,331378,4244,11,16,6,3
4,331560,4409,11,16,6,3
4,329698,4292,11,16,6,3
4,353966,4443,11,16,6,3
5,404100,4397,13,19,7,3
5,403874,4287,13,19,7,3
5,420559,4452,13,19,7,3
5,405396,4274,13,19,7,3
5,403938,4520,13,19,7,3
6,476828,4655,15,22,8,3
6,475453,4225,15,22,8,3
6,517128,4607,15,22,8,3
6,503455,4469,15,22,8,3
6,474651,5374,15,22,8,3
7,550341,4678,17,25,9,3
7,561061,4484,17,25,9,3
7,669154,5065,17,25,9,3
7,558884,4395,17,25,9,3
7,634042,4966,17,25,9,3
8,707602,5301,19,28,10,3
8,622702,4675,19,28,10,3
8,738234,6850,19,28,10,3
8,621907,4954,19,28,10,3
8,620616,4701,19,28,10,3
9,739549,5460,21,31,11,3
9,686176,4888,21,31,11,3
9,692096,5309,21,31,11,3
9,694283,5674,21,31,11,3
9,725136,5362,21,31,11,3
10,866714,6518,23,34,12,3
10,775908,6010,23,34,12,3
10,904027,6222,23,34,12,3
10,880460,6108,23,34,12,3
10,898616,6050,23,34,12,3
11,937899,7094,25,37,13,3
11,904716,6038,25,37,13,3
11,1006855,6497,25,37,13,3
11,843189,5678,25,37,13,3
11,852011,4808,25,37,13,3
12,1052139,6165,27,40,14,3
12,907959,5187,27,40,14,3
12,959301,5207,27,40,14,3
12,1019235,4982,27,40,14,3
12,927813,5098,27,40,14,3
13,1218730,6554,29,43,15,3
13,1084564,5073,29,43,15,3
13,1228177,6291,29,43,15,3
13,1082760,4645,29,43,15,3
13,1174268,4831,29,43,15,3
14,1126178,5599,31,46,16,3
14,1050331,5761,31,46,16,3
14,1043854,5211,31,46,16,3
14,1221359,5715,31,46,16,3
14,1259153,5814,31,46,16,3
15,1129694,6040,33,49,17,3
15,1133698,6097,33,49,17,3
15,1299754,5566,33,49,17,3
15,1145295,4952,33,49,17,3
15,1196039,4741,33,49,17,3
16,1327122,6533,35,52,18,3
16,1426537,6915,35,52,18,3
16,1473144,7376,35,52,18,3
16,1395677,6419,35,52,18,3
16,1399775,6589,35,52,18,3
17,1593100,6136,37,55,19,3
17,1315229,5783,37,55,19,3
17,1439998,5701,37,55,19,3
17,1296604,6057,37,55,19,3
17,1401030,6910,37,55,19,3
18,1556948,6160,39,58,20,3
18,1511651,7096,39,58,20,3
18,1359930,6634,39,58,20,3
18,1747472,8051,39,58,20,3
18,1616777,6595,39,58,20,3
19,1679663,6815,41,61,21,3
19,1796764,6953,41,61,21,3
19,1764120,7104,41,61,21,3
19,1651984,7861,41,61,21,3
19,1645397,7796,41,61,21,3
20,1757357,7319,43,64,22,3
20,1604453,7376,43,64,22,3
20,1816073,6597,43,64,22,3
20,1663455,5746,43,64,22,3
20,1484848,4991,43,64,22,3
21,1675444,5346,45,67,23,3
21,1823498,6821,45,67,23,3
21,1832085,25811,45,67,23,3
21,1630046,7273,45,67,23,3
21,1783789,7137,45,67,23,3
22,1851463,8366,47,70,24,3
22,1808149,7569,47,70,24,3
22,1889540,7792,47,70,24,3
22,1949422,7587,47,70,24,3
22,1812864,6790,47,70,24,3
23,1888730,6283,49,73,25,3
23,1952396,5699,49,73,25,3
23,1884270,6456,49,73,25,3
23,1697885,6463,49,73,25,3
23,2066906,8301,49,73,25,3
24,1807213,6764,51,76,26,3
24,1806761,6551,51,76,26,3
24,1857140,6426,51,76,26,3
24,2243204,7329,51,76,26,3
24,1974936,6407,51,76,26,3
25,2079803,8220,53,79,27,3
25,1948690,7493,53,79,27,3
25,18412590,7386,53,79,27,3
25,4568477,13208,53,79,27,3
25,2235467,7913,53,79,27,3
26,2251050,7438,55,82,28,3
26,1976017,7248,55,82,28,3
26,2057890,6744,55,82,28,3
26,2023632,6216,55,82,28,3
26,2075641,6074,55,82,28,3
27,2198164,5774,57,85,29,3
27,2217012,6335,57,85,29,3
27,2366790,6480,57,85,29,3
27,1987465,7032,57,85,29,3
27,2357448,6066,57,85,29,3
28,2164630,6357,59,88,30,3
28,2077476,5828,59,88,30,3
28,2447135,6010,59,88,30,3
28,2309635,5774,59,88,30,3
28,2476078,6663,59,88,30,3
29,2369116,9299,61,91,31,3
29,2491824,6434,61,91,31,3
29,2847410,7446,61,91,31,3
29,2148265,6597,61,91,31,3
29,2384862,6792,61,91,31,3
30,2450710,6724,63,94,32,3
30,2543005,6363,63,94,32,3
30,2471996,6939,63,94,32,3
30,2584570,6542,63,94,32,3
30,2732727,7622,63,94,32,3
31,2718454,7161,65,97,33,3
31,2701443,7186,65,97,33,3
31,2719317,6395,65,97,33,3
31,2324842,6921,65,97,33,3
31,2736383,8061,65,97,33,3
32,2401460,7489,67,100,34,3
32,2787143,6972,67,100,34,3
32,2593246,5971,67,100,34,3
32,2764514,7228,67,100,34,3
32,2790184,7261,67,100,34,3
33,3074613,7242,69,103,35,3
33,3008453,7109,69,103,35,3
33,2920049,6926,69,103,35,3
33,3021990,6668,69,103,35,3
33,2585655,7151,69,103,35,3
34,2840685,6875,71,106,36,3
34,2942947,7672,71,106,36,3
34,2694014,6095,71,106,36,3
34,2789710,7184,71,106,36,3
34,2867688,7324,71,106,36,3
35,2936008,6482,73,109,37,3
35,2948412,7058,73,109,37,3
35,2661838,6571,73,109,37,3
35,3486473,10919,73,109,37,3
35,3281260,7553,73,109,37,3
36,3256589,6924,75,112,38,3
36,3198083,7875,75,112,38,3
36,3430798,7828,75,112,38,3
36,3223149,8786,75,112,38,3
36,3111756,7110,75,112,38,3
37,3089999,6526,77,115,39,3
37,2932764,7639,77,115,39,3
37,3245509,6391,77,115,39,3
37,3108368,7068,77,115,39,3
37,3000982,7326,77,115,39,3
38,2946017,7515,79,118,40,3
38,2882667,6724,79,118,40,3
38,3163724,8036,79,118,40,3
38,3165920,6445,79,118,40,3
38,3227276,7844,79,118,40,3
39,3336663,6851,81,121,41,3
39,3741604,10649,81,121,41,3
39,3104282,7057,81,121,41,3
39,3189539,6960,81,121,41,3
39,3378607,8114,81,121,41,3
40,3653547,7675,83,124,42,3
40,3601482,7830,83,124,42,3
40,3697962,6914,83,124,42,3
40,3408549,7145,83,124,42,3
40,3436569,8787,83,124,42,3
41,3452331,8363,85,127,43,3
41,3526728,7680,85,127,43,3
41,3573868,6639,85,127,43,3
41,3352844,7871,85,127,43,3
41,3477847,7404,85,127,43,3
42,3378820,8043,87,130,44,3
42,3817464,8185,87,130,44,3
42,3811237,8290,87,130,44,3
42,3563770,20015,87,130,44,3
42,3459127,6918,87,130,44,3
43,3652898,7244,89,133,45,3
43,3990161,7526,89,133,45,3
43,3970173,7572,89,133,45,3
43,3475445,7070,89,133,45,3
43,3224467,6076,89,133,45,3
44,3650324,6790,91,136,46,3
44,3505388,6934,91,136,46,3
44,3688775,7528,91,136,46,3
44,3559692,8634,91,136,46,3
44,3243260,7585,91,136,46,3
45,4000276,7180,93,139,47,3
45,3446788,7771,93,139,47,3
45,3889398,6747,93,139,47,3
45,3881420,7491,93,139,47,3
45,3750629,7157,93,139,47,3
46,3907001,7554,95,142,48,3
46,3817727,6587,95,142,48,3
46,3823801,9071,95,142,48,3
46,3918541,7133,95,142,48,3
46,3889789,7216,95,142,48,3
47,4219744,7280,97,145,49,3
47,4086401,7196,97,145,49,3
47,3931723,7836,97,145,49,3
47,3754447,6358,97,145,49,3
47,3811135,7329,97,145,49,3
48,4035580,7226,99,148,50,3
48,3898957,7132,99,148,50,3
48,4055187,7264,99,148,50,3
48,3825794,7096,99,148,50,3
48,3955642,6394,99,148,50,3
49,4206363,7936,101,151,51,3
49,4147294,7051,101,151,51,3
49,4193024,6296,101,151,51,3
49,4018850,6657,101,151,51,3
49,4274332,7589,101,151,51,3
50,4491365,6830,103,154,52,3
50,4295213,7198,103,154,52,3
50,4216538,7791,103,154,52,3
50,4055145,8141,103,154,52,3
50,4156582,6710,103,154,52,3
51,4554025,6633,105,157,53,3
51,4616662,7454,105,157,53,3
51,4434212,7755,105,157,53,3
51,4467762,7549,105,157,53,3
51,3947698,7291,105,157,53,3
52,4106700,6770,107,160,54,3
52,4306743,7767,107,160,54,3
52,4360596,7901,107,160,54,3
52,4257347,7288,107,160,54,3
52,4194385,8177,107,160,54,3
53,4340411,7960,109,163,55,3
53,3966721,7529,109,163,55,3
53,4744252,7298,109,163,55,3
53,3963561,7377,109,163,55,3
53,4304194,8488,109,163,55,3
54,4535858,6890,111,166,56,3
54,4204904,8300,111,166,56,3
54,4426001,6968,111,166,56,3
54,4227455,7942,111,166,56,3
54,4451251,8609,111,166,56,3
55,4809772,7612,113,169,57,3
55,4622016,7083,113,169,57,3
55,5062259,7668,113,169,57,3
55,4778230,7861,113,169,57,3
55,4950202,7204,113,169,57,3
56,4959990,8417,115,172,58,3
56,4684673,7563,115,172,58,3
56,4765390,6905,115,172,58,3
56,4841865,8927,115,172,58,3
56,4542810,19198,115,172,58,3
57,4945376,6310,117,175,59,3
57,4675053,6887,117,175,59,3
57,4386215,7292,117,175,59,3
57,4778776,6586,117,175,59,3
57,4637722,6506,117,175,59,3
58,4684463,7648,119,178,60,3
58,4392843,6023,119,178,60,3
58,5011097,7237,119,178,60,3
58,4516856,8244,119,178,60,3
58,4568773,7764,119,178,60,3
59,4697956,7660,121,181,61,3
59,4897157,6293,121,181,61,3
59,4507215,7260,121,181,61,3
59,4901472,7217,121,181,61,3
59,5088498,7673,121,181,61,3
60,5068325,6875,123,184,62,3
60,5011313,7724,123,184,62,3
60,4950269,7822,123,184,62,3
60,5009206,7967,123,184,62,3
60,5107661,7814,123,184,62,3
61,5276572,7192,125,187,63,3
61,5045348,7297,125,187,63,3
61,5208133,8042,125,187,63,3
61,5357405,10696,125,187,63,3
61,5275370,6839,125,187,63,3
62,4858835,8604,127,190,64,3
62,5002504,9014,127,190,64,3
62,4908699,8156,127,190,64,3
62,4983582,12503,127,190,64,3
62,4580886,7036,127,190,64,3
63,5112326,7686,129,193,65,3
63,5260089,6974,129,193,65,3
63,5030836,7414,129,193,65,3
63,5570708,8292,129,193,65,3
63,5336421,7104,129,193,65,3
64,5365347,11581,131,196,66,3
64,5594476,7197,131,196,66,3
64,5614865,7346,131,196,66,3
64,5411909,9897,131,196,66,3
64,5712162,7673,131,196,66,3
65,5418125,7169,133,199,67,3
65,4857429,7780,133,199,67,3
65,5030893,6891,133,199,67,3
65,5539308,24018,133,199,67,3
65,5284523,8630,133,199,67,3
66,5641797,7153,135,202,68,3
66,5378886,7071,135,202,68,3
66,5906834,8082,135,202,68,3
66,5927215,7289,135,202,68,3
66,5401645,7822,135,202,68,3
67,5970709,7999,137,205,69,3
67,6073803,8126,137,205,69,3
67,6013183,8496,137,205,69,3
67,5489777,7831,137,205,69,3
67,5213017,6602,137,205,69,3
68,5655065,6484,139,208,70,3
68,5792922,7456,139,208,70,3
68,5585392,8437,139,208,70,3
68,5662780,6452,139,208,70,3
68,5667616,7786,139,208,70,3
69,5695519,8032,141,211,71,3
69,5801521,7453,141,211,71,3
69,5877709,7441,141,211,71,3
69,5427302,7249,141,211,71,3
69,6239075,8458,141,211,71,3
70,6014176,8176,143,214,72,3
70,5956585,7877,143,214,72,3
70,6005447,7701,143,214,72,3
70,6053483,8629,143,214,72,3
70,6315656,7718,143,214,72,3
71,6151686,8200,145,217,73,3
71,5459921,7876,145,217,73,3
71,5756038,6859,145,217,73,3
71,5676749,7442,145,217,73,3
71,5808933,8202,145,217,73,3
72,6525988,6717,147,220,74,3
72,5916341,8568,147,220,74,3
72,6182212,6898,147,220,74,3
72,6298119,7407,147,220,74,3
72,6184418,8973,147,220,74,3
73,6152807,7171,149,223,75,3
