Pallet: "pallet_utility", Extrinsic: "batch", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,13028,2141,0,4,0,2
0,13014,2093,0,4,0,2
0,12877,2078,0,4,0,2
0,12995,2167,0,4,0,2
0,12966,2067,0,4,0,2
1,20597,2076,2,4,2,2
1,20385,2080,2,4,2,2
1,20177,2065,2,4,2,2
1,20512,2001,2,4,2,2
1,20212,2052,2,4,2,2
2,22732,1980,2,4,2,2
2,22809,1972,2,4,2,2
2,22482,1921,2,4,2,2
2,22799,2016,2,4,2,2
2,22656,1972,2,4,2,2
3,24708,2097,2,4,2,2
3,25097,2040,2,4,2,2
3,24733,1974,2,4,2,2
3,24685,1977,2,4,2,2
3,25289,1929,2,4,2,2
4,27433,1934,2,4,2,2
4,27645,1908,2,4,2,2
4,27561,1964,2,4,2,2
4,27896,1989,2,4,2,2
4,28093,1939,2,4,2,2
5,29891,2078,2,4,2,2
5,30774,1983,2,4,2,2
5,30175,1982,2,4,2,2
5,30483,1938,2,4,2,2
5,29928,1983,2,4,2,2
6,32008,1997,2,4,2,2
6,32615,1987,2,4,2,2
6,33104,1958,2,4,2,2
6,33321,1965,2,4,2,2
6,33572,1999,2,4,2,2
7,34826,1949,2,4,2,2
7,34524,1966,2,4,2,2
7,34903,1945,2,4,2,2
7,34843,1998,2,4,2,2
7,35583,1943,2,4,2,2
8,37446,1991,2,4,2,2
8,40655,1976,2,4,2,2
8,37510,1983,2,4,2,2
8,37996,1990,2,4,2,2
8,38243,1930,2,4,2,2
9,39512,1962,2,4,2,2
9,39783,2018,2,4,2,2
9,39797,1999,2,4,2,2
9,40623,2015,2,4,2,2
9,40015,1955,2,4,2,2
10,41774,2057,2,4,2,2
10,42243,2036,2,4,2,2
10,42010,2002,2,4,2,2
10,42428,2021,2,4,2,2
10,41628,1954,2,4,2,2
11,44083,2045,2,4,2,2
11,44242,1910,2,4,2,2
11,44841,1975,2,4,2,2
11,44526,2036,2,4,2,2
11,44606,1959,2,4,2,2
12,47269,1982,2,4,2,2
12,47169,1908,2,4,2,2
12,47590,1957,2,4,2,2
12,46637,2038,2,4,2,2
12,46359,1986,2,4,2,2
13,49012,2050,2,4,2,2
13,49462,1983,2,4,2,2
13,49213,1962,2,4,2,2
13,49256,1901,2,4,2,2
13,80251,2022,2,4,2,2
14,51423,2000,2,4,2,2
14,51921,1976,2,4,2,2
14,51496,1933,2,4,2,2
14,50862,1939,2,4,2,2
14,52212,2004,2,4,2,2
15,53460,2042,2,4,2,2
15,54031,2071,2,4,2,2
15,54515,1994,2,4,2,2
15,54345,2056,2,4,2,2
15,54949,1988,2,4,2,2
16,56521,2020,2,4,2,2
16,55677,1989,2,4,2,2
16,56753,2039,2,4,2,2
16,57951,1959,2,4,2,2
16,56428,1993,2,4,2,2
17,57928,1998,2,4,2,2
17,58816,2018,2,4,2,2
17,57937,2004,2,4,2,2
17,59556,2004,2,4,2,2
17,60339,1987,2,4,2,2
18,61336,2008,2,4,2,2
18,61628,1989,2,4,2,2
18,61025,2047,2,4,2,2
18,60354,2032,2,4,2,2
18,61638,2018,2,4,2,2
19,64043,2002,2,4,2,2
19,63784,1927,2,4,2,2
19,64382,1973,2,4,2,2
19,64349,2019,2,4,2,2
19,63925,2003,2,4,2,2
20,66748,2106,2,4,2,2
20,67888,1936,2,4,2,2
20,64848,2024,2,4,2,2
20,67033,2013,2,4,2,2
20,65744,2009,2,4,2,2
21,69321,2002,2,4,2,2
21,68693,1979,2,4,2,2
21,68086,1984,2,4,2,2
21,68684,1964,2,4,2,2
21,68571,1994,2,4,2,2
22,71530,1999,2,4,2,2
22,71418,2042,2,4,2,2
22,71181,1964,2,4,2,2
22,71126,1987,2,4,2,2
22,71961,1915,2,4,2,2
23,73486,1967,2,4,2,2
23,73776,1965,2,4,2,2
23,73229,1933,2,4,2,2
23,74212,1948,2,4,2,2
23,73683,2008,2,4,2,2
24,75648,2056,2,4,2,2
24,75538,1982,2,4,2,2
24,75979,2032,2,4,2,2
24,76407,2000,2,4,2,2
24,76469,1982,2,4,2,2
25,77837,2039,2,4,2,2
25,77611,2031,2,4,2,2
25,79154,1962,2,4,2,2
25,78012,1971,2,4,2,2
25,77755,2022,2,4,2,2
26,80181,2046,2,4,2,2
26,80366,2109,2,4,2,2
26,79833,1997,2,4,2,2
26,80691,1978,2,4,2,2
26,79147,1983,2,4,2,2
27,82887,1979,2,4,2,2
27,80636,1978,2,4,2,2
