Pallet: "pallet_utility", Extrinsic: "batch_atomic", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,37321,5181,0,4,0,2
0,31335,4034,0,4,0,2
0,31423,4230,0,4,0,2
0,35545,4694,0,4,0,2
0,31628,4138,0,4,0,2
1,73963,4810,2,4,2,2
1,80921,5294,2,4,2,2
1,63596,4183,2,4,2,2
1,73488,4763,2,4,2,2
1,65431,4229,2,4,2,2
2,88243,4347,2,4,2,2
2,88152,3995,2,4,2,2
2,102646,4573,2,4,2,2
2,114914,4627,2,4,2,2
2,88735,3945,2,4,2,2
3,141975,4294,2,4,2,2
3,113461,4179,2,4,2,2
3,131981,4744,2,4,2,2
3,113939,4097,2,4,2,2
3,132110,4646,2,4,2,2
4,160834,4898,2,4,2,2
4,151588,4148,2,4,2,2
4,154346,4858,2,4,2,2
4,138664,4599,2,4,2,2
4,138486,4129,2,4,2,2
5,163132,4196,2,4,2,2
5,189554,4730,2,4,2,2
5,190716,4688,2,4,2,2
5,164668,4021,2,4,2,2
5,217826,4697,2,4,2,2
6,246430,5399,2,4,2,2
6,202238,4318,2,4,2,2
6,188482,4310,2,4,2,2
6,188188,4224,2,4,2,2
6,253624,5405,2,4,2,2
7,248228,4989,2,4,2,2
7,241655,4660,2,4,2,2
7,249192,4531,2,4,2,2
7,215220,3925,2,4,2,2
7,264446,4678,2,4,2,2
8,279968,4922,2,4,2,2
8,276947,4938,2,4,2,2
8,275999,4861,2,4,2,2
8,240271,4163,2,4,2,2
8,277948,5285,2,4,2,2
9,307521,4994,2,4,2,2
9,264842,4133,2,4,2,2
9,306613,4644,2,4,2,2
9,306035,4697,2,4,2,2
9,305840,4729,2,4,2,2
10,344511,5063,2,4,2,2
10,370537,4784,2,4,2,2
10,339721,4589,2,4,2,2
10,333520,4707,2,4,2,2
10,289334,4013,2,4,2,2
11,386084,5021,2,4,2,2
11,364158,4706,2,4,2,2
11,362498,4650,2,4,2,2
11,313928,4132,2,4,2,2
11,388667,5286,2,4,2,2
12,392802,4919,2,4,2,2
12,411986,4706,2,4,2,2
12,391971,4667,2,4,2,2
12,367094,4746,2,4,2,2
12,382306,4127,2,4,2,2
13,409591,4787,2,4,2,2
13,443009,4832,2,4,2,2
13,422475,4932,2,4,2,2
13,420617,4659,2,4,2,2
13,405259,4851,2,4,2,2
14,504931,4857,2,4,2,2
14,451462,4813,2,4,2,2
14,497648,5078,2,4,2,2
14,452162,4876,2,4,2,2
14,455436,4106,2,4,2,2
15,491173,4803,2,4,2,2
15,481077,4753,2,4,2,2
15,541913,4412,2,4,2,2
15,482576,4600,2,4,2,2
15,469173,4527,2,4,2,2
16,517618,4841,2,4,2,2
16,439193,4152,2,4,2,2
16,507555,4877,2,4,2,2
16,480039,4656,2,4,2,2
16,506007,4728,2,4,2,2
17,537368,4866,2,4,2,2
17,531665,4619,2,4,2,2
17,548340,4211,2,4,2,2
17,538273,4750,2,4,2,2
17,462651,3984,2,4,2,2
18,488987,4155,2,4,2,2
18,501724,3977,2,4,2,2
18,535847,4718,2,4,2,2
18,519575,4046,2,4,2,2
18,629661,5112,2,4,2,2
19,582782,4533,2,4,2,2
19,516536,4198,2,4,2,2
19,547993,4097,2,4,2,2
19,611551,4774,2,4,2,2
19,599714,4842,2,4,2,2
20,553665,4171,2,4,2,2
20,601416,4146,2,4,2,2
20,580002,5051,2,4,2,2
20,628064,4688,2,4,2,2
20,656544,4720,2,4,2,2
21,662187,4123,2,4,2,2
21,593565,4736,2,4,2,2
21,581370,4167,2,4,2,2
21,669552,4742,2,4,2,2
21,566345,4091,2,4,2,2
22,668954,5361,2,4,2,2
22,601954,4234,2,4,2,2
22,681986,4667,2,4,2,2
22,629698,5149,2,4,2,2
22,645797,4341,2,4,2,2
23,681948,5006,2,4,2,2
23,786321,5252,2,4,2,2
23,779977,5389,2,4,2,2
23,707859,4831,2,4,2,2
23,725763,4753,2,4,2,2
24,676886,4942,2,4,2,2
24,766776,4829,2,4,2,2
24,822071,5260,2,4,2,2
24,740529,4683,2,4,2,2
24,705332,4152,2,4,2,2
25,663018,4201,2,4,2,2
25,802893,4078,2,4,2,2
25,776070,4682,2,4,2,2
25,662241,14855,2,4,2,2
25,705133,4089,2,4,2,2
26,739953,4279,2,4,2,2
26,920054,4799,2,4,2,2
26,757084,4060,2,4,2,2
26,745460,4221,2,4,2,2
26,804704,4097,2,4,2,2
27,778544,4372,2,4,2,2
27,843934,4757,2,4,2,2
27,748198,4778,2,4,2,2
27,821446,4999,2,4,2,2
27,736233,4737,2,4,2,2
28,919922,4804,2,4,2,2
28,856253,4783,2,4,2,2
28,866993,4697,2,4,2,2
28,914046,4666,2,4,2,2
28,777004,4734,2,4,2,2
29,875717,4376,2,4,2,2
29,1338497,7416,2,4,2,2
29,825516,4331,2,4,2,2
29,800574,4201,2,4,2,2
29,895505,4946,2,4,2,2
30,808739,4435,2,4,2,2
30,968797,4744,2,4,2,2
30,912420,6662,2,4,2,2
30,830769,4324,2,4,2,2
30,917119,4947,2,4,2,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    45.61
    + c    28.78
              µs

Reads = 2 + (0 * c)
Writes = 2 + (0 * c)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    c   mean µs  sigma µs       %
    0     32.86     1.896    5.7%
    1     70.96     3.914    5.5%
    2      93.2     6.676    7.1%
    3       126     8.535    6.7%
    4     148.1     6.835    4.6%
    5     181.6     12.01    6.6%
    6     212.3     24.72   11.6%
    7     246.3     3.348    1.3%
    8     276.9     0.795    0.2%
    9     306.1     0.328    0.1%
   10     339.2     4.499    1.3%
   11     370.9     10.74    2.8%
   12       389     4.764    1.2%
   13     417.5     5.686    1.3%
   14     468.4     20.71    4.4%
   15     484.9     4.448    0.9%
   16     497.8     12.62    2.5%
   17     535.7     2.925    0.5%
   18       519     13.93    2.6%
   19     576.8     21.53    3.7%
   20     603.1     19.65    3.2%
   21     612.3     35.57    5.8%
   22     648.1     16.11    2.4%
   23     737.8     30.66    4.1%
   24     737.5     25.17    3.4%
   25     714.7     46.65    6.5%
   26       769     25.63    3.3%
   27     782.7     30.04    3.8%
   28       879     25.09    2.8%
   29     865.5     29.45    3.4%
   30     886.7     39.64    4.4%

Quality and confidence:
param     error
c         0.319

Model:
Time ~=    44.86
    + c    28.26
              µs

Reads = 2 + (0 * c)
Writes = 2 + (0 * c)
