Pallet: "pallet_utility", Extrinsic: "batch_atomic_transfer", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,13749,1971,0,4,0,2
0,14120,1982,0,4,0,2
0,13819,2029,0,4,0,2
0,13770,1889,0,4,0,2
0,14025,1907,0,4,0,2
1,70741,2117,13,13,4,2
1,70609,2168,13,13,4,2
1,70694,2173,13,13,4,2
1,70361,2196,13,13,4,2
1,70246,2113,13,13,4,2
2,92411,2110,13,30,4,2
2,93250,2122,13,30,4,2
2,93180,2041,13,30,4,2
2,92673,2126,13,30,4,2
2,92556,2121,13,30,4,2
3,112302,2233,13,47,4,2
3,113660,2114,13,47,4,2
3,113579,2127,13,47,4,2
3,116708,2140,13,47,4,2
3,113928,2057,13,47,4,2
4,133600,2191,13,64,4,2
4,133309,2208,13,64,4,2
4,132859,2125,13,64,4,2
4,137286,2087,13,64,4,2
4,134251,2113,13,64,4,2
5,152515,2191,13,81,4,2
5,152990,2209,13,81,4,2
5,154034,2057,13,81,4,2
5,158098,2073,13,81,4,2
5,154229,2121,13,81,4,2
6,172651,2091,13,98,4,2
6,173310,2045,13,98,4,2
6,173254,2122,13,98,4,2
6,172929,2098,13,98,4,2
6,173959,2103,13,98,4,2
7,191847,2175,13,115,4,2
7,192079,2137,13,115,4,2
7,192813,2118,13,115,4,2
7,192536,2171,13,115,4,2
7,192840,2114,13,115,4,2
8,210360,2106,13,132,4,2
8,212357,2062,13,132,4,2
8,211493,2077,13,132,4,2
8,210839,2086,13,132,4,2
8,211832,2051,13,132,4,2
9,232834,2170,13,149,4,2
9,235720,2028,13,149,4,2
9,231475,2091,13,149,4,2
9,230853,2003,13,149,4,2
9,232036,2133,13,149,4,2
10,249865,2165,13,166,4,2
10,252315,2108,13,166,4,2
10,251572,2151,13,166,4,2
10,250322,2067,13,166,4,2
10,251064,2096,13,166,4,2
11,269475,2111,13,183,4,2
11,269808,2138,13,183,4,2
11,270404,2072,13,183,4,2
11,270064,2152,13,183,4,2
11,269785,2099,13,183,4,2
12,290080,2290,13,200,4,2
12,288950,2131,13,200,4,2
12,289573,2118,13,200,4,2
12,288273,2082,13,200,4,2
12,289762,2185,13,200,4,2
13,308007,2164,13,217,4,2
13,309106,2107,13,217,4,2
13,315541,2131,13,217,4,2
13,312972,2119,13,217,4,2
13,308187,2156,13,217,4,2
14,327744,2217,13,234,4,2
14,329899,2246,13,234,4,2
14,328958,2136,13,234,4,2
14,328802,2147,13,234,4,2
14,330189,2112,13,234,4,2
15,347492,2152,13,251,4,2
15,352427,2010,13,251,4,2
15,345931,2087,13,251,4,2
15,346310,2103,13,251,4,2
15,352023,2079,13,251,4,2
16,365450,2055,13,268,4,2
16,369100,2047,13,268,4,2
16,368454,2077,13,268,4,2
16,369232,2067,13,268,4,2
16,370803,2115,13,268,4,2
17,384537,2191,13,285,4,2
17,388350,2185,13,285,4,2
17,388603,2177,13,285,4,2
17,384820,2112,13,285,4,2
17,384057,2179,13,285,4,2
18,404543,2206,13,302,4,2
18,405820,2172,13,302,4,2
18,403375,2127,13,302,4,2
18,407469,2130,13,302,4,2
18,405338,2144,13,302,4,2
19,427928,2093,13,319,4,2
19,426867,2059,13,319,4,2
19,422789,2111,13,319,4,2
19,425184,2035,13,319,4,2
19,423211,2100,13,319,4,2
20,472239,2029,13,336,4,2
20,445057,2077,13,336,4,2
20,447018,2020,13,336,4,2
20,446946,2082,13,336,4,2
20,451568,2020,13,336,4,2
21,467395,2161,13,353,4,2
21,466661,2100,13,353,4,2
21,471228,2120,13,353,4,2
21,462556,2115,13,353,4,2
21,462164,2156,13,353,4,2
22,487270,2136,13,370,4,2
22,485893,2129,13,370,4,2
22,487394,2069,13,370,4,2
22,482807,2129,13,370,4,2
22,487471,2132,13,370,4,2
23,505302,2087,13,387,4,2
23,504731,2047,13,387,4,2
23,508134,2071,13,387,4,2
23,502789,2065,13,387,4,2
23,501566,2106,13,387,4,2
24,525533,2130,13,404,4,2
24,524692,2020,13,404,4,2
24,523542,2074,13,404,4,2
24,525865,2233,13,404,4,2
24,526088,2082,13,404,4,2
25,540068,2109,13,421,4,2
25,547640,2272,13,421,4,2
25,541105,2058,13,421,4,2
25,542883,2139,13,421,4,2
25,539771,2084,13,421,4,2
26,558884,2270,13,438,4,2
26,560878,2151,13,438,4,2
26,565343,2077,13,438,4,2
26,559582,2149,13,438,4,2
26,558266,2124,13,438,4,2
27,583742,2156,13,455,4,2
27,579865,2086,13,455,4,2
27,579828,2059,13,455,4,2
27,584765,2152,13,455,4,2
27,584251,2114,13,455,4,2
28,600560,2123,13,472,4,2
28,605572,2135,13,472,4,2
28,604233,2231,13,472,4,2
28,605882,2144,13,472,4,2
28,602752,2146,13,472,4,2
29,617171,2144,13,489,4,2
29,617499,2085,13,489,4,2
29,625093,2170,13,489,4,2
29,617784,2167,13,489,4,2
29,619967,2130,13,489,4,2
30,635369,2160,13,506,4,2
30,637202,2113,13,506,4,2
30,639980,2090,13,506,4,2
30,641994,2165,13,506,4,2
30,647878,2046,13,506,4,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    54.87
    + c    19.56
              µs

Reads = 13 + (0 * c)
Writes = 4 + (0 * c)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    c   mean µs  sigma µs       %
    0     13.87      0.11    0.7%
    1     70.55     0.141    0.1%
    2      92.8      0.27    0.2%
    3     113.7     0.149    0.1%
    4     133.7     0.393    0.2%
    5     153.7     0.543    0.3%
    6     173.1     0.167    0.0%
    7     192.4     0.302    0.1%
    8     211.3     0.412    0.1%
    9     232.1     0.557    0.2%
   10     250.9     0.513    0.2%
   11     269.8     0.126    0.0%
   12     289.4     0.346    0.1%
   13       310     2.073    0.6%
   14     329.2     0.484    0.1%
   15     348.6     2.462    0.7%
   16     368.9     0.339    0.0%
   17     385.9     1.734    0.4%
   18     405.2     0.526    0.1%
   19       425     1.494    0.3%
   20     448.5     2.162    0.4%
   21     465.5     2.129    0.4%
   22     486.8      0.68    0.1%
   23     504.2     1.075    0.2%
   24     525.3     0.493    0.0%
   25     541.3     1.162    0.2%
   26     559.7     0.826    0.1%
   27     582.6     1.958    0.3%
   28     604.1     1.151    0.1%
   29     618.4     1.102    0.1%
   30     639.7     1.964    0.3%

Quality and confidence:
param     error
c         0.084

Model:
Time ~=    50.11
    + c    19.77
              µs

Reads = 11 + (0 * c)
Writes = 4 + (0 * c)
