Pallet: "pallet_utility", Extrinsic: "batch_optimistic", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,13000,1980,0,4,0,2
0,12697,1930,0,4,0,2
0,12624,1859,0,4,0,2
0,12555,1910,0,4,0,2
0,12789,1860,0,4,0,2
1,20305,2170,2,4,2,2
1,20352,2205,2,4,2,2
1,20604,2269,2,4,2,2
1,20483,2257,2,4,2,2
1,19983,2240,2,4,2,2
2,23216,2272,2,4,2,2
2,22942,2217,2,4,2,2
2,23247,2195,2,4,2,2
2,23272,2192,2,4,2,2
2,23113,2214,2,4,2,2
3,26099,2228,2,4,2,2
3,25998,2185,2,4,2,2
3,25976,2206,2,4,2,2
3,26083,2283,2,4,2,2
3,25817,2185,2,4,2,2
4,27903,2012,2,4,2,2
4,27756,2012,2,4,2,2
4,27918,2033,2,4,2,2
4,28842,2067,2,4,2,2
4,28728,2267,2,4,2,2
5,29810,2063,2,4,2,2
5,30539,2063,2,4,2,2
5,30517,2070,2,4,2,2
5,31294,2089,2,4,2,2
5,31700,2169,2,4,2,2
6,32209,2099,2,4,2,2
6,32324,1945,2,4,2,2
6,33678,1976,2,4,2,2
6,34190,1990,2,4,2,2
6,33888,2000,2,4,2,2
7,34817,2121,2,4,2,2
7,35674,1980,2,4,2,2
7,36126,1991,2,4,2,2
7,36148,1996,2,4,2,2
7,37420,1917,2,4,2,2
8,37119,2089,2,4,2,2
8,38728,1946,2,4,2,2
8,39211,2013,2,4,2,2
8,39969,2091,2,4,2,2
8,37900,1990,2,4,2,2
9,40806,1983,2,4,2,2
9,40925,2006,2,4,2,2
9,41057,1955,2,4,2,2
9,41890,1992,2,4,2,2
9,40874,2032,2,4,2,2
10,43241,1996,2,4,2,2
10,44114,2010,2,4,2,2
10,42351,2027,2,4,2,2
10,42389,2008,2,4,2,2
10,41632,1999,2,4,2,2
11,44169,2041,2,4,2,2
11,44447,1994,2,4,2,2
11,45211,2024,2,4,2,2
11,46077,1987,2,4,2,2
11,47585,2022,2,4,2,2
12,46492,2003,2,4,2,2
12,47761,2038,2,4,2,2
12,48539,1923,2,4,2,2
12,48788,2010,2,4,2,2
12,47360,1994,2,4,2,2
13,49543,2038,2,4,2,2
13,50471,1971,2,4,2,2
13,50732,2040,2,4,2,2
13,49910,2029,2,4,2,2
13,48933,1979,2,4,2,2
14,52203,2012,2,4,2,2
14,52591,1979,2,4,2,2
14,53239,2030,2,4,2,2
14,51403,1992,2,4,2,2
14,52687,2057,2,4,2,2
15,55671,2101,2,4,2,2
15,55274,1931,2,4,2,2
15,53537,1928,2,4,2,2
15,53873,1920,2,4,2,2
15,53937,1960,2,4,2,2
16,57461,1999,2,4,2,2
16,56849,2035,2,4,2,2
16,58787,2020,2,4,2,2
16,56419,1962,2,4,2,2
16,56014,1953,2,4,2,2
17,58362,2067,2,4,2,2
17,58017,2035,2,4,2,2
17,59062,1983,2,4,2,2
17,62394,2010,2,4,2,2
17,58649,2025,2,4,2,2
18,61252,2035,2,4,2,2
18,61778,2005,2,4,2,2
18,61522,2024,2,4,2,2
18,63549,1987,2,4,2,2
18,61444,1933,2,4,2,2
19,63206,1945,2,4,2,2
19,63926,1979,2,4,2,2
19,64122,1927,2,4,2,2
19,64161,2007,2,4,2,2
19,63721,2036,2,4,2,2
20,65230,2000,2,4,2,2
20,66252,1976,2,4,2,2
20,66700,1994,2,4,2,2
20,65454,1948,2,4,2,2
20,66480,1949,2,4,2,2
21,67773,2155,2,4,2,2
21,71842,1988,2,4,2,2
21,69464,1952,2,4,2,2
21,67431,1989,2,4,2,2
21,67910,1992,2,4,2,2
22,71435,2052,2,4,2,2
22,71982,1992,2,4,2,2
22,70364,2017,2,4,2,2
22,71975,1988,2,4,2,2
22,71233,1984,2,4,2,2
23,73090,2004,2,4,2,2
23,73420,1908,2,4,2,2
23,74013,2019,2,4,2,2
23,75133,2010,2,4,2,2
23,74063,1975,2,4,2,2
24,75578,2050,2,4,2,2
24,77423,2045,2,4,2,2
24,80635,1989,2,4,2,2
24,74826,2094,2,4,2,2
24,75630,2002,2,4,2,2
25,78290,2027,2,4,2,2
25,77853,2066,2,4,2,2
25,77308,2012,2,4,2,2
25,77230,2016,2,4,2,2
25,80381,2003,2,4,2,2
26,82777,2042,2,4,2,2
26,81344,1997,2,4,2,2
26,79143,1981,2,4,2,2
26,80989,1954,2,4,2,2
26,81726,2011,2,4,2,2
27,83501,1982,2,4,2,2
27,83472,1942,2,4,2,2
27,85036,1977,2,4,2,2
27,82769,2004,2,4,2,2
27,83172,1970,2,4,2,2
28,84798,2032,2,4,2,2
28,84215,1978,2,4,2,2
28,88708,1990,2,4,2,2
28,85533,2008,2,4,2,2
28,87030,1949,2,4,2,2
29,87781,2031,2,4,2,2
29,88353,1969,2,4,2,2
29,88782,1985,2,4,2,2
29,88543,1942,2,4,2,2
29,89063,1989,2,4,2,2
30,90032,2041,2,4,2,2
30,92203,2006,2,4,2,2
30,91557,2004,2,4,2,2
30,92421,1931,2,4,2,2
30,89129,2043,2,4,2,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    18.44
    + c    2.407
              µs

Reads = 2 + (0 * c)
Writes = 2 + (0 * c)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    c   mean µs  sigma µs       %
    0      12.7     0.067    0.5%
    1     20.38     0.075    0.3%
    2     23.19     0.057    0.2%
    3     26.01     0.046    0.1%
    4     28.18     0.385    1.3%
    5     30.78     0.361    1.1%
    6     33.29     0.693    2.0%
    7     35.98     0.218    0.6%
    8     38.61     0.541    1.4%
    9     40.95     0.077    0.1%
   10     42.66      0.41    0.9%
   11     45.24     0.665    1.4%
   12     47.88     0.489    1.0%
   13     49.97     0.381    0.7%
   14     52.49     0.209    0.3%
   15     54.36     0.645    1.1%
   16      56.9     0.427    0.7%
   17     58.69     0.287    0.4%
   18     61.58     0.142    0.2%
   19     63.92     0.163    0.2%
   20     66.06     0.439    0.6%
   21     68.38     0.766    1.1%
   22     71.54     0.313    0.4%
   23     73.83     0.292    0.3%
   24     76.21     0.857    1.1%
   25     77.81     0.401    0.5%
   26     81.35       0.3    0.3%
   27     83.38     0.148    0.1%
   28     85.78     0.928    1.0%
   29     88.55     0.175    0.1%
   30     91.26      0.91    0.9%

Quality and confidence:
param     error
