Pallet: "pallet_utility", Extrinsic: "batch_optimistic_transfer", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,13347,2000,0,4,0,2
0,13222,1911,0,4,0,2
0,13302,1948,0,4,0,2
0,12915,1983,0,4,0,2
0,13180,1914,0,4,0,2
1,67950,2187,13,13,4,2
1,69301,2205,13,13,4,2
1,68236,2112,13,13,4,2
1,67521,2139,13,13,4,2
1,67980,2035,13,13,4,2
2,89457,2117,13,30,4,2
2,90466,2134,13,30,4,2
2,90331,2157,13,30,4,2
2,89950,2151,13,30,4,2
2,89795,2113,13,30,4,2
3,109374,2095,13,47,4,2
3,109622,2108,13,47,4,2
3,110602,2111,13,47,4,2
3,108574,2097,13,47,4,2
3,109889,2100,13,47,4,2
4,128560,2168,13,64,4,2
4,129566,2133,13,64,4,2
4,132090,2110,13,64,4,2
4,129062,2107,13,64,4,2
4,129124,2101,13,64,4,2
5,147748,2075,13,81,4,2
5,148475,2110,13,81,4,2
5,150123,2117,13,81,4,2
5,149297,2150,13,81,4,2
5,149210,2097,13,81,4,2
6,166787,2141,13,98,4,2
6,168017,2065,13,98,4,2
6,167786,2121,13,98,4,2
6,167382,2199,13,98,4,2
6,167278,2139,13,98,4,2
7,185976,2196,13,115,4,2
7,186930,2171,13,115,4,2
7,187785,2129,13,115,4,2
7,186659,2118,13,115,4,2
7,186203,2132,13,115,4,2
8,204061,2086,13,132,4,2
8,208992,2072,13,132,4,2
8,205348,2052,13,132,4,2
8,205416,2115,13,132,4,2
8,207436,2156,13,132,4,2
9,223934,2111,13,149,4,2
9,225477,2109,13,149,4,2
9,225467,2099,13,149,4,2
9,225222,2125,13,149,4,2
9,225819,2097,13,149,4,2
10,243590,2142,13,166,4,2
10,245467,2123,13,166,4,2
10,242918,2029,13,166,4,2
10,243631,2037,13,166,4,2
10,243338,2149,13,166,4,2
11,263416,2182,13,183,4,2
11,264459,2108,13,183,4,2
11,263341,2078,13,183,4,2
11,262598,2100,13,183,4,2
11,263264,2121,13,183,4,2
12,280009,2171,13,200,4,2
12,281789,2238,13,200,4,2
12,283698,2179,13,200,4,2
12,280579,2233,13,200,4,2
12,281605,2195,13,200,4,2
13,300905,2205,13,217,4,2
13,301742,2152,13,217,4,2
