Pallet: "polymesh_contracts", Extrinsic: "put_code", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
l,u,d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1,100000,100000,1380704,6245,9,8,4,2
1,100000,100000,1306002,5830,9,8,4,2
1,100000,100000,1316628,5609,9,8,4,2
1,100000,100000,1283874,5183,9,8,4,2
1,100000,100000,1221172,5631,9,8,4,2
10486,100000,100000,3854760,6076,9,8,4,2
10486,100000,100000,3756769,5475,9,8,4,2
10486,100000,100000,3500780,6093,9,8,4,2
10486,100000,100000,3640823,5457,9,8,4,2
10486,100000,100000,3710003,6050,9,8,4,2
20971,100000,100000,6375447,7640,9,8,4,2
20971,100000,100000,6481027,5813,9,8,4,2
20971,100000,100000,6633532,6205,9,8,4,2
20971,100000,100000,6449579,5735,9,8,4,2
20971,100000,100000,6668302,6861,9,8,4,2
31456,100000,100000,9267660,6530,9,8,4,2
31456,100000,100000,8894705,6474,9,8,4,2
31456,100000,100000,9019574,6061,9,8,4,2
31456,100000,100000,9339011,6933,9,8,4,2
31456,100000,100000,8979769,6376,9,8,4,2
41941,100000,100000,11521891,6248,9,8,4,2
41941,100000,100000,11731739,6020,9,8,4,2
41941,100000,100000,12071111,6461,9,8,4,2
41941,100000,100000,11400781,7231,9,8,4,2
41941,100000,100000,11988356,6902,9,8,4,2
52426,100000,100000,15109442,7132,9,8,4,2
52426,100000,100000,14960135,5836,9,8,4,2
52426,100000,100000,14872883,6032,9,8,4,2
52426,100000,100000,14950920,6201,9,8,4,2
52426,100000,100000,15204459,7482,9,8,4,2
62911,100000,100000,17799283,8977,9,8,4,2
62911,100000,100000,17801710,8861,9,8,4,2
62911,100000,100000,17735151,8733,9,8,4,2
62911,100000,100000,17311703,7163,9,8,4,2
62911,100000,100000,16927687,6857,9,8,4,2
73396,100000,100000,20148329,6849,9,8,4,2
73396,100000,100000,19367974,8230,9,8,4,2
73396,100000,100000,21276711,10531,9,8,4,2
73396,100000,100000,20665836,8499,9,8,4,2
73396,100000,100000,19390347,8477,9,8,4,2
83881,100000,100000,21287801,9463,9,8,4,2
83881,100000,100000,21178512,7818,9,8,4,2
83881,100000,100000,20617665,8595,9,8,4,2
83881,100000,100000,21027799,8599,9,8,4,2
83881,100000,100000,21481728,9008,9,8,4,2
94366,100000,100000,24133890,9012,9,8,4,2
94366,100000,100000,23836251,9331,9,8,4,2
94366,100000,100000,26366660,9263,9,8,4,2
94366,100000,100000,25602579,8844,9,8,4,2
94366,100000,100000,25033923,10224,9,8,4,2
104851,100000,100000,29017559,8443,9,8,4,2
104851,100000,100000,29074115,8559,9,8,4,2
104851,100000,100000,28279992,7829,9,8,4,2
104851,100000,100000,28117362,17355,9,8,4,2
104851,100000,100000,29806398,9197,9,8,4,2
115336,100000,100000,31064291,8028,9,8,4,2
115336,100000,100000,31093273,8587,9,8,4,2
115336,100000,100000,32031961,9369,9,8,4,2
115336,100000,100000,31654244,9323,9,8,4,2
115336,100000,100000,31925302,8329,9,8,4,2
125821,100000,100000,32435629,8573,9,8,4,2
125821,100000,100000,32435266,7727,9,8,4,2
125821,100000,100000,35511853,8404,9,8,4,2
125821,100000,100000,32650357,8755,9,8,4,2
125821,100000,100000,33630035,8268,9,8,4,2
136306,100000,100000,37307550,8977,9,8,4,2
136306,100000,100000,36367214,9170,9,8,4,2
136306,100000,100000,35608632,8376,9,8,4,2
136306,100000,100000,45278979,10338,9,8,4,2
136306,100000,100000,38668659,9153,9,8,4,2
146791,100000,100000,37237554,9228,9,8,4,2
146791,100000,100000,37280241,7434,9,8,4,2
146791,100000,100000,37356188,7896,9,8,4,2
146791,100000,100000,38691777,8245,9,8,4,2
146791,100000,100000,38103878,8352,9,8,4,2
157276,100000,100000,40637858,8755,9,8,4,2
157276,100000,100000,39931177,8307,9,8,4,2
157276,100000,100000,38877419,7804,9,8,4,2
157276,100000,100000,37269699,7407,9,8,4,2
157276,100000,100000,36895463,6807,9,8,4,2
167761,100000,100000,38791915,8617,9,8,4,2
167761,100000,100000,41419648,9623,9,8,4,2
167761,100000,100000,40899226,10302,9,8,4,2
167761,100000,100000,41598805,10225,9,8,4,2
167761,100000,100000,39842127,9369,9,8,4,2
178246,100000,100000,43421420,10110,9,8,4,2
178246,100000,100000,47071978,9428,9,8,4,2
178246,100000,100000,46989181,10103,9,8,4,2
178246,100000,100000,46746225,9992,9,8,4,2
178246,100000,100000,46580730,10001,9,8,4,2
188731,100000,100000,45431447,9524,9,8,4,2
